Date,Open,High,Low,Close,Volume
2014-04-07,28.44,28.46,28.0,28.18,1356597.0
2014-04-04,28.27,28.53,28.2,28.45,1181944.0
2014-04-03,28.58,28.81,28.44,28.54,999650.0
2014-04-02,28.35,28.8,28.19,28.65,1609285.0
2014-04-01,28.22,28.47,28.06,28.19,1265844.0
2014-03-31,28.64,28.69,28.06,28.32,976603.0
2014-03-28,27.86,28.72,27.6,28.47,1625193.0
2014-03-27,27.07,27.83,26.8,27.83,1408761.0
2014-03-26,27.82,28.0,27.17,27.18,1756958.0
2014-03-25,27.64,28.17,27.51,27.92,1676153.0
2014-03-24,28.65,28.79,27.13,27.78,3031432.0
2014-03-21,29.12,29.35,28.99,28.99,1238726.0
2014-03-20,28.8,29.33,28.63,29.18,958711.0
2014-03-19,29.34,29.43,28.84,28.88,1372928.0
2014-03-18,29.42,30.03,29.23,29.26,1439965.0
2014-03-17,29.32,29.63,29.3,29.38,1422563.0
2014-03-14,28.65,29.35,28.63,29.27,1704553.0
2014-03-13,28.8,28.88,27.85,28.81,4798394.0
2014-03-12,29.6,29.7,28.71,29.05,3971827.0
2014-03-11,30.66,30.69,29.46,29.74,4119630.0
2014-03-10,30.26,31.03,29.88,30.9,2275171.0
2014-03-07,31.1,31.13,30.15,30.41,2923307.0
2014-03-06,31.85,31.96,31.13,31.16,2020785.0
2014-03-05,31.91,32.15,31.8,31.95,1412849.0
2014-03-04,32.2,32.38,31.85,31.85,1786374.0
2014-03-03,31.3,32.1,31.3,31.87,1122743.0
2014-02-28,31.5,32.04,31.1,31.87,1906364.0
2014-02-27,32.32,32.4,30.51,31.4,5624732.0
2014-02-26,33.03,33.3,32.76,32.9,1509318.0
2014-02-25,33.38,33.38,32.88,33.03,2119441.0
2014-02-24,33.45,33.7,33.35,33.56,1482392.0
2014-02-21,33.4,33.47,33.24,33.35,1118438.0
2014-02-20,33.25,33.48,33.18,33.23,1007796.0
2014-02-19,33.22,33.44,33.0,33.25,974809.0
2014-02-18,32.82,33.24,32.82,33.06,1084955.0
2014-02-14,32.79,33.25,32.75,32.85,1239355.0
2014-02-13,32.44,32.93,32.21,32.73,1420409.0
2014-02-12,33.05,33.21,32.5,32.65,1484696.0
2014-02-11,33.25,33.5,32.81,32.91,1691302.0
2014-02-10,33.48,33.5,32.95,33.3,1007097.0
2014-02-07,33.25,33.5,33.1,33.16,1184578.0
2014-02-06,32.91,33.24,32.71,33.05,1485725.0
2014-02-05,32.84,33.14,32.5,33.05,959958.0
2014-02-04,32.8,33.0,32.59,32.9,1131298.0
2014-02-03,32.76,32.96,32.56,32.73,1335772.0
2014-01-31,32.81,33.0,32.69,32.79,1673184.0
2014-01-30,32.81,33.25,32.7,33.09,1022378.0
2014-01-29,33.0,33.05,32.55,32.8,1350522.0
2014-01-28,32.46,33.25,32.46,32.99,1216358.0
2014-01-27,32.99,33.19,32.1,32.45,1594446.0
2014-01-24,33.5,33.73,32.71,33.04,1785589.0
2014-01-23,34.0,34.08,33.45,33.45,2109813.0
2014-01-22,32.56,33.92,32.35,33.72,3182253.0
2014-01-21,32.1,32.48,32.05,32.25,1364099.0
2014-01-17,32.38,32.39,32.0,32.0,1134912.0
2014-01-16,32.51,32.51,31.92,32.21,960805.0
2014-01-15,31.84,32.05,31.8,32.03,901234.0
2014-01-14,32.16,32.2,31.53,31.87,878105.0
2014-01-13,32.39,32.49,31.6,31.62,1520410.0
2014-01-10,32.37,32.52,32.25,32.31,1246630.0
2014-01-09,32.79,32.88,32.13,32.27,2266719.0
2014-01-08,32.11,32.82,32.11,32.73,1922262.0
2014-01-07,32.17,32.53,32.04,32.27,2484047.0
2014-01-06,31.62,31.98,31.33,31.83,2748474.0
2014-01-03,31.06,31.08,30.75,31.03,1357880.0
2014-01-02,30.99,31.09,30.78,30.81,1413676.0
2013-12-31,30.89,31.02,30.68,30.79,1745156.0
2013-12-30,30.6,30.96,30.33,30.96,2096711.0
2013-12-27,30.0,30.59,29.95,30.59,1683767.0
2013-12-26,30.18,30.35,29.91,29.96,1962395.0
2013-12-24,30.19,30.29,30.08,30.13,931030.0
2013-12-23,30.91,30.94,30.11,30.29,1960820.0
2013-12-20,30.19,30.68,30.06,30.52,3347840.0
2013-12-19,29.02,29.87,29.0,29.82,2466900.0
2013-12-18,29.21,29.4,28.74,28.8,2685202.0
2013-12-17,29.75,30.33,28.83,29.08,3598970.0
2013-12-16,29.9,30.48,29.39,29.47,3218275.0
2013-12-13,30.05,30.15,29.49,29.78,2243532.0
2013-12-12,30.0,30.25,29.82,29.99,1458917.0
2013-12-11,30.33,30.44,29.98,30.01,1099473.0
2013-12-10,30.85,30.95,30.2,30.27,2160837.0
2013-12-09,30.6,31.1,30.6,30.9,2054811.0
2013-12-06,30.99,31.0,30.52,30.53,1546428.0
2013-12-05,31.1,31.16,30.51,30.64,1799590.0
2013-12-04,30.85,31.45,30.5,30.95,2997677.0
2013-12-03,30.0,30.6,29.85,30.06,2607232.0
2013-12-02,30.33,30.59,30.0,30.0,1413754.0
2013-11-29,30.14,30.49,30.11,30.42,571464.0
2013-11-27,30.0,30.37,29.91,30.08,975342.0
2013-11-26,30.06,30.26,29.85,30.09,967124.0
2013-11-25,30.39,30.4,29.81,30.0,1215667.0
2013-11-22,29.8,30.4,29.62,30.11,1497984.0
2013-11-21,29.36,29.8,29.36,29.49,1016724.0
2013-11-20,29.37,29.82,29.34,29.42,1144663.0
2013-11-19,29.72,29.75,29.29,29.44,1081498.0
2013-11-18,30.09,30.2,29.65,29.72,1982414.0
2013-11-15,30.38,30.62,29.92,29.95,2107815.0
2013-11-14,29.5,30.05,29.25,29.68,1545744.0
2013-11-13,29.04,29.37,28.76,29.28,954130.0
2013-11-12,29.26,29.4,28.76,29.1,1807772.0
2013-11-11,29.92,30.19,29.17,29.21,1447544.0
2013-11-08,29.43,30.25,29.16,29.9,1648671.0
2013-11-07,30.28,30.29,29.16,29.56,3336314.0
2013-11-06,30.75,30.77,29.8,30.46,2757832.0
2013-11-05,32.36,32.36,30.41,30.77,5563667.0
2013-11-04,32.5,33.56,31.33,31.8,8851829.0
2013-11-01,28.46,31.53,28.46,30.82,10401481.0
2013-10-31,28.37,28.55,27.45,27.7,2117954.0
2013-10-30,28.0,28.82,27.87,28.16,2529157.0
2013-10-29,27.5,28.25,27.01,27.85,3253006.0
2013-10-28,27.09,27.1,26.23,26.41,2221470.0
2013-10-25,27.95,27.98,26.54,26.84,4112879.0
2013-10-24,28.76,28.87,28.05,28.13,1504682.0
2013-10-23,29.25,29.31,28.57,28.74,1699549.0
2013-10-22,28.58,29.79,28.53,29.22,3264762.0
2013-10-21,27.94,28.85,27.75,28.69,2900063.0
2013-10-18,27.3,27.68,27.13,27.42,2127820.0
2013-10-17,26.82,27.39,26.74,27.11,1563701.0
2013-10-16,26.75,27.08,26.51,26.6,1488832.0
2013-10-15,27.12,27.64,26.32,26.7,2011955.0
2013-10-14,26.41,26.99,26.18,26.69,1099709.0
2013-10-11,26.13,26.6,26.01,26.45,1165713.0
2013-10-10,26.26,26.7,26.06,26.11,1116348.0
2013-10-09,26.31,26.39,25.91,26.05,1083152.0
2013-10-08,26.8,26.97,26.27,26.49,1209173.0
2013-10-07,26.44,26.99,26.43,26.69,1387989.0
2013-10-04,26.2,26.74,26.16,26.5,1171093.0
2013-10-03,26.4,26.6,26.01,26.28,795574.0
2013-10-02,26.01,26.64,25.75,26.35,978487.0
2013-10-01,26.07,26.67,25.94,26.01,1483776.0
2013-09-30,25.6,26.38,25.49,25.92,1242629.0
2013-09-27,26.31,26.5,25.95,25.97,873377.0
2013-09-26,26.36,26.78,26.18,26.32,837350.0
2013-09-25,26.3,26.65,26.21,26.36,895006.0
2013-09-24,25.83,26.55,25.6,26.35,1269519.0
2013-09-23,25.9,26.0,25.14,25.83,1567012.0
2013-09-20,26.16,26.62,25.92,25.96,1896185.0
2013-09-19,26.53,26.78,25.82,25.96,3935993.0
2013-09-18,27.9,27.92,26.59,26.97,3534417.0
2013-09-17,28.25,28.38,27.64,27.91,1916933.0
2013-09-16,28.6,28.75,28.06,28.3,2231138.0
2013-09-13,28.69,28.72,27.81,28.18,2322180.0
2013-09-12,28.4,28.75,27.8,27.87,4738148.0
2013-09-11,25.28,28.61,25.26,27.9,9564389.0
2013-09-10,24.25,24.75,24.17,24.74,1129338.0
2013-09-09,24.24,24.67,24.16,24.24,1194140.0
2013-09-06,24.36,24.55,24.11,24.25,1039275.0
2013-09-05,24.1,24.57,24.1,24.43,996864.0
2013-09-04,24.12,24.3,24.09,24.11,1519578.0
2013-09-03,24.32,24.35,24.0,24.23,974312.0
2013-08-30,24.05,24.31,23.89,24.11,925948.0
2013-08-29,24.46,24.7,24.0,24.0,963960.0
2013-08-28,24.52,24.83,24.4,24.47,774506.0
2013-08-27,24.55,24.99,24.5,24.57,808695.0
2013-08-26,24.52,25.05,24.51,24.85,1016037.0
2013-08-23,24.85,25.25,24.51,24.6,1246462.0
2013-08-22,24.4,24.91,24.34,24.85,735014.0
2013-08-21,24.45,24.79,24.25,24.32,1005556.0
2013-08-20,23.75,24.59,23.6,24.41,1077219.0
2013-08-19,24.79,24.79,23.8,23.83,1681412.0
2013-08-16,24.62,25.1,24.45,24.79,1764280.0
2013-08-15,23.5,24.8,23.44,24.52,2755800.0
2013-08-14,22.9,24.15,22.38,23.68,4122077.0
2013-08-13,23.75,23.85,22.89,22.9,3722532.0
2013-08-12,24.08,24.6,23.8,23.93,4064137.0
2013-08-09,24.19,25.1,23.76,24.99,6374394.0
2013-08-08,26.57,26.71,24.9,25.3,4567896.0
2013-08-07,26.61,27.58,26.51,27.14,1842563.0
2013-08-06,26.32,26.85,26.27,26.8,1295421.0
2013-08-05,26.77,26.85,26.3,26.32,1663335.0
2013-08-02,26.95,27.11,26.41,26.87,1279510.0
2013-08-01,27.23,27.5,26.95,26.99,1170692.0
2013-07-31,27.7,27.82,27.03,27.05,1409039.0
2013-07-30,27.21,27.76,27.21,27.69,1561662.0
2013-07-29,27.5,27.51,27.1,27.24,1355124.0
2013-07-26,26.95,27.45,26.81,27.41,1135251.0
2013-07-25,26.36,27.18,26.01,27.09,2397417.0
2013-07-24,27.6,27.74,26.36,26.54,2514823.0
2013-07-23,27.74,27.9,27.6,27.64,1926714.0
2013-07-22,28.36,28.38,27.52,27.63,1865530.0
2013-07-19,28.21,28.9,27.76,27.99,3282200.0
2013-07-18,27.68,28.32,27.5,28.15,3911361.0
2013-07-17,26.4,27.52,26.02,27.49,6586016.0
2013-07-16,25.22,25.31,24.85,25.01,2198172.0
2013-07-15,24.8,25.7,24.61,25.2,3297000.0
2013-07-12,25.99,26.24,24.79,24.84,5278221.0
2013-07-11,27.19,27.31,25.38,26.05,6278727.0
2013-07-10,26.26,26.9,25.88,26.64,4946996.0
2013-07-09,25.78,26.38,25.45,25.99,8306278.0
2013-07-08,24.61,26.52,24.15,25.13,15458528.0
2013-07-05,22.28,24.95,20.35,23.45,24921734.0
2013-07-03,27.01,27.3,22.35,22.79,21993779.0
2013-07-02,29.74,29.76,26.78,27.05,26055221.0
2013-07-01,33.45,33.74,33.03,33.29,1334643.0
2013-06-28,33.15,33.88,32.2,33.18,2492846.0
2013-06-27,34.6,34.85,33.11,33.13,2346450.0
2013-06-26,34.5,34.8,34.4,34.5,1899695.0
2013-06-25,33.99,34.27,33.52,34.21,1740575.0
2013-06-24,34.15,34.15,32.8,33.51,3167251.0
2013-06-21,33.98,34.15,33.03,33.69,2461521.0
2013-06-20,32.97,33.92,32.51,33.31,3307925.0
2013-06-19,32.13,34.14,32.1,32.98,7816125.0
2013-06-18,30.08,31.73,29.1,31.59,9143986.0
2013-06-17,30.28,31.39,29.72,30.52,7943759.0
2013-06-14,31.75,31.76,29.65,31.07,7509758.0
2013-06-13,32.53,32.59,31.45,31.77,5699550.0
2013-06-12,33.05,33.3,32.5,32.69,1242048.0
2013-06-11,33.47,33.65,33.0,33.03,1186726.0
2013-06-10,34.21,34.22,33.68,33.75,984456.0
2013-06-07,33.56,34.03,33.38,33.96,1316682.0
2013-06-06,33.0,33.23,32.74,33.18,1678778.0
2013-06-05,33.31,33.35,32.93,33.04,1390354.0
2013-06-04,33.25,33.4,33.02,33.23,1784973.0
2013-06-03,33.25,33.55,33.0,33.07,2069902.0
2013-05-31,33.7,33.8,32.11,32.9,6298133.0
2013-05-30,34.7,34.72,33.75,33.87,2153089.0
2013-05-29,34.61,34.75,34.28,34.72,2318354.0
2013-05-28,35.56,35.57,34.72,34.75,1412710.0
2013-05-24,35.06,35.19,34.9,35.06,809013.0
2013-05-23,34.75,35.32,34.42,35.23,1502228.0
2013-05-22,35.35,35.59,34.84,34.93,1820216.0
2013-05-21,35.5,35.55,35.16,35.25,1401926.0
2013-05-20,35.0,35.55,35.0,35.44,1699268.0
2013-05-17,35.2,35.64,35.05,35.13,1631543.0
2013-05-16,35.75,35.9,35.2,35.2,1817503.0
2013-05-15,36.0,36.1,35.58,35.75,1854698.0
2013-05-14,34.8,35.74,34.78,35.73,2646185.0
2013-05-13,35.05,35.19,34.79,34.98,1621436.0
2013-05-10,34.55,35.12,34.37,35.07,2534684.0
2013-05-09,34.9,35.01,34.27,34.5,3995740.0
2013-05-08,34.95,35.22,34.5,34.98,4181326.0
2013-05-07,36.08,36.2,34.92,35.01,5542158.0
2013-05-06,35.26,35.75,34.26,35.75,17768338.0
2013-05-03,38.52,38.64,38.4,38.44,1605868.0
2013-05-02,38.5,38.53,38.24,38.38,1359525.0
2013-05-01,38.6,38.6,38.25,38.34,1147982.0
2013-04-30,38.4,38.7,38.38,38.61,1378075.0
2013-04-29,38.39,38.56,38.2,38.48,1231462.0
