Date,Open,High,Low,Close,Volume
2014-04-07,48.38,48.6,47.76,47.79,3916513.0
2014-04-04,51.72,51.77,48.26,48.46,4577051.0
2014-04-03,50.99,50.99,49.54,49.7,3153635.0
2014-04-02,50.2,50.49,49.63,49.88,4395977.0
2014-04-01,49.14,50.46,49.03,50.43,4681634.0
2014-03-31,48.18,48.72,48.01,48.69,1738773.0
2014-03-28,47.91,48.34,47.74,47.85,1819836.0
2014-03-27,48.44,48.57,47.78,47.91,2146281.0
2014-03-26,48.92,49.16,48.26,48.44,3022492.0
2014-03-25,48.56,48.84,48.45,48.68,3915528.0
2014-03-24,48.39,48.58,47.52,48.26,3848183.0
2014-03-21,48.64,48.89,48.03,48.18,5062995.0
2014-03-20,47.17,48.3,47.01,48.25,3033559.0
2014-03-19,47.45,47.91,46.94,47.33,1906332.0
2014-03-18,47.18,47.32,46.93,47.29,3001802.0
2014-03-17,46.6,47.29,46.5,47.02,1637274.0
2014-03-14,49.78,49.78,46.44,46.46,2315394.0
2014-03-13,48.04,48.18,46.71,46.89,2489723.0
2014-03-12,47.75,48.14,47.68,47.88,1955181.0
2014-03-11,47.9,48.42,47.78,47.98,2015354.0
2014-03-10,48.17,48.34,47.7,47.78,1401053.0
2014-03-07,47.83,48.17,47.51,48.16,2551853.0
2014-03-06,47.24,47.75,47.12,47.68,1262024.0
2014-03-05,47.06,47.34,46.88,47.2,1343747.0
2014-03-04,47.29,47.57,47.03,47.22,1734607.0
2014-03-03,46.57,46.75,46.21,46.54,1713259.0
2014-02-28,46.59,46.9,46.31,46.84,1916065.0
2014-02-27,47.2,47.52,46.34,46.63,2275429.0
2014-02-26,46.14,46.88,46.14,46.64,2068352.0
2014-02-25,46.25,46.35,45.9,46.18,1840138.0
2014-02-24,46.19,46.57,46.19,46.26,1361562.0
2014-02-21,46.21,46.44,46.07,46.14,1811827.0
2014-02-20,45.91,46.33,45.8,46.12,2501642.0
2014-02-19,45.92,46.31,45.6,46.04,3021514.0
2014-02-18,46.08,46.09,45.58,45.88,2589665.0
2014-02-14,45.6,46.21,45.37,45.99,3865649.0
2014-02-13,45.08,45.81,44.89,45.76,2885989.0
2014-02-12,44.54,45.02,44.46,44.99,1826609.0
2014-02-11,44.29,44.78,44.19,44.7,1529938.0
2014-02-10,44.04,44.44,44.03,44.32,1390327.0
2014-02-07,43.83,44.14,43.66,44.12,1961578.0
2014-02-06,43.7,43.82,43.44,43.7,1724611.0
2014-02-05,43.07,43.73,42.98,43.51,1732359.0
2014-02-04,43.52,43.77,43.0,43.36,3831124.0
2014-02-03,44.5,44.89,43.35,43.58,3126226.0
2014-01-31,44.66,44.94,44.36,44.54,3223841.0
2014-01-30,44.83,45.0,44.57,44.66,2161944.0
2014-01-29,44.69,45.22,44.47,44.58,2789021.0
2014-01-28,44.41,45.0,44.38,44.76,1580740.0
2014-01-27,44.83,45.01,44.39,44.5,2469258.0
2014-01-24,45.71,45.72,44.81,44.82,2461358.0
2014-01-23,46.25,46.44,45.62,45.79,2227074.0
2014-01-22,46.23,46.74,46.17,46.59,2422987.0
2014-01-21,46.15,46.5,46.03,46.29,2874801.0
2014-01-17,45.92,46.48,45.91,46.0,6036963.0
2014-01-16,46.36,46.47,45.93,46.29,2526196.0
2014-01-15,45.75,46.45,45.27,46.14,6014293.0
2014-01-14,45.05,45.44,44.72,45.19,4326769.0
2014-01-13,45.45,45.46,44.37,44.49,2753759.0
2014-01-10,45.23,45.48,44.86,45.43,1662997.0
2014-01-09,45.25,45.43,45.02,45.25,1635195.0
2014-01-08,44.97,45.35,44.84,45.18,2447337.0
2014-01-07,44.94,45.09,44.61,44.85,2147309.0
2014-01-06,45.11,45.19,44.74,44.77,1588040.0
2014-01-03,44.41,45.19,44.41,44.98,1645382.0
2014-01-02,45.48,45.48,44.56,44.88,1828677.0
2013-12-31,47.55,47.55,45.4,45.55,1172304.0
2013-12-30,45.38,45.67,45.17,45.5,1212870.0
2013-12-27,45.41,45.59,45.26,45.38,721002.0
2013-12-26,45.25,45.47,45.14,45.32,985521.0
2013-12-24,45.33,45.49,45.0,45.2,826168.0
2013-12-23,45.1,45.2,44.93,45.19,1100189.0
2013-12-20,44.36,45.0,44.33,44.8,2924281.0
2013-12-19,45.0,45.2,44.35,44.54,1850775.0
2013-12-18,44.66,45.13,44.05,45.11,2482562.0
2013-12-17,43.92,44.83,43.83,44.53,2460539.0
2013-12-16,43.7,43.99,43.59,43.95,1340875.0
2013-12-13,43.33,43.57,43.15,43.35,1199890.0
2013-12-12,43.59,43.72,43.28,43.34,1356719.0
2013-12-11,43.88,44.09,43.44,43.5,1833220.0
2013-12-10,43.88,44.21,43.82,43.92,1401117.0
2013-12-09,44.21,44.26,43.83,43.98,1681230.0
2013-12-06,43.91,44.13,43.74,43.93,1758304.0
2013-12-05,43.5,43.7,43.23,43.44,1890064.0
2013-12-04,43.1,43.88,43.0,43.52,3174812.0
2013-12-03,42.81,43.45,42.54,43.2,3816834.0
2013-12-02,42.51,42.71,42.37,42.46,1594907.0
2013-11-29,42.81,42.86,42.51,42.55,1392246.0
2013-11-27,42.35,42.63,41.79,42.56,1923079.0
2013-11-26,42.36,42.68,42.03,42.53,1549249.0
2013-11-25,42.32,42.53,42.08,42.42,1354858.0
2013-11-22,42.38,42.65,42.0,42.27,2105302.0
2013-11-21,41.97,42.27,41.86,42.25,1177166.0
2013-11-20,41.86,41.94,41.55,41.67,1703792.0
2013-11-19,42.04,42.14,41.6,41.7,2307653.0
2013-11-18,42.15,42.34,41.9,42.06,2369013.0
2013-11-15,43.36,43.36,40.97,42.21,4954105.0
2013-11-14,41.14,41.35,40.71,41.21,5247982.0
2013-11-13,40.31,41.05,40.31,41.05,1201976.0
2013-11-12,40.69,40.95,40.59,40.81,1130004.0
2013-11-11,40.9,40.97,40.59,40.86,1075943.0
2013-11-08,40.71,41.0,40.4,40.97,1100490.0
2013-11-07,41.43,41.45,40.54,40.64,1768914.0
2013-11-06,41.02,41.32,40.81,41.15,1376662.0
2013-11-05,40.54,41.1,40.26,40.94,2031145.0
2013-11-04,41.04,41.06,40.62,40.62,2432467.0
2013-11-01,41.27,41.27,40.63,40.81,1738443.0
2013-10-31,40.55,41.38,40.46,41.16,2755301.0
2013-10-30,40.72,41.28,40.48,40.55,2370967.0
2013-10-29,39.98,40.94,39.94,40.89,3413609.0
2013-10-28,39.14,39.84,39.08,39.77,1733550.0
2013-10-25,39.1,39.18,38.98,39.07,1086803.0
2013-10-24,38.8,39.09,38.67,38.95,1595171.0
2013-10-23,39.03,39.03,38.28,38.74,3136706.0
2013-10-22,39.58,39.58,38.99,39.42,2350806.0
2013-10-21,39.06,39.33,38.98,39.32,2141938.0
2013-10-18,39.29,39.36,38.9,39.27,1852324.0
2013-10-17,38.88,39.32,38.57,39.26,2411611.0
2013-10-16,38.51,39.47,38.31,39.11,5074362.0
2013-10-15,39.8,39.95,39.46,39.55,2030039.0
2013-10-14,39.45,40.35,39.34,40.01,2159400.0
2013-10-11,39.22,39.7,39.22,39.67,1585129.0
2013-10-10,38.96,39.5,38.84,39.35,1465033.0
2013-10-09,39.02,39.06,38.31,38.7,1786365.0
2013-10-08,39.65,39.65,38.68,38.8,2002702.0
2013-10-07,39.13,39.76,39.06,39.51,1187475.0
2013-10-04,39.49,39.7,39.32,39.57,1576478.0
2013-10-03,39.55,39.67,39.1,39.55,2163564.0
2013-10-02,39.48,39.83,39.42,39.6,1510150.0
2013-10-01,39.77,40.06,39.49,39.81,1349987.0
2013-09-30,39.34,39.69,39.17,39.66,1835464.0
2013-09-27,39.49,39.81,39.43,39.6,1254413.0
2013-09-26,39.95,40.14,39.62,39.79,1509086.0
2013-09-25,39.97,40.07,39.6,39.84,1386427.0
2013-09-24,40.23,40.31,39.92,40.0,1262356.0
