Date,Open,High,Low,Close,Volume
2014-04-07,27.15,27.55,27.01,27.35,197435.0
2014-04-04,28.45,28.45,27.13,27.16,161339.0
2014-04-03,28.32,28.45,27.89,28.21,111968.0
2014-04-02,28.37,28.5,28.14,28.45,95906.0
2014-04-01,28.16,28.34,27.82,28.27,159839.0
2014-03-31,27.79,28.34,27.58,28.19,165614.0
2014-03-28,27.32,27.89,27.32,27.68,143323.0
2014-03-27,27.33,27.51,27.11,27.37,102209.0
2014-03-26,27.44,27.64,27.08,27.3,203045.0
2014-03-25,27.44,27.6,27.16,27.24,114563.0
2014-03-24,27.47,27.54,27.09,27.27,157887.0
2014-03-21,27.71,27.88,27.35,27.44,194076.0
2014-03-20,27.39,27.71,27.33,27.57,63650.0
2014-03-19,27.8,28.01,27.23,27.44,93017.0
2014-03-18,27.62,28.07,27.45,27.88,108612.0
2014-03-17,27.59,27.8,27.46,27.55,93348.0
2014-03-14,27.02,27.64,27.02,27.5,83521.0
2014-03-13,27.8,27.85,27.09,27.17,78596.0
2014-03-12,27.23,27.72,27.2,27.67,119249.0
2014-03-11,27.68,27.76,27.21,27.3,83838.0
2014-03-10,27.71,27.98,27.47,27.7,68384.0
2014-03-07,27.97,27.97,27.57,27.83,69783.0
2014-03-06,27.93,28.1,27.54,27.76,94073.0
2014-03-05,27.5,28.05,27.25,27.78,159175.0
2014-03-04,27.36,27.98,27.2,27.65,313519.0
2014-03-03,26.84,27.14,26.63,27.0,92607.0
2014-02-28,27.17,27.45,26.89,27.09,155162.0
2014-02-27,26.43,27.12,26.43,27.1,209231.0
2014-02-26,26.36,26.55,26.07,26.55,319437.0
2014-02-25,26.59,26.71,26.28,26.29,115777.0
2014-02-24,26.69,26.81,26.41,26.66,141718.0
2014-02-21,26.94,27.07,26.64,26.72,168934.0
2014-02-20,26.45,26.95,26.31,26.8,164468.0
2014-02-19,26.66,27.11,26.34,26.36,179355.0
2014-02-18,26.77,27.04,26.67,26.81,115080.0
2014-02-14,26.69,26.81,26.27,26.75,94355.0
2014-02-13,25.9,26.72,25.9,26.65,121327.0
2014-02-12,25.82,26.23,25.82,26.05,136957.0
2014-02-11,25.2,25.98,25.15,25.86,339969.0
2014-02-10,25.75,26.09,24.96,25.28,469201.0
2014-02-07,25.83,27.59,25.68,25.85,241851.0
2014-02-06,25.73,26.22,25.63,25.91,177965.0
2014-02-05,25.45,26.28,25.34,25.66,221083.0
2014-02-04,25.75,25.96,25.42,25.61,134402.0
2014-02-03,26.66,27.01,25.51,25.69,144815.0
2014-01-31,26.72,27.58,26.54,26.71,113926.0
2014-01-30,27.15,27.64,27.02,27.27,115458.0
2014-01-29,26.89,27.1,26.6,26.85,217570.0
2014-01-28,27.1,27.29,26.89,27.19,150454.0
2014-01-27,27.37,27.41,26.86,26.98,132372.0
2014-01-24,27.8,27.84,27.13,27.29,134554.0
2014-01-23,28.03,28.25,27.9,28.05,69911.0
2014-01-22,28.24,28.31,28.11,28.23,50277.0
2014-01-21,28.47,28.47,28.03,28.17,175655.0
2014-01-17,27.9,28.23,27.72,28.23,138931.0
2014-01-16,27.76,27.99,27.68,27.98,61951.0
2014-01-15,27.64,27.98,27.55,27.71,110904.0
2014-01-14,27.23,27.74,27.05,27.65,115111.0
2014-01-13,27.28,27.5,26.92,27.06,136390.0
2014-01-10,27.7,28.02,27.34,27.45,156737.0
2014-01-09,28.02,28.02,27.44,27.65,100579.0
