Date,Open,High,Low,Close,Volume
2014-04-07,46.64,46.89,44.24,44.45,486217.0
2014-04-04,47.39,47.51,45.69,46.93,345688.0
2014-04-03,47.71,47.89,46.92,46.97,246959.0
2014-04-02,47.42,47.77,46.34,47.75,234192.0
2014-04-01,46.89,47.7,46.51,47.5,413007.0
2014-03-31,46.47,47.31,46.27,46.7,341543.0
2014-03-28,46.04,47.84,45.7,46.15,243513.0
2014-03-27,46.48,46.83,45.54,45.87,490028.0
2014-03-26,46.94,47.47,46.37,46.54,315194.0
2014-03-25,47.58,48.08,46.01,46.51,268032.0
2014-03-24,47.93,48.0,46.44,47.37,219383.0
2014-03-21,48.74,48.79,47.85,47.92,342497.0
2014-03-20,48.35,48.99,48.07,48.43,148460.0
2014-03-19,48.4,48.82,48.03,48.42,301153.0
2014-03-18,47.48,48.78,47.44,48.4,193125.0
2014-03-17,46.25,47.32,46.21,47.27,215510.0
2014-03-14,45.88,46.22,45.46,46.16,371034.0
2014-03-13,47.0,47.0,45.41,46.0,218716.0
2014-03-12,46.6,47.58,46.04,46.82,264797.0
2014-03-11,46.71,47.84,46.71,46.87,396663.0
2014-03-10,47.35,47.97,46.6,47.71,316106.0
2014-03-07,47.54,47.86,47.31,47.61,205277.0
2014-03-06,47.5,47.82,47.11,47.44,272575.0
2014-03-05,47.57,47.88,46.83,47.38,346132.0
2014-03-04,48.07,49.0,47.18,47.54,399945.0
2014-03-03,46.93,47.76,46.69,47.33,228403.0
2014-02-28,48.0,48.0,47.0,47.4,339711.0
2014-02-27,47.17,48.0,47.16,47.99,226945.0
2014-02-26,47.56,47.96,47.14,47.48,240025.0
2014-02-25,46.36,47.62,46.01,47.37,236964.0
2014-02-24,46.43,46.92,46.02,46.5,422695.0
2014-02-21,47.8,47.98,45.52,46.19,634048.0
2014-02-20,45.28,46.01,44.71,45.74,455253.0
2014-02-19,46.55,47.11,45.04,45.07,218626.0
2014-02-18,45.74,47.03,45.74,46.85,283443.0
2014-02-14,46.29,46.29,44.63,45.52,193595.0
2014-02-13,45.22,46.82,45.0,46.26,277247.0
2014-02-12,44.43,45.71,44.33,45.69,254918.0
2014-02-11,43.6,44.68,43.08,44.45,146915.0
2014-02-10,43.69,43.88,43.12,43.55,237801.0
2014-02-07,43.13,44.0,42.54,43.89,243132.0
2014-02-06,42.68,43.39,42.35,43.03,274235.0
2014-02-05,42.57,42.87,41.71,42.5,294513.0
2014-02-04,43.03,43.71,42.31,42.76,334226.0
2014-02-03,43.72,44.2,42.28,42.86,379000.0
2014-01-31,43.9,44.35,43.36,43.82,386728.0
2014-01-30,44.27,44.76,43.59,44.59,386763.0
2014-01-29,44.19,44.62,43.54,43.73,267445.0
2014-01-28,44.1,44.89,43.84,44.62,288007.0
2014-01-27,45.8,45.8,43.71,44.18,676626.0
2014-01-24,48.5,48.94,45.95,45.97,646265.0
2014-01-23,50.6,50.6,48.78,48.98,369949.0
2014-01-22,49.37,51.12,49.3,50.73,429740.0
2014-01-21,49.74,51.08,49.07,49.48,328398.0
2014-01-17,48.7,49.66,48.7,49.2,198724.0
2014-01-16,48.15,48.89,47.84,48.83,189512.0
2014-01-15,47.74,48.41,47.54,48.15,208907.0
2014-01-14,46.76,48.22,46.65,47.76,241868.0
2014-01-13,46.99,47.61,46.34,46.72,220079.0
2014-01-10,47.21,47.76,46.57,47.27,243835.0
2014-01-09,47.44,48.48,47.11,47.2,550668.0
2014-01-08,45.57,47.12,45.5,47.1,726366.0
2014-01-07,44.72,45.51,44.58,45.38,320026.0
2014-01-06,44.06,44.72,44.06,44.5,253264.0
2014-01-03,43.22,44.27,43.05,44.01,344037.0
2014-01-02,43.34,43.55,42.86,43.21,363098.0
2013-12-31,43.62,44.0,43.5,43.6,446185.0
2013-12-30,43.5,43.79,43.06,43.58,299182.0
2013-12-27,44.38,44.66,43.44,43.57,198459.0
2013-12-26,44.44,44.54,43.93,44.26,321873.0
2013-12-24,44.44,44.87,43.91,44.33,235815.0
2013-12-23,44.64,45.36,44.07,44.53,499088.0
2013-12-20,44.05,44.82,43.39,44.51,609581.0
2013-12-19,44.04,44.38,43.39,43.6,300039.0
2013-12-18,43.57,44.34,43.17,44.33,289630.0
2013-12-17,44.0,44.0,43.2,43.4,149243.0
2013-12-16,43.48,44.38,43.4,43.87,228507.0
2013-12-13,43.89,43.93,43.03,43.44,203133.0
2013-12-12,43.13,43.29,42.16,43.07,342117.0
2013-12-11,43.94,43.94,43.12,43.32,227224.0
2013-12-10,43.8,45.01,43.8,43.98,228983.0
2013-12-09,44.89,44.94,42.72,43.91,541031.0
2013-12-06,44.72,45.2,44.08,44.41,283364.0
2013-12-05,43.95,44.51,43.95,44.22,332413.0
2013-12-04,44.51,44.68,43.48,44.0,373093.0
2013-12-03,45.01,45.3,44.32,44.46,315123.0
2013-12-02,45.66,46.33,44.81,45.03,310962.0
2013-11-29,45.13,45.73,44.95,45.54,221305.0
2013-11-27,44.88,45.15,44.37,44.85,218027.0
2013-11-26,44.62,44.98,44.17,44.72,227821.0
2013-11-25,44.72,45.83,44.49,44.7,296844.0
2013-11-22,45.03,45.23,44.2,44.76,147449.0
2013-11-21,44.39,45.5,44.0,44.89,385735.0
2013-11-20,45.12,45.28,44.13,44.15,476677.0
2013-11-19,44.96,45.64,44.36,44.82,446341.0
2013-11-18,46.64,47.02,44.59,45.07,370711.0
2013-11-15,45.83,47.1,45.54,46.6,791784.0
2013-11-14,47.3,47.46,45.57,45.89,365754.0
2013-11-13,46.43,47.57,46.15,47.25,208212.0
2013-11-12,46.59,46.77,46.11,46.57,251908.0
2013-11-11,47.17,47.72,46.56,46.61,283209.0
2013-11-08,46.28,47.75,46.21,47.39,215823.0
2013-11-07,47.8,47.97,46.21,46.31,335109.0
2013-11-06,47.51,47.74,46.88,47.6,418534.0
2013-11-05,46.57,47.32,46.15,47.01,346582.0
2013-11-04,46.65,46.96,46.33,46.79,531908.0
2013-11-01,46.6,47.08,46.5,46.63,570820.0
2013-10-31,47.85,48.27,46.96,47.27,843419.0
2013-10-30,47.81,50.48,45.41,47.89,2300949.0
2013-10-29,43.03,44.14,43.02,43.35,651741.0
2013-10-28,44.19,44.2,42.85,43.02,454350.0
2013-10-25,44.5,44.6,43.68,44.04,292260.0
2013-10-24,43.92,44.62,43.85,44.2,432348.0
2013-10-23,42.64,44.05,42.64,43.66,551504.0
2013-10-22,42.37,43.15,42.07,42.62,289234.0
2013-10-21,42.29,42.57,41.99,42.06,232783.0
2013-10-18,42.55,42.71,41.82,42.11,387045.0
2013-10-17,41.5,42.22,41.5,42.17,528051.0
2013-10-16,41.36,42.18,41.35,41.49,612454.0
2013-10-15,40.62,40.99,40.48,40.67,295520.0
2013-10-14,40.5,40.73,40.22,40.65,201067.0
2013-10-11,40.19,40.78,40.19,40.71,245315.0
2013-10-10,39.68,40.67,39.68,40.37,293692.0
2013-10-09,39.05,39.38,38.5,39.07,324904.0
2013-10-08,39.46,39.74,38.6,39.05,301264.0
2013-10-07,40.02,40.4,39.41,39.44,211733.0
2013-10-04,39.95,40.66,39.82,40.31,143485.0
2013-10-03,40.71,40.72,39.81,40.05,249556.0
2013-10-02,41.04,41.33,40.62,40.71,376291.0
2013-10-01,40.32,41.3,40.32,41.23,340445.0
2013-09-30,39.98,40.36,39.27,40.24,464492.0
2013-09-27,39.53,40.8,39.21,40.45,485277.0
2013-09-26,39.22,40.13,39.22,39.91,640748.0
2013-09-25,38.52,39.45,38.45,39.05,319963.0
2013-09-24,38.95,39.01,38.38,38.5,456643.0
2013-09-23,38.89,39.25,38.46,39.03,315415.0
2013-09-20,39.59,39.84,38.9,39.04,618757.0
2013-09-19,39.84,39.99,39.38,39.6,277530.0
2013-09-18,38.13,39.9,37.89,39.66,519797.0
2013-09-17,36.88,38.11,36.88,38.01,345284.0
2013-09-16,36.94,37.48,36.74,36.88,242609.0
2013-09-13,36.67,36.94,36.31,36.48,208267.0
2013-09-12,36.53,36.98,36.13,36.55,271047.0
2013-09-11,36.5,37.19,36.41,36.45,322785.0
2013-09-10,36.43,36.92,36.3,36.55,461122.0
2013-09-09,35.55,36.49,35.52,36.1,248492.0
2013-09-06,36.1,36.31,35.03,35.51,329210.0
2013-09-05,36.0,36.29,35.7,36.14,241295.0
2013-09-04,35.03,36.08,35.02,35.98,313169.0
2013-09-03,34.97,35.19,34.45,35.01,185950.0
2013-08-30,34.57,34.82,34.08,34.51,279140.0
2013-08-29,34.3,34.88,34.3,34.69,170913.0
2013-08-28,34.38,34.66,34.17,34.31,154467.0
2013-08-27,34.28,34.6,34.13,34.51,322171.0
2013-08-26,34.15,34.88,34.12,34.65,255452.0
2013-08-23,33.64,34.18,33.61,34.08,243915.0
2013-08-22,33.29,33.98,32.8,33.66,104425.0
2013-08-21,33.28,33.59,33.03,33.29,176226.0
2013-08-20,32.68,33.49,32.39,33.32,335556.0
2013-08-19,33.77,34.0,32.75,32.75,403545.0
2013-08-16,33.63,34.18,33.61,33.87,252678.0
2013-08-15,34.44,34.7,33.51,33.79,254496.0
2013-08-14,34.81,35.3,34.57,34.94,333055.0
2013-08-13,34.87,35.09,34.19,34.92,252455.0
2013-08-12,34.26,35.18,34.26,34.8,580228.0
2013-08-09,34.91,35.04,34.36,34.5,376830.0
2013-08-08,35.81,35.96,34.99,35.05,288494.0
2013-08-07,35.77,36.0,35.32,35.5,364824.0
2013-08-06,36.07,36.25,35.46,35.78,528567.0
2013-08-05,35.3,36.09,35.25,36.03,478682.0
2013-08-02,34.11,35.36,32.91,35.2,407983.0
2013-08-01,33.87,34.82,33.76,34.32,596423.0
2013-07-31,36.72,37.17,32.75,33.82,1996770.0
2013-07-30,35.7,35.9,35.01,35.25,546525.0
2013-07-29,35.94,36.05,35.42,35.49,237299.0
2013-07-26,35.67,35.99,35.25,35.74,282612.0
2013-07-25,35.39,36.01,35.0,35.99,233589.0
2013-07-24,36.03,36.37,35.28,35.37,792813.0
2013-07-23,35.0,35.86,34.74,35.76,1117356.0
2013-07-22,34.78,35.1,34.53,34.88,297385.0
2013-07-19,35.33,35.33,34.61,34.76,212192.0
2013-07-18,34.68,35.63,34.21,35.3,369725.0
2013-07-17,35.51,35.64,34.21,34.51,485103.0
2013-07-16,36.04,36.21,35.15,35.26,501307.0
2013-07-15,35.42,36.45,35.42,36.09,468191.0
2013-07-12,35.7,36.19,35.57,35.94,428444.0
2013-07-11,35.72,36.38,34.71,35.7,802909.0
2013-07-10,34.88,35.53,34.74,35.1,609625.0
2013-07-09,34.61,35.16,34.5,34.84,551978.0
2013-07-08,34.17,34.61,34.05,34.51,360270.0
2013-07-05,34.7,35.17,33.49,33.85,336829.0
2013-07-03,33.49,34.48,33.17,34.04,305839.0
2013-07-02,33.46,33.83,33.13,33.5,418209.0
2013-07-01,32.35,33.89,32.33,33.46,472467.0
2013-06-28,31.91,32.57,31.79,32.23,793459.0
2013-06-27,31.55,32.49,31.53,31.92,254854.0
2013-06-26,31.64,32.13,31.09,31.46,312987.0
2013-06-25,31.02,32.19,31.02,31.54,658925.0
2013-06-24,30.84,31.41,30.69,30.88,446967.0
2013-06-21,31.8,32.25,31.05,31.32,429304.0
2013-06-20,31.06,32.62,30.63,31.63,293907.0
2013-06-19,31.09,31.88,31.09,31.47,171552.0
2013-06-18,31.76,31.98,30.76,31.18,418054.0
2013-06-17,32.0,32.0,30.91,31.68,415444.0
2013-06-14,31.89,32.3,31.65,31.71,175889.0
2013-06-13,31.93,32.07,31.6,32.0,271304.0
2013-06-12,32.75,32.87,32.07,32.11,204446.0
2013-06-11,32.4,33.1,31.94,32.49,238656.0
2013-06-10,32.47,32.93,32.43,32.62,325110.0
2013-06-07,32.09,32.7,31.75,32.59,279604.0
2013-06-06,31.6,32.02,31.36,31.85,285418.0
2013-06-05,31.46,32.1,31.11,31.5,212613.0
2013-06-04,31.91,32.23,31.17,31.59,380265.0
2013-06-03,32.18,32.57,31.3,31.97,337809.0
2013-05-31,32.49,33.01,32.11,32.12,203905.0
2013-05-30,32.34,32.72,32.24,32.71,186330.0
2013-05-29,32.61,32.79,31.76,32.28,249451.0
