Date,Open,High,Low,Close,Volume
2014-04-07,69.01,69.98,67.0,67.19,107382.0
2014-04-04,70.95,70.95,69.3,69.45,76537.0
2014-04-03,71.76,72.19,70.04,70.32,50406.0
2014-04-02,71.5,72.26,71.3,71.88,70337.0
2014-04-01,70.93,71.71,70.62,71.25,117989.0
2014-03-31,70.99,71.73,70.04,70.73,70527.0
2014-03-28,70.77,71.95,70.43,70.74,46931.0
2014-03-27,70.28,71.11,70.02,70.37,115144.0
2014-03-26,70.82,71.33,69.96,70.37,104206.0
2014-03-25,73.45,73.78,69.29,70.29,328471.0
2014-03-24,74.08,74.08,72.25,73.28,65189.0
2014-03-21,73.75,74.92,73.02,74.25,263652.0
2014-03-20,73.91,74.76,73.5,73.88,117507.0
2014-03-19,74.67,74.67,73.18,74.11,109392.0
2014-03-18,74.96,75.0,74.28,74.52,41695.0
2014-03-17,75.95,75.97,74.86,75.09,51872.0
2014-03-14,74.91,75.63,74.91,75.63,55465.0
2014-03-13,76.62,77.18,75.03,75.1,54625.0
2014-03-12,76.14,76.65,75.61,76.57,98697.0
2014-03-11,78.51,78.51,76.01,76.45,92756.0
2014-03-10,79.5,79.5,77.92,78.64,75549.0
2014-03-07,80.11,80.11,79.5,79.65,62548.0
2014-03-06,79.55,80.19,79.5,79.74,88664.0
2014-03-05,79.4,80.15,79.27,79.73,192348.0
2014-03-04,80.6,80.75,79.44,79.94,214360.0
2014-03-03,78.92,80.31,77.0,80.3,256325.0
2014-02-28,80.21,80.21,78.53,79.02,54695.0
2014-02-27,78.0,80.01,78.0,79.76,44391.0
2014-02-26,78.24,78.5,77.62,78.34,18703.0
2014-02-25,78.22,78.39,77.39,77.96,16043.0
2014-02-24,77.66,78.45,77.42,77.98,52180.0
2014-02-21,78.39,78.54,77.6,77.88,55827.0
2014-02-20,77.1,78.25,77.1,77.92,71171.0
2014-02-19,77.71,78.12,76.61,76.85,32538.0
2014-02-18,77.23,79.88,77.02,78.19,75501.0
2014-02-14,76.67,77.33,75.73,77.04,69281.0
2014-02-13,77.77,78.0,76.12,76.55,134815.0
2014-02-12,75.92,79.53,75.66,78.77,165328.0
2014-02-11,76.0,77.0,75.43,76.33,54109.0
2014-02-10,76.42,76.44,75.65,76.29,41549.0
2014-02-07,76.37,76.61,74.95,76.34,89209.0
2014-02-06,75.58,77.74,75.25,76.39,105182.0
2014-02-05,75.05,75.91,73.86,75.13,72359.0
2014-02-04,74.31,75.9,74.31,75.36,83696.0
2014-02-03,74.29,74.29,73.55,74.03,110173.0
2014-01-31,72.85,74.95,72.85,74.35,56686.0
2014-01-30,73.8,74.46,73.8,74.01,37109.0
2014-01-29,72.37,74.24,72.37,73.45,43929.0
2014-01-28,72.62,74.22,72.62,73.34,46200.0
2014-01-27,74.44,74.93,71.86,73.48,94880.0
2014-01-24,75.59,77.21,74.37,74.56,94654.0
2014-01-23,77.18,78.45,75.71,76.15,118167.0
2014-01-22,74.88,82.13,74.88,78.04,304576.0
2014-01-21,75.4,76.16,74.59,75.85,62941.0
2014-01-17,74.87,75.88,74.35,75.12,34448.0
2014-01-16,74.62,75.29,74.12,74.79,38531.0
2014-01-15,74.85,76.08,74.73,74.84,49985.0
2014-01-14,75.77,76.2,75.06,75.81,27126.0
2014-01-13,75.84,76.37,74.64,75.22,49084.0
2014-01-10,76.38,76.59,75.9,76.35,34639.0
2014-01-09,78.3,78.5,76.34,76.63,44118.0
2014-01-08,78.79,78.88,77.47,78.03,51144.0
2014-01-07,78.81,79.29,78.1,78.67,35703.0
2014-01-06,79.75,79.75,77.95,78.82,39444.0
2014-01-03,79.44,79.75,79.26,79.61,26822.0
