Date,Open,High,Low,Close,Volume
2014-04-07,54.0,54.11,52.49,52.92,635450.0
2014-04-04,55.82,56.33,53.84,53.99,1199046.0
2014-04-03,55.8,56.15,55.08,55.55,1058407.0
2014-04-02,55.51,56.51,55.17,55.62,1153494.0
2014-04-01,54.75,55.67,54.25,55.63,970406.0
2014-03-31,54.24,55.26,53.89,54.55,787342.0
2014-03-28,53.73,54.53,53.34,53.9,728228.0
2014-03-27,52.93,53.57,52.42,53.49,510577.0
2014-03-26,52.77,53.84,52.75,52.9,551394.0
2014-03-25,52.46,53.1,52.07,52.67,368202.0
2014-03-24,52.94,53.31,52.3,52.36,470674.0
2014-03-21,52.81,53.49,52.72,52.8,560635.0
2014-03-20,52.45,52.87,52.35,52.49,322295.0
2014-03-19,52.39,53.0,52.13,52.44,447682.0
2014-03-18,51.87,52.91,51.87,52.45,609866.0
2014-03-17,51.58,52.02,51.4,51.83,347480.0
2014-03-14,51.11,51.5,50.9,51.26,582739.0
2014-03-13,52.79,53.11,50.97,51.26,717831.0
2014-03-12,51.49,52.79,51.41,52.75,555898.0
2014-03-11,52.61,52.91,51.67,51.95,626144.0
2014-03-10,53.3,53.44,52.61,52.67,594111.0
2014-03-07,54.26,54.66,53.52,53.73,349634.0
2014-03-06,54.83,55.2,54.0,54.11,425629.0
2014-03-05,55.04,55.51,54.41,54.63,385336.0
2014-03-04,55.0,55.92,54.78,55.16,550156.0
2014-03-03,53.97,54.7,53.5,54.54,466023.0
2014-02-28,54.14,55.45,53.88,54.25,650329.0
2014-02-27,53.65,54.37,53.65,54.02,354102.0
2014-02-26,52.82,54.35,52.74,53.68,394701.0
2014-02-25,52.79,52.86,52.4,52.71,361039.0
2014-02-24,52.82,53.45,52.67,52.9,365066.0
2014-02-21,53.41,53.49,52.67,52.92,315808.0
2014-02-20,53.23,53.78,52.89,53.24,541698.0
2014-02-19,53.46,53.77,52.99,53.02,327141.0
2014-02-18,53.76,53.94,53.2,53.42,1057082.0
2014-02-14,52.35,54.6,51.67,53.6,803844.0
2014-02-13,52.67,54.0,52.67,53.5,597181.0
2014-02-12,52.76,53.38,52.39,52.82,327275.0
2014-02-11,52.34,52.95,51.67,52.79,228479.0
2014-02-10,51.53,52.52,51.19,52.39,347995.0
2014-02-07,51.49,51.62,50.93,51.62,277890.0
2014-02-06,51.09,51.48,50.75,51.27,471800.0
2014-02-05,51.09,51.43,50.18,51.05,193822.0
2014-02-04,52.33,54.18,51.0,51.15,623812.0
2014-02-03,54.79,55.67,52.1,52.2,974296.0
2014-01-31,52.05,53.43,51.68,53.01,437758.0
2014-01-30,52.25,52.84,51.86,52.63,398786.0
2014-01-29,52.83,53.21,51.77,51.87,710176.0
2014-01-28,53.5,53.81,52.83,53.03,476686.0
2014-01-27,53.92,53.95,52.53,53.35,644040.0
2014-01-24,54.64,54.64,53.54,53.85,334282.0
2014-01-23,54.66,55.32,54.15,54.95,292829.0
2014-01-22,55.29,55.58,54.67,54.77,306078.0
2014-01-21,56.28,56.77,54.92,55.26,423429.0
2014-01-17,55.94,56.26,55.83,55.88,243380.0
2014-01-16,56.27,56.41,55.76,56.1,254599.0
2014-01-15,55.93,56.55,55.83,56.34,304879.0
2014-01-14,55.56,56.15,55.21,55.93,379308.0
2014-01-13,56.11,56.44,55.22,55.42,305404.0
2014-01-10,55.74,56.19,55.17,56.09,372119.0
2014-01-09,55.43,55.74,55.06,55.44,272282.0
2014-01-08,55.14,56.21,54.63,55.36,843579.0
2014-01-07,53.51,55.07,53.25,55.01,431437.0
2014-01-06,53.51,53.88,52.69,53.17,527784.0
2014-01-03,52.83,53.83,52.55,53.36,422473.0
2014-01-02,52.82,53.52,52.3,52.78,588365.0
2013-12-31,52.71,53.27,52.49,52.84,324047.0
2013-12-30,51.96,52.93,51.59,52.54,255341.0
