Date,Open,High,Low,Close,Volume
2014-04-07,59.47,60.02,58.66,58.74,218103.0
2014-04-04,60.59,60.83,59.31,59.53,256944.0
2014-04-03,60.21,60.89,59.82,60.23,344460.0
2014-04-02,59.91,60.58,59.58,60.05,297782.0
2014-04-01,59.32,59.84,59.26,59.8,280754.0
2014-03-31,58.46,59.31,58.46,59.22,203602.0
2014-03-28,57.74,58.32,57.39,58.18,528066.0
2014-03-27,58.08,58.25,57.56,57.61,522301.0
2014-03-26,59.14,59.41,58.08,58.11,382191.0
2014-03-25,59.46,59.94,58.81,58.92,392035.0
2014-03-24,59.49,59.66,58.99,59.2,529327.0
2014-03-21,59.6,59.97,59.27,59.3,582569.0
2014-03-20,59.63,59.88,59.15,59.16,327088.0
2014-03-19,60.16,60.22,59.43,59.65,241458.0
2014-03-18,60.37,60.5,59.96,60.01,343548.0
2014-03-17,60.75,61.06,60.28,60.36,459193.0
2014-03-14,60.24,60.88,60.2,60.56,349837.0
2014-03-13,61.05,61.05,59.97,60.23,420710.0
2014-03-12,60.79,60.95,60.4,60.81,355791.0
2014-03-11,61.7,61.7,60.81,61.15,379631.0
2014-03-10,61.55,61.92,61.25,61.52,376845.0
2014-03-07,60.04,61.92,60.02,61.68,1012775.0
2014-03-06,58.21,60.11,57.9,59.75,1717659.0
2014-03-05,58.13,58.98,57.69,57.95,379013.0
2014-03-04,58.24,58.65,57.89,57.97,586794.0
2014-03-03,57.41,57.72,57.28,57.5,667914.0
2014-02-28,57.68,58.09,57.41,57.71,521931.0
2014-02-27,58.0,58.34,57.44,57.74,494555.0
2014-02-26,58.39,58.97,57.84,58.0,545365.0
2014-02-25,58.86,58.86,58.11,58.34,261595.0
2014-02-24,59.32,59.68,58.82,58.83,375121.0
2014-02-21,58.94,59.4,58.84,59.15,295635.0
2014-02-20,58.5,59.11,57.83,58.98,264074.0
2014-02-19,58.88,59.26,58.52,58.54,299536.0
2014-02-18,58.81,59.34,58.34,59.09,434585.0
2014-02-14,58.8,59.56,58.24,58.82,419956.0
2014-02-13,57.98,58.86,57.35,58.81,395951.0
2014-02-12,57.44,58.28,57.05,58.2,460510.0
2014-02-11,57.07,57.85,56.84,57.48,223180.0
2014-02-10,56.92,57.12,56.35,56.85,337257.0
2014-02-07,57.02,57.12,56.66,56.91,316686.0
2014-02-06,56.34,56.97,56.01,56.65,316669.0
2014-02-05,56.83,57.5,56.04,56.07,1053558.0
2014-02-04,56.43,57.33,56.1,57.3,597275.0
2014-02-03,57.59,58.48,56.28,56.35,895345.0
2014-01-31,56.0,59.51,56.0,57.44,713886.0
2014-01-30,56.69,57.78,56.34,57.57,355936.0
2014-01-29,56.32,57.04,56.01,56.3,432312.0
2014-01-28,56.31,57.19,56.31,56.74,208469.0
2014-01-27,57.29,57.65,56.06,56.35,375009.0
2014-01-24,58.51,58.51,57.15,57.2,287274.0
2014-01-23,59.02,59.31,58.7,58.8,265959.0
2014-01-22,58.78,59.39,58.39,59.22,236772.0
2014-01-21,58.61,58.8,58.13,58.64,302079.0
2014-01-17,57.73,58.26,57.57,58.15,190490.0
2014-01-16,58.03,58.2,57.52,58.05,170988.0
2014-01-15,58.03,58.35,57.76,58.34,166133.0
2014-01-14,57.56,58.01,57.2,57.86,134210.0
2014-01-13,57.79,58.21,57.1,57.27,228133.0
2014-01-10,58.02,58.37,57.68,58.01,347882.0
2014-01-09,57.71,58.03,57.03,58.03,459620.0
2014-01-08,57.45,57.62,56.87,57.45,232895.0
2014-01-07,57.05,57.9,56.67,57.51,237201.0
2014-01-06,57.66,57.91,56.73,56.79,280814.0
2014-01-03,56.87,57.58,56.49,57.36,285978.0
2014-01-02,57.42,57.42,56.43,56.9,323102.0
