Date,Open,High,Low,Close,Volume
2014-04-07,54.06,54.15,51.64,52.62,3486965.0
2014-04-04,54.85,55.18,53.75,54.18,3825555.0
2014-04-03,54.73,55.45,53.7,54.14,3462795.0
2014-04-02,52.97,54.63,52.53,54.41,3769481.0
2014-04-01,52.67,53.0,52.15,52.98,2597902.0
2014-03-31,53.03,53.2,51.99,52.59,3948951.0
2014-03-28,51.27,52.57,50.25,51.89,6767247.0
2014-03-27,50.03,52.98,49.82,51.2,11869901.0
2014-03-26,48.49,49.33,48.2,48.23,4776989.0
2014-03-25,49.46,49.97,47.8,47.99,3890392.0
2014-03-24,47.7,49.6,47.65,49.32,4243581.0
2014-03-21,48.73,48.95,47.49,47.63,4076704.0
2014-03-20,50.02,50.12,48.55,48.74,2864722.0
2014-03-19,49.59,50.94,49.08,50.23,3943875.0
2014-03-18,48.04,49.54,47.88,49.01,2957537.0
2014-03-17,47.11,48.28,47.01,48.04,2194511.0
2014-03-14,46.46,47.6,46.4,46.78,2016710.0
2014-03-13,47.45,47.5,46.43,46.78,2018924.0
2014-03-12,48.45,48.48,46.71,47.13,4867353.0
2014-03-11,49.0,49.47,48.61,48.7,2164361.0
2014-03-10,49.37,49.74,48.7,49.11,2249753.0
2014-03-07,49.57,50.2,49.22,49.61,2431762.0
2014-03-06,50.0,50.17,48.85,49.12,3113088.0
2014-03-05,50.15,50.47,49.7,49.88,1855685.0
2014-03-04,50.01,50.35,49.6,50.01,2305338.0
2014-03-03,49.5,50.69,49.14,49.56,3299999.0
2014-02-28,51.52,51.88,49.68,50.31,5690675.0
2014-02-27,52.45,53.39,52.07,52.91,2210972.0
2014-02-26,51.79,52.75,51.68,52.33,2737575.0
2014-02-25,51.82,51.98,50.45,51.52,2836094.0
2014-02-24,51.29,52.15,51.22,51.62,2054529.0
2014-02-21,51.21,51.82,51.12,51.39,1582645.0
2014-02-20,51.42,51.73,50.67,51.14,2255441.0
2014-02-19,51.26,52.29,50.33,51.21,3919545.0
2014-02-18,52.3,52.69,51.27,51.42,4268107.0
2014-02-14,50.32,51.41,49.94,51.05,3515706.0
2014-02-13,49.34,50.79,49.03,50.09,3899080.0
2014-02-12,48.76,49.76,48.22,49.4,4298306.0
2014-02-11,47.65,48.5,47.57,48.27,2820262.0
2014-02-10,47.84,48.0,46.81,47.53,2846930.0
2014-02-07,46.79,48.09,46.52,47.38,6577191.0
2014-02-06,44.45,45.58,44.36,45.45,3424740.0
2014-02-05,44.8,45.31,44.32,44.53,2364717.0
2014-02-04,44.92,46.1,44.68,44.98,3046915.0
2014-02-03,46.0,46.09,44.46,44.78,3051972.0
2014-01-31,45.84,46.37,45.54,45.69,2720567.0
2014-01-30,46.22,47.24,45.41,46.82,3652070.0
2014-01-29,46.18,46.48,45.4,45.68,2471785.0
2014-01-28,46.1,47.18,46.1,46.71,2034438.0
2014-01-27,47.47,47.6,45.54,46.27,4565574.0
2014-01-24,46.8,48.17,46.75,47.62,7201392.0
2014-01-23,47.2,47.4,46.35,47.15,5385275.0
2014-01-22,47.78,47.85,47.3,47.46,4650806.0
2014-01-21,47.04,48.25,46.5,47.85,5209254.0
2014-01-17,48.55,48.92,47.14,47.49,5918414.0
2014-01-16,49.91,49.91,48.5,48.79,4600967.0
2014-01-15,50.03,50.28,49.28,49.65,4702963.0
2014-01-14,49.89,49.94,48.89,49.26,6316321.0
2014-01-13,51.56,51.75,49.0,49.7,24045350.0
2014-01-10,58.3,59.84,57.29,59.6,5218097.0
