Date,Open,High,Low,Close,Volume
2014-04-07,27.99,28.62,27.78,28.55,4117148.0
2014-04-04,28.74,28.74,27.96,28.01,361045.0
2014-04-03,29.87,29.89,28.41,28.54,880349.0
2014-04-02,30.11,30.56,30.06,30.45,286311.0
2014-04-01,29.44,30.19,29.29,30.15,309172.0
2014-03-31,29.28,29.46,29.1,29.41,213846.0
2014-03-28,29.37,29.57,28.88,29.09,200769.0
2014-03-27,29.9,29.96,29.24,29.27,194965.0
2014-03-26,30.2,30.2,29.68,29.84,176215.0
2014-03-25,29.81,30.0,29.61,29.99,117080.0
2014-03-24,30.0,30.53,29.47,29.74,113320.0
2014-03-21,30.1,30.5,29.96,30.03,247784.0
2014-03-20,29.85,30.33,29.85,30.1,104829.0
2014-03-19,30.19,30.19,29.77,29.83,116650.0
2014-03-18,29.31,30.24,29.31,30.16,133770.0
2014-03-17,29.25,29.56,29.01,29.18,131278.0
2014-03-14,29.07,29.4,28.87,29.15,86492.0
2014-03-13,29.63,29.63,29.03,29.23,204776.0
2014-03-12,29.64,29.66,29.35,29.58,107269.0
2014-03-11,29.9,29.91,29.39,29.51,67218.0
2014-03-10,29.81,29.91,29.57,29.81,136351.0
2014-03-07,29.85,29.98,29.44,29.88,209103.0
2014-03-06,29.68,29.79,29.49,29.63,121934.0
2014-03-05,29.84,30.04,29.58,29.69,178275.0
2014-03-04,29.62,30.3,29.24,30.05,421491.0
2014-03-03,29.07,29.65,28.96,29.42,227899.0
2014-02-28,29.24,29.48,29.0,29.27,314994.0
2014-02-27,28.69,29.32,28.56,29.2,236557.0
2014-02-26,28.75,29.2,28.47,28.77,302079.0
2014-02-25,28.98,29.54,28.29,28.82,690192.0
2014-02-24,27.86,28.34,27.67,28.11,360487.0
2014-02-21,27.98,28.03,27.45,27.81,451193.0
2014-02-20,28.74,28.98,27.93,27.98,444015.0
2014-02-19,29.39,29.73,28.53,28.63,197489.0
2014-02-18,28.65,29.46,28.61,29.35,218205.0
2014-02-14,28.48,28.83,28.22,28.53,152672.0
2014-02-13,27.88,28.69,27.71,28.61,102420.0
2014-02-12,28.29,28.57,28.03,28.11,141206.0
2014-02-11,28.17,28.67,27.95,28.35,118416.0
2014-02-10,28.32,28.32,27.9,28.09,163058.0
2014-02-07,28.2,28.52,28.03,28.43,138359.0
2014-02-06,27.64,28.17,27.64,28.07,95790.0
2014-02-05,27.96,27.96,27.43,27.64,131594.0
2014-02-04,27.7,28.17,27.47,28.14,245122.0
2014-02-03,29.1,29.1,27.51,27.62,377553.0
2014-01-31,28.86,29.45,28.7,29.1,244808.0
2014-01-30,29.63,29.63,29.27,29.31,141485.0
2014-01-29,29.83,30.34,29.33,29.46,94619.0
2014-01-28,30.02,30.11,29.66,30.04,155211.0
2014-01-27,30.31,30.55,29.8,29.93,321978.0
2014-01-24,30.8,30.84,30.33,30.38,344883.0
2014-01-23,30.83,31.1,30.63,31.01,175482.0
2014-01-22,30.51,31.02,30.46,31.0,147697.0
2014-01-21,30.5,30.52,30.21,30.51,115938.0
2014-01-17,30.16,30.34,30.13,30.28,77057.0
2014-01-16,30.05,30.3,29.78,30.29,115249.0
2014-01-15,29.99,30.36,29.98,30.02,151830.0
2014-01-14,29.65,30.47,29.65,29.99,134371.0
2014-01-13,29.62,29.81,29.41,29.62,111364.0
2014-01-10,29.75,29.81,29.44,29.8,85975.0
2014-01-09,29.98,30.15,29.66,29.71,130008.0
2014-01-08,29.71,30.11,29.56,29.8,249739.0
2014-01-07,29.86,30.36,29.6,29.79,166873.0
2014-01-06,30.21,30.21,29.62,29.78,143536.0
2014-01-03,29.51,30.2,29.51,29.93,162660.0
2014-01-02,29.93,29.93,29.08,29.49,239325.0
2013-12-31,29.83,30.45,29.59,29.93,445867.0
2013-12-30,29.98,29.98,29.68,29.76,83600.0
2013-12-27,29.99,30.0,29.77,29.93,65565.0
2013-12-26,29.41,29.91,29.41,29.81,108301.0
2013-12-24,29.22,29.46,29.15,29.26,131301.0
2013-12-23,29.18,29.27,29.0,29.19,290042.0
2013-12-20,28.61,29.2,28.56,29.05,398547.0
2013-12-19,28.71,28.81,28.64,28.7,133906.0
