Date,Open,High,Low,Close,Volume
2014-04-07,27.59,27.59,26.37,26.69,443411.0
2014-04-04,28.19,28.64,27.7,27.73,577325.0
2014-04-03,27.83,27.98,27.62,27.9,362210.0
2014-04-02,27.86,27.91,27.46,27.74,315336.0
2014-04-01,27.42,27.91,27.29,27.87,315719.0
2014-03-31,26.82,27.44,26.59,27.31,455179.0
2014-03-28,26.81,27.18,26.52,26.62,262991.0
2014-03-27,27.16,27.24,26.71,26.81,329094.0
2014-03-26,27.67,27.86,27.17,27.17,330155.0
2014-03-25,27.7,27.95,27.08,27.47,316054.0
2014-03-24,27.54,27.84,27.07,27.6,459126.0
2014-03-21,27.77,27.98,27.35,27.48,510911.0
2014-03-20,27.87,28.0,27.53,27.63,295404.0
2014-03-19,28.51,28.52,27.96,28.02,487900.0
2014-03-18,28.53,28.7,28.35,28.59,256313.0
2014-03-17,28.38,28.76,28.23,28.42,247885.0
2014-03-14,28.23,28.57,28.2,28.29,327672.0
2014-03-13,28.4,28.54,28.01,28.32,603193.0
2014-03-12,27.79,28.4,27.66,28.37,428902.0
2014-03-11,27.75,28.24,27.6,27.86,618293.0
2014-03-10,27.56,28.38,27.52,27.77,662542.0
2014-03-07,26.89,27.61,26.7,27.57,751985.0
2014-03-06,26.31,26.74,26.3,26.67,441201.0
2014-03-05,26.1,26.38,25.94,26.2,449073.0
2014-03-04,25.72,26.22,25.6,26.06,468355.0
2014-03-03,25.19,25.54,25.08,25.37,515660.0
2014-02-28,26.15,26.42,25.52,25.55,616664.0
2014-02-27,26.57,26.68,25.71,26.12,1276931.0
2014-02-26,26.23,26.8,26.04,26.75,790912.0
2014-02-25,26.63,26.66,26.15,26.29,476374.0
2014-02-24,26.46,26.93,26.46,26.69,482048.0
2014-02-21,27.39,27.39,26.36,26.36,532961.0
2014-02-20,26.98,27.33,26.44,27.25,694024.0
2014-02-19,27.88,28.18,26.77,26.86,777760.0
2014-02-18,27.77,28.49,27.7,28.03,618954.0
2014-02-14,29.0,29.12,27.36,27.78,1739226.0
2014-02-13,28.7,29.38,28.7,29.13,524252.0
2014-02-12,29.01,29.26,28.8,28.99,539909.0
2014-02-11,28.52,29.11,28.52,29.0,331042.0
2014-02-10,27.92,28.47,27.76,28.4,266391.0
2014-02-07,27.88,28.2,27.59,28.0,396608.0
2014-02-06,27.7,27.91,27.4,27.72,551312.0
2014-02-05,27.85,27.85,27.25,27.62,472417.0
2014-02-04,27.95,28.24,27.5,27.94,555473.0
2014-02-03,29.31,29.54,27.74,27.79,738238.0
2014-01-31,29.22,29.48,28.18,29.25,639556.0
2014-01-30,29.72,30.09,29.52,29.76,295954.0
2014-01-29,29.81,30.38,29.32,29.46,446918.0
2014-01-28,30.43,30.64,29.99,30.07,467899.0
2014-01-27,30.99,31.05,30.05,30.44,383546.0
2014-01-24,31.5,32.2,30.68,31.08,322149.0
2014-01-23,31.65,32.16,31.65,31.8,492263.0
2014-01-22,31.66,31.97,31.61,31.88,318163.0
2014-01-21,31.39,31.68,31.18,31.56,211929.0
2014-01-17,31.46,31.53,31.09,31.15,239530.0
2014-01-16,30.92,31.6,30.85,31.42,321797.0
2014-01-15,31.0,31.11,30.61,31.07,367750.0
2014-01-14,30.75,30.92,30.47,30.83,217705.0
2014-01-13,30.78,31.02,30.36,30.52,323283.0
