Date,Open,High,Low,Close,Volume
2014-04-07,47.17,47.5,46.63,46.91,1554618.0
2014-04-04,49.01,49.01,46.99,47.18,1691468.0
2014-04-03,48.5,49.03,48.29,48.57,1678650.0
2014-04-02,47.85,48.29,47.6,48.27,1732278.0
2014-04-01,47.98,48.04,47.61,47.85,1453419.0
2014-03-31,47.27,47.89,47.27,47.76,1520786.0
2014-03-28,46.6,47.26,46.48,46.92,785530.0
2014-03-27,47.08,47.22,46.26,46.45,1716008.0
2014-03-26,47.84,48.1,47.07,47.15,1344806.0
2014-03-25,47.68,48.0,47.44,47.66,1222601.0
2014-03-24,47.65,47.69,47.05,47.54,1232587.0
2014-03-21,48.47,48.47,47.42,47.45,2083458.0
2014-03-20,47.17,48.11,47.02,48.08,1211491.0
2014-03-19,47.25,47.68,47.01,47.27,1173279.0
2014-03-18,46.79,47.4,46.6,47.39,1045159.0
2014-03-17,46.17,46.84,46.17,46.69,1075204.0
2014-03-14,46.17,46.34,45.93,46.07,1879680.0
2014-03-13,46.66,46.84,46.02,46.16,3160260.0
2014-03-12,46.05,46.61,45.8,46.42,1066964.0
2014-03-11,46.6,46.72,46.04,46.2,661756.0
2014-03-10,46.56,46.72,46.2,46.51,844239.0
2014-03-07,46.84,46.87,46.46,46.58,1500791.0
2014-03-06,46.53,46.97,46.42,46.65,1228269.0
2014-03-05,46.15,46.62,46.08,46.55,2174294.0
2014-03-04,44.95,46.35,44.79,46.31,3104569.0
2014-03-03,45.16,45.3,44.52,44.95,1142578.0
2014-02-28,45.69,45.85,45.21,45.55,1062084.0
2014-02-27,45.46,45.72,44.01,45.61,1878833.0
2014-02-26,45.38,46.04,45.12,45.53,2306961.0
2014-02-25,45.41,45.53,44.82,45.34,3280377.0
2014-02-24,45.41,45.67,45.25,45.27,2224518.0
2014-02-21,45.25,45.48,45.03,45.26,1404409.0
2014-02-20,44.93,45.25,44.6,45.2,2356518.0
2014-02-19,44.74,45.36,44.65,44.9,1728699.0
