Date,Open,High,Low,Close,Volume
2014-04-07,51.65,52.02,51.15,51.65,699874.0
2014-04-04,52.77,53.04,51.16,51.72,859674.0
2014-04-03,52.75,53.03,52.12,52.34,713555.0
2014-04-02,53.08,53.29,52.53,52.81,398257.0
2014-04-01,53.11,53.55,52.97,53.04,588974.0
2014-03-31,52.59,53.17,52.28,52.93,1476186.0
2014-03-28,52.59,53.15,52.02,52.23,850152.0
2014-03-27,52.04,52.59,51.75,52.5,887091.0
2014-03-26,52.77,53.12,51.7,51.97,580273.0
2014-03-25,52.63,53.38,52.35,52.41,740846.0
2014-03-24,52.04,52.57,50.81,52.34,1200921.0
2014-03-21,53.06,53.3,51.75,51.98,1034077.0
2014-03-20,53.19,53.44,52.77,53.1,528187.0
2014-03-19,54.11,54.14,53.18,53.4,677314.0
2014-03-18,54.07,54.4,53.73,54.16,575084.0
2014-03-17,54.49,54.88,53.8,53.96,487792.0
2014-03-14,53.92,54.58,53.73,54.31,688975.0
2014-03-13,54.77,54.77,53.82,53.96,511035.0
2014-03-12,54.6,54.66,53.87,54.49,671024.0
2014-03-11,55.35,55.35,54.55,54.65,461725.0
2014-03-10,55.66,55.98,54.79,55.13,677347.0
2014-03-07,56.06,56.39,55.56,55.78,537333.0
2014-03-06,56.28,56.88,55.93,55.99,449743.0
2014-03-05,56.36,56.36,56.0,56.29,498741.0
2014-03-04,55.83,56.4,55.74,56.21,1040653.0
2014-03-03,55.11,55.66,54.98,55.32,624390.0
2014-02-28,55.42,56.0,55.22,55.51,481426.0
2014-02-27,54.23,55.58,54.23,55.55,760606.0
2014-02-26,54.74,54.75,54.03,54.27,1306772.0
2014-02-25,54.81,55.07,54.48,54.59,635352.0
2014-02-24,55.34,55.5,54.75,54.78,732776.0
2014-02-21,55.47,55.56,55.15,55.17,595302.0
2014-02-20,55.97,55.97,55.09,55.32,710747.0
2014-02-19,55.95,56.06,55.66,55.75,579826.0
2014-02-18,56.34,56.89,55.85,55.94,979798.0
2014-02-14,55.83,56.07,55.55,55.93,366347.0
2014-02-13,55.53,56.28,55.53,56.01,601409.0
2014-02-12,55.94,56.1,55.61,55.81,444489.0
2014-02-11,54.88,56.05,54.88,55.97,736870.0
2014-02-10,54.33,55.16,54.33,54.92,764952.0
2014-02-07,54.13,54.64,54.1,54.57,630558.0
2014-02-06,53.63,54.22,53.15,53.85,333160.0
2014-02-05,53.8,54.17,53.2,53.59,710630.0
2014-02-04,54.07,54.39,53.71,54.14,552443.0
2014-02-03,55.18,55.66,53.99,54.08,1338529.0
2014-01-31,57.53,57.53,53.71,55.53,1957813.0
2014-01-30,55.25,55.25,54.31,54.97,755548.0
2014-01-29,54.5,54.99,54.22,54.57,640410.0
2014-01-28,54.74,55.18,54.31,55.05,881341.0
2014-01-27,55.47,55.88,54.62,54.67,762776.0
2014-01-24,57.92,57.94,55.48,55.48,1307136.0
2014-01-23,58.4,58.4,57.9,58.32,619350.0
2014-01-22,58.65,58.66,58.32,58.43,846016.0
2014-01-21,58.72,58.72,57.84,58.41,968983.0
2014-01-17,58.63,58.72,57.85,58.0,740015.0
2014-01-16,59.2,59.37,58.5,58.69,563403.0
2014-01-15,58.82,59.32,58.68,59.32,746062.0
2014-01-14,58.85,59.46,58.67,58.8,586364.0
2014-01-13,58.3,58.97,58.15,58.52,569016.0
2014-01-10,58.62,58.75,58.21,58.3,871045.0
2014-01-09,58.56,58.98,58.15,58.32,756286.0
2014-01-08,58.4,58.91,58.26,58.55,1475812.0
2014-01-07,57.61,58.6,57.32,58.51,527734.0
2014-01-06,56.86,57.5,56.57,57.45,566076.0
2014-01-03,56.65,56.77,56.25,56.64,307957.0
2014-01-02,57.44,57.44,56.29,56.64,520260.0
2013-12-31,57.23,57.43,56.93,57.37,350508.0
2013-12-30,56.79,57.29,56.59,57.08,539903.0
2013-12-27,56.61,57.31,56.15,56.83,334119.0
2013-12-26,57.21,57.38,56.59,56.66,322816.0
2013-12-24,56.76,57.0,56.48,56.98,104841.0
2013-12-23,56.35,56.93,56.18,56.77,305948.0
2013-12-20,55.59,56.48,55.57,56.07,728106.0
2013-12-19,56.0,57.19,55.61,55.64,941980.0
2013-12-18,54.64,56.02,53.92,55.95,848267.0
2013-12-17,54.06,54.45,53.69,54.33,523684.0
2013-12-16,53.37,54.32,53.26,53.9,386142.0
2013-12-13,53.32,53.63,52.95,53.14,374985.0
2013-12-12,52.48,53.25,52.42,53.09,498880.0
2013-12-11,54.1,54.39,53.2,53.42,418547.0
2013-12-10,54.17,54.21,53.7,53.91,343484.0
2013-12-09,54.24,54.47,53.51,54.02,448976.0
2013-12-06,53.96,54.52,53.86,54.09,641211.0
2013-12-05,53.77,53.85,53.24,53.47,383131.0
2013-12-04,53.83,54.64,53.44,53.89,377688.0
2013-12-03,53.68,54.41,53.51,54.18,697621.0
2013-12-02,53.72,54.56,53.63,53.72,412249.0
2013-11-29,53.58,54.04,53.46,53.72,199369.0
2013-11-27,53.43,53.78,53.36,53.6,326406.0
2013-11-26,53.33,53.71,53.28,53.43,452397.0
2013-11-25,53.91,53.91,53.34,53.46,346643.0
2013-11-22,54.18,54.37,53.78,53.95,578045.0
2013-11-21,53.9,54.29,53.89,54.08,284088.0
2013-11-20,53.75,54.06,53.5,53.79,418984.0
2013-11-19,53.71,54.12,53.5,53.58,594371.0
2013-11-18,54.11,54.29,53.53,53.78,348016.0
2013-11-15,54.06,54.26,53.72,54.11,263511.0
2013-11-14,54.13,54.26,53.72,53.9,391955.0
2013-11-13,53.78,54.21,53.6,54.17,342234.0
2013-11-12,53.74,54.34,53.45,54.06,399506.0
2013-11-11,53.2,53.93,52.92,53.83,316876.0
2013-11-08,53.05,53.67,53.05,53.3,370447.0
2013-11-07,53.89,54.01,52.86,53.03,404284.0
2013-11-06,53.96,53.98,53.5,53.79,478053.0
2013-11-05,53.99,53.99,53.5,53.64,421847.0
2013-11-04,54.29,54.48,53.77,54.13,388774.0
2013-11-01,54.28,54.77,53.78,54.16,496012.0
2013-10-31,53.92,54.78,53.76,54.25,578348.0
2013-10-30,54.29,54.34,53.85,53.9,290933.0
2013-10-29,54.43,54.6,53.94,54.33,433537.0
2013-10-28,53.93,54.65,53.85,54.42,569416.0
2013-10-25,52.45,55.53,52.45,54.04,2205562.0
2013-10-24,52.55,52.81,51.39,51.8,1328075.0
2013-10-23,52.27,52.54,52.02,52.45,418349.0
2013-10-22,52.53,52.77,52.23,52.56,334569.0
2013-10-21,51.92,52.55,51.92,52.45,393835.0
2013-10-18,51.04,51.73,50.79,51.71,385096.0
2013-10-17,51.07,51.07,50.37,50.91,737202.0
2013-10-16,51.2,51.61,51.04,51.36,664347.0
2013-10-15,51.03,51.31,50.74,50.97,801066.0
2013-10-14,50.5,51.35,50.27,51.21,833776.0
2013-10-11,49.07,50.73,48.72,50.72,1147755.0
2013-10-10,48.75,49.55,48.55,49.26,1166933.0
2013-10-09,48.32,48.63,48.1,48.34,850158.0
2013-10-08,48.8,49.02,48.16,48.28,640538.0
2013-10-07,48.98,49.46,48.7,48.85,601862.0
2013-10-04,49.02,49.48,49.01,49.22,368123.0
2013-10-03,50.06,50.08,48.89,49.01,814276.0
2013-10-02,50.08,50.24,49.35,50.05,384299.0
