Date,Open,High,Low,Close,Volume
2014-04-07,89.46,89.5,83.53,84.21,1827349.0
2014-04-04,93.78,94.43,87.83,89.15,892854.0
2014-04-03,95.35,95.79,92.82,92.96,579427.0
2014-04-02,95.77,97.68,94.21,95.48,495003.0
2014-04-01,95.43,99.0,95.25,95.97,809288.0
2014-03-31,94.81,96.6,93.77,95.11,466809.0
2014-03-28,95.43,97.88,95.09,96.28,528074.0
2014-03-27,96.04,98.0,93.02,94.71,697172.0
2014-03-26,94.32,97.13,93.9,96.12,961656.0
2014-03-25,95.68,96.0,91.37,93.01,865072.0
2014-03-24,96.5,96.5,91.25,93.38,852690.0
2014-03-21,96.25,96.32,94.78,95.55,508073.0
2014-03-20,96.4,96.82,94.45,95.14,417788.0
2014-03-19,99.26,100.69,95.66,96.4,236435.0
2014-03-18,98.35,99.44,96.91,98.82,408830.0
2014-03-17,97.73,98.78,97.52,98.5,541571.0
2014-03-14,97.06,97.83,94.53,97.0,667709.0
2014-03-13,100.83,101.39,95.81,96.42,458190.0
2014-03-12,100.21,100.4,98.04,99.65,626925.0
2014-03-11,100.34,101.15,99.76,100.51,722510.0
2014-03-10,100.65,101.35,99.76,100.07,622586.0
2014-03-07,104.01,104.87,99.23,101.18,727592.0
2014-03-06,105.98,107.29,102.87,103.22,575837.0
2014-03-05,105.99,106.88,102.72,105.84,638681.0
2014-03-04,103.31,106.25,102.9,105.73,775965.0
2014-03-03,102.39,103.91,100.15,102.19,961857.0
2014-02-28,108.57,112.88,100.24,104.18,3988749.0
2014-02-27,93.69,95.41,93.02,94.23,1670182.0
2014-02-26,90.0,96.9,89.13,93.98,1402568.0
2014-02-25,90.96,91.24,87.88,89.47,1568665.0
2014-02-24,91.0,92.69,90.5,91.07,738328.0
2014-02-21,93.26,93.26,90.57,91.0,492304.0
2014-02-20,92.59,94.01,91.61,92.95,858092.0
2014-02-19,93.96,94.54,91.86,92.67,776200.0
2014-02-18,95.15,96.72,93.29,93.55,758477.0
2014-02-14,95.25,97.59,94.23,95.31,562301.0
2014-02-13,92.14,96.5,92.01,95.97,506819.0
2014-02-12,95.71,96.71,92.5,93.09,449292.0
2014-02-11,94.87,96.17,94.6,95.33,511184.0
2014-02-10,95.42,96.0,94.39,94.93,391948.0
2014-02-07,94.75,96.59,94.05,95.27,920763.0
2014-02-06,93.85,95.48,93.34,93.99,585523.0
2014-02-05,91.45,94.43,91.11,93.33,1236059.0
2014-02-04,92.88,93.65,91.11,91.5,725892.0
2014-02-03,95.87,96.48,91.71,92.09,731064.0
2014-01-31,95.23,99.98,94.77,96.49,1005836.0
2014-01-30,95.32,97.64,94.66,96.9,1152392.0
2014-01-29,95.42,98.65,94.08,94.52,1361272.0
2014-01-28,95.16,99.3,94.82,97.87,1077372.0
2014-01-27,91.57,98.72,91.0,95.27,1908217.0
2014-01-24,97.5,98.0,94.57,95.05,1573119.0
2014-01-23,105.83,105.85,97.5,100.53,2005067.0
2014-01-22,105.06,108.0,103.32,106.35,637018.0
2014-01-21,105.99,107.48,103.38,105.06,507149.0
2014-01-17,107.5,108.83,104.23,104.98,774245.0
2014-01-16,98.43,109.22,97.06,107.47,1699108.0
2014-01-15,97.13,98.28,95.74,97.76,480255.0
2014-01-14,94.86,98.15,94.34,97.5,687501.0
2014-01-13,98.61,99.36,93.89,94.57,623239.0
2014-01-10,97.67,99.4,97.28,99.13,631538.0
2014-01-09,100.55,101.13,97.74,98.52,573085.0
2014-01-08,99.09,100.88,98.98,99.47,531645.0
2014-01-07,100.5,101.26,97.1,99.11,1040319.0
2014-01-06,105.18,105.18,101.03,101.49,632342.0
2014-01-03,104.04,104.93,102.96,103.93,317881.0
2014-01-02,106.72,107.37,103.07,103.41,769129.0
2013-12-31,107.02,108.48,106.42,107.79,350647.0
2013-12-30,105.91,107.81,105.23,106.88,514566.0
2013-12-27,107.81,108.08,105.94,106.01,370968.0
2013-12-26,106.49,108.44,106.49,107.52,458782.0
2013-12-24,105.52,107.67,105.08,107.01,333384.0
2013-12-23,103.5,107.31,102.87,106.45,828986.0
2013-12-20,102.09,103.57,101.66,102.06,550926.0
2013-12-19,102.22,102.9,101.39,102.06,624033.0
2013-12-18,103.36,104.51,99.5,102.92,867139.0
2013-12-17,99.61,105.27,99.07,104.31,900695.0
2013-12-16,101.31,102.98,100.13,102.76,662624.0
2013-12-13,105.28,105.86,101.16,101.51,724760.0
2013-12-12,106.85,107.0,104.35,104.79,690821.0
2013-12-11,108.05,109.26,106.0,106.26,654603.0
2013-12-10,105.61,108.7,105.51,108.07,368941.0
2013-12-09,105.79,108.6,105.38,106.21,465880.0
2013-12-06,106.54,106.89,104.5,106.08,404205.0
2013-12-05,106.39,106.39,104.33,105.28,829502.0
2013-12-04,103.99,106.86,103.96,106.05,721091.0
2013-12-03,106.71,106.88,103.75,104.47,899796.0
2013-12-02,110.71,112.02,107.01,107.15,545411.0
2013-11-29,112.51,112.57,110.14,110.71,249534.0
2013-11-27,111.84,112.94,111.2,111.63,201225.0
2013-11-26,109.99,112.63,109.07,111.94,399558.0
2013-11-25,112.49,114.54,109.01,109.91,623950.0
2013-11-22,113.27,114.81,112.02,112.38,492981.0
2013-11-21,109.3,113.58,109.11,113.19,858214.0
2013-11-20,108.63,110.48,106.6,108.32,722327.0
2013-11-19,110.6,111.22,107.65,108.61,686263.0
2013-11-18,108.97,114.1,108.97,111.03,1741941.0
2013-11-15,113.0,114.83,111.52,114.17,612720.0
2013-11-14,110.78,113.18,109.59,113.04,527125.0
2013-11-13,108.48,112.15,108.24,111.52,577527.0
2013-11-12,113.75,113.89,108.35,109.99,1236270.0
2013-11-11,113.91,115.4,112.91,114.04,699849.0
2013-11-08,117.24,118.62,113.71,114.33,1146286.0
2013-11-07,119.89,120.49,116.78,117.04,1455462.0
2013-11-06,119.21,124.56,116.82,120.48,3239941.0
2013-11-05,135.6,136.0,132.63,133.8,602037.0
2013-11-04,135.03,136.93,134.08,135.8,455056.0
2013-11-01,135.73,137.07,133.64,134.97,295338.0
2013-10-31,133.56,135.75,132.14,134.64,328646.0
2013-10-30,136.39,137.73,130.65,133.68,716271.0
2013-10-29,137.38,138.0,135.02,136.88,635694.0
2013-10-28,140.95,140.95,135.69,137.01,360956.0
2013-10-25,140.94,142.25,138.0,140.31,250138.0
2013-10-24,139.5,140.48,138.81,139.57,190788.0
2013-10-23,140.78,141.21,138.01,138.47,220485.0
2013-10-22,143.51,145.99,140.47,141.55,486999.0
2013-10-21,141.88,143.84,139.79,142.85,246977.0
2013-10-18,138.86,144.05,137.0,141.77,424705.0
2013-10-17,135.0,138.01,134.53,137.33,285384.0
2013-10-16,133.98,135.89,133.03,135.18,207269.0
2013-10-15,131.47,133.27,130.21,132.71,316112.0
2013-10-14,130.0,131.86,129.26,131.24,226434.0
2013-10-11,132.02,132.81,129.57,132.0,314944.0
2013-10-10,130.75,133.63,128.16,131.93,470152.0
2013-10-09,128.65,129.93,124.46,127.02,692656.0
2013-10-08,136.29,137.9,128.74,128.92,709861.0
2013-10-07,137.58,139.44,136.43,136.98,261398.0
2013-10-04,136.34,141.27,136.33,139.75,393263.0
2013-10-03,137.27,137.86,134.8,137.08,324690.0
2013-10-02,137.16,138.87,136.26,137.69,295337.0
2013-10-01,135.49,138.44,135.02,138.32,268639.0
2013-09-30,134.1,137.6,132.01,134.91,529293.0
2013-09-27,130.0,136.73,129.11,135.45,623928.0
2013-09-26,129.25,131.65,128.03,131.25,192099.0
2013-09-25,130.55,131.7,128.4,129.09,404253.0
2013-09-24,128.81,131.74,127.66,130.69,410594.0
2013-09-23,128.95,129.5,127.82,128.76,464229.0
2013-09-20,129.01,129.98,128.21,129.0,275341.0
2013-09-19,128.9,130.49,128.0,128.71,377714.0
2013-09-18,126.98,129.33,124.03,128.87,415588.0
2013-09-17,124.2,127.86,124.2,127.33,354309.0
2013-09-16,127.53,127.91,124.47,124.72,280143.0
2013-09-13,126.37,126.99,123.8,125.37,367704.0
2013-09-12,128.5,130.28,125.51,126.52,583437.0
2013-09-11,130.46,131.58,128.43,128.97,373918.0
2013-09-10,129.44,132.86,127.82,131.54,794240.0
2013-09-09,120.24,129.44,119.48,128.5,814533.0
2013-09-06,123.35,124.12,118.62,119.98,545179.0
2013-09-05,121.04,124.39,121.04,123.06,509924.0
2013-09-04,121.31,122.15,119.5,121.04,504018.0
2013-09-03,120.7,123.0,119.57,121.29,665623.0
2013-08-30,121.57,122.12,117.24,118.69,372342.0
2013-08-29,120.35,122.83,120.35,121.18,173268.0
2013-08-28,119.67,121.85,119.67,120.94,185448.0
2013-08-27,122.0,123.07,119.66,119.88,334162.0
2013-08-26,123.21,125.3,122.59,124.17,260176.0
2013-08-23,123.02,124.55,120.31,123.29,229152.0
2013-08-22,122.0,123.07,120.01,123.01,150703.0
2013-08-21,119.9,124.71,119.18,121.49,741889.0
2013-08-20,121.1,121.97,119.71,120.01,232422.0
2013-08-19,122.03,123.86,120.68,120.97,219484.0
2013-08-16,123.0,123.71,121.22,121.91,367548.0
2013-08-15,124.87,126.61,122.8,123.0,285306.0
2013-08-14,129.95,129.98,125.32,126.51,353250.0
2013-08-13,125.8,130.74,124.27,129.27,604617.0
2013-08-12,122.82,126.48,122.66,125.73,372079.0
2013-08-09,124.03,124.91,122.99,123.65,330803.0
2013-08-08,124.16,126.08,123.11,124.23,505440.0
2013-08-07,125.52,126.53,123.13,123.69,483303.0
2013-08-06,129.58,129.59,125.02,126.7,391237.0
2013-08-05,128.28,130.7,128.03,129.87,610411.0
2013-08-02,132.94,136.52,126.78,128.37,2447892.0
2013-08-01,118.61,121.57,117.59,121.47,1107212.0
2013-07-31,118.59,119.44,116.48,117.43,616004.0
2013-07-30,115.41,119.32,114.0,119.05,958083.0
2013-07-29,111.09,115.75,110.87,115.62,1076934.0
2013-07-26,112.9,113.87,111.4,112.23,462753.0
2013-07-25,107.6,113.92,106.93,113.0,614293.0
2013-07-24,107.37,108.28,106.79,107.53,412888.0
2013-07-23,106.4,107.93,105.91,106.99,341068.0
2013-07-22,105.72,106.46,105.13,106.17,461169.0
2013-07-19,105.84,107.01,105.26,105.67,542391.0
2013-07-18,109.09,109.55,106.04,106.71,353571.0
2013-07-17,106.0,109.6,105.42,109.5,365191.0
2013-07-16,108.47,109.19,104.75,105.71,640957.0
2013-07-15,109.16,110.89,107.75,108.53,725098.0
2013-07-12,111.72,113.49,111.07,113.39,280333.0
2013-07-11,111.85,112.67,110.16,110.91,228400.0
2013-07-10,110.53,111.23,108.5,110.05,392468.0
2013-07-09,107.47,110.82,105.8,110.42,565319.0
2013-07-08,106.45,108.11,105.97,106.56,181359.0
2013-07-05,108.38,108.58,105.43,105.97,280284.0
2013-07-03,105.78,108.07,104.3,107.19,299774.0
2013-07-02,106.46,109.5,106.17,106.87,301211.0
2013-07-01,108.84,109.68,107.9,108.27,221730.0
2013-06-28,108.95,109.0,106.98,107.76,247912.0
2013-06-27,109.98,110.67,105.63,109.17,404685.0
2013-06-26,106.62,108.87,106.09,108.63,361549.0
2013-06-25,106.89,107.39,103.13,106.62,920905.0
2013-06-24,106.43,107.0,102.44,105.72,746404.0
2013-06-21,110.58,111.65,104.68,108.18,938963.0
2013-06-20,114.54,114.76,110.07,110.78,695459.0
2013-06-19,116.17,117.61,114.77,115.78,783942.0
2013-06-18,113.86,114.75,113.19,113.62,189845.0
2013-06-17,113.08,114.46,112.19,114.0,395396.0
