Date,Open,High,Low,Close,Volume
2014-04-07,21.42,21.54,20.69,21.12,583166.0
2014-04-04,22.32,22.4,21.45,21.49,482105.0
2014-04-03,22.48,22.61,22.09,22.11,616053.0
2014-04-02,22.28,22.56,22.17,22.43,468234.0
2014-04-01,22.13,22.35,22.06,22.26,603286.0
2014-03-31,21.71,22.22,21.66,22.02,601176.0
2014-03-28,21.66,22.08,21.47,21.58,399600.0
2014-03-27,21.8,22.01,21.5,21.68,359764.0
2014-03-26,22.6,22.63,21.81,21.83,516098.0
2014-03-25,22.76,22.96,22.25,22.41,447960.0
2014-03-24,22.87,22.97,22.39,22.6,632031.0
2014-03-21,22.77,23.1,22.68,22.77,980580.0
2014-03-20,22.67,22.96,22.5,22.78,440619.0
2014-03-19,22.97,23.03,22.56,22.79,473999.0
2014-03-18,22.43,23.04,22.43,23.0,628952.0
2014-03-17,22.36,22.59,22.35,22.49,403968.0
2014-03-14,22.07,22.39,21.99,22.17,467759.0
2014-03-13,22.6,22.6,22.06,22.14,557960.0
2014-03-12,22.04,22.5,21.8,22.5,528748.0
2014-03-11,22.39,22.5,22.0,22.11,467716.0
2014-03-10,22.5,22.6,22.33,22.35,682026.0
2014-03-07,22.5,22.61,22.3,22.59,555707.0
2014-03-06,22.47,22.5,22.28,22.45,481339.0
2014-03-05,22.28,22.53,22.16,22.45,618959.0
2014-03-04,21.98,22.41,21.6,22.37,1312226.0
2014-03-03,21.45,21.71,21.29,21.64,825696.0
2014-02-28,21.26,21.8,21.15,21.64,1522148.0
2014-02-27,20.97,21.22,20.92,21.19,384205.0
2014-02-26,20.87,21.19,20.87,21.06,463430.0
2014-02-25,20.96,21.21,20.76,20.94,662272.0
2014-02-24,20.54,21.06,20.54,20.92,632567.0
2014-02-21,20.69,20.72,20.44,20.55,549964.0
2014-02-20,20.4,20.68,20.27,20.59,389599.0
2014-02-19,20.54,20.82,20.31,20.35,614370.0
2014-02-18,20.58,20.74,20.46,20.67,536323.0
2014-02-14,20.76,20.76,20.38,20.54,498682.0
2014-02-13,19.59,20.53,19.59,20.49,732893.0
2014-02-12,19.66,19.81,19.62,19.69,1155474.0
2014-02-11,19.81,19.89,19.65,19.67,999599.0
2014-02-10,19.68,19.89,19.5,19.75,988810.0
2014-02-07,19.48,19.86,19.39,19.74,850642.0
2014-02-06,19.37,19.57,19.14,19.47,1193224.0
2014-02-05,19.87,19.98,19.37,19.39,1463429.0
2014-02-04,20.05,20.33,19.87,19.95,738043.0
2014-02-03,20.8,20.89,19.65,20.01,1470174.0
2014-01-31,20.62,21.0,20.51,20.8,693574.0
2014-01-30,21.0,21.19,20.8,21.03,808772.0
