Date,Open,High,Low,Close,Volume
2014-04-07,66.53,67.37,66.02,66.16,933433.0
2014-04-04,67.84,68.96,66.61,66.76,885051.0
2014-04-03,67.0,67.41,66.07,67.22,846033.0
2014-04-02,65.76,67.54,65.75,67.03,1126312.0
2014-04-01,64.01,65.63,63.89,65.48,1110406.0
2014-03-31,63.8,64.22,60.93,63.94,2030411.0
2014-03-28,65.5,65.89,63.06,63.66,1519414.0
2014-03-27,65.18,65.75,64.54,65.6,532009.0
2014-03-26,66.29,66.29,64.97,65.43,488861.0
2014-03-25,65.03,66.35,64.38,66.07,984978.0
2014-03-24,66.49,66.49,63.85,64.63,945002.0
2014-03-21,65.94,66.94,65.67,66.39,745667.0
2014-03-20,66.37,66.92,65.41,65.7,647382.0
2014-03-19,65.87,66.36,65.5,66.16,762644.0
2014-03-18,67.52,67.76,65.73,65.86,976789.0
2014-03-17,67.63,67.96,66.76,67.3,841552.0
2014-03-14,66.65,67.99,66.55,67.46,544736.0
2014-03-13,68.74,69.24,66.46,66.95,752922.0
2014-03-12,68.69,69.17,67.68,68.47,816736.0
2014-03-11,71.05,71.34,69.53,69.65,777140.0
2014-03-10,71.42,71.78,70.01,71.02,744188.0
2014-03-07,73.43,73.43,70.34,71.03,1251413.0
2014-03-06,71.5,73.22,71.5,73.01,1002861.0
2014-03-05,71.12,71.76,70.79,71.55,707500.0
2014-03-04,71.45,71.68,70.4,71.23,1084190.0
2014-03-03,69.31,70.76,69.02,70.68,702684.0
2014-02-28,69.84,70.48,69.4,70.33,1344567.0
2014-02-27,67.22,69.54,67.04,69.37,1069818.0
2014-02-26,65.96,67.53,65.73,67.18,963088.0
2014-02-25,65.06,65.48,64.52,65.4,710626.0
2014-02-24,65.0,65.45,64.81,64.85,919978.0
2014-02-21,64.39,65.0,64.3,64.82,563454.0
2014-02-20,63.67,64.41,63.49,64.3,557081.0
2014-02-19,63.35,64.56,63.35,63.7,435417.0
2014-02-18,63.62,64.53,63.62,64.06,803201.0
2014-02-14,62.63,64.17,62.63,63.4,580203.0
2014-02-13,61.37,63.07,61.01,62.79,805099.0
2014-02-12,62.0,62.64,61.62,61.79,494868.0
2014-02-11,61.3,62.13,60.78,61.69,498471.0
2014-02-10,60.61,61.63,60.07,61.13,628677.0
2014-02-07,59.87,60.71,59.43,60.65,454531.0
2014-02-06,58.67,59.53,58.44,59.41,1580333.0
2014-02-05,59.5,60.19,58.28,58.43,1272704.0
2014-02-04,60.0,60.52,59.73,59.94,919237.0
2014-02-03,58.97,60.04,58.97,60.0,1371384.0
2014-01-31,60.9,61.14,59.32,59.92,1645582.0
2014-01-30,60.78,62.82,59.35,61.3,3413541.0
2014-01-29,56.27,57.24,55.96,56.69,1387472.0
2014-01-28,55.77,57.48,55.44,57.15,1146174.0
2014-01-27,56.18,56.45,54.6,55.39,991600.0
2014-01-24,58.47,58.47,56.02,56.16,1076051.0
2014-01-23,58.67,59.11,57.87,58.87,1102345.0
2014-01-22,58.39,59.23,58.21,58.92,473674.0
2014-01-21,60.61,60.61,58.34,58.65,806811.0
2014-01-17,60.83,61.0,59.88,60.15,457112.0
2014-01-16,60.11,60.92,60.03,60.86,812682.0
2014-01-15,59.65,60.32,59.29,60.13,661319.0
2014-01-14,58.31,59.9,58.02,59.72,590534.0
2014-01-13,58.72,59.58,57.96,58.14,441231.0
2014-01-10,58.81,59.42,58.52,58.91,542324.0
2014-01-09,58.32,59.68,57.81,58.8,763271.0
2014-01-08,57.06,58.38,55.96,58.19,624757.0
2014-01-07,57.4,57.54,56.81,57.06,567921.0
2014-01-06,57.83,58.15,56.97,57.05,413889.0
2014-01-03,57.78,57.88,57.4,57.72,554844.0
2014-01-02,58.81,59.2,57.24,57.64,502591.0
2013-12-31,58.52,59.43,58.47,59.24,442511.0
2013-12-30,58.16,58.78,57.94,58.56,217928.0
2013-12-27,58.45,58.72,57.54,58.17,402112.0
2013-12-26,58.39,58.83,58.11,58.72,273335.0
2013-12-24,58.57,58.75,58.18,58.31,122366.0
2013-12-23,58.59,58.8,57.82,58.36,543790.0
2013-12-20,57.75,58.92,56.84,58.37,1234815.0
2013-12-19,55.53,56.45,55.11,56.45,747493.0
2013-12-18,56.43,56.69,55.39,56.15,538353.0
2013-12-17,56.27,56.58,55.78,56.43,445529.0
2013-12-16,56.31,56.88,56.18,56.36,621527.0
2013-12-13,56.6,57.13,55.92,56.01,734092.0
2013-12-12,56.85,57.1,56.42,56.53,682978.0
2013-12-11,57.85,57.94,56.86,57.04,519164.0
2013-12-10,57.8,58.98,57.56,57.76,533752.0
2013-12-09,58.15,58.79,57.39,57.7,908413.0
2013-12-06,56.7,58.53,56.65,58.25,1008666.0
2013-12-05,57.28,57.47,56.12,56.43,890581.0
2013-12-04,57.54,57.78,56.9,57.45,1143626.0
2013-12-03,59.98,60.04,57.23,57.39,1909994.0
2013-12-02,60.53,60.99,58.38,60.37,1516581.0
2013-11-29,61.83,62.19,61.37,61.4,145108.0
2013-11-27,61.21,61.86,60.06,61.47,627853.0
2013-11-26,61.2,61.36,59.38,61.05,4517675.0
2013-11-25,64.34,64.36,61.45,61.94,862176.0
2013-11-22,63.0,64.09,63.0,63.86,617799.0
2013-11-21,62.75,63.66,62.75,63.07,643127.0
2013-11-20,63.11,63.39,62.45,63.15,593587.0
2013-11-19,65.16,65.16,62.97,63.0,966540.0
2013-11-18,64.72,65.16,64.26,64.87,1047991.0
2013-11-15,63.87,64.96,63.62,64.48,1038783.0
2013-11-14,62.47,63.56,61.91,63.52,879739.0
2013-11-13,59.67,62.56,59.51,62.39,840452.0
2013-11-12,60.66,61.0,60.12,60.21,1069254.0
2013-11-11,60.53,61.25,59.61,60.65,1429533.0
2013-11-08,58.02,60.87,57.86,60.44,695387.0
2013-11-07,59.93,59.93,58.0,58.17,619800.0
2013-11-06,59.68,60.07,59.07,59.67,320695.0
2013-11-05,58.82,59.24,58.54,59.19,584823.0
2013-11-04,59.01,59.35,58.79,58.93,372869.0
2013-11-01,58.84,59.41,58.0,58.72,832339.0
2013-10-31,55.7,58.83,55.25,58.16,1268205.0
2013-10-30,56.3,56.49,54.89,55.11,531319.0
2013-10-29,55.76,56.5,55.47,55.96,727958.0
2013-10-28,56.69,56.91,55.44,55.78,1100189.0
2013-10-25,57.17,57.17,56.23,56.83,575300.0
2013-10-24,56.38,56.88,55.76,56.86,504509.0
2013-10-23,56.33,56.4,55.38,56.29,433805.0
2013-10-22,55.94,57.01,55.88,56.24,612757.0
2013-10-21,55.45,55.86,55.23,55.43,454926.0
2013-10-18,55.01,55.35,54.92,55.14,810733.0
2013-10-17,54.55,55.1,54.55,54.79,546605.0
2013-10-16,54.68,55.09,54.59,54.98,310954.0
2013-10-15,54.47,54.9,54.32,54.48,375592.0
2013-10-14,54.47,54.77,54.22,54.63,201276.0
2013-10-11,53.36,54.52,52.9,54.49,618995.0
2013-10-10,53.42,53.42,52.89,53.3,408683.0
2013-10-09,52.83,53.58,52.03,52.46,828763.0
2013-10-08,52.63,53.44,52.07,52.68,1056035.0
2013-10-07,51.82,52.35,51.67,52.19,404691.0
2013-10-04,51.25,52.62,51.21,52.4,357588.0
2013-10-03,51.3,51.57,50.41,51.0,266743.0
2013-10-02,51.22,51.8,50.87,51.65,222801.0
2013-10-01,51.4,52.16,51.37,51.66,419245.0
2013-09-30,50.32,51.39,50.2,51.27,299594.0
2013-09-27,50.53,51.43,50.36,50.8,391551.0
2013-09-26,50.26,50.85,50.03,50.74,454855.0
2013-09-25,50.55,51.5,50.37,50.39,353836.0
2013-09-24,49.91,51.14,49.86,50.57,369997.0
2013-09-23,50.57,50.57,49.56,49.86,337935.0
2013-09-20,51.62,51.76,50.16,50.3,488720.0
2013-09-19,52.02,52.51,51.08,51.7,354280.0
2013-09-18,50.46,52.1,50.12,51.76,447046.0
2013-09-17,50.81,50.9,50.23,50.47,253629.0
2013-09-16,51.19,51.21,50.41,50.65,403234.0
2013-09-13,50.54,50.78,49.9,50.35,383048.0
2013-09-12,50.33,50.81,50.04,50.1,264206.0
2013-09-11,50.42,50.64,49.86,50.55,372093.0
2013-09-10,49.36,50.76,49.33,50.52,515101.0
2013-09-09,48.95,49.52,48.78,49.19,191241.0
2013-09-06,48.38,49.1,48.38,48.9,459033.0
2013-09-05,47.53,48.16,47.24,47.97,407630.0
2013-09-04,48.12,48.14,47.38,47.64,1116011.0
2013-09-03,47.16,48.13,46.83,48.13,551192.0
2013-08-30,46.84,47.09,46.4,46.49,309267.0
2013-08-29,46.64,47.49,46.3,46.96,309609.0
2013-08-28,46.09,46.95,46.09,46.66,308342.0
2013-08-27,46.5,47.05,46.04,46.2,384836.0
2013-08-26,46.62,47.62,46.54,47.25,319065.0
2013-08-23,46.56,46.73,46.24,46.6,234536.0
2013-08-22,45.95,46.58,45.9,46.55,196084.0
2013-08-21,46.7,46.7,45.79,45.89,231069.0
2013-08-20,46.51,47.15,46.22,46.97,273887.0
