Date,Open,High,Low,Close,Volume
2014-04-07,12.52,12.74,12.11,12.36,34024.0
2014-04-04,13.17,13.17,12.26,12.53,33669.0
2014-04-03,12.98,13.18,12.95,13.04,29622.0
2014-04-02,13.0,13.06,12.75,13.02,14985.0
2014-04-01,12.87,12.98,12.81,12.95,67341.0
2014-03-31,12.95,13.0,12.56,12.8,33071.0
2014-03-28,12.95,13.08,12.88,12.91,12777.0
2014-03-27,12.83,12.91,12.83,12.91,10459.0
2014-03-26,13.42,13.42,12.74,12.8,25285.0
2014-03-25,13.35,13.4,13.21,13.34,10642.0
2014-03-24,13.54,13.72,13.11,13.32,15558.0
2014-03-21,13.8,13.89,13.37,13.53,60170.0
2014-03-20,13.78,13.84,13.68,13.76,14530.0
2014-03-19,13.86,13.86,13.4,13.74,13348.0
2014-03-18,14.05,14.05,13.71,13.81,21626.0
2014-03-17,14.1,14.28,13.91,13.95,12989.0
2014-03-14,13.83,14.13,13.83,13.95,12259.0
2014-03-13,14.36,14.39,13.67,13.92,18492.0
2014-03-12,14.46,14.6,14.32,14.39,23042.0
2014-03-11,14.58,14.68,14.38,14.5,19374.0
2014-03-10,14.14,14.71,14.1,14.59,21500.0
2014-03-07,14.56,14.6,14.19,14.3,12435.0
2014-03-06,14.6,14.6,14.39,14.44,18224.0
2014-03-05,14.63,14.63,14.52,14.55,34073.0
2014-03-04,14.56,15.02,14.45,14.58,53670.0
2014-03-03,14.47,14.58,14.11,14.36,31024.0
2014-02-28,14.79,14.8,14.48,14.57,30251.0
2014-02-27,14.66,14.74,14.56,14.73,13820.0
2014-02-26,14.34,14.74,14.08,14.66,21399.0
2014-02-25,14.46,14.47,14.06,14.32,20660.0
2014-02-24,14.73,14.73,14.42,14.61,18168.0
2014-02-21,14.9,14.95,14.02,14.66,64101.0
2014-02-20,14.94,15.07,14.84,14.96,27818.0
2014-02-19,14.93,15.08,14.73,14.83,16421.0
2014-02-18,14.87,15.3,14.87,15.05,18862.0
2014-02-14,14.87,15.13,14.59,14.99,39079.0
2014-02-13,14.8,14.9,14.75,14.84,5444.0
2014-02-12,14.64,14.89,14.44,14.75,19413.0
2014-02-11,14.37,14.76,14.37,14.7,10981.0
2014-02-10,14.7,14.75,14.25,14.39,23659.0
2014-02-07,13.78,14.72,13.78,14.67,45344.0
2014-02-06,13.76,14.11,13.31,13.45,21167.0
2014-02-05,13.77,13.97,13.67,13.86,19072.0
2014-02-04,13.84,13.96,13.54,13.75,20514.0
2014-02-03,13.83,13.95,13.59,13.85,52266.0
2014-01-31,13.43,14.11,13.43,13.8,27200.0
2014-01-30,13.54,13.9,13.39,13.7,21666.0
2014-01-29,13.63,13.63,13.27,13.27,10335.0
2014-01-28,13.9,13.9,13.41,13.76,23990.0
2014-01-27,14.15,14.18,13.82,13.93,9113.0
2014-01-24,14.52,14.58,14.03,14.16,9596.0
2014-01-23,14.67,14.73,14.57,14.71,19869.0
2014-01-22,14.36,14.61,14.22,14.61,15232.0
2014-01-21,13.98,14.6,13.98,14.47,16983.0
2014-01-17,13.97,14.14,13.61,13.84,9709.0
2014-01-16,14.23,14.23,13.91,14.03,9768.0
2014-01-15,13.4,14.5,13.2,14.2,35995.0
2014-01-14,13.76,13.89,13.63,13.67,12849.0
2014-01-13,13.88,14.15,13.42,13.67,21920.0
2014-01-10,14.09,14.21,13.84,13.97,27822.0
2014-01-09,14.01,14.13,14.0,14.07,9651.0
2014-01-08,14.06,14.26,14.0,14.0,19000.0
2014-01-07,13.99,14.28,13.99,14.06,26992.0
2014-01-06,14.01,14.03,13.79,13.97,16893.0
2014-01-03,13.97,14.04,13.92,14.0,12846.0
2014-01-02,13.88,14.04,13.63,13.97,24947.0
2013-12-31,13.84,13.98,13.7,13.89,24401.0
2013-12-30,13.79,14.04,13.77,13.8,18150.0
2013-12-27,14.04,14.09,13.61,13.79,13198.0
2013-12-26,13.96,14.1,13.91,13.98,9751.0
2013-12-24,13.96,14.37,13.9,14.03,19593.0
2013-12-23,13.22,14.0,13.22,13.89,27127.0
2013-12-20,12.67,13.32,12.64,13.16,138965.0
2013-12-19,12.64,12.78,12.53,12.65,10292.0
2013-12-18,12.57,12.76,12.31,12.69,32892.0
2013-12-17,12.69,12.74,12.5,12.66,18419.0
2013-12-16,12.71,12.83,12.6,12.66,11384.0
2013-12-13,12.66,12.78,12.45,12.67,34525.0
2013-12-12,13.32,13.4,12.68,12.75,24773.0
2013-12-11,13.47,13.72,13.13,13.35,25971.0
2013-12-10,13.68,13.68,13.28,13.45,15415.0
2013-12-09,13.56,13.74,13.56,13.66,26830.0
2013-12-06,13.36,13.75,13.26,13.57,16333.0
2013-12-05,13.41,13.47,13.26,13.29,12200.0
2013-12-04,13.53,13.71,13.39,13.39,15759.0
2013-12-03,13.7,14.14,13.61,13.89,24457.0
2013-12-02,14.11,14.15,13.51,13.69,49019.0
2013-11-29,14.19,14.34,14.0,14.12,57472.0
2013-11-27,14.0,14.12,13.9,14.07,24245.0
2013-11-26,13.39,14.1,13.39,13.95,27605.0
2013-11-25,13.17,13.48,13.08,13.4,30006.0
2013-11-22,12.69,13.13,12.51,13.05,24692.0
2013-11-21,12.65,12.78,12.52,12.78,17741.0
2013-11-20,12.62,12.71,12.6,12.66,38540.0
2013-11-19,12.62,12.75,12.6,12.65,51508.0
2013-11-18,12.73,12.74,12.6,12.66,22983.0
2013-11-15,12.57,12.75,12.57,12.72,35008.0
2013-11-14,12.65,12.72,12.52,12.6,23058.0
2013-11-13,12.75,12.78,12.47,12.69,47987.0
2013-11-12,12.54,12.75,12.39,12.75,21740.0
2013-11-11,12.57,12.58,12.12,12.5,41639.0
2013-11-08,13.0,13.0,12.32,12.53,137899.0
2013-11-07,13.33,13.67,13.3,13.53,42892.0
2013-11-06,13.68,13.87,13.41,13.41,10817.0
2013-11-05,13.41,13.58,13.41,13.53,17233.0
2013-11-04,13.43,13.57,13.41,13.42,31441.0
2013-11-01,13.41,13.63,13.41,13.41,49374.0
2013-10-31,13.58,13.76,13.41,13.41,25041.0
2013-10-30,13.53,13.73,13.37,13.61,54418.0
2013-10-29,13.51,13.64,13.48,13.61,27935.0
2013-10-28,13.7,13.85,13.42,13.53,51141.0
2013-10-25,13.71,13.76,13.5,13.65,14244.0
2013-10-24,13.56,13.73,13.41,13.66,40866.0
2013-10-23,13.73,13.78,13.45,13.56,32199.0
2013-10-22,14.0,14.18,13.52,13.76,87447.0
2013-10-21,14.59,14.66,13.89,13.99,41674.0
2013-10-18,14.89,14.89,14.55,14.73,50857.0
2013-10-17,14.7,14.83,14.56,14.73,42552.0
2013-10-16,14.67,14.9,14.5,14.68,28056.0
2013-10-15,14.39,14.77,14.25,14.62,42889.0
2013-10-14,14.49,14.54,14.36,14.4,32457.0
2013-10-11,14.58,14.68,14.39,14.63,31560.0
2013-10-10,14.78,14.78,14.6,14.66,26380.0
2013-10-09,14.69,14.75,14.5,14.56,47263.0
2013-10-08,15.07,15.07,14.58,14.66,33120.0
2013-10-07,15.18,15.4,15.07,15.1,19646.0
2013-10-04,15.1,16.19,15.1,15.37,23046.0
2013-10-03,15.7,15.7,15.0,15.1,45451.0
2013-10-02,15.8,15.88,15.63,15.8,52963.0
2013-10-01,16.24,16.32,15.94,16.02,48738.0
2013-09-30,16.0,16.38,16.0,16.22,36374.0
2013-09-27,16.21,16.38,16.0,16.11,22094.0
2013-09-26,16.52,16.78,15.8,16.35,47176.0
2013-09-25,17.12,17.21,16.52,16.59,24207.0
2013-09-24,17.31,17.31,16.74,17.09,24105.0
2013-09-23,17.06,17.43,16.93,17.24,69084.0
2013-09-20,16.53,17.0,16.46,16.85,75964.0
2013-09-19,16.56,16.67,16.32,16.52,13802.0
2013-09-18,16.15,16.7,15.83,16.55,17011.0
2013-09-17,15.85,16.22,15.76,16.12,17723.0
2013-09-16,16.16,16.33,15.87,15.99,16078.0
2013-09-13,15.73,16.01,15.5,15.96,51633.0
2013-09-12,15.88,16.12,15.57,15.67,32326.0
2013-09-11,16.27,16.39,15.78,15.94,30294.0
2013-09-10,16.41,16.48,16.09,16.39,24420.0
2013-09-09,15.6,16.21,15.6,16.21,16623.0
2013-09-06,15.71,15.9,15.08,15.69,22602.0
2013-09-05,15.63,15.69,15.36,15.63,10231.0
2013-09-04,15.25,15.7,15.2,15.59,18824.0
2013-09-03,15.28,15.55,14.99,15.25,37017.0
2013-08-30,15.39,15.4,15.0,15.06,15726.0
2013-08-29,15.29,15.48,15.1,15.42,11264.0
2013-08-28,15.0,15.37,14.91,15.32,24746.0
2013-08-27,15.25,15.41,14.93,15.0,35175.0
2013-08-26,15.59,15.59,15.15,15.44,26473.0
2013-08-23,15.72,15.85,15.41,15.6,81519.0
2013-08-22,15.37,15.83,15.14,15.73,7556.0
2013-08-21,15.25,15.43,15.2,15.2,13904.0
2013-08-20,15.42,15.43,15.19,15.28,22085.0
2013-08-19,15.07,15.64,15.07,15.38,26439.0
2013-08-16,15.2,15.33,14.7,15.22,24459.0
2013-08-15,15.13,15.38,15.13,15.31,55020.0
2013-08-14,15.6,15.69,15.16,15.28,28287.0
2013-08-13,15.75,15.84,15.58,15.73,61628.0
2013-08-12,15.43,15.83,15.41,15.82,25522.0
2013-08-09,15.0,15.65,14.71,15.42,85392.0
2013-08-08,15.12,15.28,15.1,15.19,9113.0
2013-08-07,15.0,15.22,15.0,15.1,10834.0
2013-08-06,15.0,15.14,14.94,15.0,17501.0
2013-08-05,14.98,15.14,14.96,15.02,26649.0
2013-08-02,15.16,15.21,15.0,15.0,20890.0
2013-08-01,15.32,15.5,15.0,15.13,32557.0
2013-07-31,15.17,15.39,15.1,15.12,27822.0
2013-07-30,15.11,15.2,14.97,15.14,26497.0
2013-07-29,14.93,15.24,14.82,15.0,33185.0
2013-07-26,15.94,15.94,15.0,15.01,77552.0
2013-07-25,16.67,17.08,16.59,16.96,68708.0
2013-07-24,16.45,16.88,16.44,16.69,68796.0
2013-07-23,16.38,16.45,16.1,16.39,41412.0
2013-07-22,16.16,16.46,16.16,16.38,22205.0
2013-07-19,16.26,16.35,16.0,16.22,40484.0
2013-07-18,16.37,16.42,15.66,16.33,21813.0
2013-07-17,16.41,16.44,16.23,16.37,42299.0
2013-07-16,16.29,16.42,16.21,16.35,32180.0
2013-07-15,15.71,16.41,15.58,16.3,51064.0
2013-07-12,15.65,15.81,15.65,15.75,9938.0
2013-07-11,15.59,15.75,15.41,15.72,57060.0
2013-07-10,15.4,15.55,15.29,15.52,52621.0
2013-07-09,15.31,15.67,15.17,15.47,22223.0
2013-07-08,14.97,15.19,14.77,15.16,38049.0
2013-07-05,15.07,15.15,14.55,14.93,36480.0
2013-07-03,14.88,14.98,14.69,14.84,39009.0
2013-07-02,15.2,15.2,14.73,15.0,25362.0
2013-07-01,14.88,15.38,14.88,15.17,37685.0
2013-06-28,14.62,15.71,14.44,14.81,178713.0
2013-06-27,14.27,14.65,14.27,14.64,43209.0
2013-06-26,14.74,14.74,14.25,14.32,40925.0
2013-06-25,14.67,14.71,14.56,14.63,23941.0
2013-06-24,14.88,14.97,14.64,14.64,38743.0
2013-06-21,14.71,15.15,14.65,15.13,47673.0
2013-06-20,15.11,15.11,14.62,14.69,36234.0
2013-06-19,15.54,15.57,15.34,15.38,18161.0
2013-06-18,15.44,15.81,15.14,15.78,212257.0
2013-06-17,15.68,15.68,15.43,15.49,59105.0
2013-06-14,15.47,15.59,15.34,15.48,20495.0
2013-06-13,15.49,15.58,15.37,15.56,62806.0
2013-06-12,15.58,15.58,15.43,15.53,35207.0
2013-06-11,15.35,15.7,15.31,15.54,14359.0
2013-06-10,15.35,15.6,15.33,15.58,14669.0
2013-06-07,15.76,15.79,15.32,15.46,56684.0
2013-06-06,15.26,15.74,15.26,15.68,64307.0
2013-06-05,15.48,15.62,15.19,15.3,15983.0
2013-06-04,15.98,16.04,15.37,15.6,37175.0
2013-06-03,15.86,16.04,15.81,15.97,73078.0
2013-05-31,15.73,15.98,15.65,15.9,36437.0
2013-05-30,15.92,16.18,15.76,15.88,32803.0
2013-05-29,15.28,15.98,15.06,15.9,102618.0
2013-05-28,15.67,15.67,15.2,15.42,29960.0
2013-05-24,15.25,15.56,15.11,15.39,18423.0
2013-05-23,15.29,15.62,15.14,15.26,27933.0
2013-05-22,15.67,16.22,15.39,15.53,58603.0
2013-05-21,15.92,15.92,15.42,15.67,73785.0
2013-05-20,15.58,16.09,15.5,15.92,53462.0
2013-05-17,15.63,15.98,15.59,15.64,29411.0
2013-05-16,15.54,15.78,15.37,15.51,100240.0
2013-05-15,15.33,15.66,15.26,15.63,32195.0
2013-05-14,15.68,15.68,15.0,15.43,43412.0
2013-05-13,15.65,15.68,15.35,15.5,48420.0
2013-05-10,15.64,15.88,15.57,15.72,21530.0
2013-05-09,15.93,15.93,15.64,15.68,43219.0
2013-05-08,15.52,15.97,15.52,15.93,54962.0
2013-05-07,15.5,15.92,15.44,15.64,51836.0
2013-05-06,15.43,15.58,15.3,15.43,118268.0
2013-05-03,15.2,15.62,15.03,15.38,145525.0
2013-05-02,14.89,15.68,14.89,15.59,104489.0
2013-05-01,15.25,15.32,14.57,14.82,85109.0
2013-04-30,14.51,15.3,14.51,15.24,55426.0
2013-04-29,14.42,14.67,14.17,14.58,66350.0
2013-04-26,14.81,14.81,13.9,14.31,136244.0
2013-04-25,15.04,15.35,14.72,15.25,34361.0
2013-04-24,14.56,15.12,14.56,15.05,92469.0
2013-04-23,14.11,14.62,13.95,14.62,115007.0
2013-04-22,14.76,14.76,13.89,14.02,62248.0
2013-04-19,14.19,14.71,13.98,14.68,48657.0
2013-04-18,14.83,14.83,14.15,14.23,172916.0
2013-04-17,15.25,15.37,14.6,14.75,75485.0
2013-04-16,15.18,15.51,15.04,15.41,70538.0
2013-04-15,15.09,15.13,14.93,15.02,96487.0
2013-04-12,14.86,15.1,14.7,15.02,30810.0
2013-04-11,14.93,14.93,14.52,14.9,52980.0
2013-04-10,14.98,15.22,14.75,14.88,73971.0
2013-04-09,15.04,15.24,14.96,14.97,45644.0
2013-04-08,15.82,15.82,14.75,14.96,57498.0

