Date,Open,High,Low,Close,Volume
2014-04-07,38.8,39.31,38.6,38.75,56060.0
2014-04-04,39.11,39.44,38.63,38.85,108491.0
2014-04-03,39.17,39.18,38.76,38.86,79938.0
2014-04-02,39.14,39.33,38.81,39.01,46225.0
2014-04-01,39.27,39.36,38.84,39.17,79234.0
2014-03-31,38.98,39.67,38.75,39.23,113824.0
2014-03-28,38.74,39.08,38.46,38.66,52334.0
2014-03-27,38.73,39.09,38.59,38.88,48800.0
2014-03-26,39.69,39.74,38.63,38.63,84483.0
2014-03-25,39.23,39.6,39.0,39.38,70472.0
2014-03-24,38.76,39.09,38.51,38.98,78036.0
2014-03-21,38.49,39.57,38.49,38.82,288572.0
2014-03-20,38.68,38.69,38.02,38.23,108634.0
2014-03-19,39.85,39.85,38.5,38.67,128404.0
2014-03-18,40.2,40.2,39.77,39.98,172270.0
2014-03-17,40.25,40.71,39.86,40.06,239573.0
2014-03-14,39.51,40.2,39.51,39.84,145773.0
2014-03-13,39.43,39.98,39.23,39.81,148913.0
2014-03-12,38.33,39.38,38.09,39.34,88112.0
2014-03-11,38.53,38.7,38.01,38.39,153830.0
2014-03-10,38.35,38.65,38.19,38.56,39807.0
2014-03-07,38.55,38.56,38.11,38.56,43489.0
2014-03-06,38.95,38.95,38.14,38.46,60414.0
2014-03-05,39.42,39.42,38.73,39.01,61269.0
2014-03-04,38.99,39.77,38.52,39.63,185529.0
2014-03-03,38.42,38.59,38.08,38.44,44620.0
2014-02-28,38.43,38.93,38.29,38.58,90638.0
2014-02-27,38.25,38.42,38.0,38.26,51009.0
2014-02-26,38.68,38.75,38.18,38.46,49060.0
2014-02-25,38.85,39.18,38.62,38.88,79785.0
2014-02-24,38.85,39.36,38.3,38.65,73929.0
2014-02-21,38.94,39.11,38.42,38.75,94479.0
2014-02-20,38.36,38.88,38.12,38.68,78433.0
2014-02-19,38.77,39.25,38.06,38.2,62028.0
2014-02-18,38.71,39.3,38.7,38.94,98161.0
2014-02-14,38.27,38.81,37.88,38.73,155372.0
2014-02-13,37.41,38.34,37.3,38.19,41454.0
2014-02-12,37.88,37.88,37.41,37.56,54425.0
2014-02-11,36.93,37.9,36.88,37.78,155116.0
2014-02-10,37.08,37.33,35.66,36.81,127952.0
