Date,Open,High,Low,Close,Volume
2014-04-07,34.3,35.1,32.66,33.77,115663.0
2014-04-04,35.72,35.75,34.28,34.57,87348.0
2014-04-03,35.51,35.61,35.21,35.38,54911.0
2014-04-02,35.48,35.7,35.26,35.5,65557.0
2014-04-01,34.92,35.57,34.77,35.5,69198.0
2014-03-31,33.97,35.12,33.97,34.96,78224.0
2014-03-28,33.54,34.56,33.54,33.83,80876.0
2014-03-27,33.48,33.76,33.41,33.62,67098.0
2014-03-26,34.33,34.33,33.44,33.5,65352.0
2014-03-25,34.12,34.36,33.38,33.97,45846.0
2014-03-24,34.39,34.69,33.51,33.92,96257.0
2014-03-21,34.2,34.61,34.09,34.42,274847.0
2014-03-20,33.68,34.55,33.42,34.21,52600.0
2014-03-19,33.75,34.06,33.61,33.8,48597.0
2014-03-18,34.08,34.6,33.49,33.72,89699.0
2014-03-17,33.17,34.44,33.17,34.08,114011.0
2014-03-14,32.68,33.58,32.63,32.82,51271.0
2014-03-13,34.25,34.25,32.78,32.93,63204.0
2014-03-12,33.47,34.2,33.47,34.07,73331.0
2014-03-11,34.32,34.81,33.3,33.77,62818.0
2014-03-10,33.97,34.51,33.29,34.38,83017.0
2014-03-07,34.21,34.41,34.0,34.15,31973.0
2014-03-06,33.63,34.0,33.12,33.93,65077.0
2014-03-05,33.87,34.16,33.24,33.65,73388.0
2014-03-04,33.12,34.97,33.12,33.78,162700.0
2014-03-03,31.94,32.77,30.63,32.64,123091.0
2014-02-28,35.84,36.08,31.92,32.37,475272.0
2014-02-27,35.68,36.45,34.82,36.08,33251.0
2014-02-26,36.22,36.43,35.78,35.95,32687.0
2014-02-25,36.28,36.38,35.87,36.06,31704.0
2014-02-24,36.22,36.69,35.69,36.26,57573.0
2014-02-21,36.73,36.8,35.89,36.27,54954.0
2014-02-20,36.3,37.4,35.91,36.54,36321.0
2014-02-19,37.14,37.55,36.1,36.15,30559.0
2014-02-18,36.92,37.49,36.57,36.91,39873.0
2014-02-14,36.72,36.99,36.21,36.67,39709.0
2014-02-13,35.54,36.72,35.54,36.7,21531.0
