Date,Open,High,Low,Close,Volume
2014-04-07,12.31,12.42,12.14,12.23,274977.0
2014-04-04,12.62,12.72,12.28,12.32,203187.0
2014-04-03,12.7,12.73,12.45,12.52,152001.0
2014-04-02,12.52,12.72,12.4,12.68,365449.0
2014-04-01,12.5,12.51,12.19,12.45,487456.0
2014-03-31,12.44,12.52,12.34,12.48,298664.0
2014-03-28,12.48,12.56,12.25,12.41,431426.0
2014-03-27,12.78,13.04,12.55,12.61,758120.0
2014-03-26,13.12,13.22,12.75,12.78,605098.0
2014-03-25,13.16,13.48,13.05,13.12,479590.0
2014-03-24,13.04,13.15,12.9,13.06,467587.0
2014-03-21,12.75,12.97,12.64,12.9,2215920.0
2014-03-20,12.68,12.87,12.61,12.68,397885.0
2014-03-19,12.73,12.89,12.63,12.68,325336.0
2014-03-18,12.48,12.71,12.36,12.7,651324.0
2014-03-17,12.17,12.64,12.17,12.43,585189.0
2014-03-14,12.0,12.14,11.94,12.09,315368.0
2014-03-13,12.13,12.16,11.8,12.01,280752.0
2014-03-12,12.02,12.08,11.9,12.08,259653.0
2014-03-11,12.01,12.06,11.86,12.06,461566.0
2014-03-10,11.96,12.08,11.91,12.02,546759.0
2014-03-07,11.83,12.0,11.78,11.97,506791.0
2014-03-06,11.71,11.78,11.62,11.75,443265.0
2014-03-05,11.5,11.69,11.39,11.68,768576.0
2014-03-04,11.41,11.59,11.29,11.49,2134215.0
2014-03-03,11.18,11.36,11.14,11.28,450316.0
2014-02-28,11.35,11.43,11.2,11.23,593413.0
2014-02-27,11.33,11.36,11.1,11.32,468651.0
2014-02-26,11.23,11.41,11.13,11.34,826249.0
2014-02-25,11.13,11.13,11.0,11.07,438079.0
2014-02-24,11.15,11.24,11.08,11.1,582387.0
2014-02-21,11.29,11.37,11.04,11.1,595578.0
2014-02-20,11.4,11.86,11.08,11.18,830966.0
2014-02-19,11.37,11.4,11.11,11.18,430287.0
2014-02-18,11.28,11.47,11.18,11.38,355223.0
2014-02-14,11.43,11.43,11.23,11.24,328691.0
2014-02-13,10.79,11.44,10.78,11.41,1290735.0
2014-02-12,10.8,10.87,10.72,10.79,726057.0
2014-02-11,10.77,10.85,10.7,10.76,561723.0
2014-02-10,10.66,10.75,10.62,10.73,238364.0
2014-02-07,10.8,10.9,10.68,10.72,415468.0
2014-02-06,10.78,10.9,10.65,10.69,335801.0
2014-02-05,10.65,10.89,10.55,10.69,413848.0
2014-02-04,10.8,10.91,10.6,10.66,411807.0
2014-02-03,10.99,11.12,10.68,10.69,732562.0
2014-01-31,11.0,11.21,10.95,10.98,283318.0
2014-01-30,11.23,11.35,11.1,11.17,332289.0
2014-01-29,11.12,11.32,11.02,11.19,454930.0
2014-01-28,11.25,11.37,11.08,11.2,1346500.0
2014-01-27,11.4,11.52,11.17,11.27,412884.0
2014-01-24,11.58,11.62,11.28,11.4,678044.0
2014-01-23,11.56,11.65,11.34,11.62,554029.0
2014-01-22,11.56,11.69,11.5,11.56,346544.0
2014-01-21,11.46,11.65,11.42,11.53,490775.0
2014-01-17,11.29,11.46,11.17,11.23,247439.0
2014-01-16,11.54,11.57,11.28,11.29,234428.0
2014-01-15,11.5,11.68,11.4,11.48,388999.0
2014-01-14,11.41,11.5,11.24,11.44,336306.0
2014-01-13,11.51,11.59,11.24,11.32,384426.0
2014-01-10,11.3,11.53,11.26,11.45,464920.0
