Date,Open,High,Low,Close,Volume
2014-04-07,254.42,254.71,250.15,252.27,175297.0
2014-04-04,267.54,270.49,255.77,256.83,141537.0
2014-04-03,273.09,274.45,265.78,265.86,125150.0
2014-04-02,275.58,276.44,270.2,272.51,128004.0
2014-04-01,264.72,276.05,261.79,274.11,230262.0
2014-03-31,261.66,265.0,259.22,264.21,114944.0
2014-03-28,260.33,265.15,258.36,259.4,101939.0
2014-03-27,259.37,261.95,256.35,260.7,194563.0
2014-03-26,270.34,271.6,259.15,259.16,140868.0
2014-03-25,270.77,274.92,266.42,267.5,143381.0
2014-03-24,277.59,277.89,267.01,268.09,238023.0
2014-03-21,278.05,281.4,276.24,276.94,191949.0
2014-03-20,279.27,281.13,276.46,277.17,84430.0
2014-03-19,283.41,285.47,277.77,280.78,76709.0
2014-03-18,287.55,290.02,283.03,284.09,111724.0
2014-03-17,288.24,292.99,286.81,287.5,90643.0
2014-03-14,281.11,288.37,280.33,285.31,149999.0
2014-03-13,280.65,284.74,279.78,281.73,157831.0
2014-03-12,277.1,279.32,273.71,279.32,87493.0
2014-03-11,284.95,286.32,276.95,278.65,100005.0
2014-03-10,287.02,288.33,282.86,285.42,74326.0
2014-03-07,288.93,289.05,285.08,287.47,97481.0
2014-03-06,284.31,289.32,281.0,286.56,101576.0
2014-03-05,289.35,291.92,282.52,285.2,142573.0
2014-03-04,293.0,299.87,286.24,289.75,291685.0
2014-03-03,291.76,292.71,285.52,288.97,198277.0
2014-02-28,300.8,304.82,295.63,296.56,136690.0
2014-02-27,300.0,306.12,298.96,299.75,257836.0
2014-02-26,294.0,303.29,290.0,299.48,517978.0
2014-02-25,264.13,266.76,260.64,263.71,104050.0
2014-02-24,262.67,267.34,260.62,263.39,99577.0
2014-02-21,261.34,264.75,256.41,262.54,124245.0
2014-02-20,256.67,260.53,255.23,259.58,101224.0
2014-02-19,258.38,260.9,256.83,257.27,74692.0
2014-02-18,255.89,259.42,254.25,258.76,101106.0
2014-02-14,255.23,255.49,250.43,254.15,58349.0
2014-02-13,244.99,255.8,244.0,254.37,113301.0
2014-02-12,245.5,249.97,244.85,247.04,50187.0
2014-02-11,244.97,246.48,243.14,245.21,67332.0
2014-02-10,248.66,248.66,243.01,245.66,78166.0
2014-02-07,242.25,249.02,242.25,248.32,98415.0
2014-02-06,238.64,242.14,237.26,241.79,121358.0
2014-02-05,240.72,242.91,235.22,238.45,109226.0
2014-02-04,240.0,244.4,238.09,241.66,92541.0
2014-02-03,246.59,249.52,237.58,238.39,193182.0
2014-01-31,240.13,248.7,238.01,246.58,215472.0
2014-01-30,243.72,247.34,243.48,243.75,118585.0
2014-01-29,240.79,244.37,238.59,242.09,103408.0
2014-01-28,238.01,250.97,237.46,243.99,246875.0
2014-01-27,244.98,246.31,237.03,237.89,157257.0
2014-01-24,253.05,253.75,242.73,243.61,147620.0
2014-01-23,256.57,256.57,252.69,254.15,70669.0
2014-01-22,257.62,259.99,256.39,257.0,112137.0
2014-01-21,255.03,258.21,253.97,256.4,121412.0
2014-01-17,250.0,253.38,249.66,252.62,85574.0
2014-01-16,250.0,251.59,247.75,250.11,64474.0
2014-01-15,247.71,250.7,245.51,249.71,130983.0
2014-01-14,245.62,246.9,242.53,246.02,129617.0
2014-01-13,247.29,249.4,242.05,243.89,106658.0
2014-01-10,248.53,249.79,247.23,249.04,60637.0
2014-01-09,247.42,249.47,245.47,248.53,80573.0
2014-01-08,254.72,255.8,246.3,247.07,154446.0
2014-01-07,252.26,255.88,251.14,254.31,99556.0
2014-01-06,252.62,252.62,249.34,251.88,162173.0
2014-01-03,248.5,253.97,246.98,249.89,167317.0
2014-01-02,239.6,248.07,236.74,247.86,179052.0
2013-12-31,242.27,242.41,239.45,239.72,98347.0
2013-12-30,243.69,244.43,240.74,242.27,53031.0
2013-12-27,245.9,245.9,241.61,242.5,80390.0
