Date,Open,High,Low,Close,Volume
2014-04-07,41.21,41.81,40.15,41.68,224516.0
2014-04-04,43.56,43.56,41.23,41.42,146061.0
2014-04-03,43.84,44.0,42.93,43.19,83264.0
2014-04-02,44.9,45.73,43.66,43.78,155849.0
2014-04-01,43.54,45.21,42.79,44.98,243575.0
2014-03-31,42.66,43.65,42.49,43.36,123185.0
2014-03-28,42.41,43.75,42.11,42.42,133290.0
2014-03-27,42.55,42.85,41.59,42.4,140229.0
2014-03-26,44.06,44.06,42.41,42.41,122555.0
2014-03-25,43.95,44.53,43.4,43.65,312554.0
2014-03-24,44.32,44.32,42.92,43.58,104516.0
2014-03-21,44.38,45.0,43.99,44.19,207006.0
2014-03-20,43.16,44.11,43.14,44.07,82757.0
2014-03-19,43.94,44.02,42.95,43.25,83733.0
2014-03-18,43.03,43.89,42.73,43.84,136001.0
2014-03-17,42.98,43.45,42.61,42.8,123726.0
2014-03-14,42.26,42.88,41.72,42.54,129475.0
2014-03-13,43.46,44.18,42.25,42.57,190740.0
2014-03-12,43.26,43.56,42.88,43.12,200516.0
2014-03-11,44.34,44.34,43.25,43.39,176979.0
2014-03-10,44.15,44.6,43.94,44.2,150952.0
2014-03-07,44.75,44.85,43.98,44.11,215229.0
2014-03-06,44.41,44.71,44.08,44.57,60270.0
2014-03-05,44.85,44.87,44.19,44.27,101392.0
2014-03-04,44.35,45.24,44.35,44.82,338706.0
2014-03-03,44.74,44.92,43.77,44.19,133303.0
2014-02-28,44.55,45.68,44.4,45.01,510425.0
2014-02-27,42.75,44.41,42.69,44.4,324433.0
2014-02-26,41.34,43.0,41.18,42.83,335975.0
2014-02-25,40.9,41.3,40.7,41.19,204761.0
2014-02-24,40.88,41.35,40.52,40.55,184264.0
2014-02-21,40.09,41.01,40.09,40.84,263126.0
2014-02-20,40.58,40.86,39.91,39.98,267985.0
2014-02-19,41.03,41.35,40.29,40.39,216394.0
2014-02-18,41.47,41.73,41.21,41.52,170277.0
2014-02-14,41.74,41.8,39.4,41.57,317022.0
2014-02-13,40.39,41.58,40.26,41.48,266321.0
2014-02-12,39.7,40.69,39.7,40.64,153890.0
2014-02-11,38.33,39.7,38.33,39.63,150904.0
2014-02-10,39.18,39.3,37.88,38.33,166768.0
2014-02-07,38.7,39.56,38.46,39.13,185447.0
2014-02-06,38.6,39.05,38.15,38.56,175368.0
2014-02-05,38.7,38.95,38.15,38.42,275647.0
2014-02-04,38.95,38.95,38.19,38.81,225330.0
2014-02-03,38.6,39.45,38.51,38.77,463118.0
2014-01-31,38.18,39.31,37.69,38.67,285407.0
2014-01-30,39.0,39.38,38.69,38.89,238821.0
2014-01-29,38.63,39.03,38.22,38.65,161439.0
2014-01-28,39.07,39.56,38.55,38.9,280415.0
2014-01-27,39.37,39.67,38.62,38.91,202306.0
2014-01-24,40.74,40.74,39.2,39.24,234436.0
2014-01-23,41.59,42.03,41.01,41.12,292647.0
2014-01-22,42.1,42.1,41.67,41.77,225876.0
2014-01-21,42.1,42.18,41.91,42.06,201335.0
2014-01-17,41.9,42.15,41.67,41.94,239578.0
2014-01-16,42.06,42.43,41.78,42.08,267735.0
2014-01-15,42.34,42.95,42.16,42.27,456594.0
2014-01-14,41.67,42.51,41.43,42.25,234658.0
2014-01-13,41.07,41.36,40.86,41.22,305830.0
2014-01-10,41.33,41.63,40.86,41.2,215234.0
2014-01-09,41.62,41.66,40.71,41.32,221326.0
2014-01-08,41.3,41.72,41.05,41.36,196749.0
2014-01-07,41.23,41.75,41.1,41.33,259102.0
2014-01-06,41.28,41.34,41.1,41.18,330716.0
2014-01-03,40.87,41.39,40.87,41.2,219210.0
2014-01-02,41.0,41.02,40.48,40.82,305556.0
2013-12-31,40.5,41.22,40.47,41.18,281970.0
2013-12-30,40.47,40.63,40.12,40.5,231457.0
2013-12-27,40.29,40.75,39.84,40.61,190543.0
2013-12-26,40.56,40.74,40.25,40.37,214801.0
2013-12-24,40.26,40.58,40.05,40.38,149902.0
2013-12-23,39.73,40.21,39.67,40.09,235253.0
2013-12-20,38.88,40.0,38.23,39.53,799544.0
2013-12-19,38.21,39.04,38.17,38.7,397687.0
2013-12-18,37.54,38.94,37.51,38.75,298938.0
2013-12-17,38.31,38.5,37.84,37.91,166014.0
2013-12-16,37.96,39.4,37.22,38.48,309978.0
2013-12-13,38.06,38.66,37.92,38.21,281138.0
2013-12-12,36.28,38.28,36.16,38.08,403956.0
2013-12-11,37.49,37.83,37.07,37.2,268135.0
2013-12-10,37.21,38.04,36.92,37.54,400959.0
2013-12-09,37.8,38.08,37.21,37.28,189077.0
2013-12-06,38.07,38.3,37.72,37.73,199783.0
2013-12-05,38.02,38.08,37.6,37.75,132861.0
2013-12-04,38.46,38.94,37.67,37.9,148618.0
2013-12-03,39.21,39.48,38.46,38.59,180961.0
2013-12-02,40.39,40.39,39.2,39.33,175801.0
2013-11-29,40.77,40.96,40.37,40.4,73045.0
2013-11-27,40.46,40.88,40.26,40.69,228512.0
2013-11-26,39.96,40.61,39.69,40.5,362042.0
2013-11-25,40.19,40.19,39.68,40.0,391161.0
2013-11-22,40.36,40.36,39.94,39.97,487363.0
2013-11-21,39.67,40.5,39.54,40.22,785840.0
2013-11-20,39.26,39.86,39.05,39.84,393773.0
2013-11-19,38.63,39.28,38.39,39.24,711986.0
2013-11-18,39.0,39.0,38.3,38.87,550748.0
2013-11-15,37.86,39.17,37.51,39.03,558223.0
2013-11-14,37.8,38.0,37.5,37.92,247360.0
2013-11-13,38.0,38.0,37.5,37.94,388917.0
2013-11-12,38.66,38.66,37.84,38.56,223947.0
2013-11-11,37.42,39.13,36.95,38.8,238124.0
2013-11-08,36.1,37.52,34.47,37.23,325526.0
2013-11-07,37.5,37.64,36.23,37.11,286752.0
2013-11-06,37.74,38.0,37.59,37.94,183357.0
2013-11-05,36.94,37.68,36.65,37.54,276316.0
2013-11-04,36.27,37.1,36.16,37.09,438526.0
2013-11-01,36.06,36.56,35.88,36.11,182660.0
2013-10-31,35.97,36.41,35.73,36.12,205142.0
2013-10-30,36.15,36.49,35.84,36.01,206205.0
2013-10-29,36.08,36.52,35.75,36.03,110743.0
2013-10-28,35.67,36.12,35.32,36.0,134006.0
2013-10-25,35.75,35.82,35.28,35.75,104829.0
2013-10-24,35.44,35.7,35.31,35.68,123345.0
2013-10-23,35.08,35.74,35.03,35.44,231583.0
2013-10-22,35.0,35.6,35.0,35.38,156115.0
2013-10-21,35.2,35.39,34.75,34.85,138986.0
2013-10-18,34.9,35.26,34.55,35.22,259691.0
2013-10-17,33.74,34.64,33.67,34.56,224517.0
2013-10-16,33.38,33.95,33.3,33.85,169550.0
2013-10-15,34.05,34.21,33.14,33.18,115407.0
2013-10-14,33.38,34.3,33.38,34.08,111445.0
2013-10-11,32.65,33.51,32.62,33.5,169348.0
2013-10-10,32.86,33.07,32.77,32.85,98611.0
2013-10-09,32.85,33.07,32.11,32.41,125925.0
2013-10-08,33.53,33.59,32.78,32.83,148079.0
2013-10-07,33.22,33.64,33.22,33.51,238903.0
2013-10-04,33.12,33.69,32.88,33.53,197277.0
2013-10-03,33.34,33.64,32.83,33.15,109298.0
2013-10-02,33.45,33.92,33.25,33.52,155307.0
2013-10-01,33.96,34.34,33.47,33.69,172842.0
2013-09-30,33.28,34.21,33.08,34.06,242634.0
2013-09-27,33.69,34.09,33.49,33.79,98834.0
2013-09-26,33.52,34.15,33.36,34.03,324435.0
2013-09-25,33.35,33.47,32.67,33.37,303292.0
2013-09-24,33.19,33.65,33.14,33.4,356019.0
2013-09-23,33.13,33.89,32.74,33.17,398079.0
2013-09-20,33.09,33.2,32.1,33.12,699380.0
2013-09-19,33.25,33.25,32.7,33.03,333542.0
2013-09-18,33.1,33.61,32.16,33.15,578210.0
2013-09-17,32.96,33.98,32.96,33.76,179925.0
2013-09-16,32.67,33.25,32.33,32.92,157311.0
