Date,Open,High,Low,Close,Volume
2014-04-07,29.25,29.25,28.71,28.99,161220.0
2014-04-04,31.01,31.01,29.23,29.38,334385.0
2014-04-03,30.62,30.93,30.48,30.76,235433.0
2014-04-02,30.51,30.91,30.23,30.7,262009.0
2014-04-01,30.0,30.66,29.81,30.47,549353.0
2014-03-31,29.1,30.42,29.1,29.89,301288.0
2014-03-28,29.29,29.87,28.96,29.01,162643.0
2014-03-27,29.53,29.85,29.15,29.34,181377.0
2014-03-26,30.79,30.79,29.51,29.52,239269.0
2014-03-25,30.81,30.91,30.41,30.53,116260.0
2014-03-24,30.95,30.95,30.42,30.6,240181.0
2014-03-21,31.31,31.85,30.66,30.86,358932.0
2014-03-20,30.98,31.49,30.88,31.2,82001.0
2014-03-19,30.99,31.3,30.82,31.04,97944.0
2014-03-18,30.35,31.05,30.31,31.02,183970.0
2014-03-17,30.27,30.6,30.13,30.26,127308.0
2014-03-14,30.03,30.42,30.03,30.17,136009.0
2014-03-13,30.85,30.86,30.02,30.18,148547.0
2014-03-12,30.34,30.86,29.6,30.78,131073.0
2014-03-11,30.72,30.95,30.38,30.53,181021.0
2014-03-10,30.72,31.0,30.47,30.69,140114.0
2014-03-07,30.8,31.0,30.5,30.76,146168.0
2014-03-06,30.31,30.76,30.16,30.6,132923.0
2014-03-05,30.46,30.57,30.24,30.33,122614.0
2014-03-04,30.25,30.94,30.22,30.58,354148.0
2014-03-03,29.86,30.06,29.55,29.87,184058.0
2014-02-28,30.13,30.46,30.0,30.06,274119.0
2014-02-27,29.83,30.41,29.7,30.05,220928.0
2014-02-26,29.83,30.41,29.82,30.0,108386.0
2014-02-25,30.09,30.16,29.68,29.77,165710.0
2014-02-24,29.74,30.23,29.74,30.02,159681.0
2014-02-21,30.27,30.36,29.59,29.69,263524.0
2014-02-20,29.44,30.16,29.44,30.11,189394.0
2014-02-19,29.74,30.1,29.33,29.55,139741.0
2014-02-18,30.01,30.33,29.66,29.87,220074.0
2014-02-14,29.76,29.99,29.46,29.88,131247.0
2014-02-13,29.18,29.78,29.12,29.74,293627.0
2014-02-12,29.25,29.77,29.25,29.44,154784.0
2014-02-11,29.01,29.5,28.68,29.32,142972.0
2014-02-10,28.95,29.04,28.52,29.04,163768.0
2014-02-07,29.26,29.26,28.76,29.04,196036.0
2014-02-06,29.25,29.33,29.0,29.1,187815.0
2014-02-05,29.15,29.43,28.82,29.14,265658.0
2014-02-04,29.75,29.75,29.18,29.2,428645.0
2014-02-03,30.05,30.23,29.2,29.61,490001.0
2014-01-31,29.97,30.6,29.8,30.13,328737.0
2014-01-30,29.47,32.5,29.44,30.49,771818.0
2014-01-29,28.9,29.15,28.71,29.11,277372.0
2014-01-28,29.04,29.1,28.72,29.08,456695.0
2014-01-27,29.38,29.38,28.97,29.1,233544.0
2014-01-24,29.63,29.63,29.09,29.26,259965.0
2014-01-23,30.0,30.2,29.81,29.87,376860.0
2014-01-22,29.67,30.29,29.63,30.17,153171.0
2014-01-21,30.09,30.09,29.68,29.74,291417.0
2014-01-17,30.14,30.28,29.84,29.96,212612.0
2014-01-16,30.54,30.56,30.04,30.27,264336.0
2014-01-15,30.6,30.96,30.52,30.73,239193.0
2014-01-14,30.03,30.63,29.92,30.47,179043.0
2014-01-13,30.13,30.45,29.63,29.91,311579.0
2014-01-10,30.12,30.52,29.95,30.32,142698.0
2014-01-09,30.39,30.43,29.94,30.26,148623.0
2014-01-08,30.53,30.62,30.04,30.25,274603.0
2014-01-07,30.08,30.74,30.04,30.49,173170.0
2014-01-06,30.23,30.23,29.71,30.07,185987.0
2014-01-03,29.87,30.59,29.87,30.18,296400.0
2014-01-02,29.85,30.0,29.52,29.86,224584.0
2013-12-31,29.72,30.02,29.6,29.92,244408.0
2013-12-30,29.58,29.78,29.46,29.69,190770.0
2013-12-27,29.78,29.79,29.47,29.68,143041.0
2013-12-26,29.93,29.94,29.6,29.66,247684.0
2013-12-24,29.73,29.9,29.71,29.82,109800.0
2013-12-23,29.99,29.99,29.59,29.74,230487.0
2013-12-20,29.43,29.97,29.29,29.92,502764.0
2013-12-19,29.65,29.78,29.24,29.29,140663.0
2013-12-18,29.58,29.78,29.21,29.77,180882.0
2013-12-17,29.16,29.57,29.0,29.45,131913.0
2013-12-16,28.64,29.43,28.64,29.16,211914.0
2013-12-13,28.75,28.97,28.52,28.57,228136.0
2013-12-12,28.91,29.1,28.61,28.66,214099.0
2013-12-11,28.94,29.28,28.89,28.95,327298.0
2013-12-10,29.06,29.36,28.64,28.89,172077.0
2013-12-09,29.29,29.45,28.96,29.19,139046.0
2013-12-06,29.23,29.55,29.18,29.34,185915.0
2013-12-05,28.87,29.14,28.86,29.0,377608.0
2013-12-04,29.28,29.44,28.57,28.87,202439.0
2013-12-03,29.11,29.56,29.11,29.5,229484.0
2013-12-02,29.78,29.79,29.09,29.24,145458.0
2013-11-29,29.88,29.94,29.53,29.77,85287.0
2013-11-27,29.62,29.95,29.29,29.7,180958.0
2013-11-26,29.0,29.77,28.86,29.74,433341.0
2013-11-25,29.07,29.24,28.92,29.04,143050.0
2013-11-22,29.12,29.28,28.77,29.07,229027.0
2013-11-21,28.56,29.03,28.56,29.02,122388.0
2013-11-20,28.67,28.7,28.23,28.41,186191.0
2013-11-19,29.01,29.02,28.34,28.5,196720.0
2013-11-18,29.34,29.47,28.92,28.94,314700.0
2013-11-15,29.47,29.6,28.81,29.21,325694.0
2013-11-14,29.82,30.0,29.38,29.52,100236.0
2013-11-13,29.21,29.86,29.21,29.84,129815.0
2013-11-12,29.21,29.56,29.12,29.45,104009.0
2013-11-11,29.54,29.69,29.3,29.36,116830.0
2013-11-08,29.27,29.84,29.12,29.69,145769.0
2013-11-07,29.59,29.75,29.09,29.29,193729.0
2013-11-06,29.76,29.84,29.47,29.55,163325.0
2013-11-05,29.38,29.7,28.95,29.53,137997.0
2013-11-04,29.34,29.61,29.17,29.46,210132.0
2013-11-01,29.59,29.72,29.1,29.16,261811.0
2013-10-31,29.92,30.0,29.59,29.64,184617.0
2013-10-30,30.11,30.22,29.66,29.84,249359.0
2013-10-29,30.02,30.14,29.74,30.01,286875.0
2013-10-28,30.5,30.69,29.93,30.01,250044.0
2013-10-25,30.27,30.87,30.27,30.66,462159.0
2013-10-24,30.25,31.0,29.12,30.11,631821.0
2013-10-23,28.95,29.1,28.58,28.86,198477.0
2013-10-22,29.64,29.64,29.04,29.09,219515.0
2013-10-21,29.49,29.67,29.3,29.41,156805.0
2013-10-18,28.99,29.46,28.67,29.39,361016.0
2013-10-17,28.27,28.79,28.16,28.79,195107.0
2013-10-16,28.22,28.58,28.03,28.51,171085.0
2013-10-15,28.38,28.42,27.95,28.08,157023.0
2013-10-14,27.95,28.43,27.95,28.41,168023.0
2013-10-11,27.91,28.14,27.87,28.09,467121.0
2013-10-10,27.96,28.43,27.62,28.01,336582.0
2013-10-09,27.88,27.94,27.36,27.57,321535.0
2013-10-08,27.6,27.98,27.58,27.84,523949.0
2013-10-07,27.4,27.74,27.19,27.53,277801.0
2013-10-04,27.0,27.49,26.97,27.4,221118.0
2013-10-03,26.96,27.14,26.72,26.99,269715.0
2013-10-02,26.9,27.14,26.53,27.02,227044.0
2013-10-01,26.55,27.22,26.39,27.2,330042.0
2013-09-30,26.18,26.7,26.16,26.59,339262.0
2013-09-27,26.22,26.53,26.22,26.42,179639.0
2013-09-26,26.35,26.57,26.26,26.45,264798.0
2013-09-25,26.47,26.57,26.26,26.33,248238.0
2013-09-24,26.67,26.77,26.19,26.45,307231.0
2013-09-23,26.58,26.78,26.44,26.55,194456.0
2013-09-20,26.42,26.8,26.3,26.55,561852.0
2013-09-19,26.47,26.58,26.25,26.35,168550.0
2013-09-18,26.53,26.7,26.22,26.46,171330.0
2013-09-17,26.44,26.59,26.34,26.55,223926.0
2013-09-16,26.48,26.5,26.02,26.45,284263.0
2013-09-13,26.26,26.26,26.04,26.2,96912.0
2013-09-12,26.3,26.41,26.07,26.12,190873.0
2013-09-11,26.16,26.42,26.11,26.21,130862.0
2013-09-10,26.31,26.36,26.05,26.22,184245.0
2013-09-09,25.84,26.15,25.66,26.12,144452.0
2013-09-06,25.89,26.01,25.22,25.67,256730.0
2013-09-05,25.5,25.84,25.27,25.73,168379.0
2013-09-04,24.88,25.57,24.82,25.53,192324.0
2013-09-03,25.42,25.74,24.71,24.9,198665.0
2013-08-30,25.49,25.5,25.05,25.05,341494.0
2013-08-29,25.1,25.5,25.08,25.5,187755.0
2013-08-28,25.24,25.44,25.0,25.1,190751.0
2013-08-27,25.35,25.69,25.28,25.4,334009.0
2013-08-26,25.75,26.0,25.52,25.68,170687.0
2013-08-23,25.69,25.95,25.53,25.7,250633.0
2013-08-22,25.28,25.7,25.21,25.63,215975.0
2013-08-21,25.19,25.39,24.96,25.12,207051.0
2013-08-20,25.05,25.28,24.98,25.23,481350.0
2013-08-19,25.29,25.47,24.93,24.96,439893.0
2013-08-16,25.65,25.95,25.21,25.26,350035.0
2013-08-15,26.41,26.6,25.73,25.77,231041.0
2013-08-14,26.98,27.07,26.73,26.78,229362.0
2013-08-13,26.85,27.1,26.64,27.01,120944.0
2013-08-12,26.5,26.94,26.5,26.89,101551.0
2013-08-09,26.96,27.01,26.73,26.76,178930.0
2013-08-08,27.24,27.24,26.99,27.1,214300.0
2013-08-07,27.11,27.36,26.97,27.15,246029.0
2013-08-06,27.23,27.38,27.09,27.25,240876.0
2013-08-05,27.17,27.6,27.13,27.34,201787.0
2013-08-02,27.12,27.33,26.86,27.22,164638.0
2013-08-01,27.3,27.55,27.13,27.31,183262.0
2013-07-31,27.34,27.51,27.11,27.12,189895.0
2013-07-30,27.4,27.48,27.2,27.36,175436.0
2013-07-29,27.22,27.47,27.14,27.21,237928.0
2013-07-26,27.41,27.58,26.96,27.36,229974.0
2013-07-25,27.71,27.8,27.01,27.74,357442.0
2013-07-24,28.11,28.29,27.71,27.81,231264.0
2013-07-23,28.37,28.37,27.95,28.01,179733.0
2013-07-22,28.01,28.35,27.92,28.2,205285.0
2013-07-19,28.18,28.32,27.99,28.15,139896.0
2013-07-18,28.45,28.52,27.88,28.35,252062.0
2013-07-17,28.83,28.83,28.2,28.43,161794.0
2013-07-16,28.56,28.8,28.28,28.58,135629.0
2013-07-15,28.77,28.97,28.4,28.62,171033.0
2013-07-12,28.63,28.96,28.63,28.82,127815.0
2013-07-11,28.64,28.8,28.32,28.72,164863.0
2013-07-10,27.5,28.44,27.3,28.36,260553.0
2013-07-09,27.22,27.6,27.0,27.5,299592.0
2013-07-08,26.97,27.28,26.76,27.08,358275.0
2013-07-05,27.01,27.01,26.38,26.97,203287.0
2013-07-03,26.26,26.76,26.03,26.43,183789.0
2013-07-02,26.43,26.84,26.18,26.36,188376.0
2013-07-01,26.7,26.73,26.38,26.53,201853.0
2013-06-28,26.8,26.89,26.51,26.54,272503.0
2013-06-27,26.65,27.29,26.61,26.9,224910.0
2013-06-26,26.73,26.84,26.25,26.49,278057.0
2013-06-25,26.76,26.76,26.29,26.53,288476.0
2013-06-24,26.75,27.28,26.51,26.54,209024.0
2013-06-21,27.37,27.37,26.79,27.05,439515.0
2013-06-20,27.43,27.59,27.04,27.25,216603.0
2013-06-19,28.17,28.41,27.88,27.88,190579.0
2013-06-18,27.85,28.34,27.85,28.26,124656.0
2013-06-17,28.04,28.13,27.41,27.73,101956.0
2013-06-14,28.15,28.31,27.63,27.75,115119.0
2013-06-13,27.67,28.34,27.42,28.33,247932.0
2013-06-12,28.41,28.54,27.71,27.72,154036.0
2013-06-11,28.63,28.92,28.13,28.13,326184.0
2013-06-10,28.18,29.02,28.07,28.96,348762.0
2013-06-07,27.7,28.25,27.44,28.15,191623.0
2013-06-06,27.8,28.0,27.12,27.43,213130.0
2013-06-05,27.74,28.16,27.6,27.82,215536.0
2013-06-04,28.09,28.47,27.61,27.86,294836.0
2013-06-03,28.21,28.55,27.85,28.19,345367.0
2013-05-31,27.98,28.34,27.98,28.15,185607.0
2013-05-30,27.99,28.26,27.74,28.25,122281.0
2013-05-29,27.93,28.1,27.64,27.98,89831.0
2013-05-28,27.98,28.23,27.7,28.09,182489.0
2013-05-24,27.36,27.62,27.3,27.49,187720.0
2013-05-23,27.13,27.85,27.12,27.49,245819.0
2013-05-22,28.04,28.26,27.22,27.37,219876.0
2013-05-21,27.94,28.26,27.82,28.1,145167.0
2013-05-20,27.61,28.0,27.61,27.99,179189.0
2013-05-17,27.42,27.81,27.34,27.79,189364.0
2013-05-16,27.52,27.63,27.27,27.31,116484.0
2013-05-15,27.12,27.85,26.97,27.56,167876.0
2013-05-14,27.07,27.69,26.99,27.28,169148.0
2013-05-13,27.38,27.51,26.93,27.11,120551.0
2013-05-10,27.52,27.67,27.37,27.51,137730.0
2013-05-09,27.39,27.71,27.3,27.47,145124.0
2013-05-08,27.3,27.5,27.12,27.49,158638.0
2013-05-07,27.29,27.45,27.01,27.45,143067.0
2013-05-06,27.45,27.49,27.05,27.16,134418.0
2013-05-03,26.83,27.34,26.74,27.14,214819.0
2013-05-02,25.92,26.57,25.63,26.4,216409.0
2013-05-01,26.7,26.92,25.72,25.74,327596.0
2013-04-30,26.82,26.95,26.51,26.87,320897.0
2013-04-29,26.12,27.05,26.1,26.96,416087.0
2013-04-26,26.27,26.54,26.08,26.13,281564.0
2013-04-25,26.18,26.61,26.16,26.46,547092.0
2013-04-24,25.96,26.21,25.85,26.16,200161.0
2013-04-23,25.58,26.15,25.44,25.93,138655.0
2013-04-22,25.39,25.39,24.64,25.3,197623.0
2013-04-19,25.14,25.54,24.74,25.29,212265.0
2013-04-18,25.37,25.7,25.01,25.12,299724.0
2013-04-17,25.57,25.7,25.15,25.22,310443.0
2013-04-16,25.75,25.96,25.29,25.89,543683.0
2013-04-15,26.56,26.82,25.61,25.78,284459.0
2013-04-12,26.73,26.9,26.41,26.66,200307.0
2013-04-11,26.72,26.95,26.58,26.84,174555.0
2013-04-10,26.07,26.96,25.97,26.86,374342.0
2013-04-09,26.4,26.43,25.77,26.06,217702.0
2013-04-08,26.07,26.35,25.84,26.35,416621.0

