Date,Open,High,Low,Close,Volume
2014-04-07,56.87,57.35,55.33,55.37,154035.0
2014-04-04,57.36,57.73,56.5,56.96,214003.0
2014-04-03,57.15,57.29,56.73,57.23,149755.0
2014-04-02,56.94,57.23,56.55,57.04,235067.0
2014-04-01,57.0,57.18,56.65,56.97,171192.0
2014-03-31,56.76,57.17,56.13,56.88,166617.0
2014-03-28,55.96,57.28,55.96,56.51,100178.0
2014-03-27,56.45,56.52,55.13,56.08,205355.0
2014-03-26,57.63,58.1,55.81,56.39,201665.0
2014-03-25,58.66,58.7,57.05,57.19,179516.0
2014-03-24,59.17,59.17,57.87,58.34,108265.0
2014-03-21,58.36,59.51,58.36,59.04,340534.0
2014-03-20,58.29,59.5,57.86,57.95,255204.0
2014-03-19,59.05,59.66,57.91,58.35,168967.0
2014-03-18,60.18,60.59,58.99,59.11,215032.0
2014-03-17,59.38,60.35,59.18,60.05,184682.0
2014-03-14,59.3,60.31,59.27,59.6,171744.0
2014-03-13,60.8,61.02,59.5,59.74,206419.0
2014-03-12,60.6,61.23,60.33,60.56,131818.0
2014-03-11,61.48,61.87,60.24,60.8,452322.0
2014-03-10,61.55,61.99,60.87,61.58,234122.0
2014-03-07,61.82,62.11,61.2,61.81,187415.0
2014-03-06,61.61,62.01,61.02,61.44,232090.0
2014-03-05,60.82,61.51,60.34,61.46,137051.0
2014-03-04,59.81,61.25,59.38,60.92,314779.0
2014-03-03,59.22,59.44,57.83,59.23,223157.0
2014-02-28,59.45,59.94,58.97,59.66,215867.0
2014-02-27,59.01,59.64,58.18,59.25,213265.0
2014-02-26,58.78,60.26,58.29,59.25,295408.0
2014-02-25,57.92,58.53,57.32,58.47,229234.0
2014-02-24,56.57,58.35,56.57,58.01,239951.0
2014-02-21,56.01,56.77,55.91,56.63,203018.0
2014-02-20,56.22,56.48,55.26,55.63,157414.0
2014-02-19,56.25,56.89,55.8,56.03,151807.0
2014-02-18,55.53,56.51,55.18,56.34,208075.0
2014-02-14,55.35,55.74,54.83,55.25,335558.0
2014-02-13,54.3,55.85,54.02,55.33,158265.0
2014-02-12,56.22,56.33,54.5,54.74,295555.0
2014-02-11,56.09,56.99,55.89,56.14,301169.0
2014-02-10,56.62,56.78,55.43,56.17,259195.0
2014-02-07,56.47,57.48,56.45,56.83,177093.0
2014-02-06,55.49,56.81,55.19,56.4,236972.0
2014-02-05,54.86,55.35,53.9,55.16,351733.0
2014-02-04,54.81,55.49,54.3,55.17,183533.0
2014-02-03,55.37,55.8,54.34,54.63,987682.0
2014-01-31,55.25,55.99,55.15,55.51,309281.0
2014-01-30,56.06,56.06,55.16,55.68,475537.0
2014-01-29,55.03,55.91,54.81,55.48,751443.0
2014-01-28,55.31,56.74,54.53,54.98,577708.0
2014-01-27,54.62,55.89,53.85,55.29,426817.0
2014-01-24,55.11,55.38,54.12,54.24,274485.0
2014-01-23,55.38,56.2,55.38,55.66,295102.0
2014-01-22,56.66,56.76,55.9,56.12,304870.0
2014-01-21,56.7,56.92,55.76,56.48,309386.0
2014-01-17,56.44,57.15,55.71,56.17,188832.0
2014-01-16,56.75,57.39,55.96,56.45,216646.0
2014-01-15,57.64,57.93,56.26,56.73,349969.0
2014-01-14,55.65,57.91,55.33,57.52,244077.0
2014-01-13,55.75,56.55,54.6,55.23,309194.0
2014-01-10,56.35,56.65,55.3,55.81,216762.0
2014-01-09,56.36,56.85,56.01,56.28,321048.0
2014-01-08,56.58,57.87,55.75,56.11,538220.0
2014-01-07,55.49,57.31,55.49,56.73,380070.0
2014-01-06,55.97,56.46,54.78,55.27,219554.0
2014-01-03,55.22,55.94,54.86,55.87,238262.0
2014-01-02,55.96,56.04,54.87,55.2,223481.0
2013-12-31,55.72,58.0,55.47,56.36,284775.0
