Date,Open,High,Low,Close,Volume
2014-04-07,11.25,11.49,10.97,11.24,1127328.0
2014-04-04,11.17,11.31,10.63,11.25,1603029.0
2014-04-03,11.52,12.13,10.83,11.11,2485512.0
2014-04-02,11.67,11.74,11.39,11.55,855558.0
2014-04-01,11.65,11.93,11.31,11.64,2800794.0
2014-03-31,14.08,14.15,11.26,11.65,4236657.0
2014-03-28,14.34,14.47,13.8,14.01,817581.0
2014-03-27,13.17,14.42,13.05,14.36,1038704.0
2014-03-26,14.11,14.34,13.04,13.19,1272612.0
2014-03-25,14.43,14.77,13.89,13.99,478233.0
2014-03-24,14.5,14.6,13.73,14.32,990932.0
2014-03-21,15.44,15.69,14.35,14.48,1987771.0
2014-03-20,16.12,16.12,14.75,15.43,738363.0
2014-03-19,15.8,16.25,15.71,16.2,419432.0
2014-03-18,15.45,15.98,15.39,15.75,336393.0
2014-03-17,15.47,16.06,15.36,15.44,368756.0
2014-03-14,15.46,15.52,15.07,15.34,316263.0
2014-03-13,15.36,15.87,15.15,15.46,561773.0
2014-03-12,14.72,15.37,14.71,15.3,492017.0
2014-03-11,14.64,14.88,14.25,14.81,973249.0
2014-03-10,14.97,15.1,14.4,14.59,562769.0
2014-03-07,14.91,15.23,14.4,15.01,756994.0
2014-03-06,15.36,15.36,14.48,14.9,467869.0
2014-03-05,14.54,15.37,14.35,15.25,892882.0
2014-03-04,14.41,14.81,13.94,14.5,1587318.0
2014-03-03,14.71,15.33,14.26,14.31,1406867.0
2014-02-28,17.19,17.29,14.79,14.8,1880828.0
2014-02-27,17.49,17.5,17.1,17.21,851250.0
2014-02-26,17.66,17.7,17.38,17.49,391202.0
2014-02-25,17.47,17.73,17.29,17.6,401163.0
2014-02-24,17.67,17.82,17.44,17.48,461193.0
2014-02-21,17.7,17.9,17.61,17.7,1008363.0
2014-02-20,17.68,18.1,17.6,17.74,811473.0
2014-02-19,17.86,18.05,17.61,17.74,386978.0
2014-02-18,17.96,18.38,17.69,17.96,426872.0
2014-02-14,17.95,18.38,17.73,17.85,507130.0
2014-02-13,17.62,18.22,17.62,17.96,336286.0
2014-02-12,17.8,18.16,17.44,17.81,438269.0
2014-02-11,16.54,17.95,16.27,17.87,612254.0
2014-02-10,16.37,17.12,15.97,16.47,816985.0
2014-02-07,15.99,16.69,15.99,16.46,435423.0
2014-02-06,16.24,16.29,15.86,15.96,396124.0
2014-02-05,16.58,16.58,15.96,16.14,432004.0
2014-02-04,16.29,16.92,16.1,16.64,413036.0
2014-02-03,17.77,17.9,16.13,16.28,1271260.0
2014-01-31,18.3,18.97,17.88,17.9,783128.0
2014-01-30,18.74,18.96,18.5,18.6,474030.0
2014-01-29,18.63,18.9,18.3,18.61,536240.0
2014-01-28,18.4,19.16,18.18,18.9,536835.0
2014-01-27,19.12,19.13,18.07,18.32,271624.0
2014-01-24,19.19,19.48,18.85,19.04,448254.0
2014-01-23,19.41,19.55,19.09,19.36,452350.0
2014-01-22,19.4,19.51,19.22,19.38,252079.0
2014-01-21,19.59,19.59,19.12,19.42,367637.0
2014-01-17,19.5,19.78,19.39,19.46,272307.0
2014-01-16,19.5,19.67,19.31,19.54,641334.0
2014-01-15,19.45,19.54,19.26,19.49,386063.0
2014-01-14,19.51,19.6,19.33,19.5,470918.0
2014-01-13,19.65,19.82,19.18,19.57,542967.0
2014-01-10,19.62,19.81,19.26,19.72,570076.0
2014-01-09,19.3,19.9,19.25,19.56,900595.0
2014-01-08,18.68,19.21,18.51,19.19,539562.0
2014-01-07,18.7,18.83,18.5,18.63,376526.0
2014-01-06,18.75,18.8,18.32,18.58,277318.0
2014-01-03,18.04,18.91,17.99,18.72,513687.0
2014-01-02,17.56,18.07,17.34,18.03,574389.0
2013-12-31,17.98,18.0,17.65,17.68,251232.0
2013-12-30,17.93,18.04,17.84,17.99,305817.0
2013-12-27,17.73,17.95,17.52,17.88,313666.0
2013-12-26,17.55,18.22,17.55,17.65,569899.0
2013-12-24,17.54,17.83,17.46,17.53,222741.0
2013-12-23,17.4,17.67,17.38,17.55,713727.0
2013-12-20,17.45,17.49,17.08,17.4,1634064.0
2013-12-19,17.75,17.78,17.26,17.45,732581.0
2013-12-18,17.57,17.8,17.18,17.78,416274.0
2013-12-17,17.81,17.96,17.45,17.58,511715.0
2013-12-16,17.27,17.9,17.27,17.81,1121839.0
2013-12-13,17.2,17.43,17.06,17.25,407191.0
2013-12-12,17.31,17.52,17.02,17.15,382495.0
2013-12-11,17.25,17.45,16.79,17.26,324886.0
2013-12-10,17.3,17.53,17.06,17.23,321116.0
2013-12-09,17.61,17.69,17.22,17.52,184196.0
2013-12-06,17.65,17.9,17.37,17.52,246040.0
2013-12-05,17.51,17.73,17.37,17.45,157798.0
2013-12-04,17.71,17.71,17.32,17.46,193509.0
2013-12-03,17.85,18.07,17.5,17.76,250103.0
2013-12-02,17.77,18.0,17.49,17.91,160379.0
2013-11-29,18.03,18.14,17.76,17.79,88449.0
2013-11-27,17.85,18.0,17.66,17.92,143641.0
2013-11-26,18.09,18.12,17.65,17.83,189378.0
2013-11-25,17.77,18.15,17.75,18.04,245389.0
2013-11-22,17.38,17.85,17.35,17.78,219045.0
2013-11-21,17.15,17.41,17.05,17.32,128340.0
2013-11-20,17.0,17.32,16.9,17.07,126348.0
2013-11-19,17.17,17.3,16.9,16.97,199126.0
2013-11-18,17.19,17.78,17.13,17.21,286601.0
2013-11-15,16.88,17.15,16.78,17.11,190957.0
2013-11-14,16.91,17.03,16.67,16.92,194233.0
2013-11-13,16.91,16.95,16.7,16.83,204411.0
2013-11-12,16.66,17.07,16.56,17.06,330047.0
2013-11-11,17.18,17.21,16.7,16.71,183322.0
2013-11-08,16.89,17.21,16.84,17.15,341383.0
2013-11-07,16.45,17.05,16.45,16.88,444023.0
2013-11-06,17.16,17.2,16.21,16.37,585329.0
2013-11-05,16.51,16.85,16.34,16.8,349945.0
2013-11-04,16.33,16.62,16.33,16.56,511047.0
2013-11-01,16.37,16.62,16.28,16.3,510180.0
2013-10-31,16.44,16.63,16.28,16.38,360909.0
2013-10-30,16.21,16.52,16.21,16.39,490774.0
2013-10-29,16.34,16.42,15.97,16.16,230049.0
2013-10-28,16.39,16.75,16.25,16.32,390850.0
2013-10-25,16.77,16.83,16.33,16.43,259443.0
2013-10-24,16.75,16.97,16.68,16.69,202354.0
2013-10-23,16.36,16.83,16.21,16.72,344925.0
2013-10-22,16.24,16.63,16.24,16.43,347244.0
2013-10-21,16.47,16.51,16.09,16.21,486996.0
2013-10-18,16.48,16.52,16.18,16.42,674372.0
2013-10-17,15.91,16.43,15.87,16.33,657506.0
2013-10-16,15.76,16.08,15.76,16.03,316777.0
2013-10-15,15.69,15.84,15.37,15.69,343486.0
2013-10-14,15.6,15.73,15.43,15.69,301274.0
2013-10-11,15.3,15.8,15.14,15.68,339872.0
2013-10-10,15.32,15.48,15.23,15.48,290111.0
2013-10-09,14.71,15.36,14.4,15.06,563310.0
2013-10-08,14.98,15.0,14.51,14.69,482900.0
2013-10-07,15.04,15.1,14.82,15.0,265706.0
2013-10-04,15.06,15.25,14.91,15.15,194332.0
2013-10-03,14.88,15.32,14.5,15.09,470282.0
2013-10-02,14.93,15.05,14.73,14.95,314046.0
2013-10-01,14.34,15.04,14.26,15.01,628996.0
2013-09-30,14.16,14.42,13.76,14.39,584622.0
2013-09-27,14.27,14.72,14.15,14.36,262190.0
2013-09-26,14.29,14.51,14.14,14.37,262636.0
2013-09-25,14.54,14.63,14.24,14.28,380673.0
2013-09-24,14.72,14.9,14.51,14.54,559432.0
2013-09-23,15.49,15.49,14.6,14.72,361548.0
2013-09-20,15.67,15.75,15.16,15.51,2038878.0
2013-09-19,15.94,16.0,15.57,15.67,224538.0
2013-09-18,15.76,16.16,15.57,15.95,337796.0
2013-09-17,15.49,15.82,15.43,15.75,281975.0
2013-09-16,15.77,15.82,15.28,15.5,295457.0
2013-09-13,15.62,15.68,15.07,15.55,295128.0
2013-09-12,15.7,15.76,15.51,15.56,649138.0
2013-09-11,15.44,15.77,15.14,15.7,406349.0
2013-09-10,15.44,15.56,15.27,15.43,234169.0
2013-09-09,15.15,15.47,15.08,15.4,401006.0
2013-09-06,15.17,15.4,14.76,15.14,490344.0
2013-09-05,15.15,15.26,14.67,15.12,258561.0
2013-09-04,14.61,15.11,14.53,15.11,322671.0
2013-09-03,14.27,14.72,14.22,14.63,248190.0
2013-08-30,14.29,14.3,14.05,14.09,156426.0
2013-08-29,14.12,14.53,14.12,14.32,314658.0
2013-08-28,14.64,14.71,14.18,14.19,451869.0
2013-08-27,15.0,15.15,14.59,14.6,313139.0
2013-08-26,14.99,15.38,14.98,15.14,213902.0
2013-08-23,14.9,15.04,14.74,14.96,252496.0
2013-08-22,14.79,14.97,14.68,14.9,208519.0
2013-08-21,14.74,15.09,14.65,14.78,172584.0
2013-08-20,14.47,15.11,14.37,14.81,301509.0
2013-08-19,15.0,15.08,14.46,14.51,441692.0
2013-08-16,15.18,15.35,15.03,15.03,339149.0
2013-08-15,15.43,15.77,15.2,15.28,343892.0
2013-08-14,15.58,15.83,15.51,15.58,276618.0
2013-08-13,15.71,15.96,15.52,15.63,437033.0
