Date,Open,High,Low,Close,Volume
2014-04-07,21.04,21.14,20.7,20.95,69601.0
2014-04-04,21.68,21.8,21.19,21.19,155045.0
2014-04-03,21.72,21.72,21.48,21.49,72593.0
2014-04-02,21.73,21.86,21.5,21.67,55035.0
2014-04-01,21.67,21.77,21.36,21.63,85130.0
2014-03-31,20.45,21.68,20.34,21.52,150494.0
2014-03-28,20.41,20.58,19.97,20.27,162436.0
2014-03-27,20.42,20.63,20.19,20.35,54751.0
2014-03-26,21.8,21.8,20.34,20.35,114490.0
2014-03-25,21.73,21.95,21.42,21.6,106409.0
2014-03-24,21.72,21.8,21.27,21.67,126530.0
2014-03-21,20.83,21.77,20.82,21.62,167636.0
2014-03-20,20.45,20.8,20.4,20.78,71385.0
2014-03-19,20.5,20.65,20.25,20.45,105556.0
2014-03-18,20.53,20.68,20.34,20.48,88139.0
2014-03-17,20.41,20.57,20.2,20.48,80965.0
2014-03-14,20.15,20.52,20.04,20.3,32934.0
2014-03-13,20.8,20.8,20.16,20.28,38263.0
2014-03-12,20.41,20.85,18.93,20.66,70212.0
2014-03-11,21.06,21.21,20.3,20.59,125586.0
2014-03-10,20.95,21.25,20.68,21.06,68324.0
2014-03-07,20.68,21.05,20.25,21.01,119765.0
2014-03-06,20.29,20.6,20.0,20.52,63078.0
2014-03-05,19.96,20.2,19.88,20.17,56122.0
2014-03-04,19.63,20.36,19.54,20.04,136140.0
2014-03-03,19.32,19.43,18.92,19.34,31917.0
2014-02-28,19.68,19.89,19.39,19.49,82922.0
2014-02-27,19.26,19.72,19.23,19.62,71008.0
2014-02-26,18.98,19.42,18.94,19.34,106653.0
2014-02-25,19.02,19.11,18.7,19.02,62746.0
2014-02-24,18.9,19.23,18.4,18.92,122211.0
2014-02-21,19.65,19.65,18.81,18.85,151908.0
2014-02-20,18.96,19.57,18.8,19.52,57511.0
2014-02-19,19.43,19.7,18.89,18.93,78419.0
2014-02-18,19.32,19.67,19.31,19.55,62537.0
2014-02-14,19.46,19.5,19.17,19.32,37379.0
2014-02-13,19.02,19.71,18.98,19.46,97161.0
2014-02-12,18.81,19.18,18.55,19.1,73951.0
2014-02-11,18.58,18.88,18.46,18.74,86082.0
2014-02-10,18.55,18.77,18.45,18.51,95319.0
2014-02-07,18.39,18.8,18.08,18.57,120386.0
2014-02-06,18.29,18.45,17.91,18.37,120902.0
