Date,Open,High,Low,Close,Volume
2014-04-07,25.0,25.34,24.48,24.76,387703.0
2014-04-04,25.98,25.98,24.76,25.09,586658.0
2014-04-03,25.9,25.97,25.67,25.88,343577.0
2014-04-02,25.8,26.05,25.7,25.83,413708.0
2014-04-01,25.04,25.88,24.97,25.8,484086.0
2014-03-31,24.58,25.23,24.53,25.03,333226.0
2014-03-28,24.42,25.01,24.23,24.49,477301.0
2014-03-27,25.08,25.42,24.42,24.45,488571.0
2014-03-26,25.96,26.24,25.0,25.0,408621.0
2014-03-25,26.0,26.3,25.5,25.7,371051.0
2014-03-24,25.99,26.24,25.62,25.83,430488.0
2014-03-21,25.71,26.65,25.71,26.0,607910.0
2014-03-20,25.89,26.36,25.76,26.27,258318.0
2014-03-19,25.68,26.25,25.51,25.92,421847.0
2014-03-18,24.85,25.77,24.85,25.77,475214.0
2014-03-17,25.1,25.4,24.85,24.9,420049.0
2014-03-14,24.89,25.21,24.63,24.99,467154.0
2014-03-13,24.79,25.18,24.69,24.99,1007853.0
2014-03-12,24.53,24.76,24.45,24.67,284734.0
2014-03-11,24.65,24.83,24.5,24.59,434631.0
2014-03-10,24.5,24.84,24.49,24.65,743439.0
2014-03-07,24.22,24.52,24.01,24.5,497247.0
2014-03-06,23.82,24.16,23.76,24.03,496301.0
2014-03-05,23.71,23.9,23.43,23.84,304093.0
2014-03-04,23.06,23.76,23.06,23.71,630620.0
2014-03-03,22.91,23.13,22.5,22.72,332439.0
2014-02-28,22.71,23.18,22.59,23.06,554694.0
2014-02-27,22.4,22.75,22.28,22.64,629980.0
2014-02-26,22.8,22.9,22.48,22.5,636512.0
2014-02-25,23.02,23.04,22.71,22.77,237997.0
2014-02-24,22.97,23.11,22.78,23.0,270220.0
2014-02-21,23.29,23.45,22.77,22.83,406799.0
2014-02-20,23.05,23.28,22.85,23.14,370706.0
2014-02-19,22.85,23.31,22.64,22.99,385915.0
2014-02-18,23.0,23.22,22.94,22.98,298687.0
2014-02-14,23.22,23.22,22.75,23.02,335475.0
2014-02-13,22.68,23.3,22.68,23.21,419771.0
2014-02-12,22.56,22.98,22.33,22.9,324649.0
2014-02-11,22.82,22.95,22.48,22.6,519538.0
2014-02-10,22.9,23.01,22.69,22.86,769708.0
2014-02-07,22.77,23.19,22.46,22.98,342474.0
2014-02-06,22.55,23.32,22.28,22.64,242628.0
2014-02-05,22.55,22.79,22.16,22.51,347102.0
2014-02-04,22.57,22.72,22.28,22.62,374570.0
2014-02-03,23.29,23.55,22.25,22.51,560405.0
2014-01-31,23.24,23.8,23.24,23.44,362706.0
2014-01-30,23.43,23.99,23.31,23.73,440374.0
2014-01-29,23.54,23.88,23.26,23.28,418496.0
2014-01-28,23.42,23.71,23.29,23.7,473353.0
2014-01-27,23.57,23.7,23.32,23.48,556285.0
2014-01-24,26.0,26.0,23.01,23.61,1261372.0
2014-01-23,25.52,25.57,24.78,25.12,653428.0
2014-01-22,24.84,25.29,24.75,25.25,392637.0
2014-01-21,24.95,24.99,24.65,24.76,442634.0
2014-01-17,24.86,25.13,24.67,24.86,263502.0
2014-01-16,24.98,25.13,24.86,24.97,177660.0
2014-01-15,25.0,25.19,24.92,25.1,342190.0
2014-01-14,24.45,24.98,24.45,24.86,230867.0
2014-01-13,24.5,24.79,24.18,24.34,448840.0
2014-01-10,24.57,24.72,24.36,24.65,369409.0
2014-01-09,24.91,24.91,24.37,24.5,487670.0
2014-01-08,24.87,25.07,24.72,24.9,344971.0
2014-01-07,24.71,25.08,24.64,24.86,304221.0
2014-01-06,25.03,25.1,24.69,24.84,353499.0
2014-01-03,24.89,25.07,24.66,24.99,505763.0
2014-01-02,24.73,24.9,24.54,24.88,445157.0
2013-12-31,24.89,25.03,24.72,24.95,334244.0
2013-12-30,24.95,24.99,24.83,24.85,174177.0
2013-12-27,24.7,24.94,24.58,24.94,226262.0
2013-12-26,24.68,24.68,24.37,24.59,251819.0
2013-12-24,24.48,24.79,24.38,24.64,257148.0
2013-12-23,24.1,24.5,24.04,24.44,353479.0
2013-12-20,23.87,24.65,23.68,23.96,2148173.0
2013-12-19,23.78,23.88,23.5,23.76,422988.0
2013-12-18,23.88,23.9,23.4,23.82,420409.0
2013-12-17,23.61,24.06,23.61,23.93,325113.0
2013-12-16,23.24,23.83,23.24,23.56,428240.0
2013-12-13,23.05,23.39,23.03,23.07,474216.0
2013-12-12,23.16,23.38,22.91,23.03,723973.0
2013-12-11,23.86,24.1,23.24,23.31,532111.0
2013-12-10,24.02,24.07,23.75,23.77,887637.0
2013-12-09,24.11,24.29,23.86,24.01,524080.0
2013-12-06,24.29,24.42,24.05,24.12,541239.0
2013-12-05,23.87,24.15,23.85,24.08,332501.0
2013-12-04,24.02,24.16,23.56,23.89,422582.0
2013-12-03,23.96,24.29,23.72,24.1,402272.0
2013-12-02,24.46,24.46,23.98,24.03,497190.0
2013-11-29,25.0,25.0,24.43,24.43,174125.0
2013-11-27,24.32,24.48,24.0,24.4,570943.0
2013-11-26,23.93,24.17,23.93,24.13,573027.0
2013-11-25,23.9,24.16,23.72,23.93,354590.0
2013-11-22,23.37,23.85,23.37,23.74,233301.0
2013-11-21,23.19,23.54,23.01,23.43,326821.0
2013-11-20,23.1,23.3,22.93,23.08,463722.0
2013-11-19,23.06,23.38,22.97,23.07,570876.0
2013-11-18,23.3,23.45,22.98,23.06,318451.0
