Date,Open,High,Low,Close,Volume
2014-04-07,39.96,40.27,39.74,39.8,37559615.0
2014-04-04,41.25,41.39,39.64,39.87,51409573.0
2014-04-03,41.29,41.29,40.71,41.01,30139567.0
2014-04-02,41.44,41.66,41.17,41.35,28666682.0
2014-04-01,41.15,41.59,41.07,41.42,32610395.0
2014-03-31,40.43,41.5,40.4,40.99,46886284.0
2014-03-28,39.79,40.64,39.68,40.3,43472747.0
2014-03-27,39.74,39.97,39.34,39.36,35369170.0
2014-03-26,40.48,40.7,39.6,39.79,41982966.0
2014-03-25,40.66,40.99,39.96,40.34,43193147.0
2014-03-24,40.34,40.64,39.86,40.5,46098374.0
2014-03-21,40.72,40.94,40.01,40.16,80731942.0
2014-03-20,39.25,40.65,39.24,40.33,59269801.0
2014-03-19,39.47,39.55,38.91,39.27,35597241.0
2014-03-18,38.26,39.9,38.22,39.55,64063866.0
2014-03-17,37.9,38.41,37.79,38.05,20479610.0
2014-03-14,37.65,38.14,37.51,37.7,27195638.0
2014-03-13,38.42,38.45,37.64,37.89,32169650.0
2014-03-12,37.8,38.43,37.79,38.27,30496295.0
2014-03-11,37.87,38.23,37.72,38.02,25218133.0
2014-03-10,37.99,38.01,37.72,37.82,19007850.0
2014-03-07,38.28,38.36,37.69,37.9,26596635.0
2014-03-06,38.14,38.24,37.89,38.15,23605310.0
2014-03-05,38.25,38.27,37.93,38.11,20520432.0
2014-03-04,38.2,38.48,38.07,38.41,26868337.0
2014-03-03,37.92,38.13,37.5,37.78,29726792.0
2014-02-28,37.98,38.46,37.82,38.31,41217028.0
2014-02-27,37.45,37.89,37.23,37.86,33919024.0
2014-02-26,37.58,37.74,37.19,37.47,41042629.0
2014-02-25,37.61,37.85,37.35,37.54,30867657.0
2014-02-24,37.69,37.98,37.54,37.69,32143395.0
2014-02-21,37.94,38.35,37.86,37.98,38030656.0
2014-02-20,37.57,37.87,37.4,37.75,27541038.0
2014-02-19,37.22,37.75,37.21,37.51,29794084.0
2014-02-18,37.63,37.78,37.41,37.42,32839707.0
2014-02-14,37.39,37.78,37.33,37.62,42986738.0
2014-02-13,37.33,37.86,37.33,37.61,37647772.0
2014-02-12,37.35,37.6,37.3,37.47,27055869.0
2014-02-11,36.88,37.26,36.86,37.18,32164989.0
2014-02-10,36.63,36.8,36.29,36.8,26782083.0
2014-02-07,36.32,36.59,36.01,36.56,33348008.0
2014-02-06,35.8,36.25,35.69,36.18,35380994.0
2014-02-05,36.29,36.47,35.8,35.82,55841097.0
2014-02-04,36.97,37.19,36.25,36.35,55526924.0
2014-02-03,37.74,37.98,36.43,36.48,64102391.0
2014-01-31,36.95,37.89,36.56,37.84,93190755.0
2014-01-30,36.79,36.88,36.23,36.86,35111959.0
2014-01-29,35.98,36.88,35.9,36.66,52790351.0
2014-01-28,36.12,36.39,35.75,36.27,36225755.0
2014-01-27,36.87,36.89,35.98,36.03,44485767.0
2014-01-24,37.45,37.55,36.53,36.8,77051806.0
2014-01-23,36.09,36.13,35.52,36.06,44515126.0
2014-01-22,36.26,36.32,35.75,35.93,21965266.0
2014-01-21,36.82,36.82,36.06,36.17,31578979.0
2014-01-17,36.83,36.83,36.15,36.38,46298736.0
2014-01-16,36.69,37.0,36.31,36.89,38035708.0
2014-01-15,35.9,36.79,35.85,36.76,44909545.0
2014-01-14,34.73,35.88,34.63,35.78,41627325.0
2014-01-13,35.99,36.02,34.83,34.98,45923872.0
2014-01-10,35.9,36.15,35.75,36.04,40558766.0
2014-01-09,35.88,35.91,35.4,35.53,36520448.0
2014-01-08,36.0,36.14,35.58,35.76,59979542.0
2014-01-07,36.32,36.49,36.21,36.41,35924726.0
2014-01-06,36.85,36.89,36.11,36.13,43615035.0
2014-01-03,37.2,37.22,36.6,36.91,31134795.0
2014-01-02,37.35,37.4,37.1,37.16,30643745.0
2013-12-31,37.4,37.58,37.22,37.41,17505770.0
2013-12-30,37.22,37.38,36.9,37.29,16290475.0
2013-12-27,37.58,37.62,37.17,37.29,14563533.0
2013-12-26,37.2,37.49,37.17,37.44,17614984.0
2013-12-24,36.72,37.17,36.64,37.08,14242997.0
2013-12-23,36.81,36.89,36.55,36.62,25128740.0
2013-12-20,36.25,36.93,36.18,36.8,62650324.0
2013-12-19,36.52,36.55,36.08,36.25,34157264.0
2013-12-18,36.36,36.6,35.53,36.58,63192067.0
2013-12-17,36.65,37.11,36.33,36.52,45687679.0
2013-12-16,36.73,37.0,36.54,36.88,31734515.0
2013-12-13,37.43,37.45,36.62,36.69,40074360.0
2013-12-12,37.6,37.64,37.18,37.22,36012761.0
2013-12-11,37.71,38.3,37.39,37.61,39853379.0
