Date,Open,High,Low,Close,Volume
2014-04-07,111.4,114.17,106.54,108.78,86148.0
2014-04-04,115.5,115.5,111.16,111.66,79485.0
2014-04-03,117.39,117.68,113.77,114.95,99968.0
2014-04-02,117.76,117.87,116.14,116.73,46665.0
2014-04-01,116.14,118.46,115.39,116.26,69566.0
2014-03-31,112.38,117.55,112.38,115.39,71688.0
2014-03-28,113.79,115.12,112.66,113.5,48804.0
2014-03-27,115.0,117.0,113.06,114.02,63426.0
2014-03-26,118.05,118.64,114.72,115.22,68966.0
2014-03-25,118.93,120.0,116.0,116.29,65034.0
2014-03-24,124.24,124.6,118.12,118.69,88435.0
2014-03-21,126.73,126.75,123.45,124.35,96594.0
2014-03-20,126.1,127.97,124.85,125.72,66101.0
2014-03-19,128.63,128.88,126.42,127.22,46150.0
2014-03-18,127.67,129.46,125.53,129.21,61119.0
2014-03-17,128.58,128.58,125.3,127.06,31410.0
2014-03-14,124.44,126.87,123.0,125.69,40221.0
2014-03-13,127.34,127.4,123.91,124.55,73142.0
2014-03-12,128.2,128.77,126.48,127.56,44446.0
2014-03-11,127.73,129.4,126.62,127.39,46420.0
2014-03-10,129.86,131.0,127.61,128.91,53919.0
2014-03-07,132.78,132.78,130.05,131.36,93497.0
2014-03-06,128.0,132.94,127.25,132.34,132839.0
2014-03-05,129.7,129.7,127.62,128.07,48991.0
2014-03-04,130.89,131.99,129.41,129.99,68757.0
2014-03-03,128.34,129.74,126.94,128.9,70310.0
2014-02-28,134.62,134.62,127.22,129.13,51156.0
2014-02-27,130.41,135.83,130.41,134.45,41525.0
2014-02-26,131.14,133.2,129.74,132.1,43626.0
2014-02-25,131.85,131.96,129.91,130.7,30239.0
2014-02-24,131.33,133.6,131.19,132.0,85874.0
2014-02-21,132.31,134.84,130.47,132.11,69393.0
2014-02-20,129.2,132.24,129.2,131.63,58979.0
2014-02-19,130.4,131.99,129.3,129.54,41643.0
2014-02-18,130.39,131.99,129.41,131.23,78253.0
2014-02-14,130.19,131.92,128.39,130.17,59732.0
2014-02-13,122.15,131.83,122.15,130.24,175119.0
2014-02-12,123.5,124.62,122.52,123.01,114812.0
2014-02-11,122.56,124.28,122.31,123.32,82214.0
2014-02-10,123.72,123.72,122.2,123.12,138611.0
2014-02-07,124.68,125.62,124.01,124.02,79206.0
2014-02-06,123.83,124.9,122.78,123.73,68176.0
2014-02-05,123.24,128.56,122.19,123.85,99655.0
2014-02-04,123.85,125.28,123.5,124.09,70483.0
2014-02-03,125.54,126.0,120.71,123.41,110040.0
2014-01-31,123.34,126.37,123.0,125.7,109317.0
2014-01-30,122.14,126.71,122.14,125.63,109923.0
2014-01-29,123.78,126.73,120.2,121.03,176846.0
2014-01-28,130.16,134.0,125.0,125.99,407694.0
2014-01-27,118.91,118.91,113.89,116.25,72127.0
2014-01-24,121.5,122.0,116.88,119.12,67784.0
2014-01-23,121.02,122.16,120.5,121.91,75123.0
2014-01-22,123.95,123.95,122.35,122.35,33290.0
2014-01-21,122.74,124.68,122.0,123.9,32385.0
2014-01-17,122.52,127.26,121.19,122.93,33690.0
2014-01-16,123.64,124.32,121.88,122.84,53065.0
2014-01-15,123.8,125.0,123.54,124.04,37088.0
2014-01-14,121.4,124.1,121.4,123.62,32250.0
2014-01-13,122.63,123.85,120.63,121.14,90752.0
2014-01-10,121.24,123.44,120.69,123.07,38665.0
2014-01-09,122.64,122.78,120.55,121.27,91318.0
2014-01-08,122.84,123.46,121.79,122.44,64534.0
2014-01-07,121.67,123.65,121.44,122.96,84033.0
2014-01-06,123.5,124.17,121.1,121.44,50766.0
