Date,Open,High,Low,Close,Volume
2014-04-07,41.1,41.4,40.34,40.87,2868434.0
2014-04-04,42.1,42.5,40.8,40.99,3851219.0
2014-04-03,39.1,40.41,38.28,40.25,7475398.0
2014-04-02,39.81,40.33,39.1,39.18,7504111.0
2014-04-01,34.16,35.43,33.41,35.15,2282621.0
2014-03-31,32.99,34.39,32.71,34.19,885949.0
2014-03-28,33.31,33.96,32.13,32.87,1218408.0
2014-03-27,32.62,33.76,32.1,33.37,1305270.0
2014-03-26,35.39,35.4,32.34,32.75,1894483.0
2014-03-25,33.91,34.58,33.21,34.41,973058.0
2014-03-24,35.06,35.42,32.62,33.65,1960018.0
2014-03-21,36.03,37.33,34.83,34.83,2505515.0
2014-03-20,35.72,36.93,35.54,36.61,922553.0
2014-03-19,36.23,37.24,35.75,35.97,1230220.0
2014-03-18,35.23,36.13,34.76,36.05,1171852.0
2014-03-17,35.12,35.48,34.77,35.0,1013085.0
2014-03-14,34.65,35.96,34.61,35.01,963607.0
2014-03-13,35.2,35.48,34.68,34.89,844713.0
2014-03-12,34.53,35.57,34.13,35.19,1489716.0
2014-03-11,34.65,35.74,32.76,34.6,6219768.0
2014-03-10,38.22,38.45,37.38,37.75,1191238.0
2014-03-07,37.4,38.55,37.05,38.17,1172638.0
2014-03-06,37.44,37.67,37.12,37.4,1394910.0
2014-03-05,37.38,37.7,37.3,37.44,1254029.0
2014-03-04,37.31,37.62,36.64,37.4,1464263.0
2014-03-03,37.34,37.5,35.93,37.01,1385455.0
2014-02-28,36.63,36.95,35.82,36.21,3160345.0
2014-02-27,37.21,37.36,36.35,36.63,2095321.0
2014-02-26,37.92,38.1,37.26,37.49,2529309.0
2014-02-25,38.73,38.95,37.57,37.73,2202677.0
2014-02-24,37.71,38.31,37.46,38.14,2572501.0
2014-02-21,36.44,39.15,36.35,37.36,5752256.0
2014-02-20,34.22,36.87,34.2,36.29,3761622.0
2014-02-19,34.84,35.14,34.01,34.42,2068275.0
2014-02-18,31.48,35.36,31.44,35.03,5100660.0
2014-02-14,30.9,31.82,30.89,31.44,1795283.0
2014-02-13,30.65,30.89,30.11,30.85,1269457.0
2014-02-12,30.83,31.08,30.05,30.73,1349122.0
2014-02-11,32.1,32.3,30.81,31.0,1806625.0
2014-02-10,32.14,32.38,31.21,32.01,1655053.0
2014-02-07,31.16,33.9,31.1,32.23,4570723.0
2014-02-06,31.13,31.14,29.95,30.57,1514901.0
2014-02-05,30.67,32.6,29.1,31.29,9315730.0
2014-02-04,27.15,27.76,27.02,27.18,2730333.0
2014-02-03,28.0,28.0,27.08,27.42,2358618.0
2014-01-31,26.66,27.76,26.09,27.63,1957189.0
2014-01-30,27.72,27.98,26.82,27.1,2445961.0
2014-01-29,26.2,27.62,26.08,27.6,2476978.0
2014-01-28,25.77,26.91,25.57,26.47,2268736.0
2014-01-27,25.67,25.79,25.11,25.63,1192928.0
2014-01-24,25.08,26.0,24.75,25.72,1276216.0
2014-01-23,24.68,25.13,24.53,25.08,737146.0
2014-01-22,25.18,25.54,24.57,24.75,723286.0
2014-01-21,25.2,25.38,24.6,25.25,817863.0
2014-01-17,25.6,25.65,24.53,25.05,2034700.0
2014-01-16,26.68,26.68,24.67,25.66,1552520.0
2014-01-15,24.68,25.76,24.53,25.19,1819075.0
2014-01-14,23.37,24.94,23.25,24.51,1909728.0
2014-01-13,23.5,23.62,23.0,23.25,1716546.0
2014-01-10,22.38,24.49,22.37,23.64,3751339.0
2014-01-09,21.42,22.42,21.32,22.39,2396999.0
2014-01-08,21.13,21.78,21.06,21.38,2801367.0
2014-01-07,21.12,21.36,20.59,21.05,2931646.0
2014-01-06,21.19,21.64,20.87,21.03,1823450.0
2014-01-03,21.81,21.96,21.16,21.2,1874836.0
2014-01-02,20.92,21.83,20.5,21.72,3364616.0
2013-12-31,20.71,21.29,20.54,20.98,3102936.0
2013-12-30,20.98,21.52,20.02,20.79,10930161.0
2013-12-27,24.18,24.33,23.99,24.14,949750.0
2013-12-26,24.2,24.39,24.06,24.19,843971.0
2013-12-24,23.9,24.33,23.68,24.18,639194.0
2013-12-23,24.16,24.2,23.6,23.86,1631850.0
2013-12-20,24.32,24.55,23.89,24.0,2360179.0
2013-12-19,24.48,24.75,24.13,24.39,1924850.0
2013-12-18,24.12,24.53,23.6,24.53,2081755.0
2013-12-17,23.4,24.09,22.77,24.0,2419846.0
2013-12-16,23.77,24.28,23.35,23.49,1848210.0
2013-12-13,24.5,24.62,23.51,23.93,3192584.0
2013-12-12,23.9,24.51,23.8,24.25,1792224.0
2013-12-11,24.0,24.28,23.8,24.04,1825434.0
2013-12-10,24.56,24.68,23.66,24.06,2308986.0
2013-12-09,25.51,25.77,24.65,24.74,1184236.0
2013-12-06,25.44,25.96,25.06,25.45,1232875.0
2013-12-05,25.71,26.0,24.69,25.39,2073929.0
2013-12-04,25.32,27.87,24.94,25.92,3888703.0
2013-12-03,26.13,26.21,24.05,25.55,6296837.0
2013-12-02,29.71,29.71,24.27,26.98,9995815.0
2013-11-29,30.32,30.61,29.59,29.75,737842.0
2013-11-27,28.88,30.75,28.88,30.65,1568802.0
2013-11-26,29.35,29.43,28.49,28.86,985977.0
2013-11-25,29.33,29.33,28.76,29.08,887009.0
2013-11-22,28.83,29.16,28.53,28.79,1265716.0
2013-11-21,28.45,29.71,27.98,28.59,4186533.0
2013-11-20,27.7,28.84,27.52,28.35,3251248.0
2013-11-19,27.5,27.85,26.71,27.59,2541897.0
2013-11-18,26.44,26.7,26.0,26.61,1825258.0
2013-11-15,25.68,26.72,25.67,26.46,1558400.0
2013-11-14,26.7,26.71,25.64,25.7,1894380.0
2013-11-13,26.62,27.0,26.4,26.54,1398253.0
2013-11-12,27.0,27.0,26.43,26.96,1523594.0
2013-11-11,26.61,26.94,25.96,26.92,1975418.0
2013-11-08,26.15,27.0,26.15,26.59,2271929.0
2013-11-07,25.36,26.7,25.36,26.13,2366584.0
2013-11-06,27.98,27.98,25.0,25.36,7406286.0
2013-11-05,25.35,25.5,25.1,25.18,2115075.0
2013-11-04,24.65,25.52,24.63,25.37,1408968.0
2013-11-01,24.43,24.72,24.12,24.65,1901142.0
2013-10-31,24.74,24.91,23.83,24.38,1371331.0
2013-10-30,25.04,25.27,24.64,24.77,1036312.0
2013-10-29,25.67,25.72,25.02,25.06,1536235.0
2013-10-28,25.36,26.16,25.31,25.66,1441444.0
2013-10-25,25.3,25.73,25.14,25.31,1543698.0
2013-10-24,25.57,25.71,25.12,25.16,1545376.0
2013-10-23,24.47,25.43,24.4,25.39,2008339.0
2013-10-22,24.38,24.64,24.21,24.56,1514911.0
2013-10-21,24.32,24.54,23.75,24.42,2798912.0
2013-10-18,24.7,25.06,24.11,24.99,3304773.0
2013-10-17,23.33,24.6,23.22,24.52,2396787.0
2013-10-16,23.37,23.69,23.03,23.3,2576837.0
2013-10-15,23.84,23.89,22.69,23.24,2859485.0
2013-10-14,22.65,23.98,22.59,23.87,3101992.0
2013-10-11,23.6,23.9,22.2,22.77,7409933.0
2013-10-10,24.87,25.12,24.03,24.57,2532394.0
2013-10-09,24.25,24.88,24.2,24.65,3551842.0
2013-10-08,24.71,24.94,24.09,24.25,2636015.0
2013-10-07,25.0,25.11,24.32,24.69,1754344.0
2013-10-04,24.9,25.27,24.87,25.11,1678448.0
2013-10-03,25.23,25.24,24.75,24.87,2153628.0
2013-10-02,25.37,25.49,24.66,24.76,2152155.0
2013-10-01,26.57,26.57,25.0,25.31,4926400.0
2013-09-30,25.93,26.1,22.61,23.5,3802599.0
2013-09-27,25.29,26.07,25.2,25.92,1294523.0
2013-09-26,25.91,26.07,25.35,25.49,1384171.0
2013-09-25,26.02,26.5,25.1,25.86,2881064.0
2013-09-24,24.34,25.2,24.34,25.08,3274252.0
2013-09-23,25.09,25.28,24.28,24.4,3320317.0
2013-09-20,25.67,25.77,24.98,25.09,3453668.0
2013-09-19,26.05,26.2,25.58,25.69,2278024.0
2013-09-18,26.32,26.49,25.81,26.06,3121117.0
2013-09-17,26.48,26.66,26.24,26.49,1905791.0
2013-09-16,26.43,26.55,26.22,26.34,1743932.0
2013-09-13,26.97,27.0,25.77,26.14,3672118.0
2013-09-12,26.91,27.15,26.74,26.89,1935405.0
2013-09-11,26.85,27.24,26.64,27.0,2279986.0
2013-09-10,28.96,28.96,26.66,26.85,2775609.0
2013-09-09,27.98,28.99,27.95,28.82,1588719.0
2013-09-06,27.8,28.36,27.5,27.85,1800647.0
2013-09-05,27.25,27.91,27.15,27.78,992848.0
2013-09-04,26.44,27.38,26.42,27.25,1709655.0
2013-09-03,26.42,26.78,26.23,26.54,2183726.0
2013-08-30,26.53,26.65,26.1,26.17,2898760.0
2013-08-29,26.45,27.27,26.33,26.48,1832094.0
2013-08-28,26.93,27.14,26.39,26.44,1829117.0
2013-08-27,27.22,27.38,26.77,26.88,1879599.0
2013-08-26,27.92,28.02,27.43,27.48,2053084.0
2013-08-23,28.41,28.55,27.57,27.77,1148454.0
2013-08-22,27.63,28.35,27.63,28.35,667170.0
2013-08-21,27.22,27.66,27.0,27.52,910713.0
2013-08-20,27.08,27.52,27.0,27.26,1288468.0
2013-08-19,27.45,27.49,26.64,27.01,2361979.0
2013-08-16,27.58,27.88,27.08,27.41,1385978.0
2013-08-15,28.01,28.03,27.53,27.62,1382774.0
2013-08-14,29.1,29.52,27.84,28.14,3592445.0
2013-08-13,30.83,30.83,29.92,30.25,1055505.0
2013-08-12,30.07,30.58,29.5,30.5,1198302.0
2013-08-09,30.06,30.14,29.43,30.0,758409.0
2013-08-08,29.62,30.16,29.42,30.05,874016.0
2013-08-07,29.59,29.67,29.07,29.46,1372896.0
2013-08-06,29.8,29.95,29.53,29.63,1425237.0
2013-08-05,29.64,30.06,29.51,29.83,1004504.0
2013-08-02,30.19,30.19,29.38,29.78,1264451.0
2013-08-01,29.77,30.69,29.73,30.16,1173554.0
2013-07-31,30.02,30.25,29.67,29.67,1886211.0
2013-07-30,30.45,30.66,29.88,30.05,1434467.0
2013-07-29,31.2,31.33,30.21,30.46,1254400.0
2013-07-26,31.3,31.73,30.95,31.41,823858.0
2013-07-25,31.13,31.62,30.41,31.39,1216775.0
2013-07-24,31.08,31.76,31.01,31.13,1137963.0
2013-07-23,31.53,31.6,30.79,30.93,916709.0
2013-07-22,31.25,31.78,30.72,31.42,1607239.0
2013-07-19,30.71,31.31,30.31,31.0,2146977.0
2013-07-18,31.07,31.55,30.78,30.85,1996990.0
2013-07-17,31.87,31.89,30.91,30.96,1533941.0
2013-07-16,31.86,31.86,31.43,31.8,2263878.0
2013-07-15,31.95,31.95,31.22,31.8,1732565.0
2013-07-12,31.5,32.05,31.37,31.79,2825408.0
2013-07-11,31.16,31.65,30.98,31.58,2297372.0
2013-07-10,29.82,30.96,29.74,30.91,1363886.0
2013-07-09,29.61,29.95,29.42,29.84,1395298.0
2013-07-08,29.0,29.56,28.8,29.52,1333445.0
2013-07-05,28.78,28.9,28.18,28.86,1530516.0
2013-07-03,27.77,28.52,27.58,28.49,1134298.0
2013-07-02,27.19,27.91,27.04,27.79,1116452.0
2013-07-01,27.11,27.91,27.04,27.32,1048719.0
2013-06-28,26.55,27.05,26.29,26.87,1237208.0
2013-06-27,26.52,27.47,26.46,26.54,1312926.0
2013-06-26,26.04,26.86,26.02,26.53,1194843.0
2013-06-25,26.43,26.67,25.83,25.97,1465629.0
2013-06-24,25.56,26.55,25.0,26.24,2169497.0
2013-06-21,26.12,26.59,25.65,25.75,3361995.0
2013-06-20,25.63,26.76,25.21,26.18,3741856.0
2013-06-19,26.32,27.11,25.79,25.88,2812938.0
2013-06-18,26.5,26.89,25.97,26.44,3548286.0
2013-06-17,28.01,28.67,26.51,26.62,4596582.0
2013-06-14,30.12,31.19,26.16,27.59,22697256.0
2013-06-13,33.87,38.27,30.52,32.01,16255873.0
2013-06-12,34.07,34.19,33.55,33.92,1138978.0
2013-06-11,33.78,34.47,33.45,34.26,1110260.0
2013-06-10,33.24,34.07,32.97,34.03,1048195.0
2013-06-07,31.38,32.96,31.29,32.92,1134714.0
2013-06-06,30.51,31.19,30.42,31.06,737503.0
2013-06-05,31.46,31.61,30.39,30.47,749218.0
2013-06-04,31.79,32.05,31.36,31.46,729868.0
2013-06-03,31.95,32.2,31.05,31.82,845281.0
2013-05-31,31.73,32.83,31.51,32.1,1015947.0
2013-05-30,31.76,32.21,31.66,32.17,454495.0
2013-05-29,32.22,32.34,31.5,31.67,659152.0
2013-05-28,31.83,32.6,31.68,32.17,1341142.0
2013-05-24,32.02,32.02,31.02,31.43,1104565.0
2013-05-23,31.98,32.38,31.54,32.19,1151582.0
2013-05-22,33.28,33.36,31.84,32.24,1593226.0
2013-05-21,33.2,33.49,33.0,33.01,892815.0
2013-05-20,32.87,33.71,32.87,33.06,1336231.0
2013-05-17,33.25,33.43,32.73,32.93,1685179.0
2013-05-16,33.89,33.89,33.02,33.13,1362594.0
2013-05-15,34.32,34.5,33.23,33.53,1380724.0
2013-05-14,33.37,34.7,33.37,34.1,2572165.0
2013-05-13,32.59,33.3,31.99,33.11,1284321.0
2013-05-10,30.46,33.25,30.43,33.1,2538073.0
2013-05-09,30.92,30.98,30.21,30.48,930083.0
2013-05-08,30.83,31.0,29.2,30.63,2692686.0
2013-05-07,28.1,28.36,27.98,28.3,1003674.0
2013-05-06,28.06,28.26,27.87,28.1,595650.0
2013-05-03,27.89,28.17,27.64,27.93,624090.0
2013-05-02,27.54,27.63,27.29,27.61,621538.0
2013-05-01,27.79,27.79,27.19,27.24,1004772.0
2013-04-30,27.7,27.98,27.23,27.85,849336.0
2013-04-29,27.54,27.74,27.21,27.58,729977.0
2013-04-26,27.71,27.97,27.38,27.43,496513.0
2013-04-25,27.4,27.86,27.31,27.69,806692.0
2013-04-24,28.15,28.15,26.99,27.18,1339582.0
2013-04-23,28.4,28.8,27.98,28.06,1123076.0
2013-04-22,28.71,28.82,28.05,28.28,1373496.0
2013-04-19,27.75,29.03,27.63,28.59,1521447.0
2013-04-18,27.8,27.8,27.34,27.64,969401.0
2013-04-17,27.49,28.15,27.41,27.8,1661599.0
2013-04-16,26.78,27.6,26.66,27.59,1503810.0
2013-04-15,25.85,28.11,25.5,26.65,3644749.0
2013-04-12,25.78,26.13,25.68,26.1,796142.0
2013-04-11,25.37,26.13,25.37,26.01,1168477.0
2013-04-10,24.7,25.55,24.66,25.43,951584.0
2013-04-09,24.74,24.92,24.47,24.49,462235.0
2013-04-08,24.56,24.64,24.35,24.6,492422.0

