Date,Open,High,Low,Close,Volume
2014-04-07,28.23,28.49,27.48,27.64,221740.0
2014-04-04,29.47,29.47,28.24,28.25,323243.0
2014-04-03,29.37,29.45,28.95,29.22,165088.0
2014-04-02,29.3,29.49,29.05,29.28,210978.0
2014-04-01,28.85,29.24,28.57,29.21,289603.0
2014-03-31,28.51,28.94,28.35,28.69,469624.0
2014-03-28,28.86,29.0,28.11,28.23,398957.0
2014-03-27,29.06,29.29,28.61,28.71,331807.0
2014-03-26,29.86,29.91,28.98,28.98,249261.0
2014-03-25,29.82,30.04,29.5,29.62,214219.0
2014-03-24,30.19,30.3,29.5,29.76,282527.0
2014-03-21,30.11,30.5,29.93,30.01,1055673.0
2014-03-20,30.06,30.31,29.9,30.04,354925.0
2014-03-19,29.99,30.4,29.96,30.2,265197.0
2014-03-18,29.66,30.12,29.66,30.1,329794.0
2014-03-17,29.19,29.65,29.04,29.57,362931.0
2014-03-14,28.92,29.13,28.78,29.01,304612.0
2014-03-13,29.3,29.36,28.86,28.93,465260.0
2014-03-12,28.87,29.51,28.87,29.24,407737.0
2014-03-11,29.33,29.39,28.93,29.02,447513.0
2014-03-10,29.5,29.6,29.26,29.36,589404.0
2014-03-07,29.55,29.71,29.43,29.59,367588.0
2014-03-06,29.43,29.59,29.27,29.49,312403.0
2014-03-05,29.31,29.38,29.12,29.25,381713.0
2014-03-04,29.03,29.4,29.0,29.23,274981.0
2014-03-03,28.62,28.88,28.48,28.6,487478.0
2014-02-28,29.02,29.27,28.87,28.97,480585.0
2014-02-27,29.27,29.4,28.92,28.97,431543.0
2014-02-26,29.15,29.44,29.01,29.26,358621.0
2014-02-25,29.24,29.3,28.87,29.05,471673.0
2014-02-24,28.87,29.31,28.84,29.12,479511.0
2014-02-21,29.12,29.12,28.75,28.88,377582.0
2014-02-20,28.93,29.07,28.68,29.03,373513.0
2014-02-19,28.72,29.04,28.71,28.87,384348.0
2014-02-18,28.61,28.84,28.5,28.83,379107.0
2014-02-14,28.36,28.69,28.29,28.61,445841.0
2014-02-13,27.75,28.41,27.66,28.4,418509.0
2014-02-12,27.82,28.12,27.82,28.07,697195.0
2014-02-11,27.89,28.01,27.63,27.73,1161085.0
2014-02-10,27.5,27.96,27.41,27.9,736668.0
2014-02-07,27.61,28.0,27.39,27.56,846936.0
2014-02-06,27.07,27.71,27.01,27.5,809205.0
2014-02-05,27.9,27.94,27.07,27.12,816950.0
2014-02-04,28.03,28.1,27.73,27.95,867244.0
2014-02-03,29.0,29.05,27.69,27.98,1173262.0
2014-01-31,29.31,29.75,28.65,29.0,1649497.0
2014-01-30,31.29,31.6,30.93,31.19,392203.0
2014-01-29,30.91,31.55,30.66,30.89,496888.0
2014-01-28,31.14,31.6,31.14,31.28,324589.0
2014-01-27,32.01,32.24,31.14,31.21,274715.0
2014-01-24,32.66,32.89,31.86,31.87,406772.0
2014-01-23,32.32,32.91,32.32,32.88,687875.0
2014-01-22,32.85,32.93,32.48,32.6,502240.0
2014-01-21,32.41,32.84,32.41,32.82,329446.0
2014-01-17,32.31,32.37,31.8,32.28,203047.0
2014-01-16,32.39,32.55,32.23,32.38,344973.0
2014-01-15,32.01,32.47,31.7,32.46,198152.0
2014-01-14,31.43,32.0,31.12,31.88,204488.0
2014-01-13,31.72,32.01,31.26,31.29,187486.0
2014-01-10,31.83,32.0,31.52,31.92,490131.0
2014-01-09,31.45,31.73,31.24,31.72,391196.0
2014-01-08,31.33,31.54,31.01,31.31,356792.0
2014-01-07,30.67,31.34,30.48,31.27,310589.0
2014-01-06,30.84,30.98,30.54,30.6,185694.0
2014-01-03,30.91,30.91,30.29,30.71,377557.0
2014-01-02,31.87,31.96,30.81,30.86,279855.0
2013-12-31,31.66,32.08,31.5,32.02,271823.0
2013-12-30,31.36,31.59,31.15,31.47,224862.0
2013-12-27,31.47,31.56,31.3,31.32,106946.0
2013-12-26,31.36,31.71,30.97,31.33,200695.0
2013-12-24,31.48,31.72,31.14,31.37,102123.0
2013-12-23,31.01,31.44,30.85,31.39,242771.0
2013-12-20,30.57,31.02,30.57,30.91,493409.0
2013-12-19,30.58,30.71,30.35,30.48,281833.0
2013-12-18,30.33,30.63,30.07,30.55,288833.0
2013-12-17,29.85,30.28,29.66,30.26,389459.0
2013-12-16,29.96,30.25,29.82,29.85,267580.0
2013-12-13,29.96,30.14,29.66,29.87,304142.0
2013-12-12,29.84,30.15,29.68,29.85,257007.0
2013-12-11,30.46,30.47,29.79,29.8,276333.0
2013-12-10,30.21,30.54,30.12,30.35,313730.0
2013-12-09,30.6,30.81,30.26,30.33,223775.0
2013-12-06,30.65,31.02,30.43,30.54,343325.0
2013-12-05,30.13,30.37,29.83,30.3,492492.0
2013-12-04,30.33,30.7,29.91,30.12,326155.0
2013-12-03,31.07,31.27,30.38,30.45,353463.0
2013-12-02,31.13,31.79,30.9,31.09,531110.0
2013-11-29,31.57,31.61,31.22,31.26,214766.0
2013-11-27,31.57,31.62,31.16,31.47,186133.0
2013-11-26,31.32,31.64,31.17,31.42,265329.0
2013-11-25,31.2,31.55,30.99,31.37,280456.0
2013-11-22,31.36,31.44,31.09,31.28,196228.0
2013-11-21,31.33,31.39,31.05,31.36,349412.0
2013-11-20,31.44,31.68,30.95,31.12,218236.0
2013-11-19,31.81,31.97,31.3,31.42,393901.0
2013-11-18,31.84,32.2,31.7,31.83,208049.0
2013-11-15,31.46,31.86,31.35,31.85,795852.0
2013-11-14,31.7,31.75,31.41,31.49,148806.0
2013-11-13,31.6,31.81,31.37,31.79,248145.0
2013-11-12,31.76,32.0,31.6,31.74,325208.0
2013-11-11,31.62,31.85,31.46,31.78,279755.0
2013-11-08,31.12,31.85,30.8,31.66,356001.0
2013-11-07,32.04,32.15,31.1,31.16,399137.0
2013-11-06,32.28,32.38,32.08,32.14,320858.0
2013-11-05,31.6,32.43,31.6,32.24,627388.0
2013-11-04,31.86,32.42,31.71,32.27,803374.0
2013-11-01,29.44,32.35,29.44,32.16,1863570.0
2013-10-31,29.35,29.44,29.0,29.05,528894.0
2013-10-30,29.69,29.92,29.18,29.3,366750.0
2013-10-29,29.67,30.07,29.5,29.74,392226.0
2013-10-28,29.71,29.78,29.27,29.54,286885.0
2013-10-25,29.67,29.93,29.56,29.69,291225.0
2013-10-24,29.83,29.9,29.51,29.57,351999.0
2013-10-23,30.31,30.31,29.72,29.78,339890.0
2013-10-22,30.85,31.0,30.36,30.47,350185.0
2013-10-21,30.51,30.89,30.48,30.71,338516.0
