Date,Open,High,Low,Close,Volume
2014-04-07,60.23,60.37,59.24,59.62,72351.0
2014-04-04,62.06,62.38,60.19,60.62,29216.0
2014-04-03,61.96,61.96,61.32,61.7,20724.0
2014-04-02,61.53,62.14,61.21,61.82,34274.0
2014-04-01,61.32,61.68,60.54,61.53,45887.0
2014-03-31,60.85,61.75,60.47,61.39,34440.0
2014-03-28,60.4,61.25,60.15,60.32,14125.0
2014-03-27,60.65,60.67,59.82,60.47,16312.0
2014-03-26,62.0,62.0,60.43,60.43,49214.0
2014-03-25,61.39,61.87,61.26,61.6,22085.0
2014-03-24,61.65,62.09,60.71,61.69,32596.0
2014-03-21,62.12,62.5,61.3,61.31,62417.0
2014-03-20,61.77,62.37,61.44,61.8,14736.0
2014-03-19,62.12,62.29,61.16,61.67,25773.0
2014-03-18,61.9,62.5,61.69,62.36,25741.0
2014-03-17,61.38,61.95,61.15,61.76,33888.0
2014-03-14,60.51,61.48,60.47,61.01,24367.0
2014-03-13,61.5,61.5,60.47,60.79,27815.0
2014-03-12,60.51,61.61,60.03,61.27,101293.0
2014-03-11,61.99,62.52,60.55,61.02,36839.0
2014-03-10,61.01,61.86,60.91,61.72,32069.0
2014-03-07,61.53,61.53,60.94,61.32,12832.0
2014-03-06,61.17,62.05,60.63,61.25,13372.0
2014-03-05,61.19,61.47,60.65,61.26,17486.0
2014-03-04,60.37,61.77,59.2,61.19,59593.0
2014-03-03,59.83,60.3,59.22,59.51,48124.0
2014-02-28,60.88,61.28,60.37,60.62,24527.0
2014-02-27,60.47,60.88,59.8,60.66,29158.0
2014-02-26,60.01,60.88,59.91,60.47,19337.0
2014-02-25,60.78,61.04,59.89,60.2,34547.0
2014-02-24,61.39,61.82,60.74,60.85,28763.0
2014-02-21,61.39,61.75,60.64,61.09,49127.0
2014-02-20,60.64,61.19,60.07,60.98,32468.0
2014-02-19,61.46,61.88,60.15,60.38,36475.0
2014-02-18,61.56,62.51,61.01,61.7,67438.0
2014-02-14,60.98,61.95,58.0,61.3,104625.0
2014-02-13,59.37,61.06,59.37,60.76,63215.0
2014-02-12,59.6,59.9,58.8,59.83,53633.0
2014-02-11,58.82,59.98,58.04,59.29,30711.0
2014-02-10,58.91,58.92,57.7,58.55,26541.0
2014-02-07,58.67,59.19,57.91,58.91,45159.0
2014-02-06,58.63,58.79,58.25,58.41,45490.0
2014-02-05,59.0,59.24,58.56,58.66,30836.0
2014-02-04,58.81,59.25,57.82,59.0,64109.0
2014-02-03,59.72,60.11,58.35,58.42,81456.0
2014-01-31,59.41,60.22,58.9,59.63,77623.0
2014-01-30,59.14,60.15,58.42,59.65,54549.0
2014-01-29,58.94,59.81,58.26,58.7,41205.0
2014-01-28,59.25,59.8,58.61,59.47,158705.0
2014-01-27,59.6,59.98,59.07,59.13,37670.0
2014-01-24,60.31,60.31,57.8,59.7,100123.0
2014-01-23,61.9,61.94,59.86,60.57,66259.0
2014-01-22,62.24,62.24,61.5,61.98,27901.0
2014-01-21,61.94,62.22,61.16,61.96,54508.0
2014-01-17,62.7,63.07,61.59,61.93,35716.0
2014-01-16,63.43,64.29,62.15,62.58,62267.0
2014-01-15,63.27,63.84,63.02,63.59,43212.0
2014-01-14,63.68,63.79,62.81,62.96,41773.0
2014-01-13,63.06,63.57,62.61,63.11,75377.0
2014-01-10,63.08,63.44,62.52,63.16,67180.0
2014-01-09,62.42,63.2,62.28,62.89,90004.0
2014-01-08,62.5,62.9,61.78,62.03,44942.0
2014-01-07,62.96,63.49,62.43,62.5,39349.0
2014-01-06,63.04,63.7,62.42,62.56,60844.0
2014-01-03,62.68,62.95,62.0,62.6,103149.0
2014-01-02,63.0,63.14,62.43,62.59,56537.0
2013-12-31,63.22,64.21,62.98,63.16,33330.0
2013-12-30,62.45,63.41,62.45,62.97,39836.0
2013-12-27,62.72,63.2,62.0,62.56,22005.0
2013-12-26,62.64,62.95,62.4,62.47,23054.0
2013-12-24,62.19,62.71,62.19,62.58,14493.0
2013-12-23,61.81,62.35,61.1,61.65,34848.0
2013-12-20,60.04,62.08,60.04,61.81,237722.0
2013-12-19,59.94,60.71,59.26,60.05,38594.0
2013-12-18,59.44,59.78,58.63,59.61,28565.0
2013-12-17,60.15,60.15,59.0,59.29,33641.0
2013-12-16,60.35,60.44,59.64,59.98,61532.0
2013-12-13,60.3,60.53,59.87,59.93,42639.0
2013-12-12,61.08,61.16,60.13,60.32,56744.0
2013-12-11,62.58,62.58,60.6,61.16,39503.0
2013-12-10,63.0,63.28,61.63,62.3,48936.0
2013-12-09,64.11,65.0,62.96,63.11,60216.0
2013-12-06,64.07,64.4,63.59,63.68,41231.0
2013-12-05,63.86,64.0,63.29,63.45,28361.0
2013-12-04,63.99,64.73,63.41,63.99,23685.0
2013-12-03,64.87,65.55,64.3,64.41,75313.0
2013-12-02,67.02,67.29,65.0,65.14,48083.0
2013-11-29,67.23,67.56,66.69,66.84,12849.0
2013-11-27,65.5,66.86,65.44,66.71,60687.0
2013-11-26,65.37,65.81,65.19,65.51,50211.0
2013-11-25,65.0,65.54,64.79,65.37,70220.0
2013-11-22,64.59,64.89,63.97,64.84,37463.0
2013-11-21,63.84,64.64,63.24,64.39,30577.0
2013-11-20,63.35,63.9,62.2,63.36,25015.0
2013-11-19,63.2,63.36,62.57,62.94,34664.0
2013-11-18,62.71,63.1,62.15,62.98,41934.0
2013-11-15,61.89,62.54,61.57,62.34,111047.0
2013-11-14,61.81,62.33,61.24,61.99,22525.0
2013-11-13,61.32,61.92,60.46,61.75,41671.0
2013-11-12,62.08,62.36,61.07,61.53,20087.0
2013-11-11,61.04,63.52,60.93,62.09,35851.0
2013-11-08,58.75,62.57,58.49,61.19,101329.0
2013-11-07,57.09,57.24,56.6,57.18,51588.0
2013-11-06,57.06,57.66,56.57,56.86,57951.0
2013-11-05,57.14,57.3,56.84,56.88,33845.0
2013-11-04,57.25,57.64,56.84,57.17,40103.0
2013-11-01,56.15,57.0,55.83,56.9,89080.0
2013-10-31,56.99,56.99,56.23,56.24,77236.0
2013-10-30,57.38,57.39,56.74,56.77,45648.0
2013-10-29,57.26,57.47,57.02,57.25,34630.0
2013-10-28,57.08,57.18,56.7,56.95,38933.0
2013-10-25,57.17,57.77,56.02,56.88,18398.0
2013-10-24,56.94,57.06,56.5,56.93,19094.0
2013-10-23,57.01,57.16,56.79,56.87,29110.0
2013-10-22,56.86,57.38,56.86,57.12,67694.0
2013-10-21,56.1,57.31,56.1,56.68,97931.0
2013-10-18,56.18,56.5,55.58,56.2,102370.0
2013-10-17,55.54,56.12,55.28,55.62,53733.0
2013-10-16,56.42,56.48,55.45,55.61,27383.0
2013-10-15,56.52,56.72,55.81,55.96,56730.0
2013-10-14,55.28,56.78,55.28,56.4,27951.0
2013-10-11,55.07,55.52,54.79,55.36,148064.0
2013-10-10,55.29,56.12,54.75,55.03,51554.0
2013-10-09,55.57,55.57,54.28,54.63,53107.0
2013-10-08,56.18,56.4,55.43,55.56,40901.0
2013-10-07,56.68,56.85,56.21,56.3,29208.0
2013-10-04,56.71,57.61,56.71,57.1,19867.0
2013-10-03,57.62,57.62,56.65,56.77,16545.0
2013-10-02,57.7,58.47,57.25,57.7,24884.0
2013-10-01,58.0,58.42,57.28,58.13,53419.0
2013-09-30,57.58,58.28,57.3,57.77,51101.0
2013-09-27,57.94,58.14,57.56,57.98,53783.0
2013-09-26,58.1,58.66,57.99,58.24,28160.0
2013-09-25,58.34,58.34,57.85,58.15,27251.0
2013-09-24,58.73,59.01,57.79,58.28,29798.0
2013-09-23,58.23,58.72,58.0,58.62,20403.0
2013-09-20,57.79,58.49,57.79,58.46,60307.0
2013-09-19,58.08,58.42,57.42,57.81,19188.0
2013-09-18,57.3,58.36,56.96,57.78,15231.0
2013-09-17,56.81,57.47,56.39,57.47,41093.0
2013-09-16,57.47,57.47,56.61,56.95,32146.0
2013-09-13,56.78,56.85,56.32,56.72,4010.0
2013-09-12,56.6,56.64,56.21,56.55,54394.0
2013-09-11,55.97,56.65,55.77,56.6,21457.0
