Date,Open,High,Low,Close,Volume
2014-04-07,15.62,15.83,15.19,15.33,190042.0
2014-04-04,16.01,16.04,15.56,15.64,359208.0
2014-04-03,15.86,15.98,15.76,15.9,352430.0
2014-04-02,15.57,15.82,15.47,15.82,331580.0
2014-04-01,15.42,15.68,15.31,15.58,714673.0
2014-03-31,14.89,15.23,14.82,15.0,273408.0
2014-03-28,14.78,15.04,14.7,14.85,214581.0
2014-03-27,14.68,15.0,14.65,14.81,252988.0
2014-03-26,14.88,15.21,14.72,14.74,555023.0
2014-03-25,14.87,14.96,14.73,14.76,239057.0
2014-03-24,15.25,15.25,14.76,14.82,207873.0
2014-03-21,14.92,15.26,14.8,15.21,533677.0
2014-03-20,14.76,14.92,14.7,14.78,129865.0
2014-03-19,15.34,15.37,14.72,14.83,209359.0
2014-03-18,15.06,15.41,14.97,15.39,264126.0
2014-03-17,15.14,15.29,15.02,15.06,219067.0
2014-03-14,15.01,15.27,15.01,15.09,203907.0
2014-03-13,15.45,15.47,14.86,15.08,320769.0
2014-03-12,14.88,15.37,14.83,15.37,345824.0
2014-03-11,15.17,15.2,14.76,14.92,480784.0
2014-03-10,15.01,15.2,14.93,15.16,236478.0
2014-03-07,15.3,15.39,15.02,15.06,270415.0
2014-03-06,15.48,15.54,15.01,15.19,585651.0
2014-03-05,15.45,15.53,15.27,15.43,665119.0
2014-03-04,15.36,15.68,15.05,15.52,2396709.0
2014-03-03,14.93,15.97,14.7,15.85,1044772.0
2014-02-28,15.69,15.85,15.34,15.36,502311.0
2014-02-27,15.74,15.82,15.42,15.62,671812.0
2014-02-26,15.91,15.95,15.58,15.73,480027.0
2014-02-25,16.15,16.15,15.56,15.83,573213.0
2014-02-24,15.88,16.5,15.54,15.6,554033.0
2014-02-21,16.01,16.33,13.94,15.78,3358717.0
2014-02-20,18.23,18.42,17.95,17.99,271577.0
2014-02-19,18.52,18.73,18.17,18.23,198286.0
2014-02-18,18.75,18.82,18.55,18.57,252796.0
2014-02-14,18.11,18.75,17.92,18.68,601542.0
2014-02-13,17.82,18.22,17.82,18.08,255595.0
2014-02-12,18.07,18.3,17.9,17.96,150403.0
2014-02-11,18.21,18.28,18.01,18.11,196193.0
2014-02-10,18.29,18.43,17.96,18.23,131129.0
2014-02-07,18.28,18.44,18.1,18.3,148002.0
2014-02-06,18.09,18.35,18.09,18.25,200768.0
2014-02-05,18.04,18.13,17.83,18.01,184297.0
2014-02-04,18.04,18.32,16.58,18.13,224534.0
2014-02-03,18.7,18.86,17.7,17.95,259295.0
2014-01-31,18.45,19.38,18.35,18.68,199834.0
2014-01-30,18.95,19.15,18.72,18.73,237110.0
2014-01-29,19.18,19.29,18.8,18.8,145334.0
2014-01-28,19.3,19.43,19.11,19.31,244299.0
2014-01-27,19.5,19.61,19.13,19.29,290445.0
2014-01-24,19.5,19.5,19.22,19.45,205115.0
2014-01-23,19.49,19.61,19.11,19.53,399959.0
2014-01-22,19.35,19.5,19.28,19.47,139157.0
2014-01-21,19.29,19.43,19.07,19.24,191414.0
2014-01-17,19.13,19.23,19.0,19.08,200840.0
2014-01-16,19.4,19.59,19.03,19.13,170286.0
2014-01-15,19.58,19.82,19.41,19.44,170412.0
2014-01-14,19.3,19.64,18.94,19.64,124923.0
2014-01-13,19.52,19.58,19.04,19.18,106576.0
2014-01-10,19.41,19.66,19.2,19.64,225652.0
2014-01-09,19.62,19.71,19.18,19.37,220143.0
2014-01-08,19.34,19.54,19.18,19.53,184297.0
2014-01-07,19.43,19.55,18.97,19.33,195113.0
2014-01-06,19.76,19.92,19.35,19.38,142676.0
2014-01-03,19.53,20.13,19.46,19.64,203414.0
2014-01-02,19.92,20.05,19.56,19.57,232595.0
2013-12-31,19.94,20.2,19.83,19.96,383839.0
2013-12-30,20.08,20.15,19.88,19.93,433845.0
2013-12-27,20.07,20.16,19.87,20.07,134996.0
2013-12-26,19.99,20.22,19.8,19.99,178664.0
2013-12-24,19.73,20.14,19.57,19.96,98654.0
2013-12-23,19.32,19.8,19.23,19.77,236647.0
2013-12-20,19.09,19.46,18.74,19.19,905157.0
2013-12-19,19.29,19.44,18.98,19.0,213750.0
2013-12-18,18.97,19.42,18.66,19.25,471961.0
2013-12-17,18.94,18.94,18.72,18.87,153806.0
2013-12-16,18.85,18.99,18.76,18.89,225788.0
2013-12-13,19.0,19.0,18.73,18.75,327389.0
2013-12-12,18.9,18.98,18.72,18.93,308289.0
2013-12-11,18.81,19.0,18.75,18.85,271841.0
2013-12-10,18.82,18.88,18.63,18.76,199543.0
2013-12-09,18.54,18.87,18.37,18.87,192738.0
2013-12-06,18.67,18.75,18.44,18.57,163549.0
2013-12-05,18.37,18.53,18.34,18.47,149117.0
2013-12-04,18.46,18.66,18.18,18.38,234357.0
2013-12-03,18.36,18.58,18.34,18.49,466057.0
2013-12-02,18.61,18.77,18.41,18.42,183905.0
2013-11-29,18.75,18.78,18.51,18.65,95154.0
2013-11-27,18.55,18.75,18.55,18.65,166174.0
2013-11-26,18.37,18.54,18.23,18.5,154826.0
2013-11-25,18.4,18.46,18.29,18.4,87129.0
2013-11-22,18.27,18.39,18.16,18.35,97685.0
2013-11-21,18.19,18.42,18.02,18.22,148291.0
2013-11-20,18.32,18.33,17.91,18.09,252488.0
2013-11-19,18.14,18.32,18.02,18.23,246443.0
2013-11-18,17.97,18.4,17.9,18.08,203256.0
2013-11-15,17.94,18.01,17.81,17.96,180043.0
2013-11-14,18.02,18.18,17.87,17.98,143745.0
2013-11-13,17.89,18.08,17.8,18.05,189819.0
2013-11-12,17.48,18.04,17.48,17.96,206033.0
2013-11-11,17.54,17.73,17.38,17.5,138350.0
2013-11-08,17.28,17.79,17.28,17.61,218069.0
2013-11-07,17.78,17.96,17.5,17.51,229098.0
2013-11-06,17.8,17.99,17.67,17.72,134197.0
2013-11-05,17.98,18.39,17.42,17.73,512931.0
2013-11-04,17.64,17.65,17.44,17.5,747318.0
2013-11-01,17.3,17.61,17.07,17.54,478950.0
2013-10-31,17.33,18.12,16.97,17.5,898420.0
2013-10-30,18.97,18.97,18.35,18.39,205872.0
2013-10-29,18.34,18.91,18.18,18.91,298660.0
2013-10-28,18.73,18.82,18.31,18.34,462843.0
2013-10-25,19.3,19.3,18.61,18.78,391426.0
2013-10-24,19.37,19.66,19.21,19.22,279008.0
2013-10-23,19.04,19.64,18.96,19.39,252842.0
2013-10-22,19.45,19.72,19.38,19.44,232769.0
2013-10-21,19.33,19.58,19.32,19.41,155601.0
2013-10-18,19.25,19.57,19.22,19.35,261340.0
2013-10-17,18.75,19.21,18.58,19.2,131824.0
2013-10-16,18.98,19.08,18.77,18.8,187096.0
2013-10-15,18.82,18.99,18.65,18.81,4027388.0
2013-10-14,18.58,18.88,18.55,18.88,97234.0
2013-10-11,18.26,18.64,18.09,18.63,137782.0
2013-10-10,18.03,18.34,17.83,18.28,127733.0
2013-10-09,17.99,18.08,17.72,17.81,207993.0
2013-10-08,18.03,18.14,17.8,17.96,183776.0
2013-10-07,18.39,18.49,18.06,18.06,144115.0
2013-10-04,18.3,18.55,18.11,18.53,75919.0
2013-10-03,18.59,18.59,18.29,18.36,122157.0
2013-10-02,18.79,18.85,18.62,18.66,177057.0
2013-10-01,18.9,18.95,18.82,18.9,107441.0
2013-09-30,18.54,18.88,18.54,18.86,137465.0
2013-09-27,18.56,18.81,18.56,18.75,91262.0
2013-09-26,18.9,18.9,18.6,18.71,193701.0
2013-09-25,18.81,19.05,18.74,18.81,126151.0
2013-09-24,18.83,18.97,18.74,18.79,167412.0
2013-09-23,18.85,18.95,18.74,18.83,305537.0
2013-09-20,18.82,19.1,18.73,18.79,483851.0
2013-09-19,18.72,18.81,18.55,18.8,161591.0
2013-09-18,18.6,18.76,18.38,18.68,216491.0
2013-09-17,18.37,18.68,18.14,18.62,131379.0
2013-09-16,18.44,18.48,18.32,18.41,198553.0
2013-09-13,18.22,18.29,18.14,18.26,95330.0
2013-09-12,18.2,18.24,18.07,18.17,183588.0
2013-09-11,18.11,18.28,17.0,18.24,253752.0
2013-09-10,18.08,18.35,17.91,18.33,222925.0
2013-09-09,18.13,18.27,17.89,17.96,309442.0
2013-09-06,18.2,18.22,17.81,18.11,187607.0
2013-09-05,18.2,18.34,18.04,18.22,192446.0
2013-09-04,18.0,18.17,17.8,18.14,823507.0
2013-09-03,18.26,18.44,18.09,18.27,123965.0
2013-08-30,18.39,18.45,17.96,17.98,231621.0
2013-08-29,18.35,18.57,18.25,18.47,137542.0
2013-08-28,18.35,18.4,18.18,18.34,115607.0
2013-08-27,18.29,18.52,18.29,18.34,206897.0
2013-08-26,18.46,18.57,18.33,18.44,272044.0
2013-08-23,18.64,18.82,18.38,18.45,289737.0
2013-08-22,18.7,18.78,18.0,18.65,524727.0
2013-08-21,18.52,18.74,18.43,18.69,183299.0
2013-08-20,18.3,18.63,18.2,18.63,198214.0
2013-08-19,18.3,18.46,18.24,18.35,215763.0
2013-08-16,17.97,18.27,17.96,18.27,228243.0
2013-08-15,18.02,18.11,17.83,18.05,311839.0
2013-08-14,18.05,18.31,17.97,18.22,167823.0
2013-08-13,18.15,18.23,17.89,18.07,102685.0
2013-08-12,18.19,18.38,18.19,18.3,90934.0
2013-08-09,18.36,18.52,18.23,18.27,143897.0
2013-08-08,18.55,18.65,18.28,18.37,147883.0
2013-08-07,18.72,18.74,18.46,18.46,149060.0
2013-08-06,18.86,18.89,18.68,18.74,124772.0
2013-08-05,19.02,19.16,18.84,18.88,255730.0
2013-08-02,18.41,19.09,18.02,19.05,271218.0
2013-08-01,18.28,18.4,18.12,18.33,230485.0
2013-07-31,18.11,18.24,17.92,18.11,144590.0
2013-07-30,18.21,18.23,17.96,18.08,138044.0
2013-07-29,18.23,18.25,17.96,18.05,197423.0
2013-07-26,18.23,18.28,18.08,18.22,134270.0
2013-07-25,18.16,18.35,17.94,18.33,229991.0
2013-07-24,18.36,18.36,18.04,18.15,243549.0
2013-07-23,18.37,18.42,18.11,18.14,153224.0
2013-07-22,17.95,18.32,17.95,18.29,247759.0
2013-07-19,17.99,18.1,17.82,18.03,290654.0
2013-07-18,17.91,18.01,17.73,17.88,133332.0
