Date,Open,High,Low,Close,Volume
2014-04-07,71.6,71.6,69.89,70.48,397126.0
2014-04-04,72.2,72.35,71.45,71.51,477368.0
2014-04-03,71.8,72.09,71.3,71.76,225411.0
2014-04-02,71.15,72.12,71.14,71.55,151682.0
2014-04-01,70.54,71.34,70.46,71.07,238979.0
2014-03-31,69.56,70.61,69.36,70.49,266339.0
2014-03-28,68.91,69.8,68.46,69.08,250107.0
2014-03-27,69.03,69.22,68.36,68.83,212882.0
2014-03-26,70.6,70.6,69.09,69.13,204110.0
2014-03-25,70.47,71.04,69.97,70.31,158620.0
2014-03-24,71.91,72.19,70.0,70.36,182179.0
2014-03-21,71.23,72.51,71.17,71.83,464691.0
2014-03-20,70.62,71.45,70.44,71.08,147874.0
2014-03-19,70.84,71.46,70.46,70.83,274353.0
2014-03-18,71.0,71.62,70.51,70.95,460676.0
2014-03-17,70.54,71.53,70.5,71.0,265931.0
2014-03-14,70.2,70.86,70.0,70.1,207928.0
2014-03-13,71.88,72.24,69.72,70.27,207587.0
2014-03-12,71.44,71.79,70.74,71.55,177586.0
2014-03-11,72.82,73.03,71.53,71.78,118280.0
2014-03-10,72.93,73.4,72.3,72.76,120804.0
2014-03-07,73.07,73.47,72.58,73.11,184326.0
2014-03-06,72.77,73.37,72.17,72.86,217157.0
2014-03-05,73.0,73.27,72.55,72.84,154182.0
2014-03-04,73.03,73.5,72.76,72.87,243684.0
2014-03-03,72.37,72.65,71.52,72.04,233341.0
2014-02-28,72.75,73.87,72.16,73.16,310016.0
2014-02-27,72.47,73.22,71.9,72.44,404749.0
2014-02-26,70.47,71.75,69.65,71.41,396532.0
2014-02-25,71.28,71.28,70.25,70.88,380830.0
2014-02-24,69.86,70.78,69.81,70.01,313727.0
2014-02-21,70.42,70.46,69.79,69.8,210064.0
2014-02-20,69.91,70.37,69.81,70.27,171663.0
2014-02-19,69.79,70.39,69.66,69.8,211506.0
2014-02-18,70.4,70.63,69.78,70.12,288817.0
2014-02-14,70.58,70.84,70.18,70.46,282824.0
2014-02-13,70.34,70.82,69.64,70.68,302015.0
2014-02-12,70.2,71.44,70.2,70.85,217526.0
2014-02-11,69.34,70.39,69.33,70.23,134643.0
2014-02-10,68.98,69.61,68.55,69.31,299240.0
2014-02-07,68.56,69.45,68.35,69.13,309274.0
2014-02-06,68.13,68.7,67.57,68.35,274083.0
2014-02-05,69.1,69.1,67.59,68.0,515007.0
2014-02-04,68.22,69.45,67.39,69.38,496261.0
2014-02-03,69.45,69.78,67.06,67.98,746594.0
2014-01-31,69.0,70.05,68.81,69.32,271185.0
2014-01-30,69.94,70.23,69.05,69.75,341205.0
2014-01-29,69.5,70.33,69.07,69.14,247270.0
2014-01-28,69.98,70.6,69.5,70.05,197415.0
2014-01-27,70.73,70.95,69.37,69.7,252474.0
2014-01-24,71.63,71.86,70.43,70.48,373616.0
2014-01-23,72.7,73.02,72.0,72.3,251441.0
2014-01-22,72.7,73.09,72.4,73.08,211942.0
2014-01-21,73.18,73.18,72.08,72.41,217663.0
2014-01-17,71.91,72.77,71.6,72.46,422410.0
2014-01-16,72.24,72.64,71.77,72.04,155487.0
2014-01-15,72.0,72.79,71.56,72.33,227530.0
2014-01-14,71.17,71.98,70.46,71.89,205876.0
2014-01-13,71.87,72.38,70.57,70.87,189272.0
2014-01-10,72.11,72.68,71.45,72.29,251026.0
2014-01-09,72.02,72.49,71.18,71.89,212995.0
2014-01-08,72.39,72.52,71.42,71.71,301915.0
2014-01-07,72.95,73.15,72.15,72.24,241147.0
2014-01-06,73.87,74.23,72.02,72.5,319017.0
2014-01-03,73.5,74.27,73.1,73.77,212617.0
2014-01-02,74.25,74.42,72.99,73.55,193862.0
2013-12-31,74.73,75.26,74.2,74.3,304376.0
2013-12-30,74.7,75.05,74.15,74.77,174366.0
2013-12-27,74.99,75.1,74.49,74.62,142962.0
2013-12-26,75.2,75.53,74.36,74.83,183835.0
2013-12-24,74.61,75.24,74.24,75.02,132683.0
2013-12-23,74.66,74.93,74.22,74.6,141060.0
2013-12-20,73.76,74.74,73.75,74.02,579249.0
2013-12-19,72.97,73.94,72.52,73.41,278559.0
2013-12-18,72.15,73.21,71.39,73.17,314582.0
2013-12-17,72.14,72.49,71.93,72.27,348097.0
2013-12-16,72.17,72.38,71.77,72.19,325083.0
2013-12-13,71.58,72.66,71.48,72.19,270956.0
2013-12-12,70.27,71.66,70.0,71.57,592232.0
2013-12-11,73.27,73.27,71.37,71.76,307808.0
