Date,Open,High,Low,Close,Volume
2014-04-07,340.51,348.19,331.11,338.0,5335889.0
2014-04-04,355.45,356.0,335.88,337.31,4998608.0
2014-04-03,361.33,365.1,350.1,354.69,3143061.0
2014-04-02,365.66,371.05,358.3,362.88,3456349.0
2014-04-01,351.75,365.25,351.74,364.69,3051012.0
2014-03-31,361.51,366.86,349.88,352.03,3160766.0
2014-03-28,360.22,369.0,355.75,358.87,3528479.0
2014-03-27,371.01,377.83,361.53,364.18,4095987.0
2014-03-26,373.01,377.45,366.57,372.28,3879903.0
2014-03-25,379.0,384.93,365.75,370.84,4343656.0
2014-03-24,405.49,406.45,368.6,378.9,6069146.0
2014-03-21,426.1,428.34,405.74,405.99,3828437.0
2014-03-20,419.67,432.2,419.5,424.27,2070725.0
2014-03-19,419.87,425.45,417.06,420.09,1504506.0
2014-03-18,422.37,426.26,416.5,420.25,2104131.0
2014-03-17,428.19,430.8,422.31,422.72,1529238.0
2014-03-14,427.73,434.99,423.0,424.49,2143692.0
2014-03-13,439.71,440.28,428.28,430.06,1627175.0
2014-03-12,433.68,439.5,429.68,436.58,1736009.0
2014-03-11,442.64,446.68,435.65,437.48,1493297.0
2014-03-10,448.47,448.78,432.1,439.95,2208525.0
2014-03-07,454.07,454.54,445.51,448.37,1653491.0
2014-03-06,454.94,458.0,448.99,450.51,1689192.0
2014-03-05,453.99,456.84,451.91,453.5,1554495.0
2014-03-04,450.92,455.0,445.59,454.98,1772223.0
2014-03-03,441.19,445.75,438.1,445.59,1934011.0
2014-02-28,453.13,454.2,441.0,445.63,2253569.0
2014-02-27,447.84,454.13,447.84,452.23,1475148.0
2014-02-26,455.9,456.0,446.0,448.79,2145433.0
2014-02-25,450.0,457.79,445.0,453.03,2676641.0
2014-02-24,435.47,449.69,428.5,447.0,3728219.0
2014-02-21,438.7,438.7,429.65,432.23,1931865.0
2014-02-20,430.35,437.77,429.16,434.95,1716183.0
2014-02-19,431.67,436.25,427.97,428.23,2292931.0
2014-02-18,436.96,441.24,428.0,436.85,2216907.0
2014-02-14,437.06,437.7,431.69,435.51,1726837.0
2014-02-13,425.69,439.49,425.0,436.55,2674725.0
2014-02-12,434.78,434.9,425.54,428.93,2240417.0
2014-02-11,429.96,435.76,425.51,433.99,1954922.0
2014-02-10,429.43,432.37,424.28,430.44,1978365.0
2014-02-07,413.44,430.5,410.56,429.98,4721547.0
2014-02-06,406.42,410.91,400.42,407.91,1843833.0
2014-02-05,403.15,407.75,398.0,404.42,2397516.0
2014-02-04,405.45,408.53,397.01,405.91,2585919.0
2014-02-03,411.9,412.15,400.72,404.38,2879063.0
2014-01-31,402.31,412.4,402.3,409.33,3378098.0
2014-01-30,407.1,409.19,401.51,404.67,2629763.0
2014-01-29,403.12,407.34,398.05,400.42,4146699.0
2014-01-28,381.32,407.41,380.76,406.77,6249539.0
2014-01-27,387.39,391.5,370.56,381.23,4655599.0
2014-01-24,383.68,390.7,383.38,386.08,5101875.0
2014-01-23,387.4,395.63,377.49,388.72,13051436.0
2014-01-22,329.5,334.44,327.35,333.73,7047287.0
2014-01-21,332.23,332.47,320.25,328.71,3605822.0
2014-01-17,332.07,334.82,328.24,330.04,2347778.0
2014-01-16,328.41,333.87,322.02,331.68,3019971.0
2014-01-15,335.0,338.57,319.07,330.38,5782772.0
2014-01-14,341.44,341.6,332.57,337.96,2824328.0
2014-01-13,331.13,348.67,331.13,336.81,3892551.0
2014-01-10,338.07,338.64,330.53,332.14,2321394.0
2014-01-09,341.77,343.98,335.0,337.05,2431043.0
2014-01-08,336.73,345.98,336.52,340.99,2859855.0
2014-01-07,347.79,347.89,337.07,339.5,5172879.0
2014-01-06,363.23,364.31,353.33,359.57,2214845.0
2014-01-03,364.0,367.47,362.9,363.1,1545555.0
2014-01-02,366.81,367.58,360.8,362.82,1761997.0
2013-12-31,365.5,369.15,363.63,368.17,1503886.0
2013-12-30,367.62,369.54,359.04,366.99,2154317.0
2013-12-27,377.11,378.75,365.81,367.5,2422007.0
2013-12-26,378.11,380.91,375.83,376.93,1753672.0
2013-12-24,380.76,383.96,377.48,378.39,796835.0
2013-12-23,378.69,383.43,376.63,380.58,1808992.0
2013-12-20,376.6,379.69,374.34,375.67,2688876.0
2013-12-19,374.25,379.86,373.35,376.74,1979518.0
2013-12-18,373.75,377.0,366.51,376.24,2842147.0
2013-12-17,366.75,377.7,366.27,374.87,2645253.0
2013-12-16,369.69,371.0,364.25,366.31,1988772.0
2013-12-13,375.96,377.0,368.81,368.97,2553804.0
2013-12-12,363.67,374.84,363.55,373.33,3045538.0
2013-12-11,364.37,371.16,362.22,363.98,2871543.0
2013-12-10,354.5,364.44,353.32,363.1,2014667.0
2013-12-09,355.17,359.87,353.61,355.67,1674900.0
2013-12-06,361.04,361.33,352.0,354.44,1726005.0
2013-12-05,357.8,361.13,353.39,358.06,1970454.0
2013-12-04,360.59,368.65,356.25,356.27,2771351.0
2013-12-03,361.89,363.58,356.5,362.94,1914795.0
2013-12-02,364.88,367.96,359.61,363.92,1668125.0
2013-11-29,364.05,367.8,363.01,365.8,1198305.0
2013-11-27,357.11,363.85,353.54,362.49,2404701.0
2013-11-26,350.5,356.46,347.57,355.2,2098440.0
2013-11-25,346.9,352.93,345.01,350.24,1998078.0
2013-11-22,348.83,350.6,344.0,347.85,2030159.0
2013-11-21,342.24,348.68,341.67,348.5,2287864.0
2013-11-20,343.35,346.35,337.65,339.52,2784101.0
2013-11-19,340.77,346.82,334.24,337.29,2436810.0
2013-11-18,350.0,350.49,339.5,341.77,2894695.0
2013-11-15,344.6,349.89,343.08,349.76,2884332.0
2013-11-14,335.79,344.0,335.12,342.57,2874463.0
2013-11-13,333.22,335.46,329.1,335.28,1713698.0
2013-11-12,336.18,339.5,331.35,333.73,1749798.0
2013-11-11,332.75,339.5,328.62,337.91,2403466.0
2013-11-08,326.92,335.6,325.52,334.9,2781115.0
2013-11-07,339.0,339.67,325.16,326.86,2863208.0
2013-11-06,339.49,344.37,332.79,335.63,2970544.0
2013-11-05,335.54,342.4,333.05,341.5,2474335.0
2013-11-04,330.95,337.79,325.15,337.6,3134366.0
2013-11-01,328.83,333.5,325.9,329.26,3147986.0
2013-10-31,318.11,326.65,315.7,322.48,2641383.0
2013-10-30,328.72,328.93,315.62,318.14,3096620.0
2013-10-29,318.57,327.37,309.2,327.3,4423799.0
2013-10-28,325.01,330.96,311.81,314.0,4894412.0
2013-10-25,331.0,337.2,325.91,328.03,3440457.0
2013-10-24,331.44,336.85,323.66,331.22,4794223.0
2013-10-23,317.32,335.19,317.0,330.24,8347024.0
2013-10-22,387.84,389.16,321.5,322.52,25871424.0
2013-10-21,342.92,355.42,340.1,354.99,9298560.0
2013-10-18,334.0,336.48,327.6,333.5,3636418.0
2013-10-17,322.21,330.21,319.66,330.1,2761411.0
2013-10-16,320.11,325.5,318.26,322.88,2696641.0
2013-10-15,325.1,327.33,319.34,321.69,3844243.0
2013-10-14,310.61,325.27,306.0,324.36,6522819.0
2013-10-11,304.31,307.61,300.13,300.85,2742907.0
2013-10-10,301.0,307.43,296.4,303.99,4384957.0
2013-10-09,300.23,300.58,282.8,288.43,6002683.0
2013-10-08,319.29,321.52,299.57,302.32,4096901.0
2013-10-07,324.04,326.97,318.15,318.16,2093775.0
2013-10-04,323.68,328.3,318.54,327.26,2402597.0
2013-10-03,331.01,334.5,318.05,321.72,3523372.0
2013-10-02,322.09,333.6,321.62,330.73,4375140.0
