Date,Open,High,Low,Close,Volume
2014-04-07,34.16,34.38,33.54,33.59,164666.0
2014-04-04,34.87,35.61,34.21,34.28,201466.0
2014-04-03,35.81,36.16,34.93,34.97,130793.0
2014-04-02,35.26,36.16,35.0,35.79,95875.0
2014-04-01,34.89,35.57,34.82,35.39,195783.0
2014-03-31,34.27,35.16,34.27,34.8,174554.0
2014-03-28,34.05,34.48,34.01,34.2,133738.0
2014-03-27,33.9,34.43,33.82,34.07,155935.0
2014-03-26,34.81,35.2,33.92,33.98,165640.0
2014-03-25,35.38,35.5,34.03,34.54,209984.0
2014-03-24,35.77,36.11,35.18,35.28,100257.0
2014-03-21,35.96,36.2,35.58,35.78,251304.0
2014-03-20,35.62,36.0,35.53,35.77,80950.0
2014-03-19,36.02,36.18,35.57,35.63,66728.0
2014-03-18,35.92,36.44,35.89,36.06,96647.0
2014-03-17,36.09,36.64,35.86,35.92,95175.0
2014-03-14,35.85,36.29,35.3,36.08,90016.0
2014-03-13,36.37,36.54,35.68,35.93,104490.0
2014-03-12,35.65,36.29,35.42,36.21,60927.0
2014-03-11,36.06,36.71,35.51,35.8,109249.0
2014-03-10,36.6,36.86,35.98,36.13,104169.0
2014-03-07,36.34,36.77,35.9,36.33,112178.0
2014-03-06,36.37,36.7,35.93,36.28,112592.0
2014-03-05,36.43,36.67,35.95,36.27,119676.0
2014-03-04,36.08,37.11,35.85,36.47,233326.0
2014-03-03,34.95,36.09,34.95,35.56,155994.0
2014-02-28,35.8,36.3,34.95,35.19,134531.0
2014-02-27,35.91,36.33,35.41,35.84,202220.0
2014-02-26,35.72,36.47,35.35,35.88,229037.0
2014-02-25,35.2,36.0,35.0,35.45,184690.0
2014-02-24,35.01,35.45,35.01,35.25,222967.0
2014-02-21,35.12,35.17,34.62,34.9,210729.0
2014-02-20,34.45,35.11,34.16,34.96,202998.0
2014-02-19,34.78,35.42,34.1,34.49,251172.0
2014-02-18,33.24,34.36,33.17,34.03,166365.0
2014-02-14,32.91,33.3,32.6,33.25,244950.0
2014-02-13,33.54,33.81,32.8,33.05,409653.0
2014-02-12,33.06,33.94,32.89,33.73,306588.0
2014-02-11,33.97,34.18,32.73,32.77,368885.0
2014-02-10,35.09,35.78,33.9,34.0,476487.0
2014-02-07,35.48,35.94,34.08,34.45,499990.0
2014-02-06,38.0,39.15,33.93,35.45,1271448.0
2014-02-05,40.49,42.21,40.0,41.74,176617.0
2014-02-04,40.91,41.39,40.52,40.77,104985.0
2014-02-03,43.04,43.17,40.57,40.73,271766.0
2014-01-31,42.45,43.5,41.76,43.06,234109.0
2014-01-30,43.22,43.74,42.86,43.04,133856.0
2014-01-29,43.42,43.75,42.46,42.81,180624.0
2014-01-28,43.13,43.9,42.98,43.7,125739.0
2014-01-27,42.87,43.52,42.21,43.04,138161.0
2014-01-24,43.01,43.25,42.38,42.9,150934.0
2014-01-23,43.21,43.49,42.84,43.38,177686.0
2014-01-22,42.26,43.55,41.52,43.35,179118.0
2014-01-21,42.26,42.6,41.44,42.16,150782.0
2014-01-17,41.92,42.5,41.82,41.95,83249.0
2014-01-16,41.95,42.49,41.88,42.1,128130.0
2014-01-15,42.82,43.17,42.0,42.09,155165.0
