Date,Open,High,Low,Close,Volume
2014-04-07,37.4,37.62,36.29,36.3,5006663.0
2014-04-04,37.91,38.3,37.32,37.53,8188901.0
2014-04-03,37.61,37.81,37.35,37.52,2839270.0
2014-04-02,37.22,37.71,37.1,37.64,3025990.0
2014-04-01,36.92,37.2,36.58,37.12,3094007.0
2014-03-31,36.75,37.11,36.23,36.9,4297011.0
2014-03-28,36.33,36.81,36.1,36.18,5170724.0
2014-03-27,36.73,36.99,36.26,36.26,10476657.0
2014-03-26,37.32,37.6,36.69,36.69,6270239.0
2014-03-25,36.7,37.17,36.63,37.09,4471077.0
2014-03-24,36.63,36.98,36.04,36.58,8000573.0
2014-03-21,37.47,37.99,37.14,37.8,7786296.0
2014-03-20,37.06,37.54,36.98,37.1,9153206.0
2014-03-19,37.48,37.63,37.0,37.09,4464897.0
2014-03-18,37.36,37.63,37.19,37.46,4977007.0
2014-03-17,36.93,37.5,36.62,37.3,9348014.0
2014-03-14,37.16,37.81,36.52,36.57,8979865.0
2014-03-13,37.28,37.62,36.62,37.16,10204433.0
2014-03-12,37.35,37.89,36.99,37.85,6745013.0
2014-03-11,38.0,38.02,37.4,37.44,6815948.0
2014-03-10,37.94,38.03,37.6,37.81,6784195.0
2014-03-07,39.22,39.22,37.53,37.9,11456050.0
2014-03-06,39.99,40.08,38.55,39.03,7863358.0
2014-03-05,40.24,40.32,39.66,39.81,4946030.0
2014-03-04,40.88,41.03,40.0,40.18,4337491.0
2014-03-03,40.1,40.65,39.85,40.5,3690346.0
2014-02-28,40.65,40.89,40.17,40.41,2850785.0
2014-02-27,40.17,40.7,40.06,40.62,3018766.0
2014-02-26,40.36,40.43,39.73,40.28,3863461.0
2014-02-25,40.16,40.31,39.65,39.85,3233124.0
2014-02-24,39.89,40.26,39.73,40.08,3237000.0
2014-02-21,40.03,40.17,39.65,39.89,4414826.0
2014-02-20,40.52,40.67,39.8,40.18,5201909.0
2014-02-19,40.47,40.9,40.46,40.53,3193573.0
2014-02-18,40.68,40.9,40.58,40.62,3773302.0
2014-02-14,41.05,41.34,40.68,40.72,5222601.0
2014-02-13,40.39,41.25,39.85,41.1,11234071.0
2014-02-12,43.66,44.28,42.46,42.59,9312254.0
2014-02-11,43.5,43.93,43.11,43.69,6736414.0
2014-02-10,42.72,43.56,42.59,43.27,4455931.0
2014-02-07,41.94,42.99,41.55,42.82,3795350.0
2014-02-06,41.57,42.09,41.45,41.71,4736968.0
2014-02-05,41.65,41.95,40.69,41.57,4507794.0
2014-02-04,42.23,42.48,41.41,42.1,2692812.0
2014-02-03,43.32,43.64,41.7,41.94,5791360.0
2014-01-31,42.61,42.84,41.92,42.34,3323485.0
2014-01-30,43.24,43.28,42.63,43.14,2223307.0
2014-01-29,43.38,43.61,42.7,42.76,3969020.0
2014-01-28,43.88,43.99,43.39,43.74,4573081.0
2014-01-27,44.09,44.44,43.67,43.71,2941102.0
2014-01-24,45.72,45.72,43.92,43.96,5440563.0
2014-01-23,44.92,45.96,44.92,45.85,4338073.0
2014-01-22,44.96,45.7,44.8,45.45,6430620.0
2014-01-21,44.68,45.52,44.51,44.89,5726346.0
2014-01-17,43.04,44.72,42.79,44.49,6670748.0
2014-01-16,43.23,43.84,43.18,43.28,5181792.0
2014-01-15,40.63,43.51,40.33,43.51,11070417.0
2014-01-14,39.68,40.38,39.6,40.19,4945530.0
2014-01-13,40.27,40.49,39.61,39.7,3915639.0
2014-01-10,40.71,40.8,40.27,40.37,2041507.0
2014-01-09,40.98,41.14,40.51,40.65,3477305.0
2014-01-08,40.88,41.06,40.69,41.05,2939974.0
2014-01-07,40.2,40.83,40.09,40.82,2745253.0
2014-01-06,40.52,40.61,40.06,40.15,2703165.0
2014-01-03,40.38,40.62,40.22,40.33,1475620.0
2014-01-02,41.01,41.01,40.42,40.42,2427140.0
2013-12-31,41.16,41.44,41.0,41.14,1547964.0
2013-12-30,40.73,41.08,40.71,40.98,1918532.0
2013-12-27,40.33,40.81,40.32,40.7,1943615.0
2013-12-26,40.22,40.66,40.22,40.31,1862533.0
2013-12-24,40.32,40.54,40.28,40.38,1799866.0
2013-12-23,40.61,40.68,40.23,40.38,3209044.0
2013-12-20,40.71,40.93,40.41,40.49,4969795.0
2013-12-19,40.1,40.65,39.95,40.64,2866423.0
2013-12-18,40.02,40.06,39.0,40.04,3567141.0
2013-12-17,39.84,40.12,39.58,39.95,3205567.0
2013-12-16,39.99,40.19,39.79,40.03,2930387.0
2013-12-13,39.81,39.92,39.3,39.77,3780487.0
2013-12-12,39.99,40.11,39.34,39.6,5612386.0
2013-12-11,41.39,41.46,39.99,40.06,3861643.0
2013-12-10,41.25,41.8,41.14,41.46,3455358.0
2013-12-09,41.39,41.84,41.24,41.26,3266643.0
2013-12-06,41.95,41.95,41.43,41.57,2883198.0
2013-12-05,40.57,41.46,40.57,41.45,5518728.0
2013-12-04,39.73,40.89,39.73,40.67,4046900.0
2013-12-03,40.77,41.16,40.6,40.74,2346059.0
2013-12-02,40.5,41.24,40.5,41.0,3235320.0
2013-11-29,41.12,41.34,40.9,41.25,1731076.0
2013-11-27,40.9,41.27,40.79,41.24,1931532.0
2013-11-26,40.9,41.03,40.78,40.89,2867533.0
2013-11-25,40.78,40.92,40.55,40.77,1791633.0
2013-11-22,40.4,40.68,40.08,40.64,3599941.0
2013-11-21,39.95,40.67,39.95,40.39,2970948.0
2013-11-20,40.61,40.79,40.32,40.36,2162058.0
2013-11-19,40.5,40.91,40.3,40.59,2851581.0
2013-11-18,40.77,41.58,40.5,40.57,4254935.0
2013-11-15,41.12,41.5,40.65,41.42,5476371.0
2013-11-14,41.13,42.68,40.72,41.07,10528518.0
2013-11-13,40.21,41.3,39.75,41.29,7005731.0
2013-11-12,39.94,40.44,39.7,40.2,5935502.0
2013-11-11,39.75,39.97,39.53,39.87,2856872.0
2013-11-08,39.63,39.93,39.32,39.91,4985194.0
2013-11-07,38.46,39.62,38.45,39.45,7632058.0
2013-11-06,38.55,38.89,38.34,38.77,4011542.0
2013-11-05,38.55,38.75,38.5,38.51,3781013.0
2013-11-04,38.48,39.03,38.48,38.75,4356737.0
2013-11-01,38.98,39.28,38.83,39.14,4165572.0
2013-10-31,38.74,39.25,38.68,38.81,6123428.0
2013-10-30,39.94,39.98,38.85,38.93,5010880.0
2013-10-29,39.95,40.22,39.66,39.76,4635178.0
2013-10-28,39.49,39.93,39.03,39.69,4959315.0
2013-10-25,39.57,39.6,39.23,39.39,3713204.0
2013-10-24,39.22,39.44,39.07,39.29,2930192.0
2013-10-23,40.45,40.45,38.93,39.06,8840998.0
2013-10-22,40.99,41.15,40.45,40.71,7289175.0
2013-10-21,41.41,41.72,41.38,41.65,3279582.0
2013-10-18,40.71,41.54,40.5,41.37,4780076.0
2013-10-17,40.0,40.7,39.79,40.64,5787159.0
2013-10-16,40.81,40.88,40.25,40.44,6689370.0
2013-10-15,41.26,41.44,40.34,40.7,12023676.0
2013-10-14,41.27,41.94,41.18,41.73,4145560.0
2013-10-11,41.46,41.66,41.13,41.57,5854948.0
2013-10-10,41.5,41.79,41.4,41.6,4727132.0
2013-10-09,41.64,41.76,41.22,41.41,5269865.0
2013-10-08,42.11,42.25,41.51,41.65,4784512.0
2013-10-07,42.04,42.22,41.74,41.92,5508722.0
2013-10-04,42.1,42.37,42.1,42.27,4490728.0
2013-10-03,42.71,42.86,42.0,42.1,6358485.0
2013-10-02,42.82,43.14,42.51,42.84,3656873.0
2013-10-01,42.67,43.12,42.48,43.05,3880826.0
2013-09-30,42.06,42.79,42.06,42.62,4609536.0
2013-09-27,42.88,43.04,42.47,42.58,4011077.0
2013-09-26,42.99,43.38,42.84,43.13,4970729.0
2013-09-25,42.98,43.2,42.61,42.73,6172131.0
2013-09-24,42.47,43.45,42.45,42.88,6590867.0
2013-09-23,42.97,43.62,42.97,43.26,3934794.0
2013-09-20,44.12,44.12,43.17,43.2,8752406.0
2013-09-19,44.1,44.65,44.04,44.32,3741778.0
2013-09-18,43.85,44.25,43.68,43.99,3464332.0
2013-09-17,43.48,43.98,43.46,43.82,3130683.0
2013-09-16,43.99,44.01,43.24,43.55,4752173.0
2013-09-13,43.79,43.83,43.33,43.77,4092068.0
2013-09-12,43.3,43.82,43.25,43.65,4545831.0
2013-09-11,43.02,43.69,43.02,43.43,4387792.0
2013-09-10,42.86,43.31,42.85,43.09,4123331.0
2013-09-09,42.88,42.98,42.37,42.76,5917623.0
2013-09-06,42.15,42.36,41.67,42.24,8196707.0
2013-09-05,41.96,42.32,41.85,42.11,3360923.0
2013-09-04,42.0,42.43,41.7,42.07,5428340.0
2013-09-03,41.62,42.13,41.62,41.82,5744593.0
2013-08-30,41.6,41.82,41.38,41.54,2748189.0
2013-08-29,41.31,41.8,41.3,41.6,3238894.0
2013-08-28,41.51,41.69,41.28,41.43,3218080.0
2013-08-27,41.35,41.68,41.29,41.47,5792754.0
2013-08-26,40.8,42.23,40.8,41.85,4884190.0
2013-08-23,42.0,42.06,41.62,41.95,3728459.0
2013-08-22,41.66,41.94,41.47,41.82,3368222.0
2013-08-21,41.37,41.93,41.31,41.54,4250616.0
