Date,Open,High,Low,Close,Volume
2014-04-07,13.43,13.43,12.79,12.94,563876.0
2014-04-04,13.81,13.81,13.27,13.44,340470.0
2014-04-03,13.85,13.93,13.59,13.74,362331.0
2014-04-02,13.84,13.95,13.74,13.88,403843.0
2014-04-01,13.6,13.93,13.35,13.85,401349.0
2014-03-31,13.79,13.81,13.43,13.5,415805.0
2014-03-28,13.37,13.7,13.21,13.67,463146.0
2014-03-27,13.3,13.47,13.2,13.25,310097.0
2014-03-26,13.54,13.65,13.22,13.25,354713.0
2014-03-25,13.49,13.65,13.36,13.49,452915.0
2014-03-24,14.05,14.05,13.34,13.36,623415.0
2014-03-21,12.98,14.11,12.77,14.02,2194494.0
2014-03-20,12.79,13.03,12.69,12.94,271350.0
2014-03-19,12.44,13.03,12.42,12.79,411787.0
2014-03-18,13.12,13.15,12.4,12.42,800403.0
2014-03-17,12.96,13.33,12.89,13.21,620029.0
2014-03-14,12.61,13.1,12.61,12.93,466844.0
2014-03-13,12.8,12.95,12.5,12.61,418322.0
2014-03-12,13.13,13.18,12.6,12.78,876561.0
2014-03-11,13.94,14.14,13.6,13.65,563428.0
2014-03-10,14.18,14.27,13.82,13.87,467151.0
2014-03-07,14.25,14.32,13.98,14.2,453535.0
2014-03-06,14.21,14.28,14.1,14.18,368247.0
2014-03-05,14.24,14.25,13.87,14.15,527515.0
2014-03-04,13.89,14.25,13.87,14.2,828894.0
2014-03-03,13.94,14.04,13.53,13.81,757834.0
2014-02-28,14.8,14.83,13.61,13.98,1102839.0
2014-02-27,15.0,15.55,13.4,14.86,1269025.0
2014-02-26,15.28,15.47,15.02,15.04,272655.0
2014-02-25,15.6,15.78,15.17,15.32,360654.0
2014-02-24,16.08,16.09,15.56,15.61,352898.0
2014-02-21,16.25,16.26,15.86,16.0,302820.0
2014-02-20,16.12,16.33,16.03,16.24,186039.0
2014-02-19,16.06,16.25,16.0,16.13,251337.0
2014-02-18,15.95,16.16,15.84,16.09,276807.0
2014-02-14,16.11,16.2,15.67,15.92,235600.0
2014-02-13,15.92,16.17,15.76,16.13,251248.0
2014-02-12,15.83,16.04,15.67,16.03,242440.0
2014-02-11,15.77,15.89,15.65,15.79,367392.0
2014-02-10,16.06,16.21,15.68,15.7,301404.0
2014-02-07,15.43,16.15,15.31,16.1,472666.0
2014-02-06,15.61,15.79,15.19,15.39,201424.0
2014-02-05,15.65,15.8,15.27,15.6,369578.0
2014-02-04,15.37,15.77,15.03,15.65,507065.0
2014-02-03,16.39,16.41,15.25,15.35,551345.0
2014-01-31,16.24,16.46,16.02,16.41,631427.0
2014-01-30,17.14,17.15,16.29,16.48,639057.0
2014-01-29,18.02,18.11,17.02,17.13,722097.0
2014-01-28,18.6,18.6,18.01,18.11,322397.0
2014-01-27,19.19,19.24,18.37,18.63,315852.0
2014-01-24,20.04,20.28,18.96,19.06,305290.0
2014-01-23,20.38,20.38,20.04,20.14,378492.0
2014-01-22,20.65,20.97,20.35,20.47,545549.0
2014-01-21,21.34,21.38,20.61,20.64,328202.0
2014-01-17,21.17,21.36,21.01,21.15,291802.0
2014-01-16,21.13,21.24,20.66,21.13,284945.0
2014-01-15,20.69,21.23,20.58,21.09,243188.0
2014-01-14,20.18,20.84,20.01,20.55,279936.0
2014-01-13,20.61,20.87,20.01,20.21,371474.0
