Date,Open,High,Low,Close,Volume
2014-04-07,14.8,14.85,14.52,14.53,497670.0
2014-04-04,15.68,15.88,14.64,14.88,1101906.0
2014-04-03,15.85,16.13,15.64,15.65,637532.0
2014-04-02,15.64,15.99,15.39,15.88,718356.0
2014-04-01,15.14,15.66,14.9,15.65,617161.0
2014-03-31,14.98,15.19,14.84,15.07,596919.0
2014-03-28,14.6,15.2,14.6,14.9,442359.0
2014-03-27,15.5,15.7,14.56,14.62,680479.0
2014-03-26,15.19,15.86,14.99,15.5,787202.0
2014-03-25,14.99,16.18,14.8,15.12,1391079.0
2014-03-24,15.01,15.25,14.76,14.97,594153.0
2014-03-21,15.03,15.23,14.83,14.93,734239.0
2014-03-20,15.18,15.42,14.85,14.95,373053.0
2014-03-19,15.74,15.74,15.1,15.27,363101.0
2014-03-18,15.46,15.85,15.23,15.79,824091.0
2014-03-17,15.06,15.44,15.02,15.4,369240.0
2014-03-14,15.11,15.24,14.88,14.98,321391.0
2014-03-13,15.3,15.53,15.08,15.18,451633.0
2014-03-12,15.59,15.59,15.19,15.31,430006.0
2014-03-11,14.91,15.67,14.75,15.61,1673078.0
2014-03-10,14.57,14.88,14.49,14.82,859496.0
2014-03-07,14.1,14.8,13.97,14.66,1249871.0
2014-03-06,13.98,14.17,13.89,14.07,716535.0
2014-03-05,14.64,14.64,14.12,14.15,772607.0
2014-03-04,14.39,14.72,14.2,14.63,549351.0
2014-03-03,14.53,14.69,14.25,14.29,792485.0
2014-02-28,15.02,15.22,14.54,14.72,1198308.0
2014-02-27,16.25,16.33,14.9,15.07,2373838.0
2014-02-26,16.41,16.95,16.29,16.82,1077352.0
2014-02-25,16.3,16.58,16.01,16.22,798967.0
2014-02-24,15.69,16.62,15.69,16.29,1001036.0
2014-02-21,15.9,16.0,15.52,15.63,442012.0
2014-02-20,15.5,16.23,15.5,15.82,676107.0
2014-02-19,15.48,15.67,15.17,15.5,808329.0
2014-02-18,15.0,15.5,15.0,15.47,603009.0
2014-02-14,14.77,15.39,14.45,15.1,679326.0
2014-02-13,14.45,15.32,14.45,14.91,718090.0
2014-02-12,14.63,14.64,14.33,14.53,337415.0
2014-02-11,14.49,14.9,14.44,14.6,421602.0
2014-02-10,14.09,14.46,13.7,14.43,410350.0
2014-02-07,14.48,14.58,14.06,14.1,276374.0
2014-02-06,14.13,14.56,13.92,14.33,307986.0
2014-02-05,14.07,14.26,13.62,14.12,472817.0
2014-02-04,13.89,14.3,13.72,14.1,549681.0
2014-02-03,14.25,14.31,13.81,13.81,621040.0
2014-01-31,14.24,14.47,14.1,14.22,533002.0
2014-01-30,14.69,14.77,14.47,14.47,319717.0
2014-01-29,14.63,14.94,14.53,14.61,292401.0
2014-01-28,15.09,15.15,14.51,14.82,669012.0
2014-01-27,15.46,15.5,15.0,15.14,529716.0
2014-01-24,15.72,15.9,15.42,15.47,477646.0
2014-01-23,15.84,15.85,15.43,15.82,455332.0
2014-01-22,16.0,16.09,15.75,15.9,362344.0
2014-01-21,15.65,16.1,15.47,15.96,791159.0
2014-01-17,15.64,15.8,15.52,15.54,336621.0
2014-01-16,15.95,15.97,15.42,15.65,526794.0
2014-01-15,15.97,16.16,15.86,16.03,361454.0
2014-01-14,15.7,16.05,15.58,15.95,362136.0
2014-01-13,16.0,16.31,15.62,15.67,487439.0
2014-01-10,16.29,16.43,16.0,16.04,347418.0
2014-01-09,16.62,16.83,16.07,16.25,404387.0
2014-01-08,15.91,16.56,15.81,16.52,984122.0
2014-01-07,16.21,16.29,15.81,15.88,876679.0
2014-01-06,17.07,17.34,16.03,16.13,773043.0
2014-01-03,17.16,17.49,16.84,17.03,808335.0
2014-01-02,16.43,17.31,16.41,17.04,809450.0
2013-12-31,16.86,17.0,16.38,16.44,500996.0
2013-12-30,16.48,16.86,16.28,16.81,502578.0
2013-12-27,16.92,17.0,16.35,16.48,425940.0
2013-12-26,17.09,17.14,16.81,16.92,216498.0
2013-12-24,17.04,17.19,16.83,17.06,192993.0
2013-12-23,17.0,17.3,16.89,16.98,359748.0
2013-12-20,17.0,17.17,16.25,16.95,2721699.0
2013-12-19,17.0,17.38,16.75,16.85,586918.0
2013-12-18,17.25,17.42,16.82,17.05,881661.0
2013-12-17,17.87,17.9,17.09,17.27,785718.0
2013-12-16,18.6,18.71,17.84,17.93,758020.0
