Date,Open,High,Low,Close,Volume
2014-04-07,64.2,64.36,62.57,62.83,1726217.0
2014-04-04,65.77,65.86,64.01,64.16,1541092.0
2014-04-03,65.9,65.94,65.19,65.47,1543054.0
2014-04-02,65.71,65.84,65.34,65.64,2180015.0
2014-04-01,65.78,65.98,65.29,65.75,833316.0
2014-03-31,65.44,65.76,64.94,65.56,786979.0
2014-03-28,64.61,65.4,64.32,64.91,760875.0
2014-03-27,64.66,64.93,63.68,64.32,1296972.0
2014-03-26,65.75,65.79,64.65,64.67,852232.0
2014-03-25,66.09,66.36,64.84,65.31,1020141.0
2014-03-24,65.97,66.41,65.03,65.65,1438709.0
2014-03-21,66.47,67.17,65.67,65.77,2363040.0
2014-03-20,63.67,66.1,63.43,65.58,2496825.0
2014-03-19,63.12,64.01,62.69,63.92,1403632.0
2014-03-18,62.7,63.16,62.45,63.08,984481.0
2014-03-17,62.5,62.99,62.32,62.75,646974.0
2014-03-14,61.91,62.28,61.65,62.04,906218.0
2014-03-13,63.0,63.0,61.71,61.8,1013461.0
2014-03-12,62.67,63.02,62.34,62.7,728894.0
2014-03-11,63.01,63.88,62.91,63.14,726419.0
2014-03-10,63.85,64.4,63.55,64.12,781317.0
2014-03-07,62.96,64.26,62.9,64.02,1548632.0
2014-03-06,62.37,63.0,62.07,62.82,812790.0
2014-03-05,61.67,62.15,61.59,62.13,710814.0
2014-03-04,62.01,62.38,61.81,62.29,990783.0
2014-03-03,61.43,62.0,60.78,61.33,1185402.0
2014-02-28,62.05,62.49,61.55,61.85,1547712.0
2014-02-27,61.48,62.19,61.47,62.18,839776.0
2014-02-26,62.01,62.16,61.27,61.72,869752.0
2014-02-25,62.53,62.53,61.76,61.86,676117.0
2014-02-24,61.83,62.84,61.83,62.45,947774.0
2014-02-21,61.67,62.29,61.12,61.9,860192.0
2014-02-20,61.54,61.97,60.98,61.54,926907.0
2014-02-19,61.86,62.34,61.4,61.43,1066155.0
2014-02-18,62.0,62.46,61.58,62.22,787841.0
2014-02-14,61.89,62.39,61.75,62.25,775879.0
2014-02-13,61.53,62.11,61.36,62.04,895644.0
2014-02-12,61.81,62.38,61.61,61.87,1155523.0
2014-02-11,60.8,61.99,60.42,61.77,838942.0
2014-02-10,60.72,60.89,60.38,60.85,555764.0
2014-02-07,60.0,60.93,59.8,60.73,967949.0
2014-02-06,59.22,59.95,58.98,59.75,794818.0
2014-02-05,59.65,59.98,59.13,59.16,937615.0
2014-02-04,58.6,59.92,58.3,59.78,1509936.0
2014-02-03,60.3,60.4,58.31,58.4,1452171.0
2014-01-31,60.28,60.78,59.83,60.22,1259922.0
2014-01-30,61.09,61.34,60.42,61.12,955203.0
2014-01-29,60.32,61.17,60.24,60.7,1561515.0
2014-01-28,60.39,61.08,60.32,60.76,1447840.0
