Date,Open,High,Low,Close,Volume
2014-04-07,16.91,16.91,16.28,16.47,5925712.0
2014-04-04,17.15,17.49,16.8,16.87,7270270.0
2014-04-03,17.59,17.78,16.92,17.04,5861529.0
2014-04-02,17.34,17.63,17.17,17.57,5232516.0
2014-04-01,17.3,17.39,17.1,17.3,4788984.0
2014-03-31,17.21,17.29,17.01,17.17,4335630.0
2014-03-28,16.9,17.21,16.9,17.17,4667147.0
2014-03-27,16.78,17.1,16.74,16.9,7626236.0
2014-03-26,16.78,16.94,16.68,16.88,6009850.0
2014-03-25,16.82,17.0,16.54,16.58,3730675.0
2014-03-24,16.75,16.85,16.45,16.79,6160520.0
2014-03-21,16.67,16.88,16.61,16.84,7128264.0
2014-03-20,16.36,16.56,16.17,16.54,5033449.0
2014-03-19,16.15,16.4,15.95,16.36,4645725.0
2014-03-18,15.96,16.22,15.83,16.11,4862462.0
2014-03-17,15.8,15.94,15.64,15.92,3706702.0
2014-03-14,14.93,16.69,14.87,15.95,14448764.0
2014-03-13,15.46,15.5,14.92,14.95,3995281.0
2014-03-12,15.17,15.44,15.17,15.43,2878433.0
2014-03-11,15.2,15.38,15.19,15.29,2961387.0
2014-03-10,15.23,15.28,15.15,15.2,1889669.0
2014-03-07,15.44,15.45,15.14,15.28,2934995.0
2014-03-06,15.55,15.6,15.42,15.48,2065512.0
2014-03-05,15.65,15.79,15.5,15.54,2188737.0
2014-03-04,15.22,15.6,15.21,15.58,4071982.0
2014-03-03,15.1,15.24,14.97,15.11,3406420.0
2014-02-28,15.25,15.4,15.14,15.29,5108231.0
2014-02-27,15.22,15.35,15.13,15.29,2722899.0
2014-02-26,15.23,15.3,15.19,15.26,2971509.0
2014-02-25,15.3,15.33,15.13,15.23,3125700.0
2014-02-24,15.13,15.34,15.06,15.3,3848883.0
2014-02-21,15.13,15.24,15.02,15.07,3810034.0
2014-02-20,15.05,15.15,14.99,15.15,3291591.0
2014-02-19,15.15,15.2,14.99,15.03,4566039.0
2014-02-18,14.8,15.32,14.75,15.19,7332828.0
2014-02-14,14.88,14.98,14.79,14.81,4055064.0
2014-02-13,14.75,15.01,14.59,14.89,3427616.0
2014-02-12,15.02,15.03,14.76,14.77,6608986.0
2014-02-11,15.55,15.59,14.91,14.97,12787888.0
2014-02-10,15.6,15.84,15.57,15.76,6476778.0
2014-02-07,15.53,15.74,15.49,15.72,3940031.0
2014-02-06,15.23,15.54,15.21,15.4,3548810.0
2014-02-05,15.18,15.35,15.02,15.25,2839955.0
2014-02-04,15.07,15.33,14.91,15.28,4696939.0
2014-02-03,15.34,15.39,14.9,15.08,4214786.0
2014-01-31,15.09,15.43,15.09,15.33,2747450.0
2014-01-30,15.29,15.39,15.1,15.37,3837572.0
2014-01-29,15.08,15.2,14.96,15.09,4631244.0
2014-01-28,15.02,15.29,15.0,15.17,3067092.0
2014-01-27,15.5,15.55,14.8,15.06,5160486.0
2014-01-24,15.79,15.79,15.36,15.51,4124421.0
2014-01-23,16.01,16.06,15.75,15.79,6133691.0
2014-01-22,16.08,16.24,15.65,16.05,21780177.0
2014-01-21,15.03,15.05,14.8,14.89,4464848.0
2014-01-17,15.21,15.29,15.01,15.02,3992168.0
2014-01-16,15.34,15.44,15.2,15.29,3512258.0
2014-01-15,15.11,15.47,15.04,15.31,5252395.0
2014-01-14,14.8,15.02,14.73,15.01,2720122.0
2014-01-13,15.0,15.08,14.76,14.82,3959452.0
2014-01-10,15.05,15.15,14.88,15.05,3272387.0
2014-01-09,15.25,15.31,14.94,15.04,4052852.0
2014-01-08,15.3,15.35,15.18,15.24,2629498.0
2014-01-07,15.15,15.34,15.12,15.28,3099982.0
2014-01-06,15.35,15.37,15.01,15.05,3701970.0
2014-01-03,15.18,15.38,15.12,15.34,3133081.0
2014-01-02,15.24,15.31,15.03,15.19,2999625.0
2013-12-31,14.99,15.21,14.99,15.2,3027050.0
2013-12-30,14.9,15.12,14.82,15.01,4995654.0
2013-12-27,15.0,15.11,14.88,14.93,4473495.0
