Date,Open,High,Low,Close,Volume
2014-04-07,36.5,36.7,35.21,35.68,313265.0
2014-04-04,38.38,39.04,36.64,36.7,323186.0
2014-04-03,39.1,39.37,37.64,38.18,338885.0
2014-04-02,39.01,39.47,38.49,39.25,352455.0
2014-04-01,38.41,39.29,38.41,39.17,329524.0
2014-03-31,37.67,38.57,37.31,38.41,300445.0
2014-03-28,37.44,38.07,37.06,37.36,229728.0
2014-03-27,37.69,37.98,36.88,37.44,363091.0
2014-03-26,38.27,38.46,37.2,37.23,245697.0
2014-03-25,38.19,39.03,37.49,37.97,273586.0
2014-03-24,38.97,39.05,37.75,38.11,264666.0
2014-03-21,39.05,39.41,38.44,39.0,585119.0
2014-03-20,38.76,39.26,38.51,39.0,217425.0
2014-03-19,39.14,39.33,38.18,38.75,452105.0
2014-03-18,38.32,39.53,38.3,39.39,515341.0
2014-03-17,38.0,38.52,37.97,38.32,225566.0
2014-03-14,37.2,38.19,36.96,37.75,326660.0
2014-03-13,37.47,37.82,36.95,37.38,357555.0
2014-03-12,36.04,37.62,36.03,37.48,409221.0
2014-03-11,36.91,37.08,35.68,36.34,439033.0
2014-03-10,36.93,37.4,36.65,37.12,275327.0
2014-03-07,37.53,37.56,36.64,37.13,432177.0
2014-03-06,38.13,38.17,37.15,37.29,507188.0
2014-03-05,39.09,39.33,37.55,38.16,1279361.0
2014-03-04,38.0,39.89,37.03,39.29,1318631.0
2014-03-03,36.72,37.18,36.26,36.9,379151.0
2014-02-28,37.22,37.5,36.34,36.75,302283.0
2014-02-27,37.07,37.34,36.31,37.1,256229.0
2014-02-26,36.97,37.67,36.7,37.16,248574.0
2014-02-25,37.03,37.27,36.02,36.89,452991.0
2014-02-24,36.99,37.38,36.26,37.08,360961.0
2014-02-21,37.49,37.57,36.69,36.78,293222.0
2014-02-20,36.32,37.29,36.03,37.26,348935.0
2014-02-19,37.18,37.72,36.39,36.39,479975.0
2014-02-18,36.35,37.49,36.35,37.24,523209.0
2014-02-14,36.95,37.03,36.13,36.32,316568.0
2014-02-13,35.86,37.12,35.34,36.94,518171.0
2014-02-12,35.98,36.56,35.7,36.08,225280.0
2014-02-11,36.37,36.77,35.7,36.06,348381.0
2014-02-10,35.91,36.5,35.34,36.37,453843.0
2014-02-07,36.08,36.27,35.73,35.91,343153.0
2014-02-06,35.79,36.5,35.44,35.83,473635.0
2014-02-05,35.17,36.14,34.86,35.98,433414.0
2014-02-04,35.82,35.99,34.48,35.49,685770.0
2014-02-03,37.36,37.43,35.52,35.64,439877.0
2014-01-31,37.47,37.62,36.93,37.44,252506.0
2014-01-30,36.88,38.2,36.88,38.0,622899.0
2014-01-29,36.32,36.73,36.11,36.53,314351.0
2014-01-28,36.59,36.81,36.01,36.7,359606.0
2014-01-27,37.22,37.59,36.19,36.59,362437.0
2014-01-24,37.93,37.96,36.82,37.28,529257.0
2014-01-23,38.04,38.36,37.55,38.27,411875.0
2014-01-22,37.73,38.32,37.67,38.25,533173.0
2014-01-21,36.99,37.46,36.3,36.92,482971.0
2014-01-17,37.37,37.37,36.52,36.71,385870.0
2014-01-16,37.21,38.79,37.02,37.37,927965.0
2014-01-15,36.62,37.25,36.35,36.66,2059904.0
2014-01-14,34.04,34.34,33.68,33.78,454950.0
2014-01-13,34.76,34.76,33.47,33.88,452540.0
2014-01-10,35.28,35.7,34.36,34.81,489302.0
2014-01-09,35.45,35.8,35.1,35.23,374672.0
2014-01-08,35.02,35.38,34.71,35.06,500869.0
2014-01-07,33.07,35.0,33.07,34.99,839233.0
2014-01-06,32.86,33.64,32.8,33.02,530637.0
2014-01-03,31.83,32.73,31.46,32.49,579808.0
2014-01-02,32.15,32.21,31.32,31.84,505751.0
2013-12-31,32.3,32.55,32.0,32.33,186904.0
2013-12-30,32.36,32.73,32.02,32.33,217643.0
2013-12-27,32.49,32.58,31.88,32.43,302635.0
2013-12-26,32.9,32.99,32.46,32.48,185398.0
