Date,Open,High,Low,Close,Volume
2014-04-07,56.01,56.36,55.14,55.25,455545.0
2014-04-04,56.97,57.41,55.74,56.04,205673.0
2014-04-03,56.85,57.25,56.52,56.78,308511.0
2014-04-02,56.9,57.14,56.47,56.77,530802.0
2014-04-01,56.9,57.22,56.32,56.77,429154.0
2014-03-31,55.88,56.82,55.55,56.74,630074.0
2014-03-28,54.46,55.56,54.26,55.41,495070.0
2014-03-27,54.51,54.78,54.26,54.44,487245.0
2014-03-26,55.9,56.13,54.65,54.67,491749.0
2014-03-25,56.39,56.83,55.64,55.8,392458.0
2014-03-24,56.89,57.21,55.64,56.15,552808.0
2014-03-21,56.56,57.32,56.4,56.69,842862.0
2014-03-20,56.82,56.99,56.31,56.54,316643.0
2014-03-19,57.17,57.33,56.61,56.99,551466.0
2014-03-18,57.24,57.4,56.66,57.01,550692.0
2014-03-17,56.96,57.48,56.7,57.02,807794.0
2014-03-14,55.8,56.8,55.39,56.61,500641.0
2014-03-13,56.59,56.87,55.52,55.92,315440.0
2014-03-12,56.08,56.61,55.79,56.45,394836.0
2014-03-11,56.75,56.95,56.11,56.24,438390.0
2014-03-10,56.37,57.0,56.0,56.78,855607.0
2014-03-07,56.14,56.55,56.01,56.42,550269.0
2014-03-06,54.96,56.09,54.94,56.05,559316.0
2014-03-05,53.81,55.16,53.45,54.9,641982.0
2014-03-04,53.25,53.94,53.21,53.79,454261.0
2014-03-03,52.88,53.33,52.33,52.87,423365.0
2014-02-28,52.78,53.58,52.76,53.24,492899.0
2014-02-27,53.81,53.97,52.62,52.8,598722.0
2014-02-26,53.17,53.8,53.16,53.73,581452.0
2014-02-25,52.8,53.04,52.34,52.95,433133.0
2014-02-24,53.11,53.42,52.78,52.8,358889.0
2014-02-21,52.97,53.49,52.67,52.96,417884.0
2014-02-20,52.45,52.95,51.89,52.94,418434.0
2014-02-19,53.13,53.68,52.27,52.3,549461.0
2014-02-18,54.03,54.24,53.26,53.36,469555.0
2014-02-14,53.43,53.99,53.25,53.96,277808.0
2014-02-13,52.9,53.62,52.69,53.41,282269.0
2014-02-12,52.87,53.25,52.56,53.23,448046.0
2014-02-11,52.33,53.13,52.22,52.87,445757.0
2014-02-10,52.49,52.58,51.81,52.38,517166.0
2014-02-07,52.65,53.55,52.07,52.58,591554.0
2014-02-06,52.0,53.06,49.76,52.5,1932719.0
2014-02-05,52.35,52.95,51.86,52.66,1027852.0
2014-02-04,52.47,52.88,51.68,52.71,618320.0
2014-02-03,54.35,54.58,51.35,52.02,1327781.0
2014-01-31,53.74,54.69,53.48,54.24,443815.0
2014-01-30,53.88,54.36,53.72,54.3,331807.0
2014-01-29,52.99,53.68,52.75,53.45,521056.0
2014-01-28,52.86,53.52,52.84,53.32,814328.0
2014-01-27,55.43,55.43,52.79,52.84,1276705.0
2014-01-24,56.04,56.6,54.86,55.16,434412.0
2014-01-23,56.83,56.83,56.0,56.36,473389.0
2014-01-22,56.1,57.0,56.0,57.0,317291.0
2014-01-21,55.63,56.14,55.5,56.14,317193.0
2014-01-17,55.03,55.47,54.55,55.38,432013.0
2014-01-16,55.59,55.76,55.13,55.59,411224.0
2014-01-15,55.4,55.81,55.34,55.81,281327.0
2014-01-14,55.26,55.45,54.94,55.39,643073.0
2014-01-13,55.3,55.7,54.75,55.0,860980.0
2014-01-10,55.21,56.54,54.52,55.27,1287323.0
2014-01-09,52.93,53.73,52.88,53.69,585548.0
2014-01-08,52.76,53.02,52.31,52.86,438896.0
2014-01-07,52.38,52.9,52.04,52.73,348644.0
2014-01-06,52.93,52.96,52.04,52.07,407480.0
2014-01-03,52.32,52.75,52.17,52.54,342765.0
2014-01-02,52.96,53.01,52.04,52.23,459566.0
