Date,Open,High,Low,Close,Volume
2014-04-07,9.46,9.68,9.42,9.58,7682516.0
2014-04-04,9.78,9.84,9.41,9.51,15322581.0
2014-04-03,9.7,9.94,9.66,9.75,20924627.0
2014-04-02,9.43,9.58,9.42,9.5,12677858.0
2014-04-01,9.43,9.46,9.36,9.45,9476827.0
2014-03-31,9.26,9.43,9.24,9.4,5629550.0
2014-03-28,9.12,9.3,9.11,9.19,4044411.0
2014-03-27,9.15,9.3,9.05,9.11,5852827.0
2014-03-26,9.31,9.4,9.12,9.15,5469685.0
2014-03-25,9.43,9.45,9.18,9.27,8484242.0
2014-03-24,9.4,9.46,9.26,9.39,13407233.0
2014-03-21,9.49,9.59,9.33,9.36,7116315.0
2014-03-20,9.51,9.6,9.41,9.45,11730155.0
2014-03-19,9.5,9.67,9.45,9.53,5360710.0
2014-03-18,9.38,9.48,9.28,9.45,5188035.0
2014-03-17,9.21,9.33,9.2,9.26,4054467.0
2014-03-14,9.19,9.34,9.15,9.18,4391986.0
2014-03-13,9.45,9.51,9.16,9.2,3645272.0
2014-03-12,9.35,9.47,9.26,9.41,5840431.0
2014-03-11,9.56,9.6,9.35,9.4,4988930.0
2014-03-10,9.66,9.71,9.42,9.53,5893515.0
2014-03-07,9.64,9.75,9.62,9.68,5282411.0
2014-03-06,9.66,9.74,9.58,9.7,5078867.0
2014-03-05,9.62,9.72,9.54,9.64,4537657.0
2014-03-04,9.47,9.61,9.44,9.6,4207853.0
2014-03-03,9.23,9.38,9.12,9.35,3577081.0
2014-02-28,9.3,9.53,9.26,9.34,5496951.0
2014-02-27,9.4,9.41,9.23,9.3,4523164.0
2014-02-26,9.32,9.5,9.32,9.44,3624371.0
2014-02-25,9.41,9.47,9.21,9.31,4958641.0
2014-02-24,9.4,9.54,9.37,9.42,4503070.0
2014-02-21,9.67,9.67,9.3,9.38,8447860.0
2014-02-20,9.48,9.57,9.41,9.47,6590115.0
2014-02-19,9.49,9.56,9.37,9.46,7211537.0
2014-02-18,9.45,9.47,9.35,9.45,7557697.0
2014-02-14,9.32,9.43,9.28,9.42,7216707.0
2014-02-13,8.93,9.38,8.91,9.28,9759249.0
2014-02-12,9.02,9.02,8.87,8.94,7213519.0
2014-02-11,8.87,9.03,8.76,8.97,9451731.0
2014-02-10,8.87,9.11,8.84,8.88,9198927.0
2014-02-07,9.05,9.27,8.92,9.04,29480927.0
2014-02-06,8.14,8.38,8.08,8.32,8878862.0
2014-02-05,8.15,8.19,8.03,8.11,2621276.0
2014-02-04,8.1,8.3,8.03,8.21,4825710.0
2014-02-03,8.37,8.39,8.02,8.07,4940284.0
2014-01-31,8.47,8.58,8.33,8.36,5289778.0
2014-01-30,8.48,8.56,8.41,8.55,3446730.0
2014-01-29,8.4,8.6,8.39,8.41,5950988.0
2014-01-28,8.39,8.48,8.35,8.45,4155712.0
2014-01-27,8.41,8.52,8.31,8.41,5663178.0
2014-01-24,8.69,8.76,8.4,8.42,7528208.0
2014-01-23,8.8,8.86,8.68,8.71,7085151.0
2014-01-22,8.82,8.9,8.8,8.85,8658067.0
2014-01-21,8.88,8.89,8.76,8.83,3728690.0
2014-01-17,8.96,8.96,8.75,8.79,4588106.0
2014-01-16,8.85,8.89,8.73,8.86,4993218.0
2014-01-15,8.84,8.92,8.8,8.86,7294352.0
2014-01-14,8.88,8.97,8.75,8.8,14206486.0
2014-01-13,8.75,8.75,8.62,8.64,9220053.0
2014-01-10,8.49,8.71,8.48,8.61,7814130.0
2014-01-09,8.58,8.64,8.4,8.48,6067956.0
2014-01-08,8.18,8.64,8.13,8.54,18823970.0
2014-01-07,8.04,8.19,7.97,8.1,11341101.0
2014-01-06,8.05,8.08,7.97,8.03,3523009.0
2014-01-03,8.01,8.1,7.95,8.05,4825688.0
2014-01-02,8.0,8.02,7.82,8.01,11104645.0
2013-12-31,8.25,8.35,8.2,8.24,3112466.0
2013-12-30,8.24,8.3,8.19,8.26,2562293.0
2013-12-27,8.16,8.28,8.12,8.24,3240260.0
2013-12-26,8.12,8.18,8.09,8.14,3747811.0
2013-12-24,7.98,8.12,7.91,8.09,2679550.0
2013-12-23,7.89,8.05,7.85,7.95,4061984.0
2013-12-20,7.78,7.87,7.72,7.85,4470613.0
2013-12-19,7.75,7.95,7.67,7.79,9679035.0
2013-12-18,7.65,7.76,7.58,7.75,3286846.0
2013-12-17,7.6,7.68,7.57,7.67,2865654.0
2013-12-16,7.44,7.67,7.43,7.61,5137639.0
2013-12-13,7.48,7.49,7.32,7.44,4318919.0
2013-12-12,7.5,7.56,7.39,7.45,4759023.0
2013-12-11,7.48,7.6,7.44,7.5,6842641.0
2013-12-10,7.48,7.53,7.42,7.48,2991509.0
2013-12-09,7.44,7.6,7.44,7.48,3377239.0
2013-12-06,7.52,7.64,7.46,7.51,5433419.0
2013-12-05,7.47,7.58,7.39,7.45,6211934.0
2013-12-04,7.22,7.46,7.21,7.4,9679956.0
2013-12-03,7.04,7.31,7.04,7.26,11249084.0
2013-12-02,7.08,7.13,7.02,7.04,2152777.0
2013-11-29,7.09,7.15,7.05,7.09,1043796.0
2013-11-27,7.03,7.1,7.03,7.08,2220197.0
2013-11-26,6.97,7.12,6.94,7.05,3557339.0
2013-11-25,6.95,7.03,6.88,6.99,3151438.0
2013-11-22,6.98,7.04,6.93,6.95,4583093.0
2013-11-21,6.9,7.01,6.86,6.98,5170910.0
2013-11-20,6.86,6.96,6.82,6.86,5819372.0
2013-11-19,6.96,7.04,6.86,6.87,5350286.0
2013-11-18,6.99,7.09,6.92,6.98,8951586.0
2013-11-15,7.24,7.25,7.08,7.1,4325026.0
2013-11-14,7.21,7.26,7.16,7.21,3166593.0
2013-11-13,7.11,7.3,7.11,7.25,4186966.0
2013-11-12,7.07,7.18,7.05,7.17,3607946.0
2013-11-11,7.16,7.2,7.05,7.08,5042421.0
2013-11-08,7.12,7.16,6.95,7.14,8829076.0
2013-11-07,7.27,7.31,7.08,7.1,5211848.0
2013-11-06,7.35,7.4,7.21,7.22,5968220.0
2013-11-05,7.35,7.48,7.3,7.32,6434811.0
2013-11-04,7.53,7.6,7.36,7.36,5816552.0
2013-11-01,7.26,7.84,7.21,7.52,14669407.0
2013-10-31,7.03,7.1,6.8,7.06,11651346.0
2013-10-30,7.03,7.06,6.95,6.99,6016850.0
2013-10-29,7.0,7.06,6.91,6.99,10384273.0
2013-10-28,6.92,6.99,6.9,6.98,5406731.0
2013-10-25,6.87,6.99,6.87,6.94,6165010.0
2013-10-24,6.98,7.06,6.86,6.87,10066073.0
2013-10-23,6.97,7.04,6.88,6.96,8118259.0
2013-10-22,7.09,7.14,7.03,7.04,9254213.0
2013-10-21,7.15,7.21,7.05,7.09,7709765.0
2013-10-18,7.16,7.18,7.1,7.16,3355368.0
2013-10-17,7.07,7.15,7.0,7.12,7419244.0
2013-10-16,7.08,7.18,7.06,7.1,5703926.0
2013-10-15,7.24,7.28,7.02,7.07,8743340.0
2013-10-14,7.14,7.28,7.07,7.24,4044910.0
2013-10-11,7.0,7.2,6.98,7.18,5368491.0
2013-10-10,6.88,7.05,6.88,7.0,10730906.0
2013-10-09,7.01,7.02,6.82,6.83,14264780.0
2013-10-08,7.13,7.16,6.94,6.99,7921798.0
2013-10-07,7.16,7.26,7.1,7.13,8627205.0
2013-10-04,7.19,7.28,7.16,7.26,2670010.0
2013-10-03,7.31,7.33,7.08,7.18,8981497.0
2013-10-02,7.32,7.37,7.21,7.32,6822848.0
2013-10-01,7.3,7.44,7.28,7.36,5593335.0
2013-09-30,7.18,7.35,7.16,7.31,4229735.0
2013-09-27,7.29,7.36,7.27,7.28,3741189.0
2013-09-26,7.4,7.45,7.25,7.33,5508090.0
2013-09-25,7.41,7.45,7.28,7.38,7668687.0
2013-09-24,7.33,7.45,7.24,7.41,4136788.0
2013-09-23,7.36,7.38,7.21,7.3,4035178.0
2013-09-20,7.49,7.51,7.31,7.34,8393053.0
2013-09-19,7.55,7.58,7.42,7.49,2859919.0
2013-09-18,7.5,7.56,7.42,7.53,3069735.0
2013-09-17,7.48,7.55,7.42,7.51,3066099.0
2013-09-16,7.49,7.53,7.42,7.47,3291129.0
2013-09-13,7.6,7.64,7.34,7.42,14933271.0
2013-09-12,7.56,7.64,7.49,7.59,2464981.0
2013-09-11,7.56,7.64,7.53,7.58,3011452.0
2013-09-10,7.6,7.69,7.55,7.62,7110464.0
2013-09-09,7.56,7.6,7.48,7.57,2814010.0
2013-09-06,7.52,7.55,7.38,7.51,2712140.0
2013-09-05,7.5,7.52,7.41,7.49,2973828.0
2013-09-04,7.3,7.5,7.3,7.42,3851000.0
2013-09-03,7.31,7.42,7.26,7.3,3100956.0
2013-08-30,7.3,7.35,7.19,7.24,3650775.0
2013-08-29,7.22,7.38,7.21,7.31,3346777.0
2013-08-28,7.28,7.36,7.21,7.23,4329343.0
2013-08-27,7.3,7.34,7.21,7.28,4043380.0
2013-08-26,7.38,7.48,7.34,7.38,2189597.0
2013-08-23,7.36,7.43,7.28,7.36,2223712.0
2013-08-22,7.31,7.42,7.2,7.35,2647653.0
2013-08-21,7.27,7.34,7.21,7.3,3098819.0
2013-08-20,7.2,7.34,7.2,7.29,2303508.0
2013-08-19,7.31,7.36,7.17,7.2,2707219.0
2013-08-16,7.16,7.37,7.16,7.3,3505349.0
2013-08-15,7.35,7.43,7.24,7.25,4864778.0
2013-08-14,7.51,7.51,7.38,7.42,3169873.0
2013-08-13,7.46,7.54,7.32,7.5,6886193.0
2013-08-12,7.42,7.57,7.35,7.49,3453841.0
2013-08-09,7.41,7.46,7.35,7.44,3875078.0
2013-08-08,7.53,7.6,7.43,7.43,4067986.0
2013-08-07,7.44,7.52,7.36,7.5,4579580.0
2013-08-06,7.54,7.59,7.4,7.5,5657508.0
2013-08-05,7.55,7.65,7.52,7.58,6109250.0
2013-08-02,7.75,8.0,7.51,7.6,20774526.0
2013-08-01,8.3,8.5,8.26,8.44,11281261.0
2013-07-31,8.16,8.3,8.12,8.24,6916677.0
2013-07-30,8.15,8.24,8.06,8.14,4658541.0
2013-07-29,7.92,8.11,7.9,8.1,4231209.0
2013-07-26,8.06,8.08,7.94,7.98,3635020.0
2013-07-25,8.05,8.14,7.99,8.14,3265514.0
2013-07-24,8.23,8.24,8.0,8.04,3145574.0
2013-07-23,8.14,8.16,8.07,8.12,5080422.0
2013-07-22,7.99,8.1,7.92,8.06,2653662.0
2013-07-19,7.89,7.97,7.83,7.96,5095498.0
2013-07-18,8.18,8.21,7.9,7.95,9116754.0
2013-07-17,8.25,8.32,8.12,8.31,3713064.0
2013-07-16,8.26,8.34,8.18,8.2,3284659.0
2013-07-15,8.21,8.27,8.09,8.23,3431821.0
