Date,Open,High,Low,Close,Volume
2014-04-07,77.01,78.38,74.61,74.95,897666.0
2014-04-04,79.13,79.99,75.93,77.15,784380.0
2014-04-03,79.97,81.0,76.47,78.51,1106139.0
2014-04-02,77.5,78.17,75.98,77.03,364563.0
2014-04-01,77.18,78.8,76.96,77.56,544534.0
2014-03-31,77.52,78.88,76.79,76.93,299474.0
2014-03-28,76.81,78.24,76.1,77.29,380307.0
2014-03-27,77.23,78.09,75.21,76.65,415711.0
2014-03-26,78.67,78.71,75.07,77.04,545696.0
2014-03-25,79.45,81.78,77.35,78.12,638163.0
2014-03-24,83.31,83.4,78.28,79.18,716868.0
2014-03-21,81.49,83.53,80.84,82.61,519314.0
2014-03-20,81.93,82.78,80.85,81.44,170292.0
2014-03-19,83.98,83.98,81.5,82.29,283197.0
2014-03-18,81.54,83.87,81.18,83.77,279540.0
2014-03-17,82.5,83.0,80.97,81.77,375669.0
2014-03-14,82.95,83.24,80.77,81.66,641331.0
2014-03-13,83.25,85.87,82.73,83.48,959223.0
2014-03-12,80.45,82.56,80.31,82.03,357957.0
2014-03-11,83.17,83.26,81.09,81.58,451446.0
2014-03-10,83.97,84.38,82.65,82.81,518516.0
2014-03-07,84.43,84.56,83.19,84.22,493615.0
2014-03-06,82.47,84.48,82.02,84.04,582484.0
2014-03-05,83.1,83.57,81.69,81.97,489267.0
2014-03-04,80.0,84.06,79.28,82.98,994292.0
2014-03-03,78.43,79.58,77.51,78.93,352136.0
2014-02-28,80.5,81.47,78.55,79.69,358849.0
2014-02-27,79.68,81.29,79.62,80.72,501602.0
2014-02-26,79.07,81.33,78.24,79.64,932399.0
2014-02-25,78.6,79.29,78.04,78.65,855657.0
2014-02-24,77.89,79.05,76.0,78.25,1172987.0
2014-02-21,74.77,77.85,74.77,76.21,1167802.0
2014-02-20,73.91,75.76,73.72,74.86,547111.0
2014-02-19,74.01,75.25,73.57,73.88,788645.0
2014-02-18,72.51,74.36,72.3,74.17,667733.0
2014-02-14,73.5,73.98,72.27,72.61,358603.0
2014-02-13,72.58,74.0,72.42,73.59,481041.0
2014-02-12,71.8,73.47,71.3,73.2,597338.0
2014-02-11,73.89,74.31,70.55,71.83,770989.0
2014-02-10,75.33,75.43,71.72,73.44,1254426.0
2014-02-07,71.0,79.35,70.93,75.67,2442821.0
2014-02-06,73.86,76.99,73.84,75.41,1685729.0
2014-02-05,74.73,76.08,72.66,73.21,635031.0
2014-02-04,74.94,76.68,73.06,75.58,759790.0
2014-02-03,74.6,76.15,70.64,73.06,702467.0
2014-01-31,74.88,76.19,74.31,75.28,693065.0
2014-01-30,78.0,79.15,76.22,76.31,576007.0
2014-01-29,78.0,79.52,76.79,76.96,511677.0
2014-01-28,77.17,79.67,77.01,79.0,424736.0
2014-01-27,79.37,79.66,76.12,76.82,491017.0
2014-01-24,80.15,80.84,77.54,79.37,434668.0
2014-01-23,80.58,81.4,79.78,80.92,417880.0
2014-01-22,81.19,81.75,79.09,80.58,365898.0
2014-01-21,80.59,82.28,80.3,81.17,332454.0
2014-01-17,81.81,82.94,80.11,80.32,572153.0
2014-01-16,80.4,82.4,80.18,82.01,476775.0
2014-01-15,80.56,81.63,80.0,80.79,422530.0
2014-01-14,78.43,80.67,78.0,80.23,399423.0
2014-01-13,80.29,81.67,77.83,77.97,530301.0
2014-01-10,80.92,81.45,78.66,80.17,477632.0
2014-01-09,81.21,82.44,80.21,80.98,557018.0
2014-01-08,83.0,84.01,80.07,80.71,700476.0
2014-01-07,80.34,84.25,80.34,83.09,759093.0
2014-01-06,79.13,80.32,78.45,79.55,519104.0
2014-01-03,78.4,79.54,77.89,79.19,444631.0
2014-01-02,79.29,80.06,77.41,78.07,461155.0
2013-12-31,78.16,79.76,77.72,79.37,336875.0
2013-12-30,78.06,78.78,77.43,78.07,395183.0
2013-12-27,80.0,80.0,77.71,78.15,335324.0
2013-12-26,80.2,81.0,79.03,79.73,381404.0
2013-12-24,80.25,80.89,79.68,80.11,193777.0
2013-12-23,82.0,82.0,79.75,80.48,419966.0
2013-12-20,78.71,82.01,78.33,81.24,728763.0
2013-12-19,78.6,79.86,77.62,78.34,379240.0
2013-12-18,77.05,79.07,76.34,78.63,559496.0
2013-12-17,76.56,77.97,76.19,76.71,444432.0
2013-12-16,76.61,78.63,75.56,76.42,491438.0
2013-12-13,79.34,80.2,74.65,76.33,1686007.0
2013-12-12,80.0,80.52,78.23,79.02,392863.0
2013-12-11,81.95,81.98,79.71,80.16,377483.0
2013-12-10,81.51,82.23,80.72,81.61,327827.0
2013-12-09,81.81,82.47,80.2,81.76,280109.0
2013-12-06,81.7,82.97,81.0,81.66,388888.0
2013-12-05,80.63,82.31,80.15,81.31,315010.0
2013-12-04,80.63,81.1,79.4,80.37,451984.0
2013-12-03,80.53,81.78,79.76,81.24,474309.0
2013-12-02,81.7,81.96,78.46,80.59,768648.0
2013-11-29,84.35,84.65,83.23,83.57,126711.0
2013-11-27,84.22,85.16,82.85,83.78,241688.0
2013-11-26,82.82,84.56,82.27,84.23,339590.0
2013-11-25,84.22,84.66,82.27,83.1,371574.0
2013-11-22,84.27,84.87,83.37,84.28,324362.0
2013-11-21,83.3,84.25,82.68,84.0,260477.0
2013-11-20,83.62,83.96,82.07,82.58,349258.0
2013-11-19,85.01,85.1,82.6,83.01,547694.0
2013-11-18,87.38,87.48,84.64,85.14,609712.0
2013-11-15,85.26,86.63,84.48,86.58,591056.0
2013-11-14,83.43,86.76,83.1,84.81,1033104.0
2013-11-13,81.24,83.45,80.1,83.43,616447.0
2013-11-12,79.75,82.29,79.14,82.04,826160.0
2013-11-11,77.08,80.82,76.26,80.69,1215207.0
2013-11-08,75.62,77.98,75.14,77.69,720043.0
2013-11-07,78.89,79.9,75.17,75.64,1077317.0
2013-11-06,76.82,82.87,76.46,79.92,3308633.0
2013-11-05,71.4,72.06,70.02,71.1,1152657.0
2013-11-04,69.17,71.65,68.21,71.57,697521.0
2013-11-01,68.2,70.63,68.06,68.59,573945.0
2013-10-31,71.6,72.39,69.47,69.48,504530.0
2013-10-30,73.65,74.1,71.15,72.05,488134.0
2013-10-29,73.93,74.55,71.47,73.83,734357.0
2013-10-28,70.74,74.85,70.51,74.04,954262.0
2013-10-25,71.5,71.76,68.5,70.87,266190.0
2013-10-24,70.64,72.39,69.81,71.22,411258.0
2013-10-23,69.86,70.5,68.62,70.42,284869.0
2013-10-22,70.97,71.82,69.02,69.99,352320.0
2013-10-21,71.5,72.37,70.43,70.82,315389.0
2013-10-18,69.8,72.55,69.8,71.5,597660.0
