Date,Open,High,Low,Close,Volume
2014-04-07,15.44,15.68,15.25,15.54,127101.0
2014-04-04,15.97,15.97,15.4,15.5,120085.0
2014-04-03,15.92,15.95,15.8,15.85,54455.0
2014-04-02,15.96,15.98,15.84,15.91,64967.0
2014-04-01,15.81,16.02,15.67,15.98,133809.0
2014-03-31,15.66,15.87,15.55,15.81,119164.0
2014-03-28,15.58,15.84,15.54,15.58,82908.0
2014-03-27,15.85,15.99,15.55,15.6,173498.0
2014-03-26,16.27,16.27,15.82,15.82,124714.0
2014-03-25,16.22,16.27,16.09,16.14,103179.0
2014-03-24,16.36,16.45,16.1,16.12,156306.0
2014-03-21,16.35,16.46,16.14,16.4,320729.0
2014-03-20,16.06,16.32,15.88,16.28,104443.0
2014-03-19,16.04,16.12,15.93,16.05,125494.0
2014-03-18,15.91,16.14,15.84,16.08,190690.0
2014-03-17,15.96,16.0,15.83,15.93,95326.0
2014-03-14,15.84,16.0,15.79,15.91,53426.0
2014-03-13,15.93,16.0,15.84,15.9,116581.0
2014-03-12,15.76,15.93,15.67,15.93,144603.0
2014-03-11,15.82,15.9,15.7,15.8,112724.0
2014-03-10,15.8,15.9,15.76,15.87,140154.0
2014-03-07,15.89,15.9,15.75,15.8,121087.0
2014-03-06,15.8,15.86,15.68,15.78,239424.0
2014-03-05,15.69,15.82,15.62,15.79,82673.0
2014-03-04,15.67,15.95,15.67,15.74,432762.0
2014-03-03,15.58,15.72,15.43,15.5,131940.0
2014-02-28,15.75,15.82,15.64,15.66,335194.0
2014-02-27,15.65,15.75,15.62,15.7,159687.0
2014-02-26,15.45,15.75,15.45,15.7,171383.0
2014-02-25,15.41,15.5,15.29,15.44,78546.0
2014-02-24,15.39,15.59,15.28,15.45,203596.0
2014-02-21,15.5,15.5,15.29,15.35,232955.0
2014-02-20,15.24,15.49,15.18,15.41,116719.0
2014-02-19,15.64,15.73,15.16,15.18,175719.0
2014-02-18,15.54,15.82,15.54,15.71,95174.0
2014-02-14,15.61,15.69,15.5,15.64,114732.0
2014-02-13,15.33,15.61,15.29,15.57,90526.0
2014-02-12,15.49,15.6,15.32,15.41,70104.0
2014-02-11,15.29,15.58,15.12,15.46,128290.0
2014-02-10,15.41,15.41,15.19,15.3,136785.0
2014-02-07,15.19,15.35,15.15,15.34,205303.0
2014-02-06,15.16,15.25,15.04,15.15,182294.0
2014-02-05,15.25,15.32,15.1,15.14,155341.0
2014-02-04,15.55,15.63,15.33,15.34,176991.0
2014-02-03,15.75,15.88,15.43,15.51,261233.0
2014-01-31,15.57,15.8,15.57,15.74,392519.0
2014-01-30,15.59,15.82,15.5,15.74,157456.0
2014-01-29,15.57,15.75,15.42,15.52,225951.0
2014-01-28,15.73,15.88,15.53,15.66,240061.0
2014-01-27,15.59,15.88,15.49,15.68,256558.0
2014-01-24,15.46,15.7,15.35,15.56,375727.0
2014-01-23,15.57,15.6,15.4,15.52,167536.0
2014-01-22,15.59,15.8,15.47,15.55,132325.0
2014-01-21,15.51,15.65,15.5,15.63,90039.0
2014-01-17,15.41,15.53,15.39,15.44,153262.0
2014-01-16,15.49,15.57,15.34,15.46,151175.0
2014-01-15,15.44,15.62,15.42,15.55,152674.0
2014-01-14,15.44,15.49,15.36,15.44,104648.0
2014-01-13,15.3,15.39,15.22,15.38,153965.0
2014-01-10,15.5,15.5,15.3,15.35,93524.0
2014-01-09,15.55,15.55,15.36,15.45,123971.0
2014-01-08,15.46,15.51,15.39,15.49,139581.0
2014-01-07,15.6,15.87,15.46,15.52,178173.0
2014-01-06,15.9,16.07,15.55,15.56,134693.0
2014-01-03,15.82,15.99,15.79,15.84,92762.0
2014-01-02,16.0,16.0,15.75,15.82,110488.0
2013-12-31,16.13,16.13,15.95,16.05,101507.0
2013-12-30,16.01,16.1,15.76,16.07,84462.0
2013-12-27,16.07,16.16,15.79,16.03,131694.0
2013-12-26,16.12,16.13,15.98,16.0,119894.0
2013-12-24,15.99,16.14,15.97,16.06,55239.0
2013-12-23,15.97,16.1,15.87,15.95,178121.0
2013-12-20,15.79,16.0,15.75,15.94,506575.0
2013-12-19,15.86,15.86,15.66,15.69,70476.0
2013-12-18,15.83,15.89,15.66,15.89,151318.0
2013-12-17,15.88,15.88,15.71,15.77,167550.0
2013-12-16,15.69,15.88,15.6,15.86,156220.0
2013-12-13,15.63,15.79,15.6,15.68,143809.0
2013-12-12,15.63,15.69,15.55,15.6,169016.0
2013-12-11,15.83,15.83,15.57,15.67,174201.0
2013-12-10,15.78,15.91,15.55,15.76,187414.0
2013-12-09,15.7,15.9,15.67,15.8,524080.0
2013-12-06,15.83,15.83,15.58,15.62,204631.0
2013-12-05,15.59,15.75,15.55,15.68,131702.0
2013-12-04,15.66,15.8,15.48,15.63,141408.0
2013-12-03,16.01,16.15,15.78,15.94,144436.0
2013-12-02,16.3,16.38,16.06,16.07,159264.0
2013-11-29,16.4,16.54,16.26,16.29,67680.0
2013-11-27,16.26,16.39,16.19,16.39,128660.0
2013-11-26,16.18,16.24,16.1,16.19,115542.0
2013-11-25,16.12,16.23,16.09,16.14,70062.0
2013-11-22,15.98,16.1,15.71,16.08,101006.0
2013-11-21,15.93,16.04,15.77,15.92,107160.0
2013-11-20,15.93,16.0,15.76,15.86,79228.0
2013-11-19,15.97,16.08,15.71,15.91,69557.0
2013-11-18,15.93,16.08,15.87,15.95,78374.0
2013-11-15,16.11,16.13,15.85,15.9,135222.0
2013-11-14,16.18,16.18,16.02,16.14,128630.0
2013-11-13,15.99,16.21,15.89,16.2,111291.0
2013-11-12,16.08,16.14,15.97,16.04,131693.0
2013-11-11,16.32,16.32,16.07,16.08,78122.0
2013-11-08,16.08,16.5,16.06,16.32,92767.0
2013-11-07,16.23,16.26,16.08,16.08,100514.0
2013-11-06,16.16,16.27,16.06,16.21,113202.0
2013-11-05,16.38,16.55,16.21,16.25,81703.0
2013-11-04,16.24,16.51,16.11,16.41,177722.0
2013-11-01,16.19,16.3,16.05,16.22,284097.0
2013-10-31,16.42,16.58,16.21,16.22,103240.0
2013-10-30,16.56,16.65,16.42,16.46,107492.0
2013-10-29,16.59,16.66,16.39,16.52,77357.0
2013-10-28,16.43,16.61,16.37,16.59,170136.0
2013-10-25,16.45,16.59,16.38,16.4,124574.0
2013-10-24,16.6,16.6,16.24,16.4,135014.0
2013-10-23,16.36,16.6,16.36,16.49,113386.0
2013-10-22,16.5,16.6,16.44,16.46,116699.0
2013-10-21,16.4,16.53,16.35,16.47,167582.0
2013-10-18,16.65,16.65,16.38,16.4,274339.0
2013-10-17,16.51,16.64,16.42,16.6,147294.0
2013-10-16,16.53,16.64,16.46,16.53,149082.0
2013-10-15,16.49,16.56,16.43,16.48,151994.0
2013-10-14,16.42,16.58,16.27,16.5,210301.0
2013-10-11,16.51,16.58,16.38,16.5,244148.0
2013-10-10,16.39,16.68,16.35,16.6,272250.0
2013-10-09,16.02,16.18,15.96,16.06,68188.0
2013-10-08,15.99,16.04,15.82,15.99,98432.0
2013-10-07,16.07,16.14,15.83,15.97,72002.0
2013-10-04,15.95,16.47,15.95,16.18,81354.0
2013-10-03,16.19,16.38,15.94,16.04,97207.0
2013-10-02,16.42,16.42,16.18,16.19,113974.0
2013-10-01,16.45,16.55,16.33,16.51,130521.0
2013-09-30,16.18,16.46,16.09,16.46,111013.0
2013-09-27,16.2,16.41,15.97,16.28,60219.0
2013-09-26,16.54,16.59,16.19,16.33,208558.0
