Date,Open,High,Low,Close,Volume
2014-04-07,144.65,144.82,142.17,143.03,870834.0
2014-04-04,149.05,149.28,144.36,145.0,638498.0
2014-04-03,149.42,150.2,147.65,148.53,428295.0
2014-04-02,149.09,150.26,148.36,149.39,430344.0
2014-04-01,148.48,151.26,148.48,149.35,977453.0
2014-03-31,148.41,149.0,147.41,148.39,607880.0
2014-03-28,146.36,148.8,145.65,147.93,673593.0
2014-03-27,146.69,147.47,145.13,145.68,446884.0
2014-03-26,146.89,148.42,146.67,146.79,808571.0
2014-03-25,147.06,148.23,146.16,146.72,468506.0
2014-03-24,148.64,149.18,145.62,146.81,542015.0
2014-03-21,148.26,150.88,146.82,148.9,1157719.0
2014-03-20,146.25,147.29,145.56,146.72,473304.0
2014-03-19,148.37,148.4,145.9,147.22,503280.0
2014-03-18,148.18,148.82,147.28,148.47,403722.0
2014-03-17,148.66,149.32,148.03,148.44,572330.0
2014-03-14,145.97,148.35,145.95,147.78,702517.0
2014-03-13,150.07,150.07,146.42,146.68,474370.0
2014-03-12,149.27,149.73,148.34,149.2,474331.0
2014-03-11,150.68,151.37,149.27,149.55,325058.0
2014-03-10,150.63,151.48,149.84,150.87,355978.0
2014-03-07,150.52,151.19,149.57,150.47,471872.0
2014-03-06,150.75,150.75,149.41,149.75,471401.0
2014-03-05,150.65,151.48,149.22,150.48,545708.0
2014-03-04,151.04,153.05,149.56,151.39,982375.0
2014-03-03,150.13,152.17,150.0,151.13,667816.0
2014-02-28,150.97,151.88,149.77,150.85,734489.0
2014-02-27,152.0,152.29,149.55,150.5,857903.0
2014-02-26,154.09,154.67,150.54,151.43,1049876.0
2014-02-25,153.61,155.06,152.86,153.34,516638.0
2014-02-24,154.41,155.39,153.02,153.87,764063.0
2014-02-21,154.31,154.5,153.01,153.79,571836.0
2014-02-20,154.48,154.98,153.18,154.26,489401.0
2014-02-19,154.25,155.05,153.1,153.21,660579.0
2014-02-18,155.94,155.94,153.72,154.76,664290.0
2014-02-14,152.39,155.16,151.48,154.81,1001569.0
2014-02-13,150.68,152.87,150.3,152.82,898254.0
2014-02-12,151.0,151.85,150.35,151.33,842831.0
2014-02-11,147.09,151.5,147.01,150.55,1584501.0
2014-02-10,149.13,149.48,147.16,148.19,824857.0
2014-02-07,146.91,149.37,146.03,149.2,1125964.0
2014-02-06,142.32,149.99,141.93,146.72,2707517.0
2014-02-05,132.86,134.97,131.84,134.56,1396664.0
2014-02-04,132.47,134.74,131.69,134.49,1817616.0
2014-02-03,133.39,134.11,129.72,131.0,1273887.0
2014-01-31,130.92,131.86,129.78,130.98,762534.0
2014-01-30,131.18,132.34,130.05,132.29,557597.0
2014-01-29,131.45,131.74,130.23,130.3,1058500.0
2014-01-28,133.0,133.97,131.61,132.06,781813.0
2014-01-27,132.96,134.26,131.98,133.06,859118.0
2014-01-24,133.99,134.42,132.48,132.56,731518.0
2014-01-23,135.02,136.15,133.6,134.35,588492.0
2014-01-22,136.16,137.28,135.25,136.02,581100.0
2014-01-21,135.89,136.44,134.96,135.99,715484.0
2014-01-17,133.44,135.54,133.23,135.48,830233.0
2014-01-16,133.0,133.75,132.04,133.72,391301.0
2014-01-15,132.49,133.7,132.42,133.14,444836.0
2014-01-14,130.69,133.02,130.06,132.6,685035.0
2014-01-13,132.92,133.97,130.0,130.22,685420.0
2014-01-10,132.82,133.24,132.31,132.99,430654.0
2014-01-09,133.22,133.82,132.32,132.49,606218.0
2014-01-08,132.76,133.33,131.53,132.58,1055061.0
2014-01-07,129.89,133.12,129.75,133.01,1007057.0
2014-01-06,129.5,130.69,129.03,129.52,778962.0
