Date,Open,High,Low,Close,Volume
2014-04-07,46.04,46.29,45.33,45.81,209446.0
2014-04-04,46.44,46.77,45.5,46.16,318328.0
2014-04-03,47.02,47.28,46.14,46.18,309412.0
2014-04-02,47.16,47.52,46.41,46.94,300955.0
2014-04-01,47.86,47.86,46.67,47.09,246347.0
2014-03-31,46.81,47.92,46.78,47.71,339506.0
2014-03-28,46.99,47.54,46.55,46.61,313739.0
2014-03-27,47.32,47.48,46.59,46.91,334083.0
2014-03-26,47.95,48.4,47.4,47.44,432522.0
2014-03-25,47.99,48.3,47.45,47.75,450382.0
2014-03-24,48.24,48.38,47.45,47.76,167243.0
2014-03-21,48.86,49.14,48.03,48.31,284632.0
2014-03-20,48.57,48.82,47.82,48.57,169826.0
2014-03-19,49.8,49.8,48.15,48.68,250243.0
2014-03-18,48.9,49.63,48.75,49.38,378639.0
2014-03-17,48.33,49.08,48.1,48.7,192855.0
2014-03-14,48.53,48.79,47.98,48.06,185946.0
2014-03-13,49.47,49.95,48.09,48.45,284513.0
2014-03-12,49.41,49.66,48.95,49.4,220851.0
2014-03-11,49.67,50.06,49.52,49.74,198298.0
2014-03-10,50.12,50.12,49.45,49.7,213630.0
2014-03-07,50.76,50.76,50.03,50.25,198969.0
2014-03-06,50.7,50.89,50.29,50.46,302155.0
2014-03-05,50.72,50.98,50.21,50.64,267492.0
2014-03-04,51.04,51.69,50.46,50.71,426868.0
2014-03-03,50.1,50.69,49.86,50.47,297618.0
2014-02-28,51.01,51.3,50.7,50.97,287999.0
2014-02-27,50.53,51.13,50.36,50.85,283522.0
2014-02-26,50.51,50.69,50.0,50.39,326411.0
2014-02-25,51.32,51.48,50.06,50.22,301214.0
2014-02-24,51.83,52.25,51.24,51.46,265250.0
2014-02-21,50.93,52.12,50.93,51.57,594314.0
2014-02-20,50.82,51.19,50.57,50.97,413697.0
2014-02-19,51.29,52.86,50.14,50.68,322555.0
2014-02-18,51.35,52.28,50.93,51.06,544240.0
2014-02-14,51.8,52.08,50.96,51.02,428318.0
2014-02-13,50.78,52.08,50.78,51.5,524578.0
2014-02-12,50.75,51.38,50.74,50.88,514914.0
2014-02-11,49.85,50.69,49.85,50.42,519042.0
2014-02-10,50.01,50.06,49.31,49.76,464870.0
2014-02-07,49.58,50.41,49.5,49.98,625088.0
2014-02-06,49.66,49.66,49.11,49.44,466582.0
2014-02-05,49.0,49.62,48.52,49.44,388198.0
2014-02-04,49.06,49.49,48.68,49.24,508714.0
2014-02-03,49.83,49.92,48.64,49.01,759528.0
2014-01-31,49.76,49.76,48.92,49.45,758544.0
2014-01-30,48.66,49.71,48.6,49.4,995008.0
2014-01-29,49.14,49.48,48.2,48.59,629398.0
2014-01-28,47.77,49.33,47.55,49.14,990096.0
2014-01-27,50.24,50.41,47.25,47.64,1719146.0
2014-01-24,49.84,52.1,49.4,50.08,4735872.0
2014-01-23,45.09,45.42,44.34,45.31,737072.0
2014-01-22,45.63,45.79,45.3,45.32,442412.0
2014-01-21,45.42,45.75,45.14,45.49,594602.0
2014-01-17,45.14,45.2,44.66,45.12,393510.0
2014-01-16,45.21,45.46,44.6,45.0,508540.0
2014-01-15,44.28,45.83,44.11,45.35,814058.0
2014-01-14,44.6,44.6,44.05,44.32,561494.0
2014-01-13,44.67,45.09,44.44,44.48,373472.0
2014-01-10,44.92,45.02,44.47,44.66,539238.0
