Date,Open,High,Low,Close,Volume
2014-04-07,65.75,65.91,64.52,64.86,2081135.0
2014-04-04,68.11,68.38,65.43,65.73,3352575.0
2014-04-03,68.14,68.25,67.16,67.41,2120368.0
2014-04-02,68.02,68.37,67.78,68.27,1697157.0
2014-04-01,68.0,68.1,67.46,67.81,2322157.0
2014-03-31,67.03,68.37,66.83,67.44,2602020.0
2014-03-28,66.13,67.09,65.98,66.56,1501730.0
2014-03-27,66.52,66.67,65.59,65.92,2137808.0
2014-03-26,67.82,68.21,66.5,66.52,1760432.0
2014-03-25,68.44,68.81,67.06,67.65,3014154.0
2014-03-24,67.51,67.58,65.98,66.63,2017566.0
2014-03-21,67.68,68.11,66.93,67.39,3210382.0
2014-03-20,66.24,67.18,66.11,66.94,1076599.0
2014-03-19,67.03,67.38,66.03,66.69,1591175.0
2014-03-18,66.48,67.41,66.17,67.25,1707944.0
2014-03-17,65.67,66.92,65.58,66.51,1695701.0
2014-03-14,64.99,65.58,64.81,65.0,1796457.0
2014-03-13,66.63,66.63,64.81,65.3,2170830.0
2014-03-12,65.39,66.39,65.17,66.35,1488378.0
2014-03-11,65.15,66.49,65.15,65.78,1456436.0
2014-03-10,65.65,65.97,65.07,65.56,993120.0
2014-03-07,65.92,66.44,65.62,65.93,1278318.0
2014-03-06,65.69,65.95,65.38,65.89,1226753.0
2014-03-05,65.88,66.38,65.05,65.31,2018540.0
2014-03-04,65.9,66.15,65.35,65.91,2480131.0
2014-03-03,65.03,65.46,64.7,65.08,1819180.0
2014-02-28,65.29,66.46,64.81,65.84,2614772.0
2014-02-27,65.49,65.5,64.2,64.99,1657256.0
2014-02-26,64.94,65.13,64.1,64.45,1647797.0
2014-02-25,63.92,64.82,63.46,64.66,2481513.0
2014-02-24,62.7,65.36,62.53,64.19,4335421.0
2014-02-21,64.94,65.09,61.84,62.37,2058482.0
2014-02-20,61.95,62.29,61.65,62.0,1402644.0
2014-02-19,62.0,62.59,61.68,61.81,2310491.0
2014-02-18,61.75,62.79,61.7,62.29,2677907.0
2014-02-14,59.48,61.66,59.47,61.54,3775646.0
2014-02-13,58.76,59.9,58.35,59.85,2040405.0
2014-02-12,59.29,59.74,58.99,59.23,1650325.0
2014-02-11,58.46,59.47,58.37,59.19,1393083.0
2014-02-10,58.93,59.08,58.23,58.49,1584766.0
2014-02-07,58.78,59.58,58.59,59.15,2272537.0
2014-02-06,56.81,58.84,56.72,58.63,3101628.0
2014-02-05,56.02,56.97,55.45,56.9,6092212.0
2014-02-04,54.47,55.36,53.59,55.06,4733689.0
2014-02-03,55.67,57.5,53.85,54.0,2992114.0
2014-01-31,55.34,57.0,55.12,56.0,3482067.0
2014-01-30,57.06,57.75,56.35,57.45,2129037.0
2014-01-29,56.2,57.28,55.88,56.54,1775027.0
2014-01-28,56.59,57.13,56.05,56.8,1313682.0
2014-01-27,56.07,57.25,55.64,56.55,2091086.0
2014-01-24,57.94,57.94,56.21,56.24,2461489.0
2014-01-23,58.35,58.82,58.2,58.25,1719228.0
2014-01-22,59.38,59.61,58.9,58.98,1099996.0
2014-01-21,59.83,60.0,58.98,59.35,1205139.0
2014-01-17,59.18,59.73,59.0,59.53,1700051.0
2014-01-16,59.0,59.25,58.7,59.25,1130755.0
2014-01-15,58.7,59.32,58.37,58.89,1368870.0
2014-01-14,58.47,58.74,58.04,58.62,1592803.0
2014-01-13,58.86,59.27,58.18,58.4,1455477.0
2014-01-10,59.12,59.2,58.49,59.19,1234158.0
2014-01-09,59.09,59.24,58.24,59.0,1054496.0
2014-01-08,59.12,59.24,58.43,58.97,1780806.0
2014-01-07,59.15,59.37,58.8,59.12,1555475.0
2014-01-06,59.67,60.17,58.91,59.16,3502134.0
2014-01-03,58.61,59.04,58.28,58.63,1076446.0
2014-01-02,58.94,59.0,58.22,58.51,1077979.0
2013-12-31,59.15,59.35,58.81,59.17,980859.0
2013-12-30,58.46,58.99,58.46,58.84,700050.0
2013-12-27,58.61,58.81,58.37,58.47,1001765.0
2013-12-26,58.26,58.89,58.19,58.72,900630.0
2013-12-24,58.07,58.3,57.64,58.14,375219.0
2013-12-23,57.68,58.22,57.59,57.83,1133822.0
2013-12-20,57.34,57.84,57.1,57.62,1704925.0
2013-12-19,57.47,57.73,56.98,57.29,994887.0
2013-12-18,56.96,57.75,56.06,57.73,2873902.0
2013-12-17,57.26,58.03,57.09,57.85,1525673.0
2013-12-16,56.93,57.59,56.47,57.31,1396087.0
2013-12-13,56.36,56.57,56.14,56.16,1037665.0
2013-12-12,55.99,56.77,55.94,56.04,1469457.0
2013-12-11,56.99,57.32,56.01,56.1,1140415.0
2013-12-10,56.8,57.26,56.64,57.1,856483.0
2013-12-09,57.22,57.38,56.73,56.87,728008.0
2013-12-06,56.79,57.01,56.02,56.95,1125064.0
2013-12-05,55.58,55.99,55.37,55.6,1079739.0
2013-12-04,55.74,56.36,55.01,55.53,1583104.0
2013-12-03,56.86,57.18,55.79,56.3,2004008.0
2013-12-02,57.2,57.45,57.02,57.13,905600.0
2013-11-29,57.43,57.6,57.18,57.31,506200.0
2013-11-27,57.04,57.35,56.85,57.28,651367.0
2013-11-26,56.92,57.14,56.76,56.95,1097640.0
2013-11-25,56.65,56.92,56.46,56.73,1231990.0
2013-11-22,56.44,56.65,56.2,56.64,906777.0
2013-11-21,55.52,56.4,55.2,56.31,1132604.0
2013-11-20,55.85,55.85,55.03,55.24,985535.0
2013-11-19,56.07,56.5,55.5,55.56,1467344.0
2013-11-18,57.04,57.34,56.3,56.38,1245711.0
