Date,Open,High,Low,Close,Volume
2014-04-07,42.42,42.78,41.74,41.82,512884.0
2014-04-04,43.13,43.49,42.26,42.47,663602.0
2014-04-03,42.49,43.1,42.29,43.01,1590984.0
2014-04-02,42.23,42.63,42.11,42.3,759848.0
2014-04-01,41.94,42.17,41.61,42.13,596691.0
2014-03-31,41.29,41.85,41.07,41.76,584721.0
2014-03-28,40.9,41.3,40.82,41.03,419500.0
2014-03-27,41.18,41.26,40.69,40.79,330788.0
2014-03-26,41.05,41.46,40.95,41.05,418397.0
2014-03-25,41.17,41.32,40.7,40.99,533654.0
2014-03-24,41.2,41.37,40.54,41.0,703078.0
2014-03-21,41.93,41.95,41.1,41.14,679559.0
2014-03-20,41.61,42.01,41.33,41.61,403894.0
2014-03-19,41.88,42.63,41.42,41.64,1047941.0
2014-03-18,41.61,41.89,41.55,41.79,403932.0
2014-03-17,41.35,41.95,41.28,41.55,489574.0
2014-03-14,41.74,41.86,41.11,41.15,904825.0
2014-03-13,42.46,42.58,41.78,41.81,1012969.0
2014-03-12,41.93,42.63,41.92,42.41,1121650.0
2014-03-11,41.95,42.68,41.55,42.21,1443216.0
2014-03-10,41.97,42.0,41.69,41.86,352644.0
2014-03-07,42.01,42.17,41.78,42.0,622928.0
2014-03-06,41.8,42.04,41.66,42.0,517865.0
2014-03-05,41.72,41.72,41.39,41.61,399130.0
2014-03-04,41.15,42.15,41.15,41.68,1409465.0
2014-03-03,40.88,40.95,40.1,40.83,1522966.0
2014-02-28,40.95,41.27,40.8,41.16,829494.0
2014-02-27,40.52,40.85,40.38,40.85,452663.0
2014-02-26,40.61,40.91,40.42,40.56,323880.0
2014-02-25,40.86,41.08,40.64,40.68,487040.0
2014-02-24,40.73,41.08,40.65,40.82,664787.0
2014-02-21,40.52,40.99,40.22,40.72,921648.0
2014-02-20,39.63,40.74,39.32,40.55,957610.0
2014-02-19,39.91,40.35,39.67,39.74,1235567.0
2014-02-18,40.27,40.7,39.98,39.98,902960.0
2014-02-14,40.4,40.72,40.26,40.3,682516.0
2014-02-13,39.95,40.52,39.53,40.39,874715.0
2014-02-12,40.61,40.95,40.05,40.08,1290695.0
2014-02-11,40.3,41.01,40.18,40.61,772832.0
2014-02-10,39.69,40.33,39.41,40.3,781258.0
2014-02-07,39.66,39.94,39.28,39.69,815462.0
2014-02-06,39.4,39.58,39.06,39.52,554061.0
2014-02-05,39.1,39.6,38.78,39.38,790329.0
2014-02-04,39.12,39.42,38.84,39.25,1012675.0
2014-02-03,40.06,40.17,38.91,39.05,1509188.0
2014-01-31,39.79,40.09,39.54,39.96,746973.0
2014-01-30,40.27,40.59,40.2,40.27,488697.0
2014-01-29,39.91,40.25,39.69,39.98,865230.0
2014-01-28,39.79,40.4,39.79,40.11,1448766.0
2014-01-27,39.88,40.0,39.69,39.85,1008981.0
2014-01-24,40.46,40.74,39.79,39.99,1106011.0
2014-01-23,41.38,41.56,40.61,40.68,692168.0
2014-01-22,41.52,41.69,41.4,41.5,520203.0
2014-01-21,41.14,41.36,41.01,41.33,490413.0
2014-01-17,41.24,41.3,40.93,40.98,653545.0
2014-01-16,40.89,41.26,40.89,41.2,526462.0
2014-01-15,41.06,41.21,40.87,40.99,360443.0
2014-01-14,40.68,41.11,40.37,40.88,542940.0
2014-01-13,40.92,41.15,40.36,40.51,507981.0
2014-01-10,41.19,41.37,40.7,40.95,685575.0
2014-01-09,40.16,41.33,40.1,41.29,935964.0
2014-01-08,41.58,41.81,41.12,41.26,654788.0
2014-01-07,41.2,41.75,41.04,41.58,514349.0
2014-01-06,41.29,41.3,40.76,40.95,866865.0
2014-01-03,40.94,41.46,40.83,41.33,672621.0
2014-01-02,41.09,41.28,40.64,40.8,577867.0
2013-12-31,41.22,41.27,41.04,41.2,500574.0
2013-12-30,41.01,41.23,41.01,41.18,438152.0
2013-12-27,40.91,41.21,40.91,41.09,484191.0
2013-12-26,40.9,41.19,40.78,40.89,373586.0
2013-12-24,40.93,41.27,40.68,40.89,356481.0
2013-12-23,40.72,41.17,40.56,40.78,857936.0
2013-12-20,40.67,40.67,40.38,40.5,912576.0
2013-12-19,40.61,40.68,40.28,40.52,638456.0
2013-12-18,40.12,40.65,39.7,40.63,639419.0
2013-12-17,40.44,40.82,39.99,40.15,581535.0
2013-12-16,40.57,40.73,40.16,40.36,594399.0
2013-12-13,40.56,40.81,40.16,40.34,353852.0
2013-12-12,40.59,40.74,40.31,40.5,543676.0
2013-12-11,41.98,42.07,40.78,40.79,796299.0
2013-12-10,41.4,41.97,41.37,41.8,838626.0
2013-12-09,41.89,42.0,41.46,41.53,646692.0
2013-12-06,41.39,41.77,41.23,41.76,530639.0
2013-12-05,40.99,41.02,40.76,40.97,565011.0
2013-12-04,41.23,41.31,40.54,41.02,499143.0
2013-12-03,41.13,41.33,40.82,41.32,621542.0
2013-12-02,41.46,41.6,41.26,41.34,540427.0
2013-11-29,41.5,41.73,41.23,41.49,234805.0
2013-11-27,41.69,41.88,41.16,41.35,564266.0
2013-11-26,41.93,42.06,41.23,41.57,827605.0
2013-11-25,41.88,42.07,41.52,41.95,716453.0
2013-11-22,40.49,41.74,40.49,41.73,1199073.0
2013-11-21,42.2,42.95,41.06,41.11,1547083.0
2013-11-20,42.27,42.92,41.78,42.6,1062361.0
2013-11-19,43.09,43.25,42.76,42.88,752206.0
2013-11-18,43.81,43.84,43.01,43.14,1024159.0
2013-11-15,44.2,44.39,43.67,43.68,2350516.0
2013-11-14,43.78,44.32,43.69,44.27,827621.0
2013-11-13,43.76,43.76,43.09,43.71,500881.0
2013-11-12,43.04,43.44,42.78,43.24,584160.0
2013-11-11,43.12,43.29,43.01,43.24,321964.0
2013-11-08,42.93,43.27,42.65,43.25,523167.0
2013-11-07,43.26,43.51,42.71,42.82,512900.0
2013-11-06,42.94,43.14,42.85,43.1,401591.0
2013-11-05,43.17,43.19,42.64,42.79,715426.0
2013-11-04,42.63,43.21,42.6,43.17,571238.0
2013-11-01,42.52,42.7,42.29,42.64,474872.0
2013-10-31,42.36,42.64,41.96,42.51,743405.0
2013-10-30,42.24,42.5,42.16,42.32,496781.0
2013-10-29,41.87,42.3,41.87,42.3,667315.0
2013-10-28,41.56,41.78,41.26,41.73,423456.0
2013-10-25,41.49,41.67,41.39,41.58,310958.0
2013-10-24,41.45,41.61,41.34,41.48,281605.0
2013-10-23,41.38,41.49,41.2,41.45,350193.0
2013-10-22,41.48,41.75,41.27,41.42,340403.0
2013-10-21,42.11,42.11,41.34,41.4,556330.0
2013-10-18,41.17,41.49,40.97,41.48,560795.0
2013-10-17,40.33,41.05,40.09,40.97,528581.0
2013-10-16,39.97,40.48,39.89,40.46,856672.0
2013-10-15,40.23,40.36,39.67,39.82,933093.0
2013-10-14,40.21,40.53,39.98,40.46,602753.0
2013-10-11,40.24,40.53,40.1,40.38,589135.0
2013-10-10,40.69,41.0,40.2,40.47,800611.0
2013-10-09,39.68,40.6,39.6,40.44,1315291.0
2013-10-08,39.91,40.09,39.59,39.59,481827.0
2013-10-07,39.93,40.16,39.79,39.91,443983.0
2013-10-04,39.92,40.34,39.81,40.17,846365.0
2013-10-03,39.9,39.98,39.48,39.88,945196.0
2013-10-02,40.22,40.22,39.86,40.0,565526.0
2013-10-01,36.59,40.52,36.59,40.36,549352.0
2013-09-30,39.85,40.25,39.55,40.18,579494.0
2013-09-27,40.06,40.26,39.84,39.97,463254.0
2013-09-26,40.2,40.36,40.02,40.3,460381.0
2013-09-25,40.36,40.6,40.12,40.14,432137.0
2013-09-24,40.84,40.86,40.23,40.35,729379.0
2013-09-23,40.65,40.77,40.5,40.73,318215.0
2013-09-20,41.24,41.29,40.62,40.78,715481.0
2013-09-19,41.29,41.4,41.0,41.2,397269.0
2013-09-18,41.32,41.5,40.79,41.31,392287.0
2013-09-17,41.33,41.37,40.95,41.28,360828.0
2013-09-16,41.0,41.33,40.99,41.24,508101.0
2013-09-13,41.01,41.11,40.76,40.93,342662.0
2013-09-12,40.91,41.14,40.87,41.0,512544.0
2013-09-11,40.64,41.02,40.46,40.99,573785.0
2013-09-10,40.41,40.89,40.25,40.65,391808.0
2013-09-09,40.09,40.26,39.88,40.26,429009.0
2013-09-06,40.12,40.35,39.56,40.03,474842.0
2013-09-05,39.98,40.25,39.92,40.07,384764.0
2013-09-04,39.77,40.08,39.69,40.01,554711.0
2013-09-03,40.42,40.69,39.72,39.83,746437.0
2013-08-30,39.96,39.96,39.73,39.88,507290.0
2013-08-29,39.67,40.28,39.36,39.98,486259.0
2013-08-28,39.98,40.19,39.78,39.8,457081.0
2013-08-27,40.05,40.18,39.89,39.96,767985.0
2013-08-26,41.04,41.2,40.42,40.45,702621.0
2013-08-23,40.9,41.19,40.72,41.01,708674.0
2013-08-22,40.31,41.11,40.0,40.65,1325532.0
2013-08-21,41.75,41.91,41.37,41.65,907838.0
2013-08-20,41.5,41.98,41.22,41.87,553090.0
2013-08-19,41.63,41.9,41.47,41.47,501899.0
2013-08-16,41.55,41.87,41.35,41.52,599883.0
2013-08-15,42.17,42.23,41.55,41.59,467337.0
2013-08-14,42.59,42.69,42.25,42.35,516772.0
2013-08-13,42.4,42.62,41.96,42.6,422921.0
2013-08-12,41.91,42.45,41.81,42.32,478720.0
2013-08-09,42.3,42.42,42.0,42.09,422217.0
2013-08-08,41.9,42.34,41.85,42.27,386312.0
2013-08-07,41.8,41.92,41.58,41.79,448560.0
2013-08-06,41.65,41.87,41.52,41.8,528058.0
2013-08-05,41.82,41.82,41.4,41.77,426171.0
2013-08-02,41.84,41.88,41.36,41.84,544383.0
2013-08-01,41.14,41.75,40.78,41.64,464043.0
2013-07-31,40.91,41.25,40.7,40.89,576365.0
2013-07-30,40.7,41.02,40.59,40.74,567174.0
2013-07-29,40.41,40.59,40.28,40.52,284948.0
2013-07-26,40.4,40.77,40.1,40.59,452364.0
2013-07-25,40.15,40.56,40.02,40.55,423576.0
2013-07-24,40.46,40.69,40.0,40.13,473209.0
2013-07-23,40.47,40.6,40.08,40.4,421847.0
2013-07-22,40.54,40.64,40.24,40.47,383270.0
2013-07-19,40.3,40.53,40.05,40.35,433425.0
2013-07-18,39.83,40.32,39.71,40.27,459703.0
2013-07-17,39.88,39.98,39.6,39.83,511386.0
2013-07-16,39.75,39.93,39.67,39.75,497575.0
2013-07-15,39.87,40.02,39.62,39.85,511805.0
2013-07-12,39.45,39.68,39.27,39.65,351140.0
2013-07-11,39.5,39.5,39.24,39.38,594590.0
2013-07-10,38.64,39.11,38.45,39.1,766266.0
2013-07-09,38.49,38.8,38.25,38.57,722865.0
2013-07-08,38.07,38.46,38.01,38.32,547653.0
2013-07-05,38.15,38.4,37.58,37.97,815694.0
2013-07-03,37.81,38.0,37.59,37.74,539175.0
2013-07-02,37.72,37.94,37.5,37.86,957781.0
2013-07-01,37.77,38.07,37.62,37.73,827716.0
2013-06-28,37.45,37.86,37.15,37.6,949357.0
2013-06-27,37.42,37.81,37.23,37.58,718939.0
2013-06-26,37.44,37.83,37.13,37.2,697345.0
2013-06-25,37.56,37.56,36.9,37.3,614811.0
2013-06-24,37.14,37.47,36.88,37.24,651124.0
