Date,Open,High,Low,Close,Volume
2014-04-07,8.01,8.24,7.98,8.2,4089098.0
2014-04-04,8.24,8.28,7.96,8.06,4435230.0
2014-04-03,8.2,8.3,8.03,8.23,4005628.0
2014-04-02,8.36,8.47,8.2,8.28,2939262.0
2014-04-01,8.34,8.49,8.2,8.37,4248575.0
2014-03-31,8.03,8.37,8.02,8.31,5635979.0
2014-03-28,8.27,8.3,7.93,7.99,2584165.0
2014-03-27,8.05,8.25,7.9,8.25,3371932.0
2014-03-26,8.22,8.28,8.06,8.08,3374086.0
2014-03-25,8.22,8.35,8.11,8.18,3958531.0
2014-03-24,8.37,8.4,7.87,8.19,5390253.0
2014-03-21,8.63,8.7,8.31,8.32,5587256.0
2014-03-20,8.55,8.62,8.45,8.56,3172658.0
2014-03-19,8.63,8.7,8.46,8.61,4384033.0
2014-03-18,8.24,8.66,8.23,8.61,4403388.0
2014-03-17,8.31,8.34,8.2,8.23,2467236.0
2014-03-14,8.26,8.41,8.19,8.26,2628274.0
2014-03-13,8.5,8.52,8.17,8.25,4391861.0
2014-03-12,8.29,8.49,8.12,8.45,3941048.0
2014-03-11,8.42,8.47,8.17,8.28,3647420.0
2014-03-10,8.29,8.4,8.22,8.36,2103048.0
2014-03-07,8.44,8.55,8.11,8.27,4714449.0
2014-03-06,8.55,8.68,8.29,8.36,3137729.0
2014-03-05,8.47,8.6,8.35,8.55,3330807.0
2014-03-04,8.72,8.83,8.36,8.47,4976893.0
2014-03-03,8.56,8.68,8.31,8.64,3310211.0
2014-02-28,8.91,8.91,8.48,8.57,2664797.0
2014-02-27,8.88,8.93,8.71,8.82,2228636.0
2014-02-26,8.86,8.89,8.76,8.83,2078634.0
2014-02-25,8.91,8.92,8.75,8.81,2881658.0
2014-02-24,8.93,8.93,8.72,8.8,1886325.0
2014-02-21,8.76,8.89,8.61,8.68,2190609.0
2014-02-20,8.57,8.73,8.5,8.72,2155384.0
2014-02-19,8.66,8.66,8.42,8.53,2622120.0
2014-02-18,8.58,8.66,8.5,8.63,2294897.0
2014-02-14,8.33,8.5,8.3,8.43,2878438.0
2014-02-13,8.22,8.41,8.2,8.38,2074659.0
2014-02-12,8.37,8.37,8.18,8.25,1948739.0
2014-02-11,8.34,8.4,8.18,8.32,3076648.0
2014-02-10,8.45,8.49,8.25,8.3,4633890.0
2014-02-07,8.1,8.4,8.04,8.39,7767325.0
2014-02-06,7.71,8.11,7.65,7.97,5173219.0
2014-02-05,8.29,8.35,7.38,7.46,7506063.0
2014-02-04,8.9,8.9,8.36,8.38,4528392.0
2014-02-03,9.16,9.16,8.82,8.9,2756586.0
2014-01-31,8.98,9.15,8.97,9.1,1655430.0
2014-01-30,9.0,9.15,8.97,9.1,2669712.0
2014-01-29,8.96,9.02,8.86,8.92,1287417.0
2014-01-28,9.0,9.08,8.94,9.02,4083161.0
2014-01-27,9.05,9.1,8.8,8.94,2008143.0
