Date,Open,High,Low,Close,Volume
2014-04-07,17.86,18.29,17.4,17.74,262403.0
2014-04-04,18.6,18.63,17.83,17.89,522167.0
2014-04-03,18.81,19.3,18.24,18.42,456875.0
2014-04-02,18.25,18.7,18.05,18.65,385096.0
2014-04-01,17.72,18.22,17.51,18.14,258622.0
2014-03-31,17.46,17.82,17.34,17.66,261390.0
2014-03-28,17.48,17.62,17.07,17.29,231164.0
2014-03-27,17.5,17.74,17.26,17.49,188288.0
2014-03-26,18.03,18.06,17.4,17.44,329504.0
2014-03-25,18.3,18.32,17.86,17.92,209396.0
2014-03-24,18.74,18.74,18.0,18.22,263378.0
2014-03-21,19.15,19.15,18.65,18.68,376574.0
2014-03-20,19.06,19.27,18.9,19.1,199554.0
2014-03-19,19.25,19.33,18.96,19.14,223084.0
2014-03-18,18.73,19.28,18.64,19.18,269974.0
2014-03-17,18.57,18.98,18.57,18.72,212004.0
2014-03-14,18.71,19.0,18.42,18.49,241832.0
2014-03-13,19.36,19.49,18.56,18.82,300958.0
2014-03-12,18.86,19.36,18.72,19.25,317608.0
2014-03-11,19.5,20.38,18.76,18.86,687430.0
2014-03-10,20.0,20.45,19.05,19.3,547722.0
2014-03-07,20.71,20.95,20.02,20.04,272138.0
2014-03-06,21.2,21.2,20.62,20.68,184036.0
2014-03-05,21.24,21.42,21.02,21.1,219906.0
2014-03-04,21.36,21.65,21.28,21.33,504608.0
2014-03-03,20.59,21.24,20.45,21.03,385872.0
2014-02-28,21.76,22.36,20.7,20.82,432840.0
2014-02-27,20.46,21.8,20.46,21.8,434706.0
2014-02-26,24.5,24.72,20.04,20.31,925588.0
2014-02-25,22.94,23.16,22.36,22.62,256406.0
2014-02-24,23.18,23.41,22.94,23.0,221318.0
2014-02-21,22.64,23.25,22.28,23.18,310906.0
2014-02-20,22.47,23.1,22.16,22.52,116966.0
2014-02-19,22.29,22.88,22.25,22.49,226408.0
2014-02-18,22.46,22.56,22.06,22.32,295802.0
2014-02-14,22.65,22.66,22.24,22.4,108212.0
2014-02-13,21.86,22.73,21.82,22.64,98100.0
2014-02-12,22.14,22.43,21.69,22.04,157434.0
2014-02-11,21.84,22.34,21.84,22.18,147000.0
2014-02-10,21.8,21.95,21.16,21.86,148148.0
2014-02-07,21.86,22.31,21.47,21.77,151954.0
2014-02-06,21.98,22.14,21.72,21.82,118672.0
2014-02-05,21.72,22.02,21.04,21.92,140462.0
2014-02-04,22.06,22.72,21.74,21.84,214724.0
2014-02-03,22.68,22.88,21.54,22.0,262248.0
2014-01-31,22.79,23.1,22.6,22.72,257966.0
2014-01-30,22.68,23.34,22.68,23.24,182822.0
2014-01-29,22.56,22.77,22.24,22.39,188278.0
2014-01-28,22.44,22.92,22.38,22.8,275334.0
2014-01-27,23.06,23.06,22.0,22.44,377950.0
2014-01-24,23.8,23.8,22.8,23.06,204780.0
2014-01-23,23.98,23.98,23.5,23.88,275202.0
2014-01-22,24.0,24.21,23.92,24.1,195618.0
2014-01-21,24.18,24.49,23.87,24.02,266202.0
2014-01-17,24.1,24.18,23.93,24.08,150296.0
2014-01-16,24.04,24.24,24.04,24.22,173004.0
2014-01-15,24.0,24.18,23.56,24.16,238158.0
2014-01-14,23.15,24.08,23.1,23.96,226228.0
