Date,Open,High,Low,Close,Volume
2014-04-07,12.28,12.38,12.0,12.31,2189860.0
2014-04-04,12.51,12.84,12.28,12.35,1900714.0
2014-04-03,12.35,12.57,12.32,12.4,2213360.0
2014-04-02,12.21,12.53,12.05,12.32,1054257.0
2014-04-01,12.4,12.57,12.18,12.18,1478849.0
2014-03-31,12.04,12.34,11.97,12.32,1152863.0
2014-03-28,11.76,12.09,11.7,11.95,753343.0
2014-03-27,11.68,11.88,11.62,11.71,1195908.0
2014-03-26,12.36,12.36,11.55,11.67,1847487.0
2014-03-25,11.74,11.85,11.65,11.74,511614.0
2014-03-24,12.01,12.14,11.6,11.7,1160316.0
2014-03-21,12.27,12.42,11.91,11.99,1311384.0
2014-03-20,12.39,12.44,12.22,12.27,435352.0
2014-03-19,12.49,12.61,12.28,12.4,725557.0
2014-03-18,12.26,12.62,12.26,12.47,862777.0
2014-03-17,12.81,12.81,12.29,12.31,2029195.0
2014-03-14,12.92,13.18,12.68,12.74,2489509.0
2014-03-13,13.0,13.11,12.0,12.93,3120515.0
2014-03-12,12.72,13.28,12.67,12.97,2581033.0
2014-03-11,12.97,12.97,12.69,12.8,1088700.0
2014-03-10,12.97,13.12,12.73,12.88,749694.0
2014-03-07,13.2,13.29,12.93,12.97,1851332.0
2014-03-06,12.91,13.3,12.91,13.11,1573625.0
2014-03-05,12.85,13.31,12.8,12.89,1662571.0
2014-03-04,12.93,13.01,12.75,12.87,1209648.0
2014-03-03,12.75,12.92,12.66,12.77,1040750.0
2014-02-28,12.98,13.26,12.74,12.85,2379241.0
2014-02-27,12.69,13.92,12.61,13.25,6978181.0
2014-02-26,12.16,12.7,12.01,12.68,2228574.0
2014-02-25,12.08,12.25,11.98,12.15,1098632.0
2014-02-24,11.7,12.12,11.65,12.1,1754126.0
2014-02-21,11.43,11.61,11.33,11.61,1397790.0
2014-02-20,11.18,11.32,11.07,11.27,1316621.0
2014-02-19,11.55,11.7,11.12,11.16,1904269.0
2014-02-18,11.48,11.73,11.47,11.61,1189466.0
2014-02-14,11.8,11.92,11.44,11.5,1243311.0
2014-02-13,11.6,11.89,11.51,11.84,1437564.0
2014-02-12,11.99,12.07,11.61,11.65,1507267.0
2014-02-11,11.91,12.15,11.86,11.96,1718633.0
2014-02-10,12.11,12.14,11.85,11.93,2549228.0
2014-02-07,12.3,12.32,11.89,12.2,4441230.0
2014-02-06,11.26,12.09,11.01,12.01,7981104.0
2014-02-05,11.25,11.38,11.12,11.3,2629626.0
2014-02-04,11.6,11.64,11.36,11.4,3215731.0
2014-02-03,11.69,11.88,11.24,11.51,3581386.0
2014-01-31,11.34,11.92,11.26,11.73,3977159.0
2014-01-30,11.2,11.4,11.1,11.35,3200631.0
2014-01-29,11.19,11.3,11.01,11.09,1496295.0
2014-01-28,11.05,11.33,10.84,11.29,3817423.0
2014-01-27,11.74,11.77,11.4,11.58,2117061.0
2014-01-24,12.17,12.21,11.6,11.67,2656805.0
2014-01-23,12.41,12.45,12.23,12.26,951383.0
2014-01-22,12.51,12.57,12.35,12.49,967382.0
2014-01-21,12.62,12.8,12.44,12.51,1092196.0
2014-01-17,12.58,12.7,12.47,12.56,968085.0
