Date,Open,High,Low,Close,Volume
2014-04-07,25.29,25.35,24.82,25.15,66795.0
2014-04-04,25.66,25.7,25.11,25.35,83836.0
2014-04-03,25.76,25.76,25.43,25.5,54626.0
2014-04-02,25.88,26.01,25.7,25.7,36881.0
2014-04-01,26.08,26.18,25.65,25.85,44807.0
2014-03-31,25.63,26.25,25.6,25.99,109873.0
2014-03-28,25.51,25.83,25.47,25.55,123123.0
2014-03-27,25.75,26.0,25.34,25.55,57238.0
2014-03-26,25.66,25.73,25.47,25.58,89503.0
2014-03-25,25.6,25.75,25.46,25.57,38940.0
2014-03-24,25.6,25.6,25.17,25.44,117807.0
2014-03-21,25.66,25.69,25.37,25.62,168167.0
2014-03-20,25.54,25.6,25.34,25.51,43762.0
2014-03-19,25.69,25.83,25.02,25.51,64081.0
2014-03-18,25.33,25.67,25.13,25.65,65766.0
2014-03-17,25.85,25.85,24.96,25.39,184515.0
2014-03-14,25.65,26.0,25.65,25.8,55679.0
2014-03-13,26.17,26.17,25.65,25.81,45849.0
2014-03-12,25.91,26.34,25.91,26.13,104603.0
2014-03-11,26.14,26.33,25.66,25.9,56516.0
2014-03-10,25.86,26.36,25.86,26.24,46989.0
2014-03-07,25.92,26.01,25.6,25.84,34991.0
2014-03-06,25.6,25.76,25.17,25.75,109030.0
2014-03-05,26.2,26.2,25.45,25.55,45413.0
2014-03-04,25.49,26.35,25.49,26.31,155217.0
2014-03-03,25.0,25.21,24.66,25.17,42243.0
2014-02-28,25.63,25.71,25.06,25.11,69882.0
2014-02-27,25.4,25.56,25.13,25.55,46268.0
2014-02-26,25.07,25.49,25.07,25.46,59004.0
2014-02-25,25.32,25.32,24.72,24.94,33822.0
2014-02-24,24.9,25.45,24.82,25.25,66099.0
2014-02-21,24.86,25.0,24.64,24.8,71793.0
2014-02-20,24.51,25.04,24.06,24.73,50260.0
2014-02-19,25.61,25.98,24.41,24.59,115378.0
2014-02-18,25.47,25.95,25.16,25.76,147934.0
2014-02-14,25.8,25.99,25.29,25.5,65423.0
2014-02-13,25.16,25.82,25.04,25.76,75525.0
2014-02-12,24.67,25.4,24.21,25.26,132580.0
2014-02-11,24.34,24.58,24.1,24.5,93922.0
2014-02-10,23.89,24.36,23.66,24.34,103927.0
2014-02-07,23.29,23.85,23.27,23.83,93159.0
2014-02-06,23.17,23.56,23.1,23.27,80278.0
2014-02-05,23.39,23.5,23.14,23.18,72322.0
2014-02-04,23.49,23.71,23.25,23.45,77097.0
2014-02-03,23.59,23.89,23.25,23.46,129669.0
2014-01-31,24.13,24.15,23.5,23.57,70702.0
2014-01-30,24.1,24.43,23.77,24.3,76439.0
2014-01-29,24.1,24.34,23.86,23.88,114025.0
2014-01-28,24.15,24.24,24.0,24.18,108376.0
2014-01-27,24.27,24.45,24.0,24.15,140322.0
2014-01-24,24.21,24.37,23.92,24.05,123187.0
2014-01-23,24.11,24.23,23.95,24.18,66337.0
2014-01-22,24.18,24.27,23.94,24.17,59851.0
2014-01-21,23.74,24.1,23.63,24.1,94545.0
2014-01-17,23.44,23.78,23.39,23.62,53902.0
2014-01-16,23.6,23.8,23.37,23.49,131911.0
2014-01-15,22.99,23.8,22.99,23.62,128904.0
2014-01-14,23.15,23.24,22.8,23.01,50746.0
2014-01-13,23.0,23.09,22.87,23.01,86615.0
2014-01-10,23.08,23.29,22.88,23.05,352997.0
2014-01-09,23.14,23.27,22.96,23.02,56262.0
2014-01-08,23.4,23.44,22.96,23.14,46881.0
2014-01-07,23.31,23.69,23.03,23.47,99651.0
2014-01-06,23.22,23.38,22.91,23.03,115063.0
2014-01-03,22.9,23.31,22.9,23.18,158538.0
2014-01-02,23.01,23.06,22.8,22.9,122533.0
2013-12-31,23.08,23.31,23.0,23.11,129680.0
2013-12-30,23.34,23.34,23.09,23.11,77555.0
2013-12-27,23.67,23.68,23.33,23.41,37448.0
2013-12-26,23.64,23.8,23.46,23.58,114612.0
2013-12-24,23.69,23.81,23.5,23.6,65323.0
2013-12-23,23.5,23.79,23.1,23.74,94490.0
2013-12-20,22.9,23.64,22.79,23.52,347986.0
2013-12-19,23.3,23.47,22.9,22.93,61326.0
2013-12-18,22.98,23.47,22.78,23.35,85229.0
2013-12-17,23.15,23.29,22.96,23.0,69562.0
2013-12-16,22.88,23.27,22.78,23.2,76753.0
2013-12-13,23.0,23.11,22.76,22.85,92251.0
2013-12-12,23.0,23.25,22.85,22.95,114229.0
2013-12-11,23.52,23.7,23.0,23.05,217486.0
2013-12-10,23.57,23.66,23.41,23.47,77482.0
2013-12-09,23.62,23.69,23.4,23.66,90891.0
2013-12-06,23.58,23.8,23.5,23.66,90931.0
2013-12-05,23.25,23.67,23.25,23.48,41009.0
2013-12-04,23.37,23.59,23.05,23.33,119797.0
2013-12-03,23.59,23.83,23.36,23.54,89967.0
2013-12-02,24.18,24.18,23.58,23.68,65678.0
2013-11-29,24.69,24.69,24.11,24.23,41392.0
2013-11-27,23.93,24.65,23.92,24.58,104056.0
2013-11-26,23.78,24.14,23.75,23.84,51347.0
2013-11-25,23.63,24.18,23.58,23.78,69107.0
2013-11-22,23.46,23.86,23.27,23.58,165404.0
2013-11-21,23.53,23.62,23.13,23.52,113886.0
2013-11-20,24.04,24.63,23.41,23.57,125244.0
2013-11-19,23.66,24.27,23.4,24.03,128506.0
2013-11-18,23.11,23.72,22.96,23.59,214952.0
2013-11-15,23.01,23.19,22.73,23.11,81330.0
2013-11-14,23.52,23.52,23.0,23.07,41399.0
2013-11-13,22.79,23.6,22.54,23.46,85770.0
2013-11-12,22.4,22.73,22.01,22.68,96605.0
2013-11-11,22.71,22.78,22.46,22.48,99888.0
2013-11-08,22.63,23.75,22.63,22.87,67764.0
2013-11-07,23.25,23.28,22.59,22.73,89119.0
2013-11-06,23.42,23.49,23.0,23.24,57826.0
2013-11-05,23.41,23.51,23.19,23.25,38815.0
2013-11-04,23.45,23.63,23.14,23.41,80413.0
2013-11-01,23.3,23.61,23.23,23.28,108343.0
2013-10-31,23.77,23.85,23.45,23.48,79613.0
