Date,Open,High,Low,Close,Volume
2014-04-07,13.62,13.7,13.16,13.18,2481824.0
2014-04-04,14.0,14.02,13.59,13.66,1396956.0
2014-04-03,14.0,14.06,13.83,13.91,1525709.0
2014-04-02,13.8,13.92,13.74,13.78,1470991.0
2014-04-01,13.77,13.88,13.64,13.81,1424178.0
2014-03-31,13.48,13.84,13.46,13.72,2431915.0
2014-03-28,13.27,13.58,13.2,13.44,1568006.0
2014-03-27,13.45,13.56,13.22,13.25,1619730.0
2014-03-26,13.31,13.51,13.24,13.42,2838644.0
2014-03-25,13.07,13.39,13.07,13.28,1761422.0
2014-03-24,13.01,13.15,12.72,13.04,2035429.0
2014-03-21,13.16,13.19,12.9,12.97,3679544.0
2014-03-20,12.99,13.25,12.95,13.16,1518172.0
2014-03-19,13.1,13.17,12.9,13.0,1208920.0
2014-03-18,12.96,13.13,12.9,13.04,1304718.0
2014-03-17,13.02,13.16,12.88,12.93,1357918.0
2014-03-14,13.2,13.33,12.84,13.0,1869327.0
2014-03-13,13.43,13.62,13.2,13.21,1642958.0
2014-03-12,13.39,13.56,13.33,13.48,1625121.0
2014-03-11,13.5,13.51,13.3,13.39,1652072.0
2014-03-10,13.47,13.58,13.43,13.49,1698648.0
2014-03-07,13.66,13.74,13.35,13.53,3190342.0
2014-03-06,12.99,13.2,12.88,13.13,1522014.0
2014-03-05,13.06,13.28,13.0,13.04,1537955.0
2014-03-04,13.22,13.3,12.99,13.04,2580344.0
2014-03-03,13.15,13.37,13.12,13.13,1900191.0
2014-02-28,13.15,13.46,13.12,13.36,4636495.0
2014-02-27,12.93,13.23,12.87,13.22,2242166.0
2014-02-26,12.81,13.02,12.71,12.97,2444112.0
2014-02-25,12.98,13.16,12.75,12.83,2810371.0
2014-02-24,13.19,13.23,12.99,13.0,1226764.0
2014-02-21,13.17,13.22,13.11,13.15,1327371.0
2014-02-20,13.03,13.16,13.03,13.13,1601733.0
2014-02-19,13.01,13.09,12.97,13.06,1540838.0
2014-02-18,12.94,13.06,12.89,13.05,1408223.0
2014-02-14,12.86,12.93,12.76,12.9,1120158.0
2014-02-13,12.65,12.98,12.56,12.87,1991289.0
2014-02-12,12.63,12.84,12.63,12.7,1659438.0
2014-02-11,12.43,12.8,12.4,12.65,2523693.0
2014-02-10,12.4,12.47,12.36,12.44,1089062.0
2014-02-07,12.08,12.4,11.97,12.37,3649361.0
2014-02-06,11.69,12.14,11.65,12.05,3375842.0
