Date,Open,High,Low,Close,Volume
2014-04-07,34.62,34.97,34.07,34.4,1009442.0
2014-04-04,35.33,35.49,34.71,34.75,1173561.0
2014-04-03,35.61,35.92,34.85,34.99,386660.0
2014-04-02,36.11,36.22,35.54,35.78,440194.0
2014-04-01,35.59,36.07,35.35,35.91,790728.0
2014-03-31,35.09,35.71,34.66,35.42,829734.0
2014-03-28,35.06,35.5,34.72,34.84,604063.0
2014-03-27,35.02,35.6,34.74,35.08,882179.0
2014-03-26,36.25,36.25,35.14,35.14,632625.0
2014-03-25,36.42,36.6,35.66,36.03,664198.0
2014-03-24,36.6,36.75,35.76,36.21,680098.0
2014-03-21,37.66,37.66,36.68,36.74,1078101.0
2014-03-20,37.36,37.73,37.2,37.47,527558.0
2014-03-19,38.08,38.13,37.25,37.51,449691.0
2014-03-18,37.72,38.14,37.72,38.03,964425.0
2014-03-17,37.88,38.35,37.41,37.72,854092.0
2014-03-14,38.03,38.48,37.67,37.8,563328.0
2014-03-13,38.78,38.88,38.01,38.22,1131810.0
2014-03-12,38.62,38.62,38.11,38.52,533754.0
2014-03-11,38.92,39.04,38.43,38.72,590408.0
2014-03-10,39.28,39.44,38.75,38.92,652305.0
2014-03-07,39.85,39.85,39.14,39.28,733242.0
2014-03-06,39.86,40.04,39.57,39.69,644695.0
2014-03-05,39.93,39.98,39.51,39.81,488095.0
2014-03-04,39.43,40.4,39.43,40.03,1629344.0
2014-03-03,39.17,39.17,38.42,38.82,670858.0
2014-02-28,39.96,39.99,39.1,39.31,623511.0
2014-02-27,39.27,39.87,39.03,39.87,637198.0
2014-02-26,39.4,39.65,39.01,39.22,704741.0
2014-02-25,38.87,39.29,38.47,39.27,879256.0
2014-02-24,38.86,39.2,38.61,38.68,794064.0
2014-02-21,38.94,38.94,38.47,38.73,648760.0
2014-02-20,38.0,38.79,37.87,38.75,1144387.0
2014-02-19,38.18,38.41,37.97,38.06,957090.0
2014-02-18,37.92,38.52,37.69,38.43,842615.0
2014-02-14,38.01,38.1,37.55,37.79,638993.0
2014-02-13,37.24,38.01,37.05,37.94,1396819.0
2014-02-12,36.69,37.5,36.11,37.34,1707484.0
2014-02-11,35.78,36.63,35.78,36.49,928719.0
2014-02-10,35.5,35.86,35.21,35.78,731407.0
2014-02-07,35.21,35.71,35.0,35.67,710102.0
2014-02-06,35.3,35.56,35.08,35.22,848800.0
2014-02-05,34.58,35.69,34.05,35.2,1097569.0
2014-02-04,34.18,34.93,33.82,34.69,1025560.0
2014-02-03,35.48,35.64,33.46,34.09,1661162.0
2014-01-31,35.76,36.0,35.32,35.68,1057183.0
2014-01-30,36.47,36.79,35.95,36.32,1477285.0
2014-01-29,34.85,35.34,34.43,35.1,871692.0
2014-01-28,35.2,35.6,34.96,35.21,821189.0
2014-01-27,35.7,35.88,34.98,35.3,1041136.0
2014-01-24,35.94,36.17,35.68,35.73,1050560.0
2014-01-23,37.95,38.5,35.89,36.0,2118518.0
2014-01-22,35.86,36.03,35.38,35.75,842871.0
2014-01-21,35.26,35.92,35.26,35.74,573119.0
2014-01-17,35.62,35.8,35.3,35.39,280182.0
2014-01-16,35.37,35.8,35.36,35.57,381824.0
2014-01-15,35.35,35.7,35.22,35.54,511059.0
2014-01-14,34.81,35.36,34.63,35.16,522499.0
2014-01-13,35.1,35.48,34.36,34.57,447430.0
2014-01-10,34.98,35.32,34.47,35.31,442399.0
2014-01-09,35.19,35.4,34.54,34.9,385749.0
2014-01-08,34.98,35.08,34.64,35.07,696763.0
2014-01-07,34.81,35.09,34.45,34.97,592362.0
2014-01-06,34.82,34.98,34.47,34.58,507063.0
2014-01-03,34.72,35.06,34.63,34.76,431104.0
2014-01-02,35.5,35.5,34.56,34.7,882186.0
2013-12-31,34.4,35.5,34.31,35.39,952260.0
2013-12-30,34.19,34.4,33.88,34.3,375914.0
2013-12-27,34.23,34.4,33.82,34.11,231243.0
2013-12-26,34.16,34.35,33.97,34.05,438574.0
2013-12-24,33.95,34.36,33.95,34.04,275923.0
2013-12-23,33.96,34.35,33.4,33.95,1007962.0
2013-12-20,33.17,34.11,33.0,33.95,1807019.0
2013-12-19,33.0,33.2,32.93,33.0,386189.0
2013-12-18,32.57,33.05,32.13,33.03,332886.0
2013-12-17,32.48,32.62,32.2,32.5,328367.0
2013-12-16,32.29,32.76,32.06,32.53,352864.0
2013-12-13,31.71,32.4,31.66,32.24,569699.0
2013-12-12,31.71,31.83,31.39,31.56,357834.0
2013-12-11,32.39,32.73,31.53,31.64,636738.0
2013-12-10,32.93,33.0,32.37,32.38,720485.0
2013-12-09,33.43,33.47,32.93,33.05,574727.0
2013-12-06,32.75,33.64,32.74,33.31,1116516.0
2013-12-05,33.0,33.19,32.61,32.7,840326.0
2013-12-04,32.25,33.15,32.22,33.1,922197.0
2013-12-03,32.43,32.85,32.07,32.48,662308.0
2013-12-02,32.52,32.99,32.27,32.58,620400.0
2013-11-29,32.95,32.97,32.51,32.54,353557.0
2013-11-27,32.58,32.83,32.52,32.75,355559.0
2013-11-26,32.33,32.63,32.1,32.58,571440.0
