Date,Open,High,Low,Close,Volume
2014-04-07,61.21,61.84,60.62,61.12,352296.0
2014-04-04,62.6,62.6,60.37,61.54,267407.0
2014-04-03,62.15,62.66,61.53,62.12,110492.0
2014-04-02,62.35,62.45,61.77,62.14,141844.0
2014-04-01,61.44,62.48,61.24,62.42,190246.0
2014-03-31,60.69,61.45,60.26,61.32,165939.0
2014-03-28,60.21,61.2,59.94,60.24,147977.0
2014-03-27,60.65,61.19,60.13,60.28,256176.0
2014-03-26,61.49,61.5,60.23,60.63,178696.0
2014-03-25,61.34,61.46,60.56,60.94,175551.0
2014-03-24,61.46,61.74,60.34,61.2,228598.0
2014-03-21,62.09,62.49,61.24,61.54,585739.0
2014-03-20,61.67,62.58,60.32,61.74,213997.0
2014-03-19,59.8,62.84,59.8,61.67,452910.0
2014-03-18,59.17,60.03,58.73,60.03,172473.0
2014-03-17,59.1,59.7,58.74,59.17,173862.0
2014-03-14,58.81,59.41,58.65,58.84,91048.0
2014-03-13,59.67,60.01,58.6,58.98,131935.0
2014-03-12,58.98,59.38,58.73,59.36,85098.0
2014-03-11,59.88,59.92,59.06,59.37,130454.0
2014-03-10,59.62,60.13,59.34,60.03,91823.0
2014-03-07,59.86,60.07,59.04,59.91,82499.0
2014-03-06,59.64,60.0,59.24,59.4,109009.0
2014-03-05,60.0,60.0,59.48,59.78,109626.0
2014-03-04,58.92,60.51,58.67,60.15,272716.0
2014-03-03,58.05,58.63,57.28,58.22,96471.0
2014-02-28,58.33,58.8,57.97,58.46,153777.0
2014-02-27,58.05,58.32,57.68,58.26,120985.0
2014-02-26,58.84,58.97,58.2,58.32,188571.0
2014-02-25,58.98,59.19,58.52,58.68,84633.0
2014-02-24,58.88,59.9,58.88,59.15,120002.0
2014-02-21,58.47,59.02,58.19,58.88,183267.0
2014-02-20,57.71,58.5,57.71,58.12,120484.0
2014-02-19,57.66,58.71,57.61,57.82,174957.0
2014-02-18,57.74,58.74,57.74,58.0,215914.0
2014-02-14,55.1,58.41,54.8,58.21,383035.0
2014-02-13,54.12,55.05,53.95,54.93,276441.0
2014-02-12,54.52,55.19,54.24,54.37,193544.0
2014-02-11,54.33,54.87,53.96,54.58,125977.0
2014-02-10,54.37,54.46,54.09,54.21,188451.0
2014-02-07,53.81,54.37,53.81,54.28,172789.0
2014-02-06,53.26,54.11,53.26,53.8,163396.0
2014-02-05,52.92,53.57,52.66,53.22,167438.0
2014-02-04,52.75,53.63,52.26,53.26,241564.0
2014-02-03,54.13,54.15,51.99,52.68,347180.0
2014-01-31,53.33,55.16,53.33,54.18,343534.0
2014-01-30,54.97,55.0,54.28,54.37,207381.0
2014-01-29,54.76,55.3,53.99,54.39,154677.0
2014-01-28,54.63,55.38,54.33,55.31,289615.0
2014-01-27,55.64,55.94,54.59,54.69,152259.0
2014-01-24,56.32,56.95,55.18,55.32,256340.0
2014-01-23,56.93,57.11,56.35,56.8,191852.0
2014-01-22,57.13,57.13,56.52,57.04,107233.0
2014-01-21,57.13,57.27,56.64,56.83,161305.0
2014-01-17,56.5,56.71,56.18,56.63,191839.0
2014-01-16,55.68,56.67,55.52,56.53,200500.0
2014-01-15,56.03,56.13,55.72,55.86,150856.0
2014-01-14,56.09,56.09,55.3,55.95,129185.0
2014-01-13,56.26,56.6,55.46,55.8,199322.0
2014-01-10,56.43,56.95,55.81,56.57,233419.0
2014-01-09,56.96,56.96,55.99,56.35,122448.0
2014-01-08,56.75,56.86,56.05,56.7,214246.0
2014-01-07,56.69,56.98,56.28,56.86,128905.0
2014-01-06,57.3,57.77,56.44,56.57,157780.0
2014-01-03,57.36,57.77,56.96,57.34,118940.0
2014-01-02,57.78,58.14,56.75,57.36,168092.0
2013-12-31,58.02,58.29,57.81,58.14,172919.0
2013-12-30,57.9,58.06,57.55,57.98,152669.0
2013-12-27,58.26,58.6,57.53,58.01,174491.0
2013-12-26,58.23,58.44,57.95,58.06,213052.0
2013-12-24,57.5,58.34,57.5,58.02,88192.0
2013-12-23,57.35,57.53,57.0,57.52,163653.0
2013-12-20,56.29,57.4,55.85,57.1,462979.0
2013-12-19,57.2,57.65,56.02,56.03,165712.0
2013-12-18,56.38,57.5,55.96,57.44,135598.0
2013-12-17,56.24,56.4,55.94,56.29,139837.0
2013-12-16,56.14,56.66,55.84,56.49,169398.0
2013-12-13,56.11,56.46,55.67,56.04,225052.0
2013-12-12,55.88,56.03,55.51,55.91,169587.0
2013-12-11,56.22,56.22,55.49,55.83,200028.0
2013-12-10,56.19,56.73,55.97,56.04,166806.0
2013-12-09,55.54,56.24,55.31,56.19,169562.0
2013-12-06,55.62,55.69,54.62,55.52,240627.0
2013-12-05,54.73,55.21,54.4,54.94,104461.0
2013-12-04,54.84,55.49,54.26,54.8,140482.0
2013-12-03,54.99,55.31,54.39,54.99,180491.0
2013-12-02,56.11,56.12,55.03,55.22,237152.0
2013-11-29,56.73,56.97,55.96,56.04,74018.0
2013-11-27,56.0,56.62,55.85,56.46,179458.0
2013-11-26,55.5,56.66,55.31,55.98,205699.0
2013-11-25,55.43,55.74,55.28,55.51,138547.0
2013-11-22,55.18,55.5,54.79,55.43,101603.0
2013-11-21,54.83,55.29,54.58,55.06,110441.0
2013-11-20,54.74,54.92,54.45,54.55,127899.0
