Date,Open,High,Low,Close,Volume
2014-04-07,62.87,63.77,61.0,62.15,192395.0
2014-04-04,66.65,66.65,62.56,63.17,188489.0
2014-04-03,66.7,67.3,65.79,66.16,148943.0
2014-04-02,65.9,67.03,65.69,66.6,146007.0
2014-04-01,66.05,66.89,65.41,66.6,195477.0
2014-03-31,64.84,66.66,63.75,65.78,228675.0
2014-03-28,64.39,65.91,63.96,64.28,141316.0
2014-03-27,64.78,65.81,63.92,64.4,187011.0
2014-03-26,67.19,67.4,64.83,64.86,468741.0
2014-03-25,67.61,68.5,66.43,66.59,255346.0
2014-03-24,66.85,67.61,65.26,67.16,394136.0
2014-03-21,67.58,68.87,66.29,66.64,377019.0
2014-03-20,65.12,67.29,65.04,66.99,229014.0
2014-03-19,66.5,66.89,64.48,65.08,157182.0
2014-03-18,63.62,67.08,63.5,66.54,429709.0
2014-03-17,62.8,64.35,62.42,63.61,249265.0
2014-03-14,61.54,62.54,61.05,62.25,171459.0
2014-03-13,63.67,63.81,61.27,61.67,265945.0
2014-03-12,62.56,63.94,62.29,63.46,202908.0
2014-03-11,63.72,64.33,62.42,62.82,134719.0
2014-03-10,63.5,64.66,62.94,63.54,157838.0
2014-03-07,64.01,64.22,63.3,63.68,195622.0
2014-03-06,62.96,64.0,62.84,63.86,212738.0
2014-03-05,61.17,63.94,61.0,62.98,363280.0
2014-03-04,59.19,61.73,59.0,60.62,333154.0
2014-03-03,58.72,58.72,57.41,58.43,157498.0
2014-02-28,59.64,60.18,58.96,59.13,181198.0
2014-02-27,59.52,59.99,58.83,59.43,126963.0
2014-02-26,59.21,60.48,59.14,59.52,106640.0
2014-02-25,59.77,60.41,58.52,59.11,238570.0
2014-02-24,59.29,60.55,58.73,59.59,249130.0
2014-02-21,59.92,60.59,59.04,59.15,235945.0
2014-02-20,59.12,59.58,58.18,59.51,159726.0
2014-02-19,60.37,61.01,58.95,59.05,183344.0
2014-02-18,60.62,61.07,60.16,60.72,122905.0
2014-02-14,61.53,61.69,60.17,60.48,155216.0
2014-02-13,60.18,61.48,60.12,61.42,187323.0
2014-02-12,60.29,61.13,60.27,60.77,160740.0
2014-02-11,58.55,60.49,58.55,60.05,173617.0
2014-02-10,58.62,59.4,58.06,58.7,345195.0
2014-02-07,58.41,59.23,57.84,58.83,209227.0
2014-02-06,57.32,58.56,56.5,57.95,394803.0
2014-02-05,57.26,58.08,55.05,57.39,361367.0
2014-02-04,59.62,61.59,56.66,57.65,830522.0
2014-02-03,58.71,59.02,56.53,57.36,331106.0
2014-01-31,59.32,60.45,58.56,59.23,233140.0
2014-01-30,59.57,60.99,58.58,60.53,247973.0
2014-01-29,59.44,60.5,58.83,58.95,227212.0
2014-01-28,59.79,60.22,58.87,59.89,392646.0
2014-01-27,59.97,60.29,59.0,59.69,332113.0
2014-01-24,61.18,62.12,59.39,60.07,270340.0
2014-01-23,60.9,62.21,60.54,61.71,294992.0
2014-01-22,61.62,62.67,60.96,61.47,332043.0
2014-01-21,59.0,59.46,58.53,59.25,245212.0
2014-01-17,58.95,59.2,58.14,58.71,216150.0
2014-01-16,58.41,59.5,57.19,59.23,339716.0
2014-01-15,58.82,59.42,58.32,58.91,237082.0
2014-01-14,57.55,59.2,56.95,58.81,228651.0
2014-01-13,58.05,58.67,56.76,57.14,176499.0
2014-01-10,57.21,58.74,57.11,58.34,194493.0
2014-01-09,57.47,57.76,56.26,57.16,260535.0
2014-01-08,56.24,57.8,56.24,57.14,264599.0
2014-01-07,55.24,56.82,55.24,56.41,311207.0
2014-01-06,55.77,56.13,54.6,55.19,196751.0
2014-01-03,54.99,55.87,54.84,55.62,123989.0
2014-01-02,55.5,55.75,54.13,54.94,178629.0
2013-12-31,55.13,56.19,55.13,55.82,154523.0
2013-12-30,53.64,55.34,53.46,55.05,180359.0
2013-12-27,54.71,54.75,53.61,53.81,120638.0
2013-12-26,54.36,54.84,53.19,54.47,267399.0
2013-12-24,54.43,54.9,54.04,54.33,63671.0
2013-12-23,54.19,54.72,53.9,54.53,124417.0
2013-12-20,53.33,54.02,52.16,53.8,424040.0
2013-12-19,54.49,54.49,53.18,53.38,129209.0
2013-12-18,54.74,55.02,53.45,54.49,171640.0
2013-12-17,53.6,55.0,53.34,54.68,176044.0
2013-12-16,52.93,53.89,52.92,53.46,112721.0
2013-12-13,52.0,53.09,51.29,52.6,168596.0
2013-12-12,52.18,52.75,51.55,51.81,204047.0
2013-12-11,53.45,53.52,51.98,52.29,274337.0
2013-12-10,53.71,54.03,53.2,53.45,162961.0
2013-12-09,54.9,55.12,53.68,53.97,189652.0
2013-12-06,55.09,55.39,54.34,54.74,145152.0
2013-12-05,53.28,55.31,53.19,54.36,180464.0
2013-12-04,52.83,54.0,52.45,53.34,122259.0
2013-12-03,52.15,53.28,51.62,53.0,174391.0
2013-12-02,53.3,53.65,51.68,52.38,159236.0
2013-11-29,54.0,54.5,53.31,53.46,51066.0
2013-11-27,53.72,54.21,53.1,53.76,103364.0
2013-11-26,53.5,54.36,52.97,53.84,125542.0
2013-11-25,53.7,53.9,52.86,53.45,87516.0
2013-11-22,53.91,54.42,53.32,53.71,119199.0
2013-11-21,52.88,54.27,52.67,53.94,135325.0
2013-11-20,53.15,53.65,52.0,52.55,131132.0
2013-11-19,53.75,53.96,52.85,53.02,173809.0
2013-11-18,54.33,55.25,53.54,53.89,158291.0
2013-11-15,54.15,54.99,53.31,54.22,251014.0
2013-11-14,55.79,55.92,54.06,54.21,122107.0
2013-11-13,55.05,56.05,54.91,55.93,66309.0
2013-11-12,55.35,56.49,54.96,55.4,111112.0
2013-11-11,56.19,56.32,55.13,55.42,140693.0
2013-11-08,55.0,56.74,55.0,56.25,135755.0
2013-11-07,57.23,57.23,54.78,54.91,190396.0
2013-11-06,56.78,57.85,56.29,57.09,116603.0
2013-11-05,56.36,57.0,55.24,56.4,172557.0
2013-11-04,57.0,57.33,55.88,56.86,224391.0
2013-11-01,57.26,58.48,56.68,57.05,315379.0
2013-10-31,51.93,60.3,51.93,57.28,1229083.0
2013-10-30,52.1,52.27,51.1,51.43,229103.0
2013-10-29,52.1,52.58,51.0,52.1,271509.0
2013-10-28,51.78,52.55,51.65,52.07,142939.0
2013-10-25,51.3,52.12,51.25,51.8,209284.0
2013-10-24,51.67,51.76,50.94,51.4,147235.0
2013-10-23,53.36,53.36,50.56,51.49,260611.0
2013-10-22,53.76,54.21,53.41,53.87,78217.0
2013-10-21,53.55,54.33,53.44,53.65,206234.0
2013-10-18,54.22,54.22,53.22,53.57,250208.0
2013-10-17,54.5,54.53,53.62,53.67,210266.0
2013-10-16,55.73,55.96,54.88,54.97,120333.0
2013-10-15,56.1,56.49,55.18,55.29,92240.0
2013-10-14,55.4,56.76,55.4,56.31,103055.0
2013-10-11,54.0,56.3,53.65,55.89,180467.0
2013-10-10,52.6,54.11,52.39,54.0,110830.0
2013-10-09,52.34,52.96,51.62,51.88,167837.0
2013-10-08,53.62,53.91,52.0,52.24,164994.0
2013-10-07,53.39,53.8,52.66,53.46,146153.0
2013-10-04,53.61,54.97,53.46,53.87,195644.0
2013-10-03,53.83,54.08,52.52,53.69,196012.0
2013-10-02,53.73,54.62,53.29,53.84,171370.0
2013-10-01,54.25,54.75,53.94,54.16,234869.0
2013-09-30,54.21,55.22,53.86,54.16,236876.0
2013-09-27,54.24,55.07,54.0,54.83,104193.0
2013-09-26,55.23,55.23,54.4,54.76,78751.0
