Date,Open,High,Low,Close,Volume
2014-04-07,57.57,57.74,56.07,57.29,464123.0
2014-04-04,58.87,59.15,57.34,57.63,321227.0
2014-04-03,58.53,58.79,58.12,58.4,466541.0
2014-04-02,58.32,58.69,57.76,58.36,449685.0
2014-04-01,57.78,58.02,57.2,57.89,821098.0
2014-03-31,57.51,58.07,57.02,57.86,399819.0
2014-03-28,56.8,57.5,56.62,57.01,763024.0
2014-03-27,56.34,57.02,56.07,56.88,289415.0
2014-03-26,57.39,58.08,56.38,56.39,297898.0
2014-03-25,57.78,57.95,56.41,57.0,370493.0
2014-03-24,57.83,58.33,57.0,57.43,277831.0
2014-03-21,58.41,58.41,57.28,57.56,552349.0
2014-03-20,58.03,58.6,57.5,57.99,224263.0
2014-03-19,58.15,58.47,57.67,58.08,323596.0
2014-03-18,57.97,58.23,57.25,58.08,309648.0
2014-03-17,56.95,57.88,56.81,57.34,421564.0
2014-03-14,56.25,57.9,56.1,56.34,537626.0
2014-03-13,56.14,56.9,55.45,56.19,683891.0
2014-03-12,55.62,56.15,54.97,56.1,253684.0
2014-03-11,55.64,55.98,55.51,55.8,458309.0
2014-03-10,55.42,55.86,54.95,55.68,415898.0
2014-03-07,55.17,56.07,54.86,55.53,493577.0
2014-03-06,53.73,55.33,53.32,55.14,624703.0
2014-03-05,53.6,54.1,53.27,53.49,504086.0
2014-03-04,54.42,55.09,53.63,53.77,748758.0
2014-03-03,53.77,54.0,53.17,53.59,541785.0
2014-02-28,54.85,54.93,53.51,54.23,752562.0
2014-02-27,54.56,55.01,54.11,54.8,463972.0
2014-02-26,55.96,55.96,54.39,54.97,1105840.0
2014-02-25,56.41,56.84,55.28,55.77,594230.0
2014-02-24,57.41,58.69,55.74,56.57,1080410.0
2014-02-21,59.28,59.28,56.82,57.16,1471602.0
2014-02-20,56.26,60.48,56.08,59.4,4047402.0
2014-02-19,50.93,51.34,49.81,50.48,743872.0
2014-02-18,50.84,51.19,50.15,50.92,340336.0
2014-02-14,51.12,51.14,50.5,50.71,321628.0
2014-02-13,50.97,51.23,50.22,51.04,315848.0
2014-02-12,50.11,51.0,50.11,50.88,240211.0
2014-02-11,50.93,51.2,50.12,50.22,342188.0
2014-02-10,51.27,51.81,50.0,50.74,451628.0
2014-02-07,50.73,51.31,50.17,51.16,455897.0
2014-02-06,48.05,50.99,48.0,50.45,701355.0
2014-02-05,48.56,48.87,47.53,48.01,420816.0
2014-02-04,48.43,49.73,48.12,48.75,529056.0
2014-02-03,50.06,50.12,47.91,48.12,513558.0
