Date,Open,High,Low,Close,Volume
2014-04-07,102.27,102.65,98.04,98.77,241436.0
2014-04-04,106.35,106.35,102.0,102.7,105786.0
2014-04-03,106.72,107.69,104.94,105.71,116468.0
2014-04-02,105.41,107.15,103.72,106.99,90878.0
2014-04-01,101.15,105.28,100.93,104.72,131552.0
2014-03-31,101.7,102.26,100.46,100.93,320975.0
2014-03-28,101.83,103.75,100.83,101.44,123846.0
2014-03-27,103.0,103.11,100.45,102.15,182358.0
2014-03-26,109.17,109.17,101.71,102.69,305818.0
2014-03-25,110.45,111.34,106.44,108.15,147443.0
2014-03-24,110.79,111.99,109.34,109.67,125325.0
2014-03-21,110.73,111.99,109.5,110.91,189029.0
2014-03-20,108.96,110.2,108.92,109.99,77729.0
2014-03-19,109.93,111.49,108.02,109.1,87866.0
2014-03-18,108.84,110.73,108.82,110.19,111769.0
2014-03-17,106.6,109.51,106.6,108.48,78195.0
2014-03-14,107.66,108.49,105.74,106.51,115828.0
2014-03-13,108.49,109.84,106.74,107.7,232322.0
2014-03-12,104.01,108.39,103.75,108.14,161147.0
2014-03-11,102.61,104.5,101.15,104.28,128015.0
2014-03-10,101.78,103.33,101.05,102.48,104778.0
2014-03-07,105.08,105.24,101.0,101.7,169472.0
2014-03-06,102.65,105.78,102.0,105.14,133945.0
2014-03-05,103.62,104.0,101.67,102.77,140415.0
2014-03-04,100.4,105.39,100.4,103.94,179667.0
2014-03-03,101.14,101.48,98.87,99.64,123174.0
2014-02-28,98.9,102.37,95.61,101.73,158084.0
2014-02-27,97.78,98.86,97.53,98.58,71844.0
2014-02-26,97.74,99.49,97.66,98.15,127827.0
2014-02-25,94.92,98.11,94.47,97.26,106749.0
2014-02-24,93.82,95.59,93.35,95.12,116008.0
2014-02-21,93.2,94.95,93.2,93.81,105600.0
2014-02-20,94.02,94.5,92.12,92.72,122493.0
2014-02-19,94.23,94.7,93.45,93.69,86818.0
2014-02-18,94.91,94.99,92.94,94.48,99714.0
2014-02-14,94.83,95.24,94.11,94.65,58755.0
2014-02-13,94.5,95.74,94.16,94.62,107838.0
2014-02-12,95.98,96.71,94.11,94.9,133672.0
2014-02-11,94.55,96.48,94.42,95.79,112616.0
2014-02-10,94.66,94.97,91.87,94.73,210095.0
2014-02-07,95.0,95.98,93.08,94.51,170741.0
2014-02-06,94.9,96.12,94.14,95.06,147217.0
2014-02-05,96.2,96.36,94.04,94.9,216141.0
2014-02-04,93.19,97.2,91.94,96.39,345808.0
2014-02-03,91.04,93.39,90.47,92.61,259166.0
2014-01-31,90.25,91.76,89.5,90.9,152436.0
2014-01-30,91.04,92.64,90.35,91.75,208490.0
2014-01-29,92.72,92.72,90.21,90.47,195429.0
2014-01-28,93.5,93.66,92.5,93.38,234778.0
2014-01-27,94.83,95.58,93.54,93.55,200661.0
2014-01-24,93.51,95.5,93.17,95.07,260353.0
2014-01-23,93.8,94.39,93.36,94.18,169677.0
2014-01-22,95.44,96.02,93.85,94.45,150183.0
2014-01-21,94.5,95.52,94.06,94.87,232777.0
2014-01-17,95.47,95.47,93.58,94.05,232575.0
2014-01-16,96.22,96.28,93.97,95.32,254184.0
2014-01-15,96.5,96.97,95.52,96.65,190910.0
2014-01-14,96.11,96.81,94.25,96.38,280065.0
2014-01-13,98.23,99.66,93.87,95.99,519575.0
2014-01-10,105.61,107.47,97.5,98.97,778411.0
2014-01-09,110.37,111.45,106.96,107.59,387876.0
2014-01-08,111.55,112.81,109.08,110.35,220725.0
2014-01-07,111.89,113.89,111.5,112.37,181328.0
2014-01-06,113.1,113.75,111.53,111.71,185274.0
2014-01-03,111.73,112.98,110.83,112.89,124521.0
2014-01-02,114.69,114.69,110.4,111.63,166967.0
2013-12-31,116.07,116.5,112.84,115.54,213485.0
2013-12-30,117.68,118.29,115.21,115.5,99419.0
2013-12-27,117.41,118.34,115.98,117.38,133665.0
2013-12-26,119.3,120.51,116.2,116.85,110570.0
2013-12-24,118.18,119.11,117.1,118.71,73925.0
2013-12-23,115.84,118.11,114.81,117.85,157102.0
2013-12-20,116.18,117.52,114.6,115.45,293786.0
2013-12-19,117.07,117.58,115.25,115.64,77895.0
2013-12-18,115.36,118.08,113.34,116.89,142347.0
2013-12-17,116.17,117.92,114.7,115.49,90961.0
2013-12-16,116.52,118.28,115.65,116.54,139921.0
2013-12-13,117.48,118.45,116.08,116.4,95161.0
2013-12-12,117.32,119.27,116.88,117.48,101964.0
2013-12-11,119.55,120.08,117.4,117.96,90500.0
2013-12-10,120.48,121.32,118.59,119.02,100541.0
2013-12-09,118.59,120.91,118.5,120.35,115861.0
2013-12-06,122.8,124.97,118.46,118.76,112167.0
2013-12-05,122.14,124.23,119.87,122.4,61576.0
2013-12-04,121.51,124.5,120.52,121.85,49720.0
2013-12-03,123.44,124.29,121.22,121.8,76081.0
2013-12-02,124.42,125.66,121.91,123.31,76508.0
2013-11-29,126.15,126.64,124.33,124.79,47192.0
2013-11-27,125.24,126.21,124.6,125.39,59261.0
2013-11-26,123.48,126.04,123.48,125.01,105722.0
