Date,Open,High,Low,Close,Volume
2014-04-07,30.32,30.65,29.98,30.28,520904.0
2014-04-04,31.18,31.32,30.11,30.44,470076.0
2014-04-03,31.01,31.38,30.86,31.1,298738.0
2014-04-02,31.28,31.3,30.92,31.09,332588.0
2014-04-01,30.44,31.5,29.92,31.34,433846.0
2014-03-31,29.77,30.78,29.74,30.51,434391.0
2014-03-28,29.44,30.16,29.22,29.62,282047.0
2014-03-27,30.19,30.48,29.4,29.47,384281.0
2014-03-26,31.12,31.44,30.11,30.11,332861.0
2014-03-25,30.79,31.23,30.59,30.83,598883.0
2014-03-24,30.69,31.13,30.4,30.58,627456.0
2014-03-21,31.43,31.5,30.67,30.69,1030978.0
2014-03-20,30.7,31.66,30.5,31.23,609889.0
2014-03-19,30.32,31.07,30.01,30.69,396994.0
2014-03-18,30.18,30.67,30.13,30.59,377424.0
2014-03-17,29.75,30.3,29.7,30.13,450748.0
2014-03-14,29.58,30.2,29.58,30.11,220909.0
2014-03-13,29.99,30.16,29.59,29.77,362182.0
2014-03-12,30.0,30.19,29.77,30.03,298354.0
2014-03-11,30.14,30.3,29.86,30.07,334391.0
2014-03-10,29.89,30.2,29.6,30.2,241798.0
2014-03-07,29.99,30.7,29.87,30.08,279804.0
2014-03-06,29.4,30.07,29.36,29.88,379259.0
2014-03-05,29.29,29.51,29.22,29.45,380104.0
2014-03-04,28.97,29.86,28.86,29.37,506533.0
2014-03-03,28.53,28.85,28.14,28.59,419919.0
2014-02-28,28.45,29.17,28.28,28.86,502211.0
2014-02-27,28.23,28.54,28.0,28.37,371634.0
2014-02-26,28.16,28.51,28.04,28.3,387931.0
2014-02-25,28.43,28.43,28.0,28.1,358628.0
2014-02-24,27.97,28.59,27.61,28.4,282121.0
2014-02-21,27.7,28.12,27.56,27.94,367471.0
2014-02-20,27.57,27.89,27.11,27.55,320325.0
2014-02-19,28.34,28.43,27.17,27.53,491591.0
2014-02-18,28.32,28.64,28.16,28.46,195397.0
2014-02-14,28.32,28.5,28.09,28.36,176389.0
2014-02-13,28.03,28.47,27.79,28.31,219885.0
2014-02-12,28.33,28.95,28.06,28.33,171843.0
2014-02-11,27.86,28.45,27.63,28.34,206479.0
2014-02-10,27.97,28.16,27.37,27.88,357495.0
2014-02-07,28.38,28.5,27.7,27.92,359729.0
2014-02-06,27.77,28.34,27.41,28.21,442897.0
2014-02-05,27.73,28.85,27.36,27.72,382032.0
2014-02-04,27.35,28.22,27.01,27.88,576831.0
2014-02-03,28.46,28.66,27.05,27.3,799353.0
2014-01-31,28.46,29.32,28.23,28.59,525323.0
2014-01-30,28.75,29.12,28.42,29.0,330328.0
2014-01-29,28.69,29.03,28.33,28.5,608932.0
2014-01-28,28.6,29.0,28.35,28.94,435457.0
2014-01-27,29.42,29.49,28.6,28.61,559255.0
2014-01-24,30.0,30.02,29.26,29.43,354206.0
2014-01-23,30.24,30.38,29.68,30.21,533500.0
2014-01-22,30.2,30.65,30.09,30.43,563903.0
2014-01-21,29.22,30.69,29.17,30.23,1204386.0
2014-01-17,28.31,28.98,28.18,28.92,827266.0
2014-01-16,28.5,28.97,27.86,28.11,518398.0
2014-01-15,28.35,28.56,28.02,28.27,800592.0
2014-01-14,28.08,28.27,27.75,28.24,385132.0
2014-01-13,28.27,28.65,27.68,27.9,510376.0
2014-01-10,28.31,28.5,28.06,28.41,339807.0
2014-01-09,28.41,28.61,27.93,28.37,484726.0
2014-01-08,28.23,28.45,27.97,28.24,591339.0
2014-01-07,28.29,28.64,28.07,28.31,539780.0
2014-01-06,28.5,29.19,28.01,28.11,538951.0
2014-01-03,28.4,29.26,28.17,28.32,469227.0
2014-01-02,28.86,28.94,28.09,28.33,537259.0
2013-12-31,28.87,29.19,28.74,28.93,343026.0
2013-12-30,29.07,29.24,28.87,28.89,308423.0
2013-12-27,29.31,29.51,28.99,29.1,237595.0
2013-12-26,29.33,29.46,29.05,29.18,407506.0
2013-12-24,29.2,29.51,29.02,29.2,101988.0
2013-12-23,28.79,29.29,28.79,29.25,578744.0
2013-12-20,28.22,28.94,28.19,28.66,1471884.0
2013-12-19,28.68,28.74,28.23,28.24,461653.0
2013-12-18,28.24,28.77,27.84,28.75,689895.0
2013-12-17,28.08,28.31,27.55,28.22,506585.0
2013-12-16,27.77,28.11,27.53,28.06,434501.0
2013-12-13,27.98,27.98,27.33,27.66,454601.0
2013-12-12,27.61,28.03,27.52,27.86,494524.0
2013-12-11,28.01,28.17,27.41,27.6,488290.0
2013-12-10,28.08,28.47,27.77,27.87,293900.0
2013-12-09,28.41,28.62,27.98,28.22,418883.0
2013-12-06,27.74,28.71,27.69,28.4,585188.0
2013-12-05,27.4,27.6,27.17,27.39,354591.0
2013-12-04,26.67,27.45,26.52,27.31,615875.0
2013-12-03,27.0,27.3,26.37,26.71,526492.0
2013-12-02,27.6,27.88,27.03,27.1,455507.0
2013-11-29,27.89,27.95,27.48,27.73,160294.0
2013-11-27,27.41,27.78,27.18,27.74,353433.0
2013-11-26,27.21,27.48,26.9,27.42,344910.0
2013-11-25,26.95,27.32,26.86,27.14,436682.0
2013-11-22,26.64,26.95,26.25,26.87,352230.0
2013-11-21,26.39,26.71,26.39,26.51,448813.0
2013-11-20,26.28,26.37,26.01,26.3,323608.0
2013-11-19,26.09,26.39,25.82,26.21,693442.0
2013-11-18,26.3,26.7,25.93,26.07,541379.0
2013-11-15,26.47,26.49,26.2,26.27,443729.0
2013-11-14,26.43,26.52,26.17,26.48,270475.0
2013-11-13,25.94,26.4,25.82,26.36,450777.0
2013-11-12,26.0,26.14,25.69,26.03,698014.0
2013-11-11,26.27,26.27,25.44,25.98,823501.0
2013-11-08,24.53,25.9,24.53,25.54,894453.0
2013-11-07,25.01,25.21,24.49,24.53,394104.0
2013-11-06,24.85,25.13,24.51,24.97,721864.0
2013-11-05,24.39,24.8,24.14,24.71,363647.0
2013-11-04,24.18,24.63,23.9,24.54,683628.0
2013-11-01,24.34,24.9,24.03,24.07,1163722.0
2013-10-31,24.23,24.79,24.21,24.37,1277707.0
2013-10-30,25.0,25.17,24.82,25.0,474453.0
2013-10-29,25.0,25.0,24.69,24.97,343835.0
2013-10-28,25.04,25.24,24.84,24.97,417980.0
2013-10-25,25.14,25.14,24.87,24.95,420238.0
2013-10-24,24.83,25.28,24.65,25.22,391718.0
2013-10-23,24.67,25.3,24.58,24.83,423361.0
2013-10-22,25.12,25.38,24.71,24.9,755380.0
2013-10-21,24.83,25.2,24.63,25.07,634808.0
2013-10-18,25.02,25.41,24.41,24.75,781000.0
2013-10-17,22.8,24.5,22.8,24.42,1421307.0
2013-10-16,22.4,22.83,22.28,22.45,455307.0
2013-10-15,22.34,22.52,22.11,22.26,273726.0
2013-10-14,22.11,22.47,22.03,22.41,330235.0
2013-10-11,21.41,22.43,21.23,22.3,543955.0
2013-10-10,21.37,21.76,21.21,21.5,491400.0
2013-10-09,20.94,21.26,20.87,20.99,491229.0
2013-10-08,21.11,21.24,20.88,20.9,383924.0
2013-10-07,21.43,21.46,21.17,21.17,226101.0
2013-10-04,21.42,21.68,21.34,21.6,157738.0
2013-10-03,21.6,21.66,21.13,21.45,539781.0
2013-10-02,21.76,21.89,21.36,21.62,265108.0
2013-10-01,21.46,22.02,21.2,21.93,719709.0
2013-09-30,20.93,21.41,20.88,21.4,399755.0
2013-09-27,21.35,21.74,21.06,21.2,331497.0
2013-09-26,21.59,21.6,21.14,21.55,433713.0
2013-09-25,21.4,21.77,21.11,21.47,643112.0
2013-09-24,21.21,21.55,20.9,21.33,278243.0
2013-09-23,21.15,21.33,20.75,21.17,356962.0
2013-09-20,21.16,21.45,21.0,21.21,1057241.0
2013-09-19,21.7,21.89,20.59,21.14,501825.0
2013-09-18,22.01,22.5,21.64,21.7,550142.0
