Date,Open,High,Low,Close,Volume
2014-04-07,20.95,21.04,20.51,20.75,890964.0
2014-04-04,21.24,21.33,20.69,20.77,1618878.0
2014-04-03,21.34,21.36,21.02,21.3,953478.0
2014-04-02,21.12,21.3,21.04,21.19,579696.0
2014-04-01,21.1,21.41,20.91,21.08,784344.0
2014-03-31,20.74,21.18,20.68,21.09,1104435.0
2014-03-28,20.84,21.07,20.49,20.72,1250182.0
2014-03-27,20.88,20.88,20.44,20.72,673856.0
2014-03-26,20.95,21.14,20.71,20.74,1027241.0
2014-03-25,21.05,21.15,20.53,20.84,842508.0
2014-03-24,20.99,21.0,20.33,20.82,1187291.0
2014-03-21,21.37,21.37,20.7,20.89,2021894.0
2014-03-20,21.21,21.35,21.03,21.13,595494.0
2014-03-19,21.58,21.63,21.12,21.19,838153.0
2014-03-18,21.56,21.75,21.46,21.7,1473475.0
2014-03-17,20.8,21.16,20.75,20.76,1467214.0
2014-03-14,20.91,21.01,20.4,20.46,1667040.0
2014-03-13,21.47,21.56,20.65,20.83,2181814.0
2014-03-12,21.25,21.55,21.19,21.55,2185058.0
2014-03-11,21.71,21.72,21.5,21.66,977065.0
2014-03-10,21.64,21.81,21.53,21.69,658569.0
2014-03-07,21.98,22.01,21.52,21.86,997980.0
2014-03-06,22.07,22.36,21.95,22.01,1457343.0
2014-03-05,21.82,22.01,21.7,21.96,1108170.0
2014-03-04,21.5,22.09,21.5,21.85,2392445.0
2014-03-03,21.72,21.72,20.94,21.47,3161275.0
2014-02-28,22.34,22.55,22.19,22.25,1553518.0
2014-02-27,21.96,22.37,21.95,22.02,1121662.0
2014-02-26,22.0,22.09,21.84,22.0,1118232.0
2014-02-25,22.46,22.5,21.92,21.94,1126290.0
2014-02-24,22.22,22.46,22.07,22.34,953950.0
2014-02-21,22.3,22.3,21.98,21.99,1196766.0
2014-02-20,22.21,22.32,22.09,22.11,1373234.0
2014-02-19,22.63,22.74,22.2,22.2,1111581.0
2014-02-18,22.91,22.99,22.74,22.8,726436.0
2014-02-14,22.88,22.96,22.66,22.91,669804.0
2014-02-13,22.34,22.78,22.26,22.78,736425.0
2014-02-12,22.38,22.61,22.29,22.3,846074.0
2014-02-11,22.61,22.8,22.56,22.63,1126177.0
2014-02-10,22.32,22.57,22.3,22.56,622213.0
2014-02-07,22.09,22.54,22.0,22.52,1156402.0
2014-02-06,21.86,22.05,21.77,21.87,1038427.0
2014-02-05,21.69,21.78,21.55,21.56,736661.0
2014-02-04,21.96,22.07,21.77,21.81,1267157.0
2014-02-03,22.28,22.29,21.77,22.01,2616821.0
2014-01-31,21.97,22.18,21.72,22.12,1188680.0
2014-01-30,22.68,22.69,21.97,22.21,3513058.0
2014-01-29,22.92,23.04,22.38,22.55,1666722.0
2014-01-28,23.02,23.27,23.02,23.07,861790.0
2014-01-27,23.45,23.49,22.89,23.0,1370874.0
2014-01-24,23.92,24.11,23.55,23.75,1159381.0
2014-01-23,24.31,24.38,24.15,24.36,758405.0
2014-01-22,24.51,24.56,24.28,24.52,886405.0
2014-01-21,24.54,24.55,24.25,24.27,866548.0
