Date,Open,High,Low,Close,Volume
2014-04-07,16.48,16.54,15.83,15.94,460171.0
2014-04-04,17.36,17.36,16.51,16.58,522711.0
2014-04-03,17.23,17.37,17.05,17.23,478566.0
2014-04-02,17.24,17.42,17.08,17.22,256088.0
2014-04-01,16.9,17.47,16.85,17.25,394782.0
2014-03-31,16.69,17.12,16.54,16.88,468700.0
2014-03-28,16.67,17.21,16.59,16.65,308076.0
2014-03-27,16.55,16.63,16.28,16.61,431945.0
2014-03-26,16.98,17.17,16.54,16.62,855022.0
2014-03-25,17.01,17.28,16.53,16.61,710201.0
2014-03-24,17.53,17.54,16.86,16.99,400963.0
2014-03-21,17.62,18.04,17.29,17.4,777788.0
2014-03-20,17.38,17.57,17.2,17.52,1022622.0
2014-03-19,17.36,17.61,17.22,17.36,821990.0
2014-03-18,16.94,17.35,16.94,17.35,1079626.0
2014-03-17,17.15,17.28,16.83,16.93,429070.0
2014-03-14,16.91,17.68,16.8,17.09,517453.0
2014-03-13,17.13,17.23,16.66,17.05,543632.0
2014-03-12,16.91,17.15,16.63,17.07,473323.0
2014-03-11,17.37,17.51,16.96,17.13,548320.0
2014-03-10,17.57,17.84,17.16,17.3,467833.0
2014-03-07,17.67,17.79,17.5,17.62,553765.0
2014-03-06,17.4,17.4,17.05,17.16,397743.0
2014-03-05,17.59,17.72,17.19,17.38,310044.0
2014-03-04,17.54,17.9,17.54,17.64,497228.0
2014-03-03,17.3,17.44,17.07,17.3,383207.0
2014-02-28,17.56,17.65,17.26,17.46,489039.0
2014-02-27,17.73,17.73,17.39,17.52,528582.0
2014-02-26,17.75,17.85,17.63,17.74,608472.0
2014-02-25,17.81,17.81,17.59,17.67,498442.0
2014-02-24,17.7,18.21,17.7,17.73,505967.0
2014-02-21,17.85,17.96,17.65,17.74,480574.0
2014-02-20,17.7,17.85,17.2,17.71,676845.0
2014-02-19,17.92,18.01,17.7,17.71,408368.0
2014-02-18,17.6,18.06,17.6,17.92,491390.0
2014-02-14,18.07,18.41,18.01,18.08,292864.0
2014-02-13,17.81,18.23,17.75,18.2,436049.0
2014-02-12,18.22,18.39,17.89,17.94,639150.0
2014-02-11,18.21,18.43,18.05,18.15,489670.0
2014-02-10,17.92,18.35,17.8,18.15,458768.0
2014-02-07,18.16,18.22,17.94,17.99,956368.0
2014-02-06,17.91,18.2,17.91,18.0,322794.0
2014-02-05,17.79,18.12,17.71,17.86,534796.0
2014-02-04,18.05,18.22,17.87,18.01,425004.0
2014-02-03,18.35,18.5,17.67,17.91,646763.0
2014-01-31,18.35,18.64,18.26,18.41,984702.0
2014-01-30,18.28,18.95,18.14,18.64,561656.0
2014-01-29,18.08,18.36,17.94,18.01,468826.0
2014-01-28,18.03,18.3,17.95,18.25,521164.0
2014-01-27,18.0,18.08,17.46,18.0,1042435.0
2014-01-24,19.65,19.65,18.18,18.25,1156552.0
2014-01-23,17.8,20.37,17.8,19.95,2508735.0
2014-01-22,17.99,18.53,17.8,18.4,1600157.0
2014-01-21,19.34,19.4,18.64,18.7,586279.0
2014-01-17,19.32,19.47,18.92,19.1,436323.0
2014-01-16,19.13,19.5,19.13,19.42,294703.0
2014-01-15,18.91,19.45,18.91,19.25,579704.0
2014-01-14,18.91,19.0,18.25,18.9,519883.0
2014-01-13,20.25,20.7,18.77,18.89,1162101.0
2014-01-10,20.93,21.03,20.62,20.94,202598.0
2014-01-09,20.76,21.02,20.68,20.87,305668.0
2014-01-08,20.53,20.87,20.34,20.67,370834.0
2014-01-07,20.05,20.63,20.05,20.6,287316.0
2014-01-06,20.9,20.9,20.05,20.06,410967.0
2014-01-03,20.75,21.07,20.58,20.9,252018.0
2014-01-02,21.04,21.04,20.62,20.74,362603.0
2013-12-31,21.13,21.31,21.01,21.06,344288.0
2013-12-30,21.18,21.35,21.11,21.16,431537.0
2013-12-27,21.22,21.4,21.06,21.26,272036.0
2013-12-26,21.21,21.23,20.97,21.22,569457.0
2013-12-24,21.14,21.36,21.01,21.17,165052.0
2013-12-23,20.7,21.22,20.37,21.12,403320.0
2013-12-20,20.64,20.99,20.29,20.58,1034053.0
2013-12-19,21.07,21.15,20.6,20.61,381099.0
2013-12-18,20.85,21.13,20.58,20.95,377898.0
2013-12-17,20.93,20.99,20.64,20.93,396048.0
2013-12-16,20.84,21.0,20.64,20.89,301640.0
2013-12-13,21.11,21.4,20.76,20.79,410525.0
2013-12-12,20.89,21.26,20.66,21.0,708045.0
2013-12-11,21.48,21.62,20.88,20.99,390089.0
2013-12-10,21.89,22.22,21.44,21.64,459465.0
2013-12-09,22.09,22.32,21.87,22.18,415888.0
2013-12-06,22.38,22.51,21.88,22.09,301200.0
2013-12-05,22.38,22.44,22.12,22.25,325339.0
2013-12-04,22.37,22.58,22.12,22.41,377028.0
