Date,Open,High,Low,Close,Volume
2014-04-07,32.1,32.94,31.68,32.72,112359.0
2014-04-04,33.43,33.43,31.76,32.31,152818.0
2014-04-03,33.49,33.73,32.75,33.1,100165.0
2014-04-02,33.15,33.52,33.0,33.42,92206.0
2014-04-01,32.75,33.25,32.6,33.18,133734.0
2014-03-31,32.11,32.93,31.9,32.75,130647.0
2014-03-28,32.24,32.77,31.61,31.95,101193.0
2014-03-27,31.27,32.35,31.2,32.27,138516.0
2014-03-26,32.1,32.41,31.19,31.24,113622.0
2014-03-25,32.03,32.36,31.82,31.95,106297.0
2014-03-24,32.16,32.3,31.62,31.95,109378.0
2014-03-21,33.0,33.0,32.05,32.17,269928.0
2014-03-20,33.03,33.55,32.85,32.98,149195.0
2014-03-19,33.79,33.86,32.3,33.21,612765.0
2014-03-18,33.3,33.92,33.14,33.91,117156.0
2014-03-17,32.68,33.74,32.68,33.13,125796.0
2014-03-14,32.88,33.14,32.3,32.44,150923.0
2014-03-13,35.31,35.31,33.06,33.1,332948.0
2014-03-12,34.62,36.05,34.38,35.34,354740.0
2014-03-11,39.5,40.06,38.96,39.75,195476.0
2014-03-10,39.0,39.47,38.81,39.43,64347.0
2014-03-07,39.16,39.4,38.67,39.13,87177.0
2014-03-06,38.4,38.85,37.98,38.85,107219.0
2014-03-05,37.51,38.24,37.21,38.18,71532.0
2014-03-04,37.07,38.16,36.86,37.67,220350.0
2014-03-03,36.05,36.82,35.19,36.54,135120.0
2014-02-28,37.21,37.29,36.35,36.57,102850.0
2014-02-27,37.45,38.08,36.86,37.08,89062.0
2014-02-26,37.35,38.47,37.09,37.5,94159.0
2014-02-25,38.0,38.22,37.02,37.22,79365.0
2014-02-24,37.49,38.45,37.19,37.9,130740.0
2014-02-21,37.03,37.68,36.87,37.31,85877.0
2014-02-20,36.97,37.11,36.47,36.84,111648.0
2014-02-19,37.11,37.57,36.74,36.97,103071.0
2014-02-18,36.41,37.49,36.2,37.34,110080.0
2014-02-14,36.4,36.4,35.66,36.19,44076.0
2014-02-13,35.37,36.46,35.35,36.37,58131.0
2014-02-12,35.41,36.07,35.04,35.64,90042.0
2014-02-11,35.22,35.98,34.67,35.46,68627.0
2014-02-10,35.31,35.37,34.62,35.14,100877.0
2014-02-07,35.64,35.64,34.8,35.32,80366.0
2014-02-06,35.3,35.89,35.22,35.44,80542.0
2014-02-05,35.75,36.23,34.72,35.2,105943.0
2014-02-04,36.67,37.08,35.61,35.88,101925.0
2014-02-03,37.43,37.98,36.0,36.58,168419.0
2014-01-31,36.98,38.24,36.67,37.45,146013.0
2014-01-30,37.77,38.45,37.3,37.72,92340.0
2014-01-29,37.0,37.62,37.0,37.33,126906.0
2014-01-28,37.13,37.41,36.48,37.28,148212.0
2014-01-27,37.37,37.95,37.03,37.08,127879.0
2014-01-24,38.45,38.65,36.75,37.1,178520.0
2014-01-23,38.59,38.96,38.08,38.55,136238.0
2014-01-22,38.54,39.08,38.02,38.65,136047.0
2014-01-21,37.93,38.62,37.51,38.39,145293.0
2014-01-17,38.0,38.42,37.51,37.65,129568.0
2014-01-16,37.95,38.42,37.62,37.94,80992.0
2014-01-15,37.94,38.81,37.68,37.91,123752.0
2014-01-14,37.79,38.13,37.35,37.97,115035.0
2014-01-13,37.77,38.04,37.02,37.65,168645.0
2014-01-10,37.92,38.1,37.54,38.0,148906.0
2014-01-09,38.45,38.72,37.63,37.85,132953.0
2014-01-08,38.9,39.22,38.22,38.41,100868.0
2014-01-07,39.26,39.52,38.73,39.05,181041.0
2014-01-06,40.0,40.1,38.5,39.01,193067.0
2014-01-03,40.15,40.49,39.83,39.97,132592.0
2014-01-02,41.02,41.25,39.51,40.09,191995.0
2013-12-31,41.77,42.35,40.99,41.14,141241.0
2013-12-30,41.56,42.1,40.98,41.81,192480.0
2013-12-27,42.32,42.32,41.33,41.7,52193.0
2013-12-26,42.61,42.76,41.68,42.03,47442.0
2013-12-24,42.65,42.99,41.59,42.53,95699.0
2013-12-23,42.26,42.74,41.65,42.35,95001.0
2013-12-20,41.13,42.52,40.8,42.18,248162.0
2013-12-19,41.86,42.46,40.7,40.95,116617.0
2013-12-18,40.45,42.11,40.25,42.03,162740.0
2013-12-17,39.91,40.56,39.84,40.45,145261.0
2013-12-16,39.69,40.28,39.26,39.83,147197.0
2013-12-13,38.91,39.51,38.37,39.42,101317.0
2013-12-12,38.25,39.01,37.82,38.79,95301.0
2013-12-11,38.71,38.9,37.56,38.34,124557.0
2013-12-10,39.08,39.24,38.5,38.6,75563.0
2013-12-09,39.25,39.32,38.72,39.25,99793.0
2013-12-06,39.96,39.96,38.95,39.34,81987.0
2013-12-05,39.21,39.87,39.04,39.49,33223.0
2013-12-04,39.27,40.27,38.91,39.32,119043.0
2013-12-03,38.25,39.75,38.0,39.45,129381.0
2013-12-02,40.07,40.15,38.37,38.42,207845.0
2013-11-29,40.48,40.79,39.9,40.15,57174.0
2013-11-27,39.49,40.35,39.07,40.18,86632.0
2013-11-26,38.58,39.43,36.97,39.34,108986.0
2013-11-25,38.61,39.15,38.02,38.43,111587.0
2013-11-22,37.43,38.96,36.65,38.65,137039.0
2013-11-21,35.14,37.78,35.14,37.53,182610.0
2013-11-20,34.75,35.12,34.54,34.71,91509.0
2013-11-19,34.97,35.54,34.48,34.72,59910.0
2013-11-18,34.39,34.97,34.11,34.94,79772.0
2013-11-15,34.18,34.34,33.81,34.2,74101.0
2013-11-14,33.8,34.35,33.64,34.23,49607.0
2013-11-13,33.91,34.42,33.67,33.9,103866.0
2013-11-12,33.91,34.25,33.61,34.18,84355.0
2013-11-11,33.9,34.03,33.44,33.97,56498.0
2013-11-08,33.34,34.15,33.34,34.0,57929.0
2013-11-07,34.36,34.55,33.32,33.36,83511.0
2013-11-06,34.35,34.45,33.85,34.29,57309.0
2013-11-05,33.61,34.45,33.61,34.2,83414.0
2013-11-04,33.79,34.05,33.16,33.86,97468.0
2013-11-01,33.27,33.82,32.64,33.63,174985.0
2013-10-31,33.63,33.9,33.3,33.36,99063.0
2013-10-30,34.58,34.62,33.33,33.6,85479.0
2013-10-29,34.04,34.46,33.73,34.46,68971.0
2013-10-28,33.99,34.27,33.69,34.05,81182.0
2013-10-25,34.09,34.21,33.63,34.0,72676.0
2013-10-24,33.52,34.02,33.22,33.95,81339.0
2013-10-23,33.46,33.58,32.47,33.56,109434.0
2013-10-22,32.66,33.77,32.55,33.56,101684.0
2013-10-21,32.55,32.89,32.36,32.54,60801.0
2013-10-18,32.41,32.71,32.19,32.55,93798.0
2013-10-17,31.57,32.25,31.53,32.07,72725.0
2013-10-16,32.02,32.02,31.46,31.63,54337.0
2013-10-15,31.91,32.19,31.74,31.78,100140.0
2013-10-14,31.81,31.99,31.6,31.91,58058.0
2013-10-11,30.93,32.16,30.93,31.97,103641.0
2013-10-10,31.1,31.32,30.81,31.09,65994.0
2013-10-09,30.99,31.22,30.63,30.79,88109.0
2013-10-08,30.97,31.32,30.63,30.93,88320.0
2013-10-07,31.0,31.38,30.8,31.02,81980.0
2013-10-04,31.12,31.55,30.96,31.36,89658.0
2013-10-03,31.58,31.58,30.45,31.2,215149.0
2013-10-02,31.9,32.19,31.66,31.71,61621.0
2013-10-01,32.62,32.62,32.17,32.24,87137.0
2013-09-30,32.51,32.95,32.02,32.71,116448.0
2013-09-27,32.92,33.2,32.71,32.85,62794.0
2013-09-26,33.7,34.23,33.04,33.2,57439.0
2013-09-25,34.09,34.26,33.6,33.72,36867.0
2013-09-24,34.28,34.83,33.8,34.15,97503.0
2013-09-23,33.3,34.5,33.02,34.19,84861.0
2013-09-20,33.56,33.7,33.03,33.15,227129.0
2013-09-19,33.54,33.71,33.04,33.59,45802.0
2013-09-18,33.27,33.92,32.78,33.6,84085.0
2013-09-17,32.67,33.44,32.34,33.2,75984.0
2013-09-16,33.38,33.38,32.6,32.77,61393.0
2013-09-13,32.57,33.0,32.43,32.98,53603.0
2013-09-12,32.73,32.94,32.29,32.39,48168.0
2013-09-11,32.42,32.92,32.14,32.73,64206.0
2013-09-10,32.25,32.64,32.04,32.59,89076.0
2013-09-09,31.49,32.22,31.49,32.18,97575.0
2013-09-06,31.24,31.58,30.71,31.47,73315.0
2013-09-05,31.21,31.36,30.83,31.19,64455.0
2013-09-04,30.47,31.27,30.24,31.27,102203.0
2013-09-03,29.65,30.57,29.26,30.52,113734.0
2013-08-30,29.35,29.41,28.77,29.21,110000.0
2013-08-29,29.26,29.65,29.12,29.48,74636.0
2013-08-28,29.58,29.76,29.37,29.41,56971.0
2013-08-27,29.63,30.08,29.63,29.66,70703.0
2013-08-26,30.08,30.32,29.75,29.9,52879.0
2013-08-23,30.29,30.46,29.92,30.1,63169.0
2013-08-22,29.84,30.52,29.64,30.3,56876.0
2013-08-21,29.79,30.03,29.56,29.74,72014.0
2013-08-20,30.3,31.0,29.59,29.8,137328.0
2013-08-19,29.5,31.01,28.38,30.25,96018.0
2013-08-16,29.56,30.88,29.49,30.0,208504.0
2013-08-15,30.55,30.74,29.65,29.71,88096.0
2013-08-14,30.99,31.14,30.57,30.85,64785.0
2013-08-13,31.33,31.33,30.7,30.91,88429.0
2013-08-12,31.58,31.98,31.22,31.35,66569.0
