Date,Open,High,Low,Close,Volume
2014-04-07,26.31,26.36,25.79,26.23,579887.0
2014-04-04,27.11,27.11,26.37,26.41,850254.0
2014-04-03,26.91,27.04,26.73,27.02,365638.0
2014-04-02,26.67,27.13,26.48,26.8,580408.0
2014-04-01,26.36,26.53,26.11,26.51,589470.0
2014-03-31,26.8,26.97,26.34,26.6,1000877.0
2014-03-28,26.13,26.77,25.86,26.62,629902.0
2014-03-27,26.0,26.1,25.7,26.08,913078.0
2014-03-26,26.25,26.25,25.73,25.96,608862.0
2014-03-25,26.18,26.33,25.66,26.05,446929.0
2014-03-24,26.11,26.24,25.53,25.99,661370.0
2014-03-21,25.62,26.34,25.5,25.99,1132302.0
2014-03-20,25.3,25.63,25.28,25.55,369048.0
2014-03-19,25.28,25.59,25.19,25.3,455997.0
2014-03-18,25.16,25.41,24.95,25.27,329782.0
2014-03-17,24.96,25.35,24.91,25.1,656707.0
2014-03-14,24.78,25.11,24.66,24.86,477224.0
2014-03-13,25.05,26.16,24.53,24.76,568335.0
2014-03-12,25.08,25.33,24.84,24.88,512598.0
2014-03-11,25.6,25.66,25.04,25.14,502464.0
2014-03-10,25.55,25.86,25.33,25.5,612243.0
2014-03-07,25.53,25.88,25.3,25.53,601218.0
2014-03-06,25.4,25.61,25.14,25.25,326311.0
2014-03-05,25.12,25.59,25.04,25.3,483236.0
2014-03-04,25.27,25.54,24.99,25.07,1675168.0
2014-03-03,24.99,25.38,24.9,24.96,686471.0
2014-02-28,24.97,25.51,24.67,25.14,1046244.0
2014-02-27,24.69,25.07,24.46,24.89,618718.0
2014-02-26,24.16,25.0,24.15,24.6,697086.0
2014-02-25,24.08,24.23,23.85,23.94,608856.0
2014-02-24,24.36,24.58,23.95,24.0,675611.0
2014-02-21,24.2,24.94,24.15,24.25,823034.0
2014-02-20,24.28,24.5,23.65,24.06,1134868.0
2014-02-19,24.91,25.08,24.7,24.72,337233.0
2014-02-18,25.13,25.23,24.83,24.91,496836.0
2014-02-14,24.93,25.24,24.81,25.02,509318.0
2014-02-13,24.58,25.0,24.13,24.84,943982.0
2014-02-12,25.49,25.74,24.45,24.66,1096092.0
2014-02-11,25.58,25.63,25.28,25.43,460004.0
2014-02-10,25.56,25.72,25.05,25.45,565946.0
2014-02-07,25.31,26.62,25.01,25.49,1731932.0
2014-02-06,25.21,25.49,24.94,24.99,854923.0
2014-02-05,25.09,25.52,24.74,25.06,1125122.0
2014-02-04,24.98,25.46,24.57,25.27,1490809.0
2014-02-03,24.81,25.12,24.6,24.83,1567231.0
2014-01-31,25.13,25.35,24.89,24.94,1773893.0
2014-01-30,24.38,25.11,24.14,25.03,1504594.0
2014-01-29,24.01,24.44,23.86,24.18,1803807.0
2014-01-28,25.38,25.9,24.02,24.3,7697421.0
2014-01-27,31.2,31.79,30.9,31.22,1488892.0
2014-01-24,31.36,31.4,30.95,31.03,979743.0
2014-01-23,31.74,32.02,31.28,31.39,814323.0
2014-01-22,31.61,32.01,31.3,31.89,364804.0
2014-01-21,31.64,31.7,31.0,31.49,564538.0
2014-01-17,31.64,31.76,30.82,31.34,883471.0
2014-01-16,31.41,31.91,31.4,31.85,834974.0
2014-01-15,31.54,31.96,31.4,31.77,539314.0
2014-01-14,31.16,31.71,30.74,31.4,653874.0
2014-01-13,32.52,32.7,30.98,31.21,1380323.0
2014-01-10,32.86,33.02,32.6,32.95,517264.0
2014-01-09,33.17,33.6,32.13,32.76,732564.0
2014-01-08,33.14,33.41,32.98,33.14,569222.0
2014-01-07,33.26,33.45,32.97,33.21,522985.0
2014-01-06,33.35,33.66,33.08,33.19,401104.0
2014-01-03,33.54,33.77,33.36,33.39,250311.0
2014-01-02,33.32,33.67,33.22,33.56,534517.0
2013-12-31,33.42,33.57,33.16,33.34,341744.0
2013-12-30,33.57,33.7,33.33,33.58,310481.0
2013-12-27,33.66,33.8,33.42,33.65,230207.0
2013-12-26,33.51,33.74,33.41,33.52,295605.0
2013-12-24,33.51,33.66,33.42,33.5,269840.0
2013-12-23,33.7,33.95,33.38,33.45,548445.0
2013-12-20,33.44,33.68,33.39,33.49,1265920.0
2013-12-19,33.73,33.95,33.26,33.32,561650.0
2013-12-18,33.42,33.92,33.09,33.84,769678.0
2013-12-17,33.37,33.45,32.94,33.29,546715.0
2013-12-16,33.42,33.75,33.09,33.27,642012.0
2013-12-13,33.66,33.88,33.16,33.35,396568.0
2013-12-12,33.82,34.06,33.53,33.63,402877.0
2013-12-11,34.18,34.18,33.7,33.77,389755.0
2013-12-10,34.16,34.47,34.03,34.09,279886.0
2013-12-09,34.03,34.47,33.86,34.27,311780.0
2013-12-06,34.1,34.39,33.92,34.03,327441.0
2013-12-05,33.27,33.87,33.11,33.74,378762.0
2013-12-04,33.01,33.58,32.94,33.3,301726.0
2013-12-03,33.23,33.26,32.83,33.09,598652.0
2013-12-02,34.03,34.2,33.27,33.36,431576.0
2013-11-29,34.28,34.35,33.88,34.06,198780.0
2013-11-27,34.06,34.14,33.77,34.09,281888.0
2013-11-26,34.36,34.52,33.82,34.0,471163.0
2013-11-25,34.1,34.38,34.02,34.31,342067.0
2013-11-22,34.08,34.39,33.48,34.04,523728.0
2013-11-21,33.99,34.29,33.74,34.03,440296.0
2013-11-20,34.21,34.26,33.65,33.81,433341.0
2013-11-19,34.1,34.33,33.92,34.12,586793.0
2013-11-18,34.49,34.49,34.04,34.19,449864.0
2013-11-15,34.25,34.52,34.11,34.35,467189.0
2013-11-14,34.35,34.42,34.0,34.28,286088.0
2013-11-13,34.01,34.48,33.79,34.29,406731.0
2013-11-12,33.97,34.35,33.97,34.26,258332.0
2013-11-11,33.85,34.09,33.78,33.98,470607.0
2013-11-08,33.47,33.89,33.06,33.81,615810.0
2013-11-07,33.83,33.93,33.43,33.51,946404.0
2013-11-06,34.16,34.16,33.62,33.69,462454.0
2013-11-05,34.17,34.25,33.67,33.97,651898.0
2013-11-04,34.24,34.57,34.02,34.21,361884.0
2013-11-01,34.18,34.33,33.85,34.12,700370.0
2013-10-31,34.65,34.73,34.23,34.24,544464.0
2013-10-30,34.69,34.83,34.27,34.61,474235.0
2013-10-29,34.75,34.93,34.29,34.56,627597.0
2013-10-28,34.63,34.81,34.42,34.57,586390.0
2013-10-25,34.62,35.0,34.25,34.68,829328.0
2013-10-24,34.7,34.97,34.27,34.55,1035304.0
2013-10-23,34.64,34.97,34.22,34.62,1088427.0
